step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.7898,0,0.500833,-0.671142,-0.016567,0.500818,-0.671114,-0.016567,0.032,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.024981,0
2,17.8519,0,0.500833,-0.671142,-0.016567,0.500818,-0.671114,-0.016567,0.032,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.024928,0
3,17.9535,2,0.500831,-0.671086,-0.016567,0.500579,-0.671024,-0.016567,0.259,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.025235,0
4,18.0544,3,0.500833,-0.671142,-0.016567,0.500435,-0.670926,-0.016567,0.452,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.025438,0
5,18.1547,4,0.500872,-0.671047,-0.016567,0.500281,-0.670779,-0.016567,0.649,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.025631,0
6,18.2673,5,0.500250,-0.670220,-0.016567,0.500142,-0.670609,-0.016567,0.404,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.025735,0
7,18.3620,6,0.500179,-0.670173,-0.016567,0.500017,-0.670427,-0.016567,0.301,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.025911,0
8,18.4630,7,0.500052,-0.670181,-0.016567,0.499903,-0.670238,-0.016567,0.159,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026089,0
9,18.5617,8,0.499516,-0.669731,-0.016567,0.499798,-0.670043,-0.016567,0.421,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026068,0
10,18.6629,9,0.499601,-0.669731,-0.016567,0.499699,-0.669845,-0.016567,0.151,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026020,0
11,18.7609,10,0.499565,-0.669810,-0.016567,0.499605,-0.669645,-0.016567,0.170,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026039,0
12,18.8629,11,0.499527,-0.669671,-0.016567,0.499516,-0.669442,-0.016567,0.230,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026116,0
13,18.9607,12,0.499531,-0.669640,-0.016567,0.499430,-0.669237,-0.016567,0.416,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026287,0
14,19.0611,13,0.499352,-0.669481,-0.016567,0.499347,-0.669030,-0.016567,0.451,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026370,0
15,19.1636,14,0.499235,-0.668855,-0.016567,0.499266,-0.668822,-0.016567,0.045,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026409,0
16,19.2628,15,0.499128,-0.668231,-0.016567,0.499188,-0.668613,-0.016567,0.387,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026412,0
17,19.3571,16,0.499143,-0.668208,-0.016567,0.499111,-0.668403,-0.016567,0.197,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026512,0
18,19.4584,17,0.499151,-0.667981,-0.016567,0.499036,-0.668191,-0.016567,0.240,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026695,0
19,19.5614,18,0.499251,-0.667789,-0.016567,0.498961,-0.667978,-0.016567,0.346,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026895,0
20,19.6638,19,0.498732,-0.667348,-0.016567,0.498888,-0.667764,-0.016567,0.444,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026895,0
21,19.7639,20,0.498841,-0.667395,-0.016567,0.498816,-0.667548,-0.016567,0.155,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.026994,0
22,19.8651,21,0.498836,-0.667193,-0.016567,0.498744,-0.667331,-0.016567,0.166,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027159,0
23,19.9630,22,0.498520,-0.666904,-0.016567,0.498672,-0.667114,-0.016567,0.259,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027125,0
24,20.0637,23,0.498476,-0.666623,-0.016567,0.498601,-0.666894,-0.016567,0.299,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027077,0
25,20.1655,24,0.498540,-0.666484,-0.016567,0.498530,-0.666674,-0.016567,0.191,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027163,0
26,20.2669,25,0.498549,-0.666297,-0.016567,0.498459,-0.666452,-0.016567,0.179,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027328,0
27,20.3648,26,0.498409,-0.665541,-0.016567,0.498387,-0.666229,-0.016567,0.689,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027413,0
28,20.4639,27,0.498166,-0.665194,-0.016567,0.498315,-0.666004,-0.016567,0.824,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027341,0
29,20.5654,28,0.498182,-0.665183,-0.016567,0.498243,-0.665778,-0.016567,0.597,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027347,0
30,20.6661,29,0.498170,-0.665082,-0.016567,0.498169,-0.665549,-0.016567,0.468,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027417,0
31,20.7685,30,0.498331,-0.664869,-0.016567,0.498095,-0.665319,-0.016567,0.509,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027617,0
32,20.8678,31,0.498304,-0.664766,-0.016567,0.498019,-0.665087,-0.016567,0.430,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.027817,0
33,20.9602,32,0.498314,-0.664176,-0.016567,0.497942,-0.664853,-0.016567,0.772,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.028017,0
34,21.0590,33,0.498118,-0.664078,-0.016567,0.497864,-0.664616,-0.016567,0.596,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.028217,0
35,21.1576,34,0.498009,-0.663450,-0.016567,0.497783,-0.664377,-0.016567,0.954,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.028417,0
36,21.2584,36,0.497808,-0.663228,-0.016567,0.497612,-0.663890,-0.016567,0.690,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.028767,0
37,21.3643,37,0.497421,-0.663070,-0.016567,0.497522,-0.663641,-0.016567,0.580,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.028767,0
38,21.4649,38,0.497504,-0.662697,-0.016567,0.497427,-0.663390,-0.016567,0.697,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.028882,0
39,21.5650,38,0.497583,-0.662604,-0.016567,0.497427,-0.663390,-0.016567,0.801,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.028920,0
40,21.6669,39,0.497342,-0.662171,-0.016567,0.497328,-0.663134,-0.016567,0.963,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.028963,0
41,21.7662,40,0.497507,-0.661918,-0.016567,0.497221,-0.662875,-0.016567,1.000,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.029163,0
42,21.8682,42,0.497491,-0.661473,-0.016567,0.496988,-0.662361,-0.016567,1.020,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.029514,0
43,21.9606,43,0.497182,-0.661275,-0.016567,0.496860,-0.662110,-0.016567,0.894,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.029716,0
44,22.0657,44,0.497252,-0.660786,-0.016567,0.496718,-0.661865,-0.016567,1.204,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.029918,0
45,22.1603,45,0.496894,-0.660531,-0.016567,0.496560,-0.661631,-0.016567,1.150,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.030120,0
46,22.2629,45,0.496917,-0.660423,-0.016567,0.496560,-0.661631,-0.016567,1.259,-0.856336,-1.945852,-1.761739,-1.033196,1.562324,-2.056412,0.030189,0
