step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.6696,0,0.500648,-0.671120,-0.016567,0.500740,-0.671153,-0.016567,0.097,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.024877,0
2,22.7332,1,0.500763,-0.671147,-0.016567,0.500632,-0.671122,-0.016567,0.133,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.024966,0
3,22.8346,2,0.500785,-0.671135,-0.016567,0.500501,-0.671063,-0.016567,0.292,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.025168,0
4,22.9342,3,0.500826,-0.671155,-0.016567,0.500357,-0.670965,-0.016567,0.506,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.025371,0
5,23.0346,5,0.500651,-0.670974,-0.016567,0.500064,-0.670648,-0.016567,0.672,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.025715,0
6,23.1344,6,0.500115,-0.671012,-0.016567,0.499939,-0.670466,-0.016567,0.574,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.025915,0
7,23.2339,6,0.500120,-0.670980,-0.016567,0.499939,-0.670466,-0.016567,0.545,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.025965,0
8,23.3341,8,0.499689,-0.670430,-0.016567,0.499720,-0.670082,-0.016567,0.349,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.026138,0
9,23.4366,8,0.499781,-0.670272,-0.016567,0.499720,-0.670082,-0.016567,0.200,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.026094,0
10,23.5438,9,0.499733,-0.669833,-0.016567,0.499621,-0.669884,-0.016567,0.123,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.026251,0
11,23.6403,10,0.499369,-0.669655,-0.016567,0.499527,-0.669684,-0.016567,0.160,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.026208,0
12,23.7396,12,0.499198,-0.669386,-0.016567,0.499351,-0.669276,-0.016567,0.189,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.026287,0
13,23.8384,13,0.499247,-0.669420,-0.016567,0.499268,-0.669069,-0.016567,0.351,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.026340,0
14,23.9397,14,0.499412,-0.669421,-0.016567,0.499188,-0.668861,-0.016567,0.603,-0.856333,-1.945845,-1.761790,-1.033205,1.562359,-2.056415,0.026540,0
