step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.9865,0,0.500813,-0.671171,-0.016567,0.500775,-0.671083,-0.016567,0.097,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.025006,0
2,25.0491,1,0.500801,-0.671062,-0.016567,0.500667,-0.671052,-0.016567,0.134,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.025111,0
3,25.1515,3,0.500827,-0.671115,-0.016567,0.500392,-0.670895,-0.016567,0.488,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.025433,0
4,25.2519,3,0.500687,-0.671019,-0.016567,0.500392,-0.670895,-0.016567,0.321,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.025518,0
5,25.3514,4,0.500625,-0.670801,-0.016567,0.500237,-0.670747,-0.016567,0.392,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.025711,0
6,25.4581,5,0.500042,-0.670231,-0.016567,0.500099,-0.670578,-0.016567,0.352,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.025711,0
7,25.5625,7,0.500035,-0.669898,-0.016567,0.499860,-0.670206,-0.016567,0.354,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026030,0
8,25.6605,8,0.499775,-0.669685,-0.016567,0.499755,-0.670012,-0.016567,0.328,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026050,0
9,25.7638,9,0.499775,-0.669685,-0.016567,0.499656,-0.669814,-0.016567,0.176,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026184,0
10,25.8639,10,0.499507,-0.669658,-0.016567,0.499562,-0.669613,-0.016567,0.071,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026167,0
11,25.9568,10,0.499529,-0.669552,-0.016567,0.499562,-0.669613,-0.016567,0.070,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026010,0
12,26.0586,12,0.499626,-0.669467,-0.016567,0.499386,-0.669205,-0.016567,0.355,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026355,0
13,26.1660,12,0.499380,-0.669151,-0.016567,0.499386,-0.669205,-0.016567,0.055,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026226,0
14,26.2579,14,0.499147,-0.668747,-0.016567,0.499223,-0.668791,-0.016567,0.088,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026329,0
15,26.3641,15,0.499310,-0.668772,-0.016567,0.499144,-0.668582,-0.016567,0.252,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026482,0
16,26.4607,16,0.499284,-0.668253,-0.016567,0.499068,-0.668371,-0.016567,0.247,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026682,0
17,26.5627,17,0.499122,-0.668231,-0.016567,0.498992,-0.668159,-0.016567,0.148,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026841,0
18,26.6602,18,0.498828,-0.667889,-0.016567,0.498918,-0.667946,-0.016567,0.106,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026800,0
19,26.7570,18,0.498781,-0.667573,-0.016567,0.498918,-0.667946,-0.016567,0.398,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026511,0
20,26.8637,19,0.498836,-0.667273,-0.016567,0.498845,-0.667732,-0.016567,0.460,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026435,0
21,26.9709,21,0.499039,-0.666543,-0.016567,0.498701,-0.667300,-0.016567,0.830,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026711,0
22,27.0589,21,0.498801,-0.666580,-0.016567,0.498701,-0.667300,-0.016567,0.727,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026514,0
23,27.1654,23,0.498903,-0.666674,-0.016567,0.498558,-0.666863,-0.016567,0.394,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.026819,0
24,27.2607,24,0.498832,-0.666365,-0.016567,0.498487,-0.666643,-0.016567,0.443,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.027019,0
25,27.3595,25,0.498557,-0.665920,-0.016567,0.498415,-0.666421,-0.016567,0.521,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.027021,0
26,27.4574,25,0.498757,-0.665771,-0.016567,0.498415,-0.666421,-0.016567,0.734,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.027017,0
27,27.5598,26,0.498633,-0.665399,-0.016567,0.498344,-0.666198,-0.016567,0.850,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.027066,0
28,27.6590,27,0.498636,-0.665192,-0.016567,0.498272,-0.665973,-0.016567,0.861,-0.856352,-1.945849,-1.761742,-1.033180,1.562343,-2.056400,0.027174,0
