step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,16.9786,0,0.500901,-0.671146,-0.016567,0.500857,-0.671152,-0.016567,0.044,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.025009,0
2,17.0416,1,0.500906,-0.671137,-0.016567,0.500750,-0.671121,-0.016567,0.157,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.025137,0
3,17.1432,3,0.500802,-0.671144,-0.016567,0.500474,-0.670965,-0.016567,0.373,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.025458,0
4,17.2431,3,0.500809,-0.671127,-0.016567,0.500474,-0.670965,-0.016567,0.372,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.025544,0
5,17.3424,4,0.500200,-0.670984,-0.016567,0.500320,-0.670817,-0.016567,0.205,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.025537,0
6,17.4439,6,0.500228,-0.670755,-0.016567,0.500056,-0.670465,-0.016567,0.337,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.025886,0
7,17.5448,7,0.499980,-0.670270,-0.016567,0.499942,-0.670276,-0.016567,0.039,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.025958,0
8,17.6428,8,0.499917,-0.670234,-0.016567,0.499837,-0.670082,-0.016567,0.172,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026083,0
9,17.7446,9,0.499613,-0.670186,-0.016567,0.499738,-0.669884,-0.016567,0.327,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026022,0
10,17.8584,10,0.499977,-0.669650,-0.016567,0.499644,-0.669683,-0.016567,0.334,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026160,0
11,17.9524,10,0.499629,-0.669663,-0.016567,0.499644,-0.669683,-0.016567,0.026,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026050,0
12,18.0547,11,0.499604,-0.669493,-0.016567,0.499555,-0.669480,-0.016567,0.051,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026158,0
13,18.1459,12,0.499622,-0.668979,-0.016567,0.499469,-0.669275,-0.016567,0.333,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026358,0
14,18.2529,14,0.499183,-0.668752,-0.016567,0.499305,-0.668861,-0.016567,0.164,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026509,0
15,18.3523,15,0.498942,-0.668763,-0.016567,0.499227,-0.668651,-0.016567,0.306,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026364,0
16,18.4551,16,0.499148,-0.668724,-0.016567,0.499150,-0.668441,-0.016567,0.283,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026419,0
17,18.5542,17,0.498995,-0.668482,-0.016567,0.499075,-0.668229,-0.016567,0.265,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026423,0
18,18.6468,17,0.498914,-0.668172,-0.016567,0.499075,-0.668229,-0.016567,0.171,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026201,0
19,18.7484,18,0.498916,-0.668007,-0.016567,0.499000,-0.668016,-0.016567,0.085,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026197,0
20,18.8482,19,0.498951,-0.667514,-0.016567,0.498927,-0.667802,-0.016567,0.288,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026293,0
21,18.9584,21,0.499071,-0.667218,-0.016567,0.498783,-0.667370,-0.016567,0.326,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026643,0
22,19.0554,22,0.499169,-0.667056,-0.016567,0.498712,-0.667152,-0.016567,0.468,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026843,0
23,19.1541,23,0.498948,-0.666608,-0.016567,0.498640,-0.666933,-0.016567,0.447,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.027043,0
24,19.2533,24,0.498382,-0.666198,-0.016567,0.498569,-0.666712,-0.016567,0.548,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.027043,0
25,19.3616,24,0.498605,-0.666200,-0.016567,0.498569,-0.666712,-0.016567,0.513,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.026996,0
26,19.4607,25,0.498549,-0.665930,-0.016567,0.498498,-0.666491,-0.016567,0.563,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.027113,0
27,19.5634,26,0.498546,-0.665754,-0.016567,0.498426,-0.666267,-0.016567,0.527,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.027298,0
28,19.6561,28,0.498148,-0.665212,-0.016567,0.498282,-0.665816,-0.016567,0.619,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.027434,0
29,19.7584,29,0.498255,-0.665385,-0.016567,0.498209,-0.665588,-0.016567,0.208,-0.856367,-1.945818,-1.761754,-1.033212,1.562324,-2.056400,0.027554,0
