controller,key,rep,run_dir,stop_reason,steps,n_track,rms_track_mm,mean_track_mm,max_track_mm,p95_track_mm,mean_hold_mm,final_mm,duration_s
naive_inverse_jacobian,inv,1,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/inv_rep1_20260916T095432Z,path_complete,193,171,1.7015859973662066,1.3182280701754385,4.059,3.4275,0.19522727272727278,0.056,37.5826
mpc_lti,lti,1,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/lti_rep1_20260916T095628Z,path_complete,193,171,1.6277639957103716,1.2247017543859648,3.785,3.5555,0.25559090909090904,0.12,38.3355
mpc_ltv_sqp_online,tf,1,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/tf_rep1_20260916T095824Z,path_complete,192,171,1.6316296861569226,1.2172105263157895,4.078,3.5484999999999998,0.6349047619047619,0.587,39.4377
mpc_ltv_offline,ltv,1,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/ltv_rep1_20260916T100021Z,path_complete,193,171,1.7421051408102288,1.3083684210526314,4.269,3.8235,0.16786363636363638,0.155,37.7313
naive_inverse_jacobian,inv,2,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/inv_rep2_20260916T100216Z,path_complete,192,171,1.7770309046995525,1.3449649122807017,4.186,3.9175,0.30071428571428577,0.235,42.6994
mpc_lti,lti,2,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/lti_rep2_20260916T100416Z,path_complete,192,171,1.6432991900655751,1.2175029239766082,3.975,3.591,0.41890476190476195,0.742,37.7312
mpc_ltv_sqp_online,tf,2,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/tf_rep2_20260916T100611Z,path_complete,193,171,1.739239825208313,1.2819415204678364,4.196,3.8325,0.3859090909090909,0.102,39.7382
mpc_ltv_offline,ltv,2,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/ltv_rep2_20260916T100808Z,path_complete,192,171,1.8098783213276235,1.3507076023391813,4.291,4.119999999999999,0.33338095238095233,0.254,36.6293
naive_inverse_jacobian,inv,3,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/inv_rep3_20260916T101119Z,path_complete,193,171,1.8308179873826829,1.3796140350877193,4.529,3.9935,0.3585,0.173,40.9865
mpc_lti,lti,3,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/lti_rep3_20260916T101318Z,path_complete,192,170,1.7421212441766978,1.291829411764706,4.038,3.7681499999999994,0.45504545454545453,0.127,43.3413
mpc_ltv_sqp_online,tf,3,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/tf_rep3_20260916T101518Z,path_complete,193,171,1.7246639828677264,1.2730584795321638,4.341,3.8745000000000003,0.4467272727272728,0.402,39.3384
mpc_ltv_offline,ltv,3,close_loop_logs/scurve_exp1_exp2_interleaved_2026-09-16/runs/ltv_rep3_20260916T101715Z,path_complete,192,170,1.8091611120659665,1.3601529411764706,4.361,3.7638499999999997,0.36736363636363634,0.428,41.1363
