step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.3839,0,0.500594,-0.670304,-0.016567,0.500645,-0.670299,-0.016567,0.051,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.025009,0
2,18.4826,1,0.500610,-0.670224,-0.016567,0.500528,-0.670264,-0.016567,0.091,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.025173,0
3,18.5826,2,0.500674,-0.670308,-0.016567,0.500388,-0.670198,-0.016567,0.306,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.025472,0
4,18.6826,3,0.500466,-0.670135,-0.016567,0.500235,-0.670087,-0.016567,0.236,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.025740,0
5,18.7826,4,0.500008,-0.670099,-0.016567,0.500083,-0.669932,-0.016567,0.183,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.025850,0
6,18.8826,5,0.500093,-0.670115,-0.016567,0.499949,-0.669762,-0.016567,0.382,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026095,0
7,18.9826,6,0.500180,-0.670070,-0.016567,0.499828,-0.669580,-0.016567,0.603,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026448,0
8,19.0826,7,0.499489,-0.669712,-0.016567,0.499717,-0.669393,-0.016567,0.393,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026600,0
9,19.1827,8,0.499350,-0.669492,-0.016567,0.499614,-0.669200,-0.016567,0.393,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026601,0
10,19.2826,9,0.499213,-0.669404,-0.016567,0.499517,-0.669004,-0.016567,0.502,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026580,0
11,19.3827,10,0.499500,-0.669411,-0.016567,0.499425,-0.668806,-0.016567,0.610,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026759,0
12,19.4826,11,0.498994,-0.668810,-0.016567,0.499337,-0.668605,-0.016567,0.399,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026737,0
13,19.5826,12,0.498980,-0.668745,-0.016567,0.499252,-0.668402,-0.016567,0.438,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026734,0
14,19.6827,13,0.499198,-0.668742,-0.016567,0.499170,-0.668197,-0.016567,0.546,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.026914,0
15,19.7826,14,0.498966,-0.668647,-0.016567,0.499091,-0.667991,-0.016567,0.668,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027005,0
16,19.8826,15,0.498999,-0.667898,-0.016567,0.499013,-0.667783,-0.016567,0.116,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027152,0
17,19.9826,16,0.498717,-0.667400,-0.016567,0.498937,-0.667574,-0.016567,0.280,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027170,0
18,20.0825,17,0.498885,-0.667335,-0.016567,0.498862,-0.667363,-0.016567,0.036,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027335,0
19,20.1826,18,0.498489,-0.667129,-0.016567,0.498788,-0.667151,-0.016567,0.300,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027309,0
20,20.2827,19,0.498387,-0.667159,-0.016567,0.498715,-0.666937,-0.016567,0.396,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027269,0
21,20.3826,20,0.498550,-0.667174,-0.016567,0.498643,-0.666722,-0.016567,0.461,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027375,0
22,20.4825,21,0.498603,-0.667017,-0.016567,0.498571,-0.666506,-0.016567,0.512,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027557,0
23,20.5826,22,0.498104,-0.666435,-0.016567,0.498499,-0.666288,-0.016567,0.422,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027539,0
24,20.6827,23,0.498295,-0.666180,-0.016567,0.498428,-0.666068,-0.016567,0.174,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027614,0
25,20.7827,24,0.498103,-0.665766,-0.016567,0.498356,-0.665846,-0.016567,0.266,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027613,0
26,20.8826,25,0.498288,-0.665556,-0.016567,0.498285,-0.665623,-0.016567,0.067,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027767,0
27,20.9826,26,0.498200,-0.664995,-0.016567,0.498213,-0.665398,-0.016567,0.403,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.027903,0
28,21.0825,27,0.498250,-0.664538,-0.016567,0.498140,-0.665170,-0.016567,0.642,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.028109,0
29,21.1827,28,0.497871,-0.664336,-0.016567,0.498067,-0.664941,-0.016567,0.636,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.028132,0
30,21.2826,29,0.497959,-0.664366,-0.016567,0.497992,-0.664710,-0.016567,0.345,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.028258,0
31,21.3826,30,0.497833,-0.664258,-0.016567,0.497917,-0.664477,-0.016567,0.234,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.028356,0
32,21.4826,31,0.498114,-0.663863,-0.016567,0.497840,-0.664241,-0.016567,0.467,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.028654,0
33,21.5826,33,0.497538,-0.663514,-0.016567,0.497681,-0.663762,-0.016567,0.286,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.028905,0
34,21.6826,34,0.497789,-0.663488,-0.016567,0.497598,-0.663518,-0.016567,0.193,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.029171,0
35,21.7826,35,0.497616,-0.663105,-0.016567,0.497513,-0.663271,-0.016567,0.196,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.029382,0
36,21.8826,35,0.497663,-0.662497,-0.016567,0.497513,-0.663271,-0.016567,0.789,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.029457,0
37,21.9826,36,0.497533,-0.662095,-0.016567,0.497424,-0.663021,-0.016567,0.933,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.029656,0
38,22.0826,37,0.497386,-0.661742,-0.016567,0.497331,-0.662768,-0.016567,1.028,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.029820,0
39,22.1827,39,0.497178,-0.661495,-0.016567,0.497130,-0.662250,-0.016567,0.757,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.030139,0
40,22.2826,40,0.496901,-0.661362,-0.016567,0.497021,-0.661987,-0.016567,0.636,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.030206,0
41,22.3826,40,0.496992,-0.661278,-0.016567,0.497021,-0.661987,-0.016567,0.710,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.030175,0
42,22.4826,42,0.496876,-0.661094,-0.016567,0.496780,-0.661468,-0.016567,0.386,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.030518,0
43,22.5826,42,0.496915,-0.660873,-0.016567,0.496780,-0.661468,-0.016567,0.610,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.030587,0
44,22.6827,43,0.496714,-0.660713,-0.016567,0.496646,-0.661216,-0.016567,0.508,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.030758,0
45,22.7826,44,0.496721,-0.660290,-0.016567,0.496498,-0.660971,-0.016567,0.716,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.031014,0
46,22.8826,46,0.496394,-0.660098,-0.016567,0.496135,-0.660531,-0.016567,0.505,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.031421,0
47,22.9826,47,0.496077,-0.660053,-0.016567,0.495896,-0.660377,-0.016567,0.371,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.031646,0
48,23.0825,48,0.495996,-0.660190,-0.016567,0.495616,-0.660339,-0.016567,0.408,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.031965,0
49,23.1826,49,0.495720,-0.660097,-0.016567,0.495352,-0.660441,-0.016567,0.504,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.032279,0
50,23.2826,50,0.495580,-0.659575,-0.016567,0.495135,-0.660627,-0.016567,1.142,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.032587,0
51,23.3826,50,0.495565,-0.659194,-0.016567,0.495135,-0.660627,-0.016567,1.496,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.032787,0
52,23.4826,51,0.495454,-0.659429,-0.016567,0.494954,-0.660848,-0.016567,1.504,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.033090,0
53,23.5826,52,0.495607,-0.659529,-0.016567,0.494797,-0.661086,-0.016567,1.755,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.033389,0
54,23.6827,53,0.495171,-0.659534,-0.016567,0.494656,-0.661335,-0.016567,1.873,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.033682,0
55,23.7826,54,0.494883,-0.659543,-0.016567,0.494528,-0.661591,-0.016567,2.078,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.033943,0
56,23.8827,55,0.494558,-0.659651,-0.016567,0.494407,-0.661850,-0.016567,2.204,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.034074,0
57,23.9826,56,0.494223,-0.660275,-0.016567,0.494295,-0.662113,-0.016567,1.839,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.034075,0
58,24.0826,57,0.493902,-0.660466,-0.016567,0.494187,-0.662378,-0.016567,1.932,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.033952,0
59,24.1827,58,0.493817,-0.660546,-0.016567,0.494084,-0.662644,-0.016567,2.116,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.033826,0
60,24.2826,59,0.493868,-0.661071,-0.016567,0.493984,-0.662912,-0.016567,1.845,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.033791,0
61,24.3826,60,0.493899,-0.661366,-0.016567,0.493887,-0.663181,-0.016567,1.815,-0.856321,-1.945818,-1.761754,-1.033196,1.562336,-2.056400,0.033830,0
