step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,24.2750,0,0.500610,-0.670224,-0.016567,0.500546,-0.670209,-0.016567,0.066,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.025025,0
2,24.3368,1,0.500610,-0.670224,-0.016567,0.500430,-0.670174,-0.016567,0.187,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.025183,0
3,24.4458,3,0.500382,-0.670044,-0.016567,0.500137,-0.669997,-0.016567,0.250,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.025492,0
4,24.5393,3,0.500472,-0.670111,-0.016567,0.500137,-0.669997,-0.016567,0.355,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.025545,0
5,24.6384,4,0.500036,-0.670028,-0.016567,0.499984,-0.669843,-0.016567,0.193,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.025600,0
6,24.7398,6,0.499903,-0.669958,-0.016567,0.499729,-0.669491,-0.016567,0.499,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.025952,0
7,24.8385,7,0.499795,-0.669892,-0.016567,0.499618,-0.669303,-0.016567,0.615,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026152,0
8,24.9380,8,0.499454,-0.669454,-0.016567,0.499515,-0.669110,-0.016567,0.349,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026152,0
9,25.0389,9,0.499380,-0.669302,-0.016567,0.499418,-0.668915,-0.016567,0.390,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026178,0
10,25.1399,10,0.499405,-0.669285,-0.016567,0.499326,-0.668716,-0.016567,0.575,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026328,0
11,25.2456,10,0.499397,-0.668730,-0.016567,0.499326,-0.668716,-0.016567,0.072,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026300,0
12,25.3462,11,0.499109,-0.668542,-0.016567,0.499238,-0.668515,-0.016567,0.132,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026241,0
13,25.4449,12,0.499156,-0.668487,-0.016567,0.499153,-0.668312,-0.016567,0.175,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026314,0
14,25.5476,14,0.499324,-0.668344,-0.016567,0.498992,-0.667901,-0.016567,0.553,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026666,0
15,25.6459,14,0.499426,-0.668362,-0.016567,0.498992,-0.667901,-0.016567,0.633,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026714,0
16,25.7433,16,0.498652,-0.667852,-0.016567,0.498838,-0.667484,-0.016567,0.412,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026866,0
17,25.8519,17,0.498865,-0.667754,-0.016567,0.498763,-0.667273,-0.016567,0.491,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027053,0
18,25.9490,17,0.498619,-0.667320,-0.016567,0.498763,-0.667273,-0.016567,0.151,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026888,0
19,26.0478,18,0.498478,-0.667095,-0.016567,0.498689,-0.667061,-0.016567,0.214,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026790,0
20,26.1471,19,0.498501,-0.666934,-0.016567,0.498616,-0.666848,-0.016567,0.144,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026758,0
21,26.2475,21,0.498430,-0.666404,-0.016567,0.498472,-0.666416,-0.016567,0.044,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.026950,0
22,26.3458,22,0.498463,-0.666364,-0.016567,0.498401,-0.666198,-0.016567,0.177,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027096,0
23,26.4465,23,0.498563,-0.666308,-0.016567,0.498329,-0.665978,-0.016567,0.405,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027296,0
24,26.5454,24,0.498381,-0.666223,-0.016567,0.498258,-0.665756,-0.016567,0.482,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027496,0
25,26.6466,24,0.498312,-0.665786,-0.016567,0.498258,-0.665756,-0.016567,0.062,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027477,0
26,26.7530,25,0.498128,-0.665459,-0.016567,0.498186,-0.665533,-0.016567,0.094,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027500,0
27,26.8516,26,0.498029,-0.664922,-0.016567,0.498114,-0.665308,-0.016567,0.394,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027487,0
28,26.9604,27,0.498264,-0.664813,-0.016567,0.498041,-0.665080,-0.016567,0.348,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027674,0
29,27.0548,28,0.498039,-0.664629,-0.016567,0.497968,-0.664851,-0.016567,0.233,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027817,0
30,27.1526,29,0.497849,-0.664592,-0.016567,0.497894,-0.664620,-0.016567,0.053,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027853,0
31,27.2538,30,0.497797,-0.664271,-0.016567,0.497818,-0.664387,-0.016567,0.118,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027907,0
32,27.3521,31,0.497696,-0.664223,-0.016567,0.497741,-0.664151,-0.016567,0.085,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.027942,0
33,27.4453,33,0.497490,-0.664135,-0.016567,0.497582,-0.663672,-0.016567,0.472,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.028092,0
34,27.5575,34,0.497882,-0.663928,-0.016567,0.497499,-0.663428,-0.016567,0.629,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.028290,0
35,27.6561,34,0.497982,-0.663847,-0.016567,0.497499,-0.663428,-0.016567,0.639,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.028338,0
36,27.7507,35,0.497775,-0.662883,-0.016567,0.497414,-0.663181,-0.016567,0.469,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.028538,0
37,27.8560,36,0.497877,-0.661903,-0.016567,0.497325,-0.662932,-0.016567,1.168,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.028738,0
38,27.9537,38,0.497519,-0.661325,-0.016567,0.497135,-0.662421,-0.016567,1.162,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.029090,0
39,28.0524,39,0.497475,-0.661166,-0.016567,0.497032,-0.662160,-0.016567,1.088,-0.856333,-1.945849,-1.761742,-1.033177,1.562320,-2.056397,0.029290,0
