step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.0709,0,0.500567,-0.670196,-0.016567,0.500573,-0.670219,-0.016567,0.025,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.024956,0
2,22.1329,1,0.500610,-0.670224,-0.016567,0.500456,-0.670185,-0.016567,0.159,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.025087,0
3,22.2355,3,0.500585,-0.670208,-0.016567,0.500163,-0.670007,-0.016567,0.467,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.025396,0
4,22.3367,3,0.500523,-0.670224,-0.016567,0.500163,-0.670007,-0.016567,0.420,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.025449,0
5,22.4358,4,0.500342,-0.670140,-0.016567,0.500011,-0.669853,-0.016567,0.438,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.025649,0
6,22.5342,5,0.499975,-0.670065,-0.016567,0.499877,-0.669682,-0.016567,0.395,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.025775,0
7,22.6366,7,0.499969,-0.669638,-0.016567,0.499645,-0.669313,-0.016567,0.459,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026128,0
8,22.7353,8,0.499629,-0.669313,-0.016567,0.499542,-0.669121,-0.016567,0.211,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026257,0
9,22.8364,9,0.499391,-0.669327,-0.016567,0.499445,-0.668925,-0.016567,0.405,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026274,0
10,22.9366,10,0.499363,-0.669184,-0.016567,0.499353,-0.668726,-0.016567,0.457,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026361,0
11,23.0407,10,0.499297,-0.668824,-0.016567,0.499353,-0.668726,-0.016567,0.112,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026198,0
12,23.1440,11,0.499157,-0.668626,-0.016567,0.499265,-0.668525,-0.016567,0.148,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026139,0
13,23.2454,12,0.499038,-0.668574,-0.016567,0.499180,-0.668322,-0.016567,0.289,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026068,0
14,23.3475,14,0.499390,-0.668353,-0.016567,0.499019,-0.667911,-0.016567,0.577,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026349,0
15,23.4475,15,0.499301,-0.668062,-0.016567,0.498941,-0.667704,-0.016567,0.508,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026549,0
16,23.5530,16,0.498937,-0.667815,-0.016567,0.498865,-0.667494,-0.016567,0.328,-0.856340,-1.945849,-1.761739,-1.033196,1.562343,-2.056393,0.026695,0
