step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,19.5201,0,0.500739,-0.670228,-0.016567,0.500689,-0.670219,-0.016567,0.050,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025012,0
2,19.5817,1,0.500752,-0.670200,-0.016567,0.500572,-0.670185,-0.016567,0.181,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025167,0
3,19.6819,2,0.500592,-0.670026,-0.016567,0.500432,-0.670118,-0.016567,0.185,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025303,0
4,19.7838,3,0.500530,-0.670038,-0.016567,0.500279,-0.670007,-0.016567,0.253,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025485,0
5,19.8847,4,0.500366,-0.670124,-0.016567,0.500127,-0.669853,-0.016567,0.361,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025684,0
6,19.9818,5,0.500011,-0.670044,-0.016567,0.499993,-0.669682,-0.016567,0.362,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025732,0
7,20.0822,6,0.499972,-0.670070,-0.016567,0.499872,-0.669501,-0.016567,0.578,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025885,0
8,20.1842,7,0.499573,-0.669588,-0.016567,0.499761,-0.669313,-0.016567,0.333,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025838,0
9,20.2859,8,0.499665,-0.669286,-0.016567,0.499658,-0.669121,-0.016567,0.166,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.025888,0
10,20.3848,9,0.499691,-0.669286,-0.016567,0.499561,-0.668925,-0.016567,0.384,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026079,0
11,20.4873,10,0.499426,-0.669086,-0.016567,0.499469,-0.668726,-0.016567,0.362,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026108,0
12,20.5946,11,0.499642,-0.668581,-0.016567,0.499381,-0.668525,-0.016567,0.267,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026308,0
13,20.6926,12,0.499570,-0.668511,-0.016567,0.499296,-0.668322,-0.016567,0.333,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026508,0
14,20.7928,13,0.499120,-0.668297,-0.016567,0.499214,-0.668118,-0.016567,0.203,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026508,0
15,20.9013,14,0.498872,-0.667925,-0.016567,0.499135,-0.667911,-0.016567,0.263,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026346,0
16,20.9894,15,0.498884,-0.667859,-0.016567,0.499057,-0.667704,-0.016567,0.233,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026247,0
17,21.1039,16,0.499272,-0.667818,-0.016567,0.498981,-0.667494,-0.016567,0.435,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026349,0
18,21.1912,17,0.499164,-0.667770,-0.016567,0.498906,-0.667284,-0.016567,0.550,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026549,0
19,21.2977,18,0.499275,-0.667596,-0.016567,0.498832,-0.667072,-0.016567,0.687,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026749,0
20,21.3951,19,0.498908,-0.667000,-0.016567,0.498759,-0.666858,-0.016567,0.206,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.026934,0
21,21.4934,20,0.498937,-0.667071,-0.016567,0.498687,-0.666643,-0.016567,0.496,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027134,0
22,21.5914,21,0.498572,-0.666564,-0.016567,0.498615,-0.666426,-0.016567,0.145,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027134,0
23,21.6919,22,0.498894,-0.666178,-0.016567,0.498543,-0.666208,-0.016567,0.351,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027334,0
24,21.8004,23,0.498473,-0.665725,-0.016567,0.498472,-0.665988,-0.016567,0.263,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027334,0
25,21.8992,24,0.498144,-0.665677,-0.016567,0.498401,-0.665767,-0.016567,0.272,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027134,0
26,21.9916,25,0.498195,-0.665587,-0.016567,0.498329,-0.665543,-0.016567,0.141,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027018,0
27,22.0925,26,0.498527,-0.665613,-0.016567,0.498257,-0.665318,-0.016567,0.401,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027102,0
28,22.1996,27,0.498724,-0.665413,-0.016567,0.498184,-0.665091,-0.016567,0.629,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027302,0
29,22.2955,28,0.498824,-0.665113,-0.016567,0.498111,-0.664862,-0.016567,0.756,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027502,0
30,22.3980,30,0.498492,-0.664570,-0.016567,0.497961,-0.664397,-0.016567,0.559,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027855,0
31,22.4978,30,0.498087,-0.664248,-0.016567,0.497961,-0.664397,-0.016567,0.196,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.027742,0
32,22.6000,32,0.498247,-0.664068,-0.016567,0.497805,-0.663923,-0.016567,0.464,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.028094,0
33,22.6970,32,0.498261,-0.663870,-0.016567,0.497805,-0.663923,-0.016567,0.458,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.028142,0
34,22.7993,33,0.498193,-0.663712,-0.016567,0.497725,-0.663682,-0.016567,0.469,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.028342,0
35,22.9004,34,0.498039,-0.663325,-0.016567,0.497642,-0.663439,-0.016567,0.413,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.028542,0
36,22.9966,35,0.497850,-0.662974,-0.016567,0.497557,-0.663192,-0.016567,0.366,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.028686,0
37,23.0973,36,0.497691,-0.662763,-0.016567,0.497468,-0.662942,-0.016567,0.286,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.028768,0
38,23.1969,37,0.497551,-0.662557,-0.016567,0.497375,-0.662689,-0.016567,0.220,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.028820,0
39,23.2921,38,0.497582,-0.662250,-0.016567,0.497278,-0.662432,-0.016567,0.354,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.028968,0
40,23.3961,39,0.497637,-0.662054,-0.016567,0.497174,-0.662171,-0.016567,0.477,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.029168,0
41,23.4970,40,0.497733,-0.661642,-0.016567,0.497065,-0.661907,-0.016567,0.719,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.029369,0
42,23.5982,41,0.497393,-0.661539,-0.016567,0.496948,-0.661646,-0.016567,0.457,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.029571,0
43,23.6936,42,0.497292,-0.661314,-0.016567,0.496824,-0.661389,-0.016567,0.474,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.029773,0
44,23.7955,43,0.497126,-0.661125,-0.016567,0.496690,-0.661136,-0.016567,0.436,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.029975,0
45,23.8956,44,0.496923,-0.660789,-0.016567,0.496542,-0.660892,-0.016567,0.394,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.030177,0
46,23.9949,45,0.496881,-0.660639,-0.016567,0.496375,-0.660660,-0.016567,0.506,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.030379,0
47,24.0960,46,0.496489,-0.660329,-0.016567,0.496179,-0.660452,-0.016567,0.333,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.030505,0
48,24.1935,47,0.496349,-0.660213,-0.016567,0.495940,-0.660298,-0.016567,0.418,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.030707,0
49,24.3246,48,0.496493,-0.660090,-0.016567,0.495660,-0.660259,-0.016567,0.850,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.030910,0
50,24.4232,49,0.496132,-0.660225,-0.016567,0.495396,-0.660361,-0.016567,0.749,-0.856324,-1.945849,-1.761758,-1.033184,1.562352,-2.056427,0.031113,0
