step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,30.0041,0,0.500686,-0.670413,-0.016567,0.500691,-0.670350,-0.016567,0.063,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.024958,0
2,30.0660,0,0.500770,-0.670533,-0.016567,0.500691,-0.670350,-0.016567,0.199,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.024963,0
3,30.1694,2,0.500736,-0.670280,-0.016567,0.500434,-0.670249,-0.016567,0.304,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.025276,0
4,30.2689,3,0.500366,-0.670124,-0.016567,0.500281,-0.670138,-0.016567,0.085,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.025312,0
5,30.3702,4,0.500366,-0.670280,-0.016567,0.500129,-0.669984,-0.016567,0.379,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.025511,0
6,30.4694,5,0.500139,-0.670054,-0.016567,0.499995,-0.669813,-0.016567,0.281,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.025674,0
7,30.5687,6,0.499975,-0.669970,-0.016567,0.499874,-0.669632,-0.016567,0.353,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.025813,0
8,30.6706,7,0.499952,-0.669472,-0.016567,0.499763,-0.669444,-0.016567,0.191,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026013,0
9,30.7731,8,0.499649,-0.669366,-0.016567,0.499660,-0.669252,-0.016567,0.115,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026039,0
10,30.8720,9,0.499604,-0.669183,-0.016567,0.499563,-0.669056,-0.016567,0.134,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026122,0
11,30.9713,10,0.499468,-0.669012,-0.016567,0.499471,-0.668857,-0.016567,0.155,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026167,0
12,31.0737,11,0.499548,-0.668687,-0.016567,0.499383,-0.668656,-0.016567,0.168,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026366,0
13,31.1728,12,0.499278,-0.668625,-0.016567,0.499298,-0.668453,-0.016567,0.173,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026399,0
14,31.2771,13,0.499180,-0.668472,-0.016567,0.499216,-0.668248,-0.016567,0.227,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026424,0
15,31.3778,14,0.499270,-0.668407,-0.016567,0.499137,-0.668042,-0.016567,0.388,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026624,0
16,31.4828,15,0.499022,-0.667829,-0.016567,0.499059,-0.667834,-0.016567,0.038,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026624,0
17,31.5789,16,0.498908,-0.667883,-0.016567,0.498983,-0.667625,-0.016567,0.268,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026616,0
18,31.6791,17,0.498956,-0.667352,-0.016567,0.498908,-0.667415,-0.016567,0.079,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026677,0
19,31.7787,18,0.498872,-0.667167,-0.016567,0.498834,-0.667202,-0.016567,0.051,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026728,0
20,31.8742,19,0.498908,-0.667141,-0.016567,0.498761,-0.666989,-0.016567,0.211,-0.856321,-1.945849,-1.761770,-1.033165,1.562339,-2.056415,0.026914,0
