step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,23.3117,0,0.500616,-0.671618,-0.016567,0.500532,-0.671617,-0.016567,0.084,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.025086,0
2,23.4106,1,0.500493,-0.671665,-0.016567,0.500425,-0.671586,-0.016567,0.104,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.025232,0
3,23.5105,2,0.500504,-0.671647,-0.016567,0.500294,-0.671528,-0.016567,0.242,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.025479,0
4,23.6106,3,0.500250,-0.671498,-0.016567,0.500149,-0.671430,-0.016567,0.122,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.025658,0
5,23.7107,4,0.500348,-0.671466,-0.016567,0.499995,-0.671282,-0.016567,0.398,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026002,0
6,23.8106,5,0.500048,-0.671132,-0.016567,0.499856,-0.671113,-0.016567,0.193,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026268,0
7,23.9106,6,0.499877,-0.671092,-0.016567,0.499731,-0.670930,-0.016567,0.218,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026509,0
8,24.0105,7,0.499320,-0.670942,-0.016567,0.499617,-0.670741,-0.016567,0.359,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026550,0
9,24.1105,8,0.499316,-0.670896,-0.016567,0.499512,-0.670547,-0.016567,0.401,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026589,0
10,24.2111,9,0.499337,-0.670618,-0.016567,0.499413,-0.670349,-0.016567,0.280,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026699,0
11,24.3106,10,0.499024,-0.670415,-0.016567,0.499319,-0.670148,-0.016567,0.398,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026678,0
12,24.4106,11,0.499167,-0.670150,-0.016567,0.499230,-0.669945,-0.016567,0.214,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026795,0
13,24.5106,12,0.499171,-0.670059,-0.016567,0.499144,-0.669740,-0.016567,0.320,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.026968,0
14,24.6106,13,0.499018,-0.669578,-0.016567,0.499061,-0.669534,-0.016567,0.062,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027094,0
15,24.7105,14,0.498798,-0.669343,-0.016567,0.498980,-0.669326,-0.016567,0.183,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027136,0
16,24.8107,15,0.498869,-0.668964,-0.016567,0.498902,-0.669116,-0.016567,0.156,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027264,0
17,24.9105,16,0.498591,-0.668877,-0.016567,0.498825,-0.668906,-0.016567,0.236,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027274,0
18,25.0105,17,0.498598,-0.668721,-0.016567,0.498750,-0.668694,-0.016567,0.154,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027334,0
19,25.1106,18,0.498511,-0.668490,-0.016567,0.498675,-0.668481,-0.016567,0.165,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027387,0
20,25.2108,19,0.498397,-0.668160,-0.016567,0.498602,-0.668267,-0.016567,0.231,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027413,0
21,25.3106,20,0.498338,-0.667996,-0.016567,0.498530,-0.668052,-0.016567,0.200,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027447,0
22,25.4106,21,0.498520,-0.667746,-0.016567,0.498458,-0.667835,-0.016567,0.109,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027634,0
23,25.5106,22,0.498213,-0.667185,-0.016567,0.498386,-0.667617,-0.016567,0.466,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027673,0
24,25.6105,23,0.498033,-0.666972,-0.016567,0.498315,-0.667398,-0.016567,0.511,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027647,0
25,25.7105,24,0.498001,-0.666717,-0.016567,0.498244,-0.667177,-0.016567,0.520,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027644,0
26,25.8105,25,0.498188,-0.666481,-0.016567,0.498173,-0.666956,-0.016567,0.475,-0.856340,-1.945861,-1.761778,-1.033193,1.562352,-2.056415,0.027795,0
