step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,9.2132,0,0.500852,-0.670648,-0.016567,0.500745,-0.670730,-0.016567,0.135,-0.856333,-1.945833,-1.761773,-1.033196,1.562324,-2.056403,0.025064,0
2,9.4591,0,0.500852,-0.670648,-0.016567,0.500745,-0.670730,-0.016567,0.135,-0.856333,-1.945833,-1.761773,-1.033196,1.562324,-2.056403,0.025090,0
3,9.7152,6,0.500765,-0.670822,-0.016567,0.499928,-0.670011,-0.016567,1.166,-0.856520,-1.946064,-1.761359,-1.032848,1.562219,-2.056400,0.025964,0
4,9.9997,8,0.500702,-0.670758,-0.016567,0.499714,-0.669631,-0.016567,1.499,-0.856839,-1.946463,-1.760659,-1.032092,1.561900,-2.056464,0.026317,0
5,10.2808,10,0.500717,-0.670811,-0.016567,0.499525,-0.669236,-0.016567,1.975,-0.856883,-1.946516,-1.760595,-1.031916,1.561847,-2.056460,0.026669,0
6,10.7470,13,0.500663,-0.670195,-0.016567,0.499270,-0.668628,-0.016567,2.097,-0.850445,-1.940116,-1.765997,-1.040667,1.566831,-2.053694,0.027174,0
7,11.2939,20,0.499924,-0.667900,-0.016567,0.498743,-0.667153,-0.016567,1.397,-0.834099,-1.928785,-1.777938,-1.056297,1.578095,-2.047616,0.028289,0
8,11.8080,25,0.499878,-0.667130,-0.016567,0.498385,-0.666053,-0.016567,1.840,-0.826403,-1.926089,-1.781533,-1.060760,1.582219,-2.046259,0.029099,0
9,12.3917,31,0.499627,-0.666227,-0.016567,0.497940,-0.664672,-0.016567,2.295,-0.814668,-1.923730,-1.786011,-1.067210,1.588521,-2.046778,0.030062,0
10,12.9551,36,0.499719,-0.664463,-0.016567,0.497524,-0.663452,-0.016567,2.416,-0.798323,-1.923795,-1.787044,-1.071050,1.595878,-2.044913,0.030872,0
11,13.4585,42,0.499750,-0.663260,-0.016567,0.496881,-0.661899,-0.016567,3.176,-0.784493,-1.922969,-1.789027,-1.075353,1.602504,-2.040954,0.031831,0
12,14.0352,47,0.499931,-0.662241,-0.016567,0.495996,-0.660808,-0.016567,4.188,-0.776738,-1.923575,-1.787595,-1.075661,1.606098,-2.042236,0.032573,0
13,14.5404,53,0.499718,-0.661304,-0.016567,0.494757,-0.661766,-0.016567,4.983,-0.769100,-1.925514,-1.785828,-1.074798,1.606406,-2.043358,0.033317,0
14,14.8763,58,0.499840,-0.661038,-0.016567,0.494184,-0.663075,-0.016567,6.012,-0.766379,-1.926541,-1.785504,-1.074957,1.603504,-2.044337,0.033851,0
15,15.4501,61,0.499431,-0.661026,-0.016567,0.493893,-0.663882,-0.016567,6.230,-0.767625,-1.927021,-1.785058,-1.075525,1.599388,-2.045547,0.034192,0
16,15.9978,67,0.498801,-0.662800,-0.016567,0.493357,-0.665511,-0.016567,6.082,-0.781283,-1.927599,-1.782343,-1.073768,1.587418,-2.047804,0.034698,0
17,16.5341,73,0.498418,-0.663814,-0.016567,0.492829,-0.667144,-0.016567,6.506,-0.791499,-1.928119,-1.779881,-1.071345,1.581568,-2.048767,0.035188,0
18,17.1595,78,0.497895,-0.665667,-0.016567,0.492351,-0.668491,-0.016567,6.222,-0.808235,-1.931473,-1.774278,-1.065424,1.570897,-2.050892,0.035641,0
19,17.6709,84,0.497510,-0.667182,-0.016567,0.491622,-0.670041,-0.016567,6.546,-0.823785,-1.935747,-1.767480,-1.058240,1.559371,-2.053308,0.036223,0
20,18.1981,89,0.497274,-0.668701,-0.016567,0.490498,-0.670844,-0.016567,7.107,-0.834002,-1.940076,-1.761117,-1.051259,1.551153,-2.055145,0.036815,0
21,18.7008,94,0.496890,-0.670029,-0.016567,0.489651,-0.671973,-0.016567,7.495,-0.843344,-1.945238,-1.753867,-1.043582,1.543035,-2.057011,0.037494,0
22,19.2367,100,0.496779,-0.670990,-0.016567,0.489005,-0.673561,-0.016567,8.188,-0.853151,-1.952491,-1.744990,-1.034185,1.534481,-2.059235,0.038380,0
23,19.7467,105,0.496772,-0.672248,-0.016567,0.488550,-0.674913,-0.016567,8.644,-0.859595,-1.958532,-1.737067,-1.025902,1.527968,-2.060603,0.039179,0
24,20.3184,110,0.496823,-0.673188,-0.016567,0.488127,-0.676229,-0.016567,9.213,-0.864966,-1.965055,-1.728369,-1.016842,1.521442,-2.061625,0.039989,0
25,20.9233,116,0.496631,-0.674415,-0.016567,0.487616,-0.677768,-0.016567,9.619,-0.868202,-1.972601,-1.717773,-1.006300,1.514676,-2.063146,0.040952,0
26,21.5362,122,0.496608,-0.675275,-0.016567,0.487023,-0.679281,-0.016567,10.388,-0.866537,-1.978538,-1.709433,-0.997941,1.510131,-2.065223,0.041914,0
27,22.0955,128,0.496350,-0.676371,-0.016567,0.486067,-0.680635,-0.016567,11.132,-0.861231,-1.985067,-1.700557,-0.989429,1.509020,-2.062982,0.042878,0
