step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,6.3955,0,0.500366,-0.670815,-0.016567,0.500425,-0.670781,-0.016567,0.069,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.024906,0
2,6.5891,3,0.500448,-0.670872,-0.016567,0.500015,-0.670568,-0.016567,0.528,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.025275,0
3,6.7861,5,0.500395,-0.670745,-0.016567,0.499729,-0.670243,-0.016567,0.833,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.025626,0
4,6.9884,6,0.500366,-0.670815,-0.016567,0.499608,-0.670062,-0.016567,1.068,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.025826,0
5,7.1996,9,0.500338,-0.670117,-0.016567,0.499297,-0.669486,-0.016567,1.217,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.026331,0
6,7.4175,11,0.500251,-0.669439,-0.016567,0.499117,-0.669086,-0.016567,1.188,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.026684,0
7,7.6330,12,0.499710,-0.669143,-0.016567,0.499032,-0.668883,-0.016567,0.726,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.026884,0
8,7.8498,15,0.499318,-0.668624,-0.016567,0.498793,-0.668265,-0.016567,0.636,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.027389,0
9,8.0751,17,0.499354,-0.668337,-0.016567,0.498642,-0.667845,-0.016567,0.866,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.027741,0
10,8.5412,19,0.499055,-0.667909,-0.016567,0.498495,-0.667419,-0.016567,0.744,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.028094,0
11,8.7629,24,0.498861,-0.667177,-0.016567,0.498137,-0.666328,-0.016567,1.116,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.028904,0
12,8.9705,26,0.498992,-0.666848,-0.016567,0.497993,-0.665879,-0.016567,1.392,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.029256,0
13,9.1841,28,0.498503,-0.666111,-0.016567,0.497847,-0.665423,-0.016567,0.951,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.029609,0
14,9.4310,30,0.498402,-0.665093,-0.016567,0.497697,-0.664958,-0.016567,0.717,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.029961,0
15,9.9136,33,0.498414,-0.664229,-0.016567,0.497461,-0.664243,-0.016567,0.953,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.030466,0
16,10.1401,38,0.498382,-0.663441,-0.016567,0.497014,-0.662993,-0.016567,1.440,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.031276,0
17,10.3696,40,0.498362,-0.663318,-0.016567,0.496801,-0.662469,-0.016567,1.777,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.031630,0
18,10.6043,42,0.498094,-0.662873,-0.016567,0.496561,-0.661950,-0.016567,1.790,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.031981,0
19,11.0763,45,0.498253,-0.661589,-0.016567,0.496111,-0.661221,-0.016567,2.173,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.032461,0
20,11.2964,49,0.498305,-0.660738,-0.016567,0.495132,-0.660923,-0.016567,3.178,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.033034,0
21,11.5624,52,0.498296,-0.660537,-0.016567,0.494577,-0.661568,-0.016567,3.859,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.033448,0
22,11.8126,54,0.498039,-0.660094,-0.016567,0.494308,-0.662072,-0.016567,4.223,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.033744,0
23,12.0451,57,0.497708,-0.660126,-0.016567,0.493967,-0.662859,-0.016567,4.633,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.034111,0
24,12.5248,59,0.497380,-0.660459,-0.016567,0.493764,-0.663394,-0.016567,4.657,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.034387,0
25,12.7506,64,0.496744,-0.661417,-0.016567,0.493301,-0.664746,-0.016567,4.789,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.034849,0
26,12.9715,66,0.496519,-0.661827,-0.016567,0.493125,-0.665290,-0.016567,4.849,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.035108,0
27,13.2461,68,0.496101,-0.662674,-0.016567,0.492950,-0.665835,-0.016567,4.463,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.035367,0
28,13.5075,71,0.495562,-0.664773,-0.016567,0.492687,-0.666651,-0.016567,3.433,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.035682,0
29,13.7534,73,0.495401,-0.665487,-0.016567,0.492509,-0.667195,-0.016567,3.358,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.035941,0
30,13.9971,76,0.495204,-0.665881,-0.016567,0.492230,-0.668006,-0.016567,3.654,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.036263,0
31,14.4823,78,0.494819,-0.667006,-0.016567,0.492031,-0.668542,-0.016567,3.183,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.036528,0
32,14.7404,83,0.494795,-0.667931,-0.016567,0.491448,-0.669846,-0.016567,3.856,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.037028,0
33,15.0036,86,0.494377,-0.668489,-0.016567,0.490947,-0.670538,-0.016567,3.995,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.037404,0
34,15.2783,88,0.494403,-0.669258,-0.016567,0.490445,-0.670795,-0.016567,4.246,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.037702,0
35,15.5540,91,0.494135,-0.670108,-0.016567,0.489767,-0.671286,-0.016567,4.524,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.038125,0
36,15.8240,94,0.494025,-0.670895,-0.016567,0.489331,-0.672024,-0.016567,4.828,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.038571,0
37,16.3475,97,0.493715,-0.671591,-0.016567,0.488987,-0.672809,-0.016567,4.883,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.039037,0
38,16.6094,102,0.493896,-0.673099,-0.016567,0.488498,-0.674153,-0.016567,5.500,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.039811,0
39,16.9099,104,0.493547,-0.673534,-0.016567,0.488318,-0.674695,-0.016567,5.357,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.040161,0
40,17.1990,107,0.493374,-0.673779,-0.016567,0.488059,-0.675496,-0.016567,5.586,-0.856348,-1.945837,-1.761766,-1.033168,1.562367,-2.056397,0.040666,0
