step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.4882,0,0.500937,-0.670265,-0.016567,0.500904,-0.670240,-0.016567,0.042,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.024996,0
2,21.5513,0,0.500937,-0.670265,-0.016567,0.500904,-0.670240,-0.016567,0.042,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.024952,0
3,21.6528,2,0.500937,-0.670265,-0.016567,0.500647,-0.670139,-0.016567,0.316,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.025265,0
4,21.7566,3,0.500967,-0.670284,-0.016567,0.500494,-0.670028,-0.016567,0.538,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.025447,0
5,21.8542,4,0.500688,-0.670104,-0.016567,0.500342,-0.669874,-0.016567,0.416,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.025647,0
6,21.9525,5,0.500366,-0.670124,-0.016567,0.500208,-0.669703,-0.016567,0.450,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.025829,0
7,22.0516,6,0.500194,-0.669944,-0.016567,0.500086,-0.669522,-0.016567,0.436,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.025974,0
8,22.1614,7,0.500030,-0.669470,-0.016567,0.499976,-0.669334,-0.016567,0.146,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026070,0
9,22.2550,8,0.499984,-0.669393,-0.016567,0.499873,-0.669141,-0.016567,0.275,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026232,0
10,22.3550,9,0.499567,-0.669273,-0.016567,0.499775,-0.668946,-0.016567,0.388,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026194,0
11,22.4556,10,0.499549,-0.669110,-0.016567,0.499683,-0.668747,-0.016567,0.387,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026134,0
12,22.5565,11,0.499729,-0.668756,-0.016567,0.499595,-0.668546,-0.016567,0.249,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026274,0
13,22.6657,12,0.499526,-0.668705,-0.016567,0.499511,-0.668343,-0.016567,0.363,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026365,0
14,22.7652,13,0.499401,-0.668530,-0.016567,0.499429,-0.668138,-0.016567,0.393,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026418,0
15,22.8577,14,0.499429,-0.668212,-0.016567,0.499349,-0.667932,-0.016567,0.291,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026573,0
16,22.9604,15,0.499294,-0.667955,-0.016567,0.499271,-0.667724,-0.016567,0.232,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026675,0
17,23.0574,16,0.499037,-0.667780,-0.016567,0.499195,-0.667515,-0.016567,0.309,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026610,0
18,23.1582,17,0.498992,-0.667345,-0.016567,0.499120,-0.667304,-0.016567,0.135,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026563,0
19,23.2598,18,0.499167,-0.667241,-0.016567,0.499047,-0.667092,-0.016567,0.192,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026716,0
20,23.3597,19,0.499158,-0.667168,-0.016567,0.498974,-0.666879,-0.016567,0.343,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.026916,0
21,23.4655,20,0.499036,-0.667128,-0.016567,0.498901,-0.666663,-0.016567,0.484,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027116,0
22,23.5633,21,0.498810,-0.666584,-0.016567,0.498830,-0.666447,-0.016567,0.138,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027181,0
23,23.6565,22,0.498646,-0.666444,-0.016567,0.498758,-0.666229,-0.016567,0.242,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027159,0
24,23.7572,23,0.498659,-0.666296,-0.016567,0.498687,-0.666009,-0.016567,0.289,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027221,0
25,23.8605,24,0.498880,-0.665820,-0.016567,0.498615,-0.665787,-0.016567,0.266,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027421,0
26,23.9593,25,0.498770,-0.665500,-0.016567,0.498543,-0.665564,-0.016567,0.235,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027621,0
27,24.0615,26,0.498338,-0.664996,-0.016567,0.498471,-0.665339,-0.016567,0.367,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027621,0
28,24.1593,27,0.498386,-0.664980,-0.016567,0.498399,-0.665111,-0.016567,0.132,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027685,0
29,24.2596,28,0.498420,-0.664872,-0.016567,0.498325,-0.664882,-0.016567,0.095,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.027857,0
30,24.3599,29,0.498385,-0.664445,-0.016567,0.498251,-0.664651,-0.016567,0.246,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028057,0
31,24.4589,30,0.498313,-0.664326,-0.016567,0.498175,-0.664418,-0.016567,0.165,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028257,0
32,24.5575,31,0.498206,-0.664258,-0.016567,0.498099,-0.664182,-0.016567,0.131,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028439,0
33,24.6590,32,0.498191,-0.663770,-0.016567,0.498020,-0.663944,-0.016567,0.244,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028639,0
34,24.7603,33,0.497757,-0.663359,-0.016567,0.497940,-0.663703,-0.016567,0.389,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028639,0
35,24.8589,34,0.497680,-0.663138,-0.016567,0.497857,-0.663459,-0.016567,0.367,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028552,0
36,24.9604,35,0.497663,-0.662758,-0.016567,0.497771,-0.663212,-0.016567,0.467,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028501,0
37,25.0589,36,0.497672,-0.662789,-0.016567,0.497682,-0.662963,-0.016567,0.174,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028552,0
38,25.1611,37,0.497843,-0.662714,-0.016567,0.497590,-0.662709,-0.016567,0.254,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028752,0
39,25.2626,38,0.497878,-0.662540,-0.016567,0.497493,-0.662452,-0.016567,0.395,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.028952,0
40,25.3610,39,0.497940,-0.662055,-0.016567,0.497389,-0.662191,-0.016567,0.568,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.029152,0
41,25.4755,40,0.497601,-0.661329,-0.016567,0.497279,-0.661928,-0.016567,0.680,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.029354,0
42,25.5605,41,0.497515,-0.660984,-0.016567,0.497163,-0.661667,-0.016567,0.768,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.029556,0
43,25.6610,42,0.497598,-0.660835,-0.016567,0.497039,-0.661409,-0.016567,0.801,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.029758,0
44,25.7602,43,0.497426,-0.660430,-0.016567,0.496905,-0.661157,-0.016567,0.894,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.029960,0
45,25.8570,44,0.497286,-0.660526,-0.016567,0.496757,-0.660912,-0.016567,0.655,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.030162,0
46,25.9574,45,0.496839,-0.660508,-0.016567,0.496590,-0.660681,-0.016567,0.303,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.030364,0
47,26.0580,46,0.497014,-0.660468,-0.016567,0.496394,-0.660472,-0.016567,0.620,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.030566,0
48,26.1582,47,0.496797,-0.659918,-0.016567,0.496155,-0.660318,-0.016567,0.756,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.030768,0
49,26.2565,48,0.496578,-0.660025,-0.016567,0.495875,-0.660280,-0.016567,0.748,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.030971,0
50,26.3567,49,0.496157,-0.659834,-0.016567,0.495611,-0.660382,-0.016567,0.774,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.031174,0
51,26.4604,50,0.496248,-0.659537,-0.016567,0.495394,-0.660568,-0.016567,1.338,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.031376,0
52,26.5577,51,0.495909,-0.659320,-0.016567,0.495213,-0.660789,-0.016567,1.626,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.031579,0
53,26.6618,52,0.496026,-0.659447,-0.016567,0.495056,-0.661027,-0.016567,1.855,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.031781,0
54,26.7584,53,0.495480,-0.659707,-0.016567,0.494915,-0.661276,-0.016567,1.668,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.031983,0
55,26.8563,54,0.495015,-0.659854,-0.016567,0.494786,-0.661532,-0.016567,1.694,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.032130,0
56,26.9560,55,0.495087,-0.660019,-0.016567,0.494666,-0.661791,-0.016567,1.821,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.032332,0
57,27.0556,56,0.494866,-0.660290,-0.016567,0.494553,-0.662054,-0.016567,1.791,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.032534,0
58,27.1564,57,0.494417,-0.660500,-0.016567,0.494446,-0.662319,-0.016567,1.819,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.032536,0
59,27.2575,58,0.494313,-0.660619,-0.016567,0.494342,-0.662585,-0.016567,1.967,-0.856333,-1.945833,-1.761751,-1.033180,1.562336,-2.056400,0.032430,0
