step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,22.5294,0,0.498852,-0.670890,-0.016567,0.498880,-0.670866,-0.016567,0.037,-0.856333,-1.945825,-1.761763,-1.033193,1.562355,-2.056409,0.025200,0
2,22.6300,1,0.498865,-0.670802,-0.016567,0.498715,-0.670719,-0.016567,0.171,-0.856340,-1.945807,-1.761837,-1.033205,1.562348,-2.056409,0.025400,0
3,22.7306,2,0.498514,-0.670006,-0.016567,0.498563,-0.670583,-0.016567,0.580,-0.854788,-1.944300,-1.763858,-1.035426,1.563910,-2.056037,0.025570,0
4,22.8311,3,0.498297,-0.669874,-0.016567,0.498412,-0.670449,-0.016567,0.587,-0.852534,-1.941692,-1.767165,-1.039011,1.566384,-2.055534,0.025685,0
5,22.9316,4,0.497987,-0.669962,-0.016567,0.498263,-0.670315,-0.016567,0.448,-0.853243,-1.940714,-1.766465,-1.039379,1.565832,-2.055507,0.025687,0
6,23.0322,5,0.498156,-0.670042,-0.016567,0.498114,-0.670183,-0.016567,0.147,-0.853695,-1.939964,-1.765809,-1.038950,1.565428,-2.055565,0.025887,0
7,23.1327,6,0.497971,-0.670044,-0.016567,0.497967,-0.670051,-0.016567,0.008,-0.853016,-1.939462,-1.766925,-1.040050,1.566367,-2.055531,0.026087,0
8,23.2332,7,0.497902,-0.669843,-0.016567,0.497820,-0.669920,-0.016567,0.113,-0.851157,-1.937868,-1.769265,-1.042553,1.567969,-2.055091,0.026287,0
9,23.3338,8,0.497531,-0.669793,-0.016567,0.497673,-0.669789,-0.016567,0.143,-0.849337,-1.936279,-1.770909,-1.044333,1.569728,-2.054671,0.026412,0
10,23.4344,9,0.497598,-0.669833,-0.016567,0.497528,-0.669659,-0.016567,0.188,-0.847832,-1.935341,-1.773221,-1.046764,1.571273,-2.054323,0.026612,0
11,23.5350,10,0.497477,-0.669487,-0.016567,0.497382,-0.669529,-0.016567,0.104,-0.846691,-1.934431,-1.774512,-1.048063,1.572321,-2.054036,0.026812,0
12,23.6355,11,0.497197,-0.669071,-0.016567,0.497238,-0.669400,-0.016567,0.331,-0.844496,-1.933425,-1.777125,-1.050545,1.574430,-2.053608,0.027000,0
13,23.7362,12,0.497070,-0.668809,-0.016567,0.497094,-0.669272,-0.016567,0.464,-0.843699,-1.932809,-1.778345,-1.051759,1.575215,-2.053428,0.027192,0
14,23.8367,13,0.496879,-0.668798,-0.016567,0.496951,-0.669144,-0.016567,0.354,-0.843767,-1.932573,-1.778097,-1.051675,1.575099,-2.053431,0.027342,0
15,23.9372,14,0.496658,-0.668722,-0.016567,0.496808,-0.669017,-0.016567,0.331,-0.844027,-1.932104,-1.777791,-1.051663,1.575003,-2.053401,0.027432,0
16,24.0378,15,0.496480,-0.668584,-0.016567,0.496666,-0.668890,-0.016567,0.358,-0.843811,-1.931464,-1.778456,-1.052544,1.575434,-2.053384,0.027505,0
17,24.1383,16,0.496423,-0.668248,-0.016567,0.496525,-0.668763,-0.016567,0.525,-0.842394,-1.930183,-1.780063,-1.054193,1.576893,-2.053054,0.027659,0
18,24.2388,17,0.496132,-0.667870,-0.016567,0.496384,-0.668638,-0.016567,0.807,-0.841714,-1.929272,-1.780438,-1.055003,1.577447,-2.052877,0.027686,0
19,24.3394,18,0.495964,-0.668161,-0.016567,0.496243,-0.668512,-0.016567,0.448,-0.841661,-1.928727,-1.780545,-1.055351,1.577442,-2.052821,0.027728,0
20,24.4400,19,0.496041,-0.668322,-0.016567,0.496103,-0.668387,-0.016567,0.090,-0.841702,-1.928083,-1.780103,-1.055291,1.577463,-2.052817,0.027928,0
21,24.5407,20,0.496080,-0.667831,-0.016567,0.495963,-0.668262,-0.016567,0.447,-0.840923,-1.927224,-1.781298,-1.056672,1.578582,-2.052637,0.028128,0
22,24.6414,21,0.495886,-0.667818,-0.016567,0.495824,-0.668138,-0.016567,0.326,-0.838802,-1.926382,-1.783519,-1.058836,1.580554,-2.052214,0.028328,0
23,24.7421,22,0.495747,-0.667126,-0.016567,0.495686,-0.668014,-0.016567,0.891,-0.837570,-1.925527,-1.784480,-1.059778,1.581592,-2.052011,0.028528,0
