step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,15.0006,0,0.500090,-0.671567,-0.016567,0.500023,-0.671480,-0.016567,0.110,-0.856333,-1.945837,-1.761778,-1.033177,1.562327,-2.056412,0.025200,0
2,15.1012,1,0.500011,-0.671526,-0.016567,0.499858,-0.671333,-0.016567,0.246,-0.856324,-1.945800,-1.761802,-1.033196,1.562352,-2.056397,0.025400,0
3,15.2018,2,0.499767,-0.671300,-0.016567,0.499706,-0.671197,-0.016567,0.120,-0.855391,-1.944943,-1.763100,-1.034528,1.563207,-2.056248,0.025600,0
4,15.3023,3,0.499606,-0.670776,-0.016567,0.499555,-0.671063,-0.016567,0.291,-0.853049,-1.942745,-1.766224,-1.037823,1.565743,-2.055661,0.025800,0
5,15.4028,4,0.499467,-0.669837,-0.016567,0.499406,-0.670929,-0.016567,1.093,-0.851403,-1.940755,-1.769011,-1.040948,1.567417,-2.055262,0.025978,0
6,15.5034,5,0.499077,-0.670049,-0.016567,0.499257,-0.670797,-0.016567,0.769,-0.851682,-1.940220,-1.768802,-1.041117,1.567221,-2.055202,0.025976,0
7,15.6040,6,0.499084,-0.670508,-0.016567,0.499110,-0.670665,-0.016567,0.159,-0.853618,-1.939564,-1.767278,-1.040358,1.566153,-2.055433,0.026165,0
8,15.7045,7,0.498802,-0.670061,-0.016567,0.498963,-0.670533,-0.016567,0.498,-0.854679,-1.938476,-1.767449,-1.040885,1.565280,-2.055570,0.026207,0
9,15.8050,8,0.498624,-0.669890,-0.016567,0.498816,-0.670403,-0.016567,0.547,-0.852095,-1.936973,-1.770179,-1.043623,1.567695,-2.055198,0.026244,0
10,15.9055,9,0.498575,-0.669842,-0.016567,0.498670,-0.670272,-0.016567,0.441,-0.850295,-1.935701,-1.771615,-1.045268,1.569456,-2.054818,0.026388,0
11,16.0060,10,0.498507,-0.669618,-0.016567,0.498525,-0.670143,-0.016567,0.525,-0.850412,-1.934718,-1.771799,-1.045891,1.569249,-2.054711,0.026580,0
12,16.1065,11,0.498316,-0.669716,-0.016567,0.498381,-0.670014,-0.016567,0.305,-0.849737,-1.933889,-1.773257,-1.047677,1.570280,-2.054498,0.026750,0
13,16.2070,12,0.498311,-0.669566,-0.016567,0.498237,-0.669886,-0.016567,0.328,-0.848718,-1.932869,-1.774685,-1.049032,1.571314,-2.054294,0.026950,0
14,16.3075,13,0.497967,-0.669846,-0.016567,0.498094,-0.669758,-0.016567,0.154,-0.847683,-1.931808,-1.775704,-1.050185,1.572060,-2.053958,0.027102,0
15,16.4080,14,0.498001,-0.669397,-0.016567,0.497951,-0.669630,-0.016567,0.239,-0.846042,-1.931149,-1.777400,-1.051965,1.574010,-2.053701,0.027302,0
16,16.5085,15,0.497733,-0.669169,-0.016567,0.497809,-0.669503,-0.016567,0.343,-0.844076,-1.930107,-1.779105,-1.053555,1.575210,-2.053236,0.027438,0
17,16.6090,16,0.497556,-0.669089,-0.016567,0.497668,-0.669377,-0.016567,0.309,-0.842558,-1.929659,-1.780505,-1.054927,1.576813,-2.053060,0.027557,0
18,16.7096,17,0.497294,-0.668565,-0.016567,0.497527,-0.669251,-0.016567,0.725,-0.842584,-1.929225,-1.781132,-1.055500,1.577079,-2.052961,0.027530,0
19,16.8102,18,0.497543,-0.668707,-0.016567,0.497386,-0.669126,-0.016567,0.447,-0.842634,-1.928661,-1.781574,-1.056101,1.576882,-2.052877,0.027730,0
20,16.9107,19,0.497381,-0.668595,-0.016567,0.497246,-0.669001,-0.016567,0.427,-0.842332,-1.928095,-1.782734,-1.057387,1.577767,-2.052751,0.027930,0
21,17.0112,20,0.497240,-0.668674,-0.016567,0.497106,-0.668876,-0.016567,0.242,-0.842645,-1.927440,-1.782821,-1.057685,1.577271,-2.052738,0.028130,0
22,17.1117,21,0.497026,-0.668680,-0.016567,0.496967,-0.668752,-0.016567,0.093,-0.841564,-1.926853,-1.784086,-1.058974,1.578804,-2.052550,0.028330,0
23,17.2122,22,0.496814,-0.668462,-0.016567,0.496829,-0.668628,-0.016567,0.166,-0.840166,-1.925995,-1.785321,-1.060365,1.579551,-2.052239,0.028530,0
24,17.3127,23,0.496417,-0.668356,-0.016567,0.496690,-0.668505,-0.016567,0.311,-0.838897,-1.925559,-1.786278,-1.061143,1.580865,-2.052008,0.028530,0
25,17.4133,24,0.496553,-0.667845,-0.016567,0.496553,-0.668381,-0.016567,0.537,-0.837197,-1.925012,-1.787602,-1.062507,1.582468,-2.051715,0.028715,0
26,17.5138,25,0.496264,-0.667825,-0.016567,0.496415,-0.668259,-0.016567,0.459,-0.836605,-1.924502,-1.788423,-1.063337,1.582715,-2.051532,0.028790,0
27,17.6143,26,0.496110,-0.667162,-0.016567,0.496278,-0.668137,-0.016567,0.989,-0.836584,-1.924079,-1.788874,-1.063673,1.583200,-2.051470,0.028772,0
28,17.7148,27,0.496257,-0.667576,-0.016567,0.496142,-0.668015,-0.016567,0.454,-0.836976,-1.923667,-1.789261,-1.064279,1.582888,-2.051470,0.028972,0
29,17.8154,28,0.496007,-0.667097,-0.016567,0.496005,-0.667893,-0.016567,0.796,-0.837898,-1.923412,-1.789333,-1.064659,1.582828,-2.051532,0.029130,0
30,17.9159,29,0.495829,-0.667137,-0.016567,0.495869,-0.667772,-0.016567,0.636,-0.838103,-1.922757,-1.789778,-1.065253,1.582244,-2.051547,0.029277,0
