step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,15.5792,0,0.499317,-0.671489,-0.016567,0.499254,-0.671421,-0.016567,0.093,-0.856336,-1.945837,-1.761801,-1.033184,1.562324,-2.056415,0.025023,0
2,15.6829,1,0.499319,-0.671508,-0.016567,0.499090,-0.671274,-0.016567,0.328,-0.856360,-1.945825,-1.761794,-1.033184,1.562339,-2.056409,0.025175,0
3,15.7869,3,0.499080,-0.670569,-0.016567,0.498787,-0.671003,-0.016567,0.524,-0.855925,-1.945354,-1.762352,-1.033782,1.562616,-2.056407,0.025369,0
4,15.8913,3,0.498972,-0.670713,-0.016567,0.498787,-0.671003,-0.016567,0.344,-0.855155,-1.944639,-1.763409,-1.034916,1.563591,-2.056157,0.025531,0
5,15.9947,4,0.498898,-0.670042,-0.016567,0.498638,-0.670870,-0.016567,0.868,-0.853873,-1.942919,-1.765108,-1.036959,1.564972,-2.055849,0.025711,0
6,16.0985,6,0.498493,-0.669977,-0.016567,0.498341,-0.670605,-0.016567,0.646,-0.853393,-1.940464,-1.765981,-1.039054,1.565484,-2.055575,0.025860,0
7,16.2020,7,0.498382,-0.669832,-0.016567,0.498194,-0.670474,-0.016567,0.669,-0.853349,-1.939269,-1.765870,-1.039343,1.565753,-2.055558,0.026020,0
8,16.3064,8,0.498046,-0.670042,-0.016567,0.498048,-0.670343,-0.016567,0.301,-0.853352,-1.938208,-1.765950,-1.039975,1.565964,-2.055495,0.026125,0
9,16.4102,9,0.498104,-0.669921,-0.016567,0.497902,-0.670213,-0.016567,0.355,-0.853080,-1.936851,-1.766436,-1.041207,1.566528,-2.055448,0.026294,0
10,16.5139,10,0.497945,-0.670028,-0.016567,0.497757,-0.670084,-0.016567,0.196,-0.852525,-1.935302,-1.766994,-1.042150,1.567164,-2.055269,0.026462,0
11,16.6185,10,0.497891,-0.669852,-0.016567,0.497757,-0.670084,-0.016567,0.268,-0.851982,-1.934487,-1.767588,-1.042980,1.567715,-2.055130,0.026610,0
12,16.7228,12,0.497534,-0.669890,-0.016567,0.497469,-0.669827,-0.016567,0.090,-0.850724,-1.932733,-1.768971,-1.044960,1.568932,-2.054807,0.026742,0
13,16.8269,13,0.497342,-0.669954,-0.016567,0.497326,-0.669699,-0.016567,0.256,-0.850095,-1.931963,-1.769686,-1.045822,1.569640,-2.054635,0.026860,0
14,16.9307,14,0.497282,-0.670094,-0.016567,0.497183,-0.669571,-0.016567,0.531,-0.849172,-1.930937,-1.770574,-1.046900,1.570601,-2.054432,0.027007,0
15,17.0339,15,0.497140,-0.669863,-0.016567,0.497041,-0.669444,-0.016567,0.430,-0.848330,-1.930314,-1.771734,-1.048178,1.571530,-2.054243,0.027153,0
16,17.1377,16,0.497147,-0.669635,-0.016567,0.496899,-0.669318,-0.016567,0.402,-0.846814,-1.929301,-1.773321,-1.049755,1.572713,-2.053920,0.027345,0
17,17.2417,17,0.497017,-0.669429,-0.016567,0.496758,-0.669192,-0.016567,0.351,-0.845229,-1.928550,-1.775305,-1.051606,1.574418,-2.053599,0.027539,0
18,17.3458,18,0.496649,-0.669123,-0.016567,0.496618,-0.669067,-0.016567,0.064,-0.843928,-1.927688,-1.776742,-1.053120,1.575455,-2.053284,0.027661,0
19,17.4495,19,0.496551,-0.668768,-0.016567,0.496478,-0.668941,-0.016567,0.188,-0.842969,-1.926966,-1.777769,-1.054143,1.576455,-2.053078,0.027792,0
20,17.5529,20,0.496393,-0.668609,-0.016567,0.496338,-0.668817,-0.016567,0.215,-0.842067,-1.926278,-1.778830,-1.055440,1.577463,-2.052893,0.027918,0
21,17.6572,21,0.496330,-0.668342,-0.016567,0.496199,-0.668693,-0.016567,0.374,-0.841554,-1.925595,-1.779456,-1.056035,1.577747,-2.052745,0.028066,0
22,17.7612,22,0.496029,-0.668079,-0.016567,0.496060,-0.668569,-0.016567,0.491,-0.841161,-1.924968,-1.779660,-1.056401,1.578348,-2.052653,0.028162,0
23,17.8651,23,0.496028,-0.667911,-0.016567,0.495922,-0.668445,-0.016567,0.545,-0.840761,-1.924170,-1.779888,-1.057247,1.578687,-2.052553,0.028301,0
24,17.9698,24,0.496099,-0.668125,-0.016567,0.495784,-0.668322,-0.016567,0.372,-0.840699,-1.923604,-1.779752,-1.057264,1.578879,-2.052506,0.028501,0
25,18.0747,25,0.495727,-0.667758,-0.016567,0.495647,-0.668200,-0.016567,0.449,-0.840687,-1.922980,-1.779625,-1.057563,1.578900,-2.052479,0.028632,0
