step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,17.3688,0,0.500685,-0.671311,-0.016567,0.500539,-0.671264,-0.016567,0.153,-0.856333,-1.945837,-1.761781,-1.033212,1.562364,-2.056409,0.025049,0
2,17.4741,1,0.500893,-0.671363,-0.016567,0.500375,-0.671117,-0.016567,0.574,-0.856352,-1.945758,-1.761821,-1.033173,1.562324,-2.056415,0.025249,0
3,17.5780,2,0.500395,-0.670793,-0.016567,0.500223,-0.670981,-0.016567,0.255,-0.856069,-1.945493,-1.762169,-1.033643,1.562526,-2.056400,0.025403,0
4,17.6839,3,0.500448,-0.670741,-0.016567,0.500072,-0.670846,-0.016567,0.390,-0.854943,-1.944392,-1.763689,-1.035339,1.563895,-2.056085,0.025603,0
5,17.7884,4,0.499843,-0.670757,-0.016567,0.499922,-0.670713,-0.016567,0.091,-0.853409,-1.942001,-1.766244,-1.038206,1.565556,-2.055696,0.025686,0
6,17.8926,5,0.499789,-0.670542,-0.016567,0.499774,-0.670580,-0.016567,0.041,-0.852874,-1.940544,-1.767565,-1.040098,1.566120,-2.055474,0.025795,0
7,17.9967,6,0.499751,-0.670110,-0.016567,0.499626,-0.670448,-0.016567,0.360,-0.852653,-1.940228,-1.767958,-1.040522,1.566408,-2.055405,0.025926,0
8,18.1002,7,0.499640,-0.670042,-0.016567,0.499479,-0.670317,-0.016567,0.318,-0.850891,-1.938519,-1.770179,-1.042980,1.568437,-2.054995,0.026071,0
9,18.2036,8,0.499467,-0.670054,-0.016567,0.499333,-0.670186,-0.016567,0.189,-0.850479,-1.937254,-1.771384,-1.044346,1.568781,-2.054812,0.026214,0
10,18.3072,9,0.499377,-0.669836,-0.016567,0.499187,-0.670056,-0.016567,0.291,-0.850301,-1.936412,-1.771826,-1.045260,1.569091,-2.054746,0.026368,0
11,18.4115,10,0.499050,-0.669788,-0.016567,0.499042,-0.669927,-0.016567,0.139,-0.849653,-1.935437,-1.772741,-1.046266,1.570021,-2.054579,0.026469,0
12,18.5154,11,0.499107,-0.669272,-0.016567,0.498898,-0.669798,-0.016567,0.566,-0.848926,-1.934527,-1.774085,-1.047798,1.570861,-2.054384,0.026613,0
13,18.6195,12,0.498835,-0.669173,-0.016567,0.498754,-0.669669,-0.016567,0.503,-0.848279,-1.933417,-1.774999,-1.048837,1.571429,-2.054183,0.026718,0
14,18.7239,13,0.498867,-0.668782,-0.016567,0.498611,-0.669542,-0.016567,0.802,-0.848101,-1.932550,-1.775746,-1.050065,1.571911,-2.054084,0.026862,0
15,18.8283,14,0.498782,-0.668644,-0.016567,0.498468,-0.669414,-0.016567,0.832,-0.848111,-1.931620,-1.776112,-1.050657,1.571866,-2.054009,0.027022,0
16,18.9338,15,0.498408,-0.668864,-0.016567,0.498326,-0.669287,-0.016567,0.432,-0.848366,-1.930826,-1.776399,-1.051200,1.572013,-2.054015,0.027128,0
17,19.0410,17,0.498495,-0.668855,-0.016567,0.498043,-0.669035,-0.016567,0.487,-0.849046,-1.929895,-1.776758,-1.052037,1.571885,-2.054015,0.027328,0
18,19.1454,18,0.498123,-0.669113,-0.016567,0.497903,-0.668909,-0.016567,0.299,-0.849052,-1.929077,-1.777308,-1.052967,1.572038,-2.053985,0.027511,0
19,19.2496,19,0.497910,-0.669330,-0.016567,0.497763,-0.668784,-0.016567,0.565,-0.848515,-1.928211,-1.778435,-1.054082,1.572670,-2.053797,0.027693,0
20,19.3533,20,0.497611,-0.669204,-0.016567,0.497623,-0.668660,-0.016567,0.544,-0.847339,-1.927392,-1.779472,-1.055271,1.574018,-2.053536,0.027827,0
21,19.4569,21,0.497596,-0.669104,-0.016567,0.497484,-0.668536,-0.016567,0.579,-0.845797,-1.926798,-1.781024,-1.056735,1.575105,-2.053228,0.028002,0
22,19.5627,21,0.497589,-0.668948,-0.016567,0.497484,-0.668536,-0.016567,0.426,-0.844446,-1.926353,-1.782059,-1.057729,1.576270,-2.052973,0.028163,0
23,19.6676,22,0.497488,-0.668525,-0.016567,0.497345,-0.668412,-0.016567,0.182,-0.842427,-1.925592,-1.783512,-1.059070,1.578193,-2.052610,0.028317,0
24,19.7723,24,0.497362,-0.668428,-0.016567,0.497069,-0.668165,-0.016567,0.393,-0.840038,-1.924682,-1.785800,-1.061314,1.580163,-2.052155,0.028517,0
25,19.8775,25,0.497223,-0.668206,-0.016567,0.496932,-0.668043,-0.016567,0.334,-0.839593,-1.924293,-1.786278,-1.061678,1.580520,-2.052033,0.028717,0
26,19.9830,26,0.496790,-0.668372,-0.016567,0.496795,-0.667920,-0.016567,0.451,-0.839083,-1.923915,-1.786808,-1.062476,1.580935,-2.051894,0.028853,0
27,20.0885,27,0.497082,-0.667780,-0.016567,0.496658,-0.667798,-0.016567,0.425,-0.837855,-1.923460,-1.788219,-1.063792,1.582540,-2.051682,0.029053,0
28,20.1926,28,0.496323,-0.667679,-0.016567,0.496522,-0.667677,-0.016567,0.199,-0.836781,-1.922852,-1.789128,-1.064520,1.583080,-2.051412,0.029096,0
29,20.2972,29,0.496328,-0.667061,-0.016567,0.496386,-0.667555,-0.016567,0.498,-0.835530,-1.922421,-1.790345,-1.065908,1.584539,-2.051203,0.029144,0
30,20.4014,30,0.496415,-0.667318,-0.016567,0.496251,-0.667434,-0.016567,0.202,-0.835449,-1.921867,-1.790644,-1.066134,1.584368,-2.051073,0.029288,0
31,20.5058,31,0.496599,-0.667089,-0.016567,0.496115,-0.667314,-0.016567,0.533,-0.835127,-1.921556,-1.791465,-1.067098,1.585015,-2.051023,0.029488,0
32,20.6097,32,0.496214,-0.666933,-0.016567,0.495981,-0.667193,-0.016567,0.350,-0.835197,-1.921044,-1.791900,-1.067534,1.584977,-2.050951,0.029641,0
33,20.7147,34,0.495980,-0.666925,-0.016567,0.495712,-0.666954,-0.016567,0.269,-0.834915,-1.920610,-1.792518,-1.068328,1.585580,-2.050833,0.029823,0
34,20.8191,35,0.496065,-0.666631,-0.016567,0.495578,-0.666834,-0.016567,0.527,-0.834927,-1.920217,-1.792718,-1.068611,1.585508,-2.050777,0.030023,0
35,20.9240,36,0.495870,-0.666231,-0.016567,0.495445,-0.666715,-0.016567,0.644,-0.834517,-1.919825,-1.793533,-1.069477,1.586100,-2.050684,0.030211,0
36,21.0281,37,0.495358,-0.666219,-0.016567,0.495312,-0.666596,-0.016567,0.379,-0.834324,-1.919346,-1.794033,-1.070108,1.586281,-2.050573,0.030294,0
37,21.1325,38,0.495225,-0.666234,-0.016567,0.495179,-0.666477,-0.016567,0.248,-0.834677,-1.918926,-1.794112,-1.070296,1.586237,-2.050577,0.030390,0
38,21.2363,38,0.495246,-0.666445,-0.016567,0.495179,-0.666477,-0.016567,0.075,-0.834955,-1.918719,-1.794148,-1.070491,1.586090,-2.050592,0.030511,0
39,21.3401,39,0.495252,-0.666345,-0.016567,0.495046,-0.666359,-0.016567,0.207,-0.835026,-1.918383,-1.794632,-1.071145,1.586137,-2.050577,0.030673,0
40,21.4437,41,0.494884,-0.666389,-0.016567,0.494782,-0.666123,-0.016567,0.285,-0.834096,-1.917760,-1.795674,-1.072144,1.587012,-2.050325,0.030834,0
41,21.5477,42,0.494774,-0.666353,-0.016567,0.494650,-0.666005,-0.016567,0.370,-0.833330,-1.917463,-1.796178,-1.072655,1.587761,-2.050165,0.031009,0
42,21.6513,43,0.494572,-0.666288,-0.016567,0.494518,-0.665888,-0.016567,0.404,-0.832812,-1.917204,-1.796605,-1.073201,1.588161,-2.050049,0.031166,0
43,21.7550,44,0.494497,-0.666159,-0.016567,0.494387,-0.665770,-0.016567,0.404,-0.831686,-1.916971,-1.797391,-1.073861,1.589294,-2.049854,0.031340,0
44,21.8589,45,0.494451,-0.665753,-0.016567,0.494256,-0.665653,-0.016567,0.220,-0.830433,-1.916581,-1.798196,-1.074494,1.590170,-2.049615,0.031509,0
45,21.9634,46,0.494261,-0.665715,-0.016567,0.494125,-0.665537,-0.016567,0.224,-0.828861,-1.916189,-1.799258,-1.075585,1.591594,-2.049349,0.031672,0
