step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,28.8343,0,0.500701,-0.670719,-0.016567,0.500568,-0.670698,-0.016567,0.134,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.025088,0
2,28.9384,2,0.500757,-0.670750,-0.016567,0.500185,-0.670424,-0.016567,0.658,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.025288,0
3,29.0477,3,0.500559,-0.670739,-0.016567,0.499997,-0.670290,-0.016567,0.719,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.025488,0
4,29.1434,4,0.500261,-0.670826,-0.016567,0.499812,-0.670158,-0.016567,0.805,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.025688,0
5,29.2425,5,0.500160,-0.670861,-0.016567,0.499629,-0.670027,-0.016567,0.988,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.025888,0
6,29.3431,6,0.499957,-0.670371,-0.016567,0.499448,-0.669897,-0.016567,0.696,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.026088,0
7,29.5050,7,0.499794,-0.670335,-0.016567,0.499267,-0.669768,-0.016567,0.774,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.026288,0
8,29.5463,8,0.499535,-0.670865,-0.016567,0.499087,-0.669640,-0.016567,1.305,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.026488,0
9,29.6447,9,0.499498,-0.670364,-0.016567,0.498907,-0.669511,-0.016567,1.038,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.026688,0
10,29.7391,10,0.499136,-0.670011,-0.016567,0.498728,-0.669383,-0.016567,0.749,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.026888,0
11,29.8403,11,0.498872,-0.670157,-0.016567,0.498549,-0.669255,-0.016567,0.957,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.027088,0
12,29.9406,12,0.498494,-0.669928,-0.016567,0.498371,-0.669128,-0.016567,0.810,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.027288,0
13,30.0365,13,0.498318,-0.669622,-0.016567,0.498193,-0.669001,-0.016567,0.633,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.027488,0
14,30.1370,14,0.498199,-0.669596,-0.016567,0.498016,-0.668875,-0.016567,0.744,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.027688,0
15,30.2857,15,0.498077,-0.669569,-0.016567,0.497840,-0.668749,-0.016567,0.853,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.027888,0
16,30.3365,16,0.497820,-0.669594,-0.016567,0.497664,-0.668624,-0.016567,0.983,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.028088,0
17,30.4384,17,0.497689,-0.669493,-0.016567,0.497489,-0.668499,-0.016567,1.014,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.028288,0
18,30.5380,18,0.497372,-0.669594,-0.016567,0.497315,-0.668374,-0.016567,1.222,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.028476,0
19,30.6387,19,0.497090,-0.669608,-0.016567,0.497141,-0.668250,-0.016567,1.359,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.028650,0
20,30.7388,20,0.496911,-0.669604,-0.016567,0.496968,-0.668126,-0.016567,1.479,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.028839,0
21,30.8476,21,0.496879,-0.669762,-0.016567,0.496795,-0.668002,-0.016567,1.761,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.029039,0
22,30.9362,22,0.496658,-0.669811,-0.016567,0.496622,-0.667879,-0.016567,1.932,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.029239,0
23,31.0573,23,0.496337,-0.669594,-0.016567,0.496450,-0.667757,-0.016567,1.841,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.029416,0
24,31.1423,24,0.496231,-0.669563,-0.016567,0.496279,-0.667634,-0.016567,1.930,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.029616,0
25,31.2372,25,0.495850,-0.669419,-0.016567,0.496108,-0.667512,-0.016567,1.924,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.029772,0
26,31.3368,26,0.495770,-0.669309,-0.016567,0.495938,-0.667391,-0.016567,1.925,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.029972,0
27,31.4383,27,0.495824,-0.669486,-0.016567,0.495768,-0.667269,-0.016567,2.217,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.030172,0
28,31.5357,28,0.495444,-0.669376,-0.016567,0.495599,-0.667148,-0.016567,2.233,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.030372,0
29,31.6360,29,0.495173,-0.669388,-0.016567,0.495430,-0.667028,-0.016567,2.374,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.030552,0
30,31.7360,30,0.495262,-0.669107,-0.016567,0.495262,-0.666908,-0.016567,2.199,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.030752,0
31,31.8641,31,0.495149,-0.669195,-0.016567,0.495094,-0.666788,-0.016567,2.408,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.030952,0
32,31.9744,32,0.494862,-0.668894,-0.016567,0.494926,-0.666668,-0.016567,2.227,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.031152,0
33,32.0437,33,0.494788,-0.669452,-0.016567,0.494759,-0.666548,-0.016567,2.904,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.031352,0
34,32.1470,34,0.494449,-0.669185,-0.016567,0.494592,-0.666429,-0.016567,2.760,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.031552,0
35,32.2394,35,0.494050,-0.669074,-0.016567,0.494426,-0.666310,-0.016567,2.790,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.031701,0
36,32.3400,36,0.493846,-0.669309,-0.016567,0.494259,-0.666192,-0.016567,3.145,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.031898,0
37,32.4377,37,0.493603,-0.669402,-0.016567,0.494094,-0.666073,-0.016567,3.365,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.032086,0
38,32.5386,38,0.493431,-0.669366,-0.016567,0.493928,-0.665955,-0.016567,3.448,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.032277,0
39,32.6376,39,0.493316,-0.669414,-0.016567,0.493763,-0.665837,-0.016567,3.605,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.032477,0
40,32.7379,40,0.493196,-0.669367,-0.016567,0.493598,-0.665719,-0.016567,3.670,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.032677,0
41,32.8369,41,0.492843,-0.669610,-0.016567,0.493433,-0.665601,-0.016567,4.052,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.032870,0
42,32.9356,42,0.492806,-0.669584,-0.016567,0.493268,-0.665484,-0.016567,4.126,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.033070,0
43,33.0354,43,0.492451,-0.669553,-0.016567,0.493104,-0.665366,-0.016567,4.237,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.033254,0
44,33.1383,44,0.492292,-0.669519,-0.016567,0.492940,-0.665249,-0.016567,4.319,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.033448,0
45,33.2380,45,0.492192,-0.669513,-0.016567,0.492776,-0.665132,-0.016567,4.420,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.033648,0
46,33.3381,46,0.492305,-0.669531,-0.016567,0.492612,-0.665015,-0.016567,4.526,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.033848,0
47,33.4400,47,0.491870,-0.669475,-0.016567,0.492448,-0.664898,-0.016567,4.614,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.034048,0
48,33.5363,48,0.491753,-0.669354,-0.016567,0.492285,-0.664781,-0.016567,4.603,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.034248,0
49,33.6400,49,0.491386,-0.669578,-0.016567,0.492122,-0.664665,-0.016567,4.968,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.034435,0
50,33.7363,50,0.491156,-0.669608,-0.016567,0.491959,-0.664548,-0.016567,5.123,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.034620,0
51,33.8352,51,0.491279,-0.669405,-0.016567,0.491796,-0.664432,-0.016567,5.000,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.034820,0
52,33.9349,52,0.491162,-0.669563,-0.016567,0.491633,-0.664316,-0.016567,5.269,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.035020,0
53,34.0355,53,0.490622,-0.669376,-0.016567,0.491470,-0.664199,-0.016567,5.245,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.035194,0
54,34.1358,54,0.490613,-0.669365,-0.016567,0.491308,-0.664083,-0.016567,5.328,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.035394,0
55,34.2358,55,0.490444,-0.669352,-0.016567,0.491145,-0.663967,-0.016567,5.430,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.035594,0
56,34.3350,56,0.490310,-0.669388,-0.016567,0.490983,-0.663851,-0.016567,5.577,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.035794,0
57,34.4363,57,0.490157,-0.669364,-0.016567,0.490821,-0.663735,-0.016567,5.668,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.035994,0
58,34.5425,58,0.489880,-0.669560,-0.016567,0.490658,-0.663619,-0.016567,5.992,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.036194,0
59,34.6357,59,0.489670,-0.669486,-0.016567,0.490496,-0.663503,-0.016567,6.039,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.036394,0
60,34.7383,60,0.489611,-0.670114,-0.016567,0.490334,-0.663387,-0.016567,6.766,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.036594,0
61,34.8361,61,0.489359,-0.669526,-0.016567,0.490171,-0.663271,-0.016567,6.307,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.036794,0
62,34.9396,62,0.489351,-0.670093,-0.016567,0.490008,-0.663155,-0.016567,6.969,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.036994,0
63,35.0371,63,0.488888,-0.669634,-0.016567,0.489845,-0.663039,-0.016567,6.665,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.037194,0
64,35.1372,64,0.488884,-0.669745,-0.016567,0.489682,-0.662922,-0.016567,6.870,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.037394,0
65,35.2373,65,0.488734,-0.669550,-0.016567,0.489519,-0.662806,-0.016567,6.790,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.037594,0
66,35.3371,66,0.488428,-0.669644,-0.016567,0.489356,-0.662689,-0.016567,7.016,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.037794,0
67,35.4373,67,0.488284,-0.669582,-0.016567,0.489192,-0.662572,-0.016567,7.069,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.037994,0
68,35.5401,68,0.487858,-0.670218,-0.016567,0.489027,-0.662454,-0.016567,7.851,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.038194,0
69,35.6422,69,0.487641,-0.670203,-0.016567,0.488863,-0.662337,-0.016567,7.960,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.038394,0
70,35.7379,70,0.487592,-0.669643,-0.016567,0.488698,-0.662219,-0.016567,7.505,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.038579,0
71,35.8389,71,0.487355,-0.670335,-0.016567,0.488534,-0.662102,-0.016567,8.317,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.038779,0
72,35.9449,72,0.487193,-0.669979,-0.016567,0.488370,-0.661985,-0.016567,8.080,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.038979,0
73,36.0413,73,0.487097,-0.669766,-0.016567,0.488206,-0.661870,-0.016567,7.973,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039179,0
74,36.1379,74,0.486795,-0.670101,-0.016567,0.488041,-0.661761,-0.016567,8.432,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039375,0
75,36.2374,75,0.486473,-0.670144,-0.016567,0.487878,-0.661653,-0.016567,8.607,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039558,0
76,36.3428,76,0.486391,-0.670140,-0.016567,0.487707,-0.661558,-0.016567,8.682,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039758,0
77,36.4383,77,0.486258,-0.669955,-0.016567,0.487534,-0.661464,-0.016567,8.587,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039958,0
78,36.5474,78,0.486335,-0.669967,-0.016567,0.487340,-0.661397,-0.016567,8.628,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040158,0
79,36.6386,79,0.486030,-0.670069,-0.016567,0.487118,-0.661366,-0.016567,8.771,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040318,0
80,36.7395,80,0.485741,-0.669641,-0.016567,0.486882,-0.661484,-0.016567,8.236,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040278,0
81,36.8356,81,0.485714,-0.669541,-0.016567,0.486754,-0.661747,-0.016567,7.864,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040238,0
82,36.9369,82,0.485593,-0.669605,-0.016567,0.486694,-0.662037,-0.016567,7.648,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040162,0
83,37.0359,83,0.485742,-0.669581,-0.016567,0.486663,-0.662334,-0.016567,7.306,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040125,0
84,37.1367,84,0.485688,-0.669620,-0.016567,0.486653,-0.662631,-0.016567,7.055,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040048,0
85,37.2346,85,0.485459,-0.669465,-0.016567,0.486649,-0.662929,-0.016567,6.643,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039929,0
86,37.3367,86,0.485938,-0.670132,-0.016567,0.486649,-0.663227,-0.016567,6.941,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039937,0
87,37.4408,87,0.486180,-0.669894,-0.016567,0.486649,-0.663525,-0.016567,6.386,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040137,0
88,37.5392,88,0.485803,-0.669802,-0.016567,0.486649,-0.663823,-0.016567,6.038,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040137,0
89,37.6373,89,0.485826,-0.669786,-0.016567,0.486649,-0.664121,-0.016567,5.724,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.040043,0
90,37.7363,90,0.485777,-0.669604,-0.016567,0.486649,-0.664419,-0.016567,5.258,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039931,0
91,37.8351,91,0.485838,-0.669626,-0.016567,0.486649,-0.664717,-0.016567,4.975,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039849,0
92,37.9346,92,0.485848,-0.669620,-0.016567,0.486649,-0.665015,-0.016567,4.674,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039764,0
93,38.1176,93,0.485779,-0.669543,-0.016567,0.486649,-0.665313,-0.016567,4.318,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039663,0
94,38.1395,94,0.486076,-0.669955,-0.016567,0.486649,-0.665611,-0.016567,4.381,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039653,0
95,38.2370,95,0.486245,-0.669861,-0.016567,0.486649,-0.665909,-0.016567,3.972,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039617,0
96,38.3348,96,0.485780,-0.670124,-0.016567,0.486649,-0.666207,-0.016567,4.012,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039470,0
97,38.4357,97,0.485914,-0.669955,-0.016567,0.486649,-0.666505,-0.016567,3.528,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039402,0
98,38.5381,98,0.486153,-0.669890,-0.016567,0.486649,-0.666803,-0.016567,3.126,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039379,0
99,38.6378,99,0.486020,-0.670140,-0.016567,0.486649,-0.667101,-0.016567,3.104,-0.856328,-1.945856,-1.761778,-1.033186,1.562320,-2.056397,0.039305,0
