step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.8467,0,0.499644,-0.670015,-0.016567,0.499616,-0.669964,-0.016567,0.058,-0.856355,-1.945840,-1.761754,-1.033200,1.562336,-2.056412,0.025200,0
2,20.9475,1,0.499560,-0.670045,-0.016567,0.499426,-0.669829,-0.016567,0.255,-0.856077,-1.945606,-1.762025,-1.033391,1.562551,-2.056376,0.025400,0
3,21.0480,2,0.499370,-0.670013,-0.016567,0.499233,-0.669691,-0.016567,0.351,-0.855099,-1.944791,-1.762910,-1.034526,1.563426,-2.056197,0.025600,0
4,21.1485,3,0.499170,-0.669714,-0.016567,0.499044,-0.669556,-0.016567,0.202,-0.851898,-1.942794,-1.765315,-1.037367,1.565804,-2.055602,0.025800,0
5,21.2490,4,0.498999,-0.669272,-0.016567,0.498859,-0.669424,-0.016567,0.207,-0.848689,-1.941470,-1.767939,-1.040298,1.568272,-2.055007,0.026000,0
6,21.3494,5,0.499005,-0.668932,-0.016567,0.498677,-0.669294,-0.016567,0.489,-0.847819,-1.941341,-1.768573,-1.040841,1.568700,-2.054851,0.026200,0
7,21.4501,6,0.498444,-0.668953,-0.016567,0.498495,-0.669164,-0.016567,0.217,-0.847112,-1.940659,-1.768282,-1.040873,1.568866,-2.054702,0.026400,0
8,21.5506,7,0.498134,-0.669252,-0.016567,0.498314,-0.669035,-0.016567,0.282,-0.846832,-1.940294,-1.767987,-1.040957,1.568893,-2.054678,0.026544,0
9,21.6511,8,0.498072,-0.669214,-0.016567,0.498134,-0.668906,-0.016567,0.315,-0.845602,-1.939437,-1.768628,-1.042518,1.569937,-2.054404,0.026744,0
10,21.7516,9,0.498001,-0.669052,-0.016567,0.497954,-0.668778,-0.016567,0.278,-0.843994,-1.938857,-1.770012,-1.043767,1.571141,-2.054096,0.026944,0
11,21.8521,10,0.498031,-0.668455,-0.016567,0.497775,-0.668650,-0.016567,0.322,-0.840979,-1.937809,-1.772267,-1.045838,1.573169,-2.053569,0.027144,0
12,21.9526,11,0.497686,-0.668355,-0.016567,0.497596,-0.668522,-0.016567,0.189,-0.839017,-1.937393,-1.773846,-1.047496,1.574367,-2.053245,0.027344,0
13,22.0532,12,0.497281,-0.668513,-0.016567,0.497418,-0.668395,-0.016567,0.181,-0.838937,-1.937246,-1.772517,-1.046918,1.573855,-2.053170,0.027522,0
14,22.1538,13,0.497134,-0.668540,-0.016567,0.497241,-0.668268,-0.016567,0.292,-0.838451,-1.936998,-1.772746,-1.047139,1.574057,-2.053177,0.027722,0
15,22.2543,14,0.497075,-0.668480,-0.016567,0.497064,-0.668142,-0.016567,0.339,-0.837264,-1.936595,-1.774010,-1.048281,1.574941,-2.052898,0.027922,0
16,22.3549,15,0.496847,-0.668168,-0.016567,0.496888,-0.668016,-0.016567,0.158,-0.833946,-1.935488,-1.775884,-1.050313,1.577051,-2.052338,0.028122,0
17,22.4554,16,0.496622,-0.667913,-0.016567,0.496712,-0.667890,-0.016567,0.092,-0.832722,-1.935353,-1.776805,-1.051320,1.577867,-2.052122,0.028322,0
18,22.5559,17,0.496623,-0.667763,-0.016567,0.496537,-0.667765,-0.016567,0.086,-0.831658,-1.935309,-1.777308,-1.051882,1.578066,-2.051913,0.028522,0
19,22.6564,18,0.496301,-0.667597,-0.016567,0.496362,-0.667640,-0.016567,0.075,-0.831170,-1.935222,-1.777132,-1.051878,1.578183,-2.051783,0.028722,0
20,22.7569,19,0.496267,-0.667284,-0.016567,0.496188,-0.667516,-0.016567,0.245,-0.830196,-1.934905,-1.777176,-1.052484,1.578606,-2.051639,0.028922,0
21,22.8576,20,0.495856,-0.667842,-0.016567,0.496015,-0.667392,-0.016567,0.477,-0.829353,-1.934662,-1.777212,-1.052869,1.578915,-2.051523,0.029083,0
22,22.9582,21,0.495981,-0.667831,-0.016567,0.495842,-0.667269,-0.016567,0.579,-0.828880,-1.934283,-1.776781,-1.052836,1.578819,-2.051439,0.029283,0
23,23.0588,22,0.495476,-0.667731,-0.016567,0.495670,-0.667146,-0.016567,0.616,-0.826344,-1.933820,-1.778858,-1.054872,1.580554,-2.050924,0.029424,0
24,23.1595,23,0.495350,-0.666920,-0.016567,0.495498,-0.667023,-0.016567,0.180,-0.824124,-1.933452,-1.780795,-1.056564,1.582363,-2.050553,0.029593,0
25,23.2600,24,0.495325,-0.666336,-0.016567,0.495327,-0.666901,-0.016567,0.564,-0.821654,-1.933186,-1.782348,-1.057991,1.583292,-2.050145,0.029793,0
