step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,21.7800,0,0.500767,-0.670365,-0.016567,0.500706,-0.670365,-0.016567,0.061,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.025002,0
2,21.8500,1,0.500808,-0.670407,-0.016567,0.500549,-0.670365,-0.016567,0.262,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.025187,0
3,21.9528,2,0.500604,-0.670182,-0.016567,0.500400,-0.670365,-0.016567,0.274,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.025376,0
4,22.0518,3,0.500556,-0.670380,-0.016567,0.500259,-0.670365,-0.016567,0.298,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.025576,0
5,22.1551,5,0.500108,-0.670908,-0.016567,0.499967,-0.670365,-0.016567,0.561,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.025894,0
6,22.2598,6,0.500014,-0.670375,-0.016567,0.499822,-0.670365,-0.016567,0.192,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.026093,0
7,22.3508,7,0.499596,-0.670343,-0.016567,0.499676,-0.670365,-0.016567,0.084,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.026093,0
8,22.4514,7,0.499635,-0.670165,-0.016567,0.499676,-0.670365,-0.016567,0.204,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.025906,0
9,22.5510,8,0.499757,-0.670337,-0.016567,0.499530,-0.670365,-0.016567,0.228,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.026074,0
10,22.6536,9,0.499759,-0.670210,-0.016567,0.499385,-0.670365,-0.016567,0.405,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.026274,0
11,22.7512,10,0.499311,-0.670199,-0.016567,0.499239,-0.670365,-0.016567,0.181,-0.856336,-1.945821,-1.761770,-1.033208,1.562367,-2.056393,0.026355,0
