step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.9799,0,0.500637,-0.670426,-0.016567,0.500500,-0.670456,-0.016567,0.141,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.025075,0
2,21.0486,1,0.500505,-0.670521,-0.016567,0.500343,-0.670456,-0.016567,0.174,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.025184,0
3,21.1601,3,0.500506,-0.670278,-0.016567,0.500053,-0.670456,-0.016567,0.487,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.025532,0
4,21.2509,4,0.500202,-0.670423,-0.016567,0.499908,-0.670456,-0.016567,0.296,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.025732,0
5,21.3504,5,0.499925,-0.670307,-0.016567,0.499761,-0.670456,-0.016567,0.222,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.025900,0
6,21.4509,6,0.499847,-0.670463,-0.016567,0.499615,-0.670456,-0.016567,0.231,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026100,0
7,21.5493,7,0.499470,-0.670414,-0.016567,0.499470,-0.670456,-0.016567,0.042,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026113,0
8,21.6488,8,0.499482,-0.670452,-0.016567,0.499324,-0.670456,-0.016567,0.159,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026278,0
9,21.7506,9,0.499385,-0.670478,-0.016567,0.499178,-0.670456,-0.016567,0.208,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026478,0
10,21.8505,9,0.499340,-0.670443,-0.016567,0.499178,-0.670456,-0.016567,0.162,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026493,0
11,21.9511,11,0.498729,-0.670463,-0.016567,0.498886,-0.670456,-0.016567,0.157,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026616,0
12,22.0511,12,0.498729,-0.670463,-0.016567,0.498740,-0.670456,-0.016567,0.013,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026618,0
13,22.1501,13,0.498690,-0.670437,-0.016567,0.498594,-0.670456,-0.016567,0.098,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026723,0
14,22.2513,14,0.498751,-0.670397,-0.016567,0.498447,-0.670456,-0.016567,0.309,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.026923,0
15,22.3514,15,0.498624,-0.670504,-0.016567,0.498301,-0.670456,-0.016567,0.327,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.027123,0
16,22.4516,16,0.498536,-0.670769,-0.016567,0.498154,-0.670456,-0.016567,0.494,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.027323,0
17,22.5512,16,0.498434,-0.670445,-0.016567,0.498154,-0.670456,-0.016567,0.281,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.027369,0
18,22.6571,18,0.497986,-0.671164,-0.016567,0.497860,-0.670456,-0.016567,0.719,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.027665,0
19,22.7521,19,0.498034,-0.671161,-0.016567,0.497712,-0.670456,-0.016567,0.775,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.027865,0
20,22.8515,20,0.497811,-0.671162,-0.016567,0.497565,-0.670456,-0.016567,0.747,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.028065,0
21,22.9524,21,0.497528,-0.671266,-0.016567,0.497417,-0.670456,-0.016567,0.818,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.028188,0
22,23.0516,22,0.497247,-0.671197,-0.016567,0.497269,-0.670456,-0.016567,0.741,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.028182,0
23,23.1532,23,0.497247,-0.671197,-0.016567,0.497120,-0.670456,-0.016567,0.751,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.028318,0
24,23.2528,23,0.497335,-0.671089,-0.016567,0.497120,-0.670456,-0.016567,0.668,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.028364,0
25,23.3526,25,0.497235,-0.670979,-0.016567,0.496823,-0.670456,-0.016567,0.666,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.028718,0
26,23.4529,26,0.496872,-0.671024,-0.016567,0.496674,-0.670456,-0.016567,0.601,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.028918,0
27,23.5520,27,0.496804,-0.670963,-0.016567,0.496525,-0.670456,-0.016567,0.578,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.029118,0
28,23.6512,28,0.496513,-0.670485,-0.016567,0.496376,-0.670456,-0.016567,0.140,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.029261,0
29,23.7504,29,0.496348,-0.670449,-0.016567,0.496226,-0.670456,-0.016567,0.122,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.029389,0
30,23.8534,30,0.496363,-0.671043,-0.016567,0.496077,-0.670456,-0.016567,0.653,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.029589,0
31,23.9507,31,0.496159,-0.671004,-0.016567,0.495927,-0.670456,-0.016567,0.595,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.029789,0
32,24.0524,32,0.495774,-0.670990,-0.016567,0.495777,-0.670456,-0.016567,0.534,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.029794,0
33,24.1526,33,0.495751,-0.671209,-0.016567,0.495627,-0.670456,-0.016567,0.762,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.029921,0
34,24.2514,34,0.495665,-0.671266,-0.016567,0.495477,-0.670456,-0.016567,0.832,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.030111,0
35,24.3517,35,0.495355,-0.671199,-0.016567,0.495327,-0.670456,-0.016567,0.744,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.030146,0
36,24.4529,36,0.495528,-0.671139,-0.016567,0.495177,-0.670456,-0.016567,0.767,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.030346,0
37,24.5530,37,0.495336,-0.671243,-0.016567,0.495027,-0.670456,-0.016567,0.846,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.030546,0
38,24.6535,38,0.495171,-0.671155,-0.016567,0.494877,-0.670456,-0.016567,0.758,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.030746,0
39,24.7515,39,0.495041,-0.671238,-0.016567,0.494727,-0.670456,-0.016567,0.842,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.030946,0
40,24.8506,40,0.494573,-0.671212,-0.016567,0.494576,-0.670456,-0.016567,0.755,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.030950,0
41,24.9521,41,0.494573,-0.671282,-0.016567,0.494426,-0.670456,-0.016567,0.839,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.031098,0
42,25.0526,42,0.494543,-0.671178,-0.016567,0.494276,-0.670456,-0.016567,0.770,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.031298,0
43,25.1514,43,0.494235,-0.671167,-0.016567,0.494126,-0.670456,-0.016567,0.719,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.031411,0
44,25.2514,44,0.494246,-0.671271,-0.016567,0.493976,-0.670456,-0.016567,0.858,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.031611,0
45,25.3522,45,0.494045,-0.671276,-0.016567,0.493827,-0.670456,-0.016567,0.848,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.031811,0
46,25.4523,46,0.493871,-0.671341,-0.016567,0.493677,-0.670456,-0.016567,0.905,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.032006,0
47,25.5523,47,0.493355,-0.671686,-0.016567,0.493528,-0.670456,-0.016567,1.242,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.032001,0
48,25.6526,48,0.493341,-0.671803,-0.016567,0.493378,-0.670456,-0.016567,1.348,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.031970,0
49,25.7523,49,0.493330,-0.671716,-0.016567,0.493229,-0.670456,-0.016567,1.264,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.032074,0
50,25.8533,50,0.493314,-0.671705,-0.016567,0.493080,-0.670456,-0.016567,1.271,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.032274,0
51,25.9538,51,0.493362,-0.671725,-0.016567,0.492931,-0.670456,-0.016567,1.340,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.032474,0
52,26.0534,52,0.493194,-0.671597,-0.016567,0.492782,-0.670456,-0.016567,1.213,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.032674,0
53,26.1520,53,0.492850,-0.671526,-0.016567,0.492633,-0.670456,-0.016567,1.091,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.032874,0
54,26.2542,54,0.492699,-0.671353,-0.016567,0.492485,-0.670456,-0.016567,0.922,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.033074,0
55,26.3520,55,0.492435,-0.671410,-0.016567,0.492336,-0.670456,-0.016567,0.959,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.033180,0
56,26.4530,56,0.492301,-0.671396,-0.016567,0.492187,-0.670456,-0.016567,0.947,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.033300,0
57,26.5548,57,0.492193,-0.671346,-0.016567,0.492038,-0.670456,-0.016567,0.903,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.033461,0
58,26.6547,58,0.492015,-0.671684,-0.016567,0.491889,-0.670456,-0.016567,1.234,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.033594,0
59,26.7527,59,0.491932,-0.671779,-0.016567,0.491740,-0.670456,-0.016567,1.337,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.033792,0
60,26.8524,60,0.491818,-0.671951,-0.016567,0.491591,-0.670456,-0.016567,1.512,-0.856324,-1.945837,-1.761739,-1.033203,1.562371,-2.056400,0.033992,0
