step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,18.9010,0,0.499956,-0.669863,-0.016567,0.499956,-0.669860,-0.016567,0.003,-0.856340,-1.945833,-1.761766,-1.033172,1.562352,-2.056385,0.025200,0
2,19.0015,1,0.499643,-0.670009,-0.016567,0.499801,-0.669860,-0.016567,0.217,-0.856436,-1.945406,-1.761703,-1.033335,1.562312,-2.056412,0.025269,0
3,19.1019,2,0.499754,-0.670009,-0.016567,0.499650,-0.669860,-0.016567,0.181,-0.857487,-1.941506,-1.760440,-1.035182,1.561315,-2.056885,0.025469,0
4,19.2024,3,0.499456,-0.670064,-0.016567,0.499506,-0.669860,-0.016567,0.209,-0.858026,-1.938233,-1.760139,-1.036823,1.560860,-2.057185,0.025669,0
5,19.3029,4,0.499198,-0.670061,-0.016567,0.499359,-0.669860,-0.016567,0.257,-0.857766,-1.939568,-1.761041,-1.036799,1.561415,-2.057206,0.025770,0
6,19.4034,5,0.499171,-0.670025,-0.016567,0.499210,-0.669860,-0.016567,0.169,-0.857703,-1.940264,-1.760806,-1.036172,1.561331,-2.057191,0.025970,0
7,19.5039,6,0.498876,-0.670025,-0.016567,0.499061,-0.669860,-0.016567,0.248,-0.857551,-1.940207,-1.760705,-1.036143,1.561491,-2.057170,0.026053,0
8,19.6044,7,0.498870,-0.669917,-0.016567,0.498913,-0.669860,-0.016567,0.071,-0.857655,-1.940259,-1.760741,-1.036187,1.561551,-2.057119,0.026253,0
9,19.7050,8,0.498670,-0.669886,-0.016567,0.498765,-0.669860,-0.016567,0.098,-0.857954,-1.940519,-1.760662,-1.035900,1.561448,-2.057167,0.026411,0
10,19.8055,9,0.498430,-0.670025,-0.016567,0.498616,-0.669860,-0.016567,0.249,-0.858593,-1.940859,-1.760044,-1.035081,1.561043,-2.057367,0.026497,0
11,19.9059,10,0.498184,-0.670025,-0.016567,0.498468,-0.669860,-0.016567,0.327,-0.858933,-1.941078,-1.759549,-1.034735,1.560655,-2.057482,0.026519,0
12,20.0064,11,0.498197,-0.670035,-0.016567,0.498319,-0.669860,-0.016567,0.213,-0.858918,-1.941121,-1.759685,-1.034775,1.560691,-2.057491,0.026696,0
13,20.1071,12,0.498124,-0.670035,-0.016567,0.498170,-0.669860,-0.016567,0.181,-0.858969,-1.941121,-1.759700,-1.034756,1.560691,-2.057491,0.026896,0
14,20.2077,13,0.497973,-0.670064,-0.016567,0.498021,-0.669860,-0.016567,0.209,-0.858992,-1.941186,-1.759609,-1.034715,1.560719,-2.057526,0.027096,0
15,20.3081,14,0.497763,-0.670181,-0.016567,0.497872,-0.669860,-0.016567,0.338,-0.859141,-1.941381,-1.759597,-1.034552,1.560660,-2.057563,0.027263,0
16,20.4088,15,0.497578,-0.670176,-0.016567,0.497722,-0.669860,-0.016567,0.347,-0.859170,-1.941489,-1.759609,-1.034420,1.560698,-2.057586,0.027398,0
17,20.5093,16,0.497476,-0.670641,-0.016567,0.497572,-0.669860,-0.016567,0.786,-0.859002,-1.941597,-1.760040,-1.034456,1.560815,-2.057586,0.027580,0
18,20.6098,17,0.497354,-0.670741,-0.016567,0.497423,-0.669860,-0.016567,0.883,-0.858670,-1.941748,-1.760625,-1.034660,1.561187,-2.057538,0.027778,0
19,20.7103,18,0.497195,-0.670756,-0.016567,0.497272,-0.669860,-0.016567,0.899,-0.857420,-1.941644,-1.762483,-1.036259,1.562396,-2.057266,0.027959,0
20,20.8109,19,0.497021,-0.670181,-0.016567,0.497122,-0.669860,-0.016567,0.336,-0.855985,-1.941576,-1.764302,-1.037628,1.563680,-2.056960,0.028112,0
21,20.9114,20,0.496991,-0.670195,-0.016567,0.496972,-0.669860,-0.016567,0.335,-0.855674,-1.941630,-1.764930,-1.037786,1.563824,-2.056862,0.028312,0
22,21.0119,21,0.496676,-0.670009,-0.016567,0.496821,-0.669860,-0.016567,0.208,-0.856364,-1.942243,-1.764140,-1.037372,1.563380,-2.056931,0.028419,0
23,21.1125,22,0.496640,-0.670035,-0.016567,0.496670,-0.669860,-0.016567,0.177,-0.857710,-1.943067,-1.762884,-1.036025,1.562212,-2.057212,0.028619,0
24,21.2132,23,0.496428,-0.670018,-0.016567,0.496520,-0.669860,-0.016567,0.183,-0.858386,-1.943421,-1.762352,-1.035548,1.561808,-2.057479,0.028770,0
25,21.3137,24,0.496302,-0.670044,-0.016567,0.496369,-0.669860,-0.016567,0.195,-0.859023,-1.943545,-1.761400,-1.034608,1.561081,-2.057578,0.028941,0
26,21.4143,25,0.496113,-0.670197,-0.016567,0.496217,-0.669860,-0.016567,0.353,-0.859369,-1.943741,-1.761271,-1.034563,1.560822,-2.057670,0.029079,0
27,21.5150,26,0.495931,-0.670200,-0.016567,0.496066,-0.669860,-0.016567,0.365,-0.859533,-1.943669,-1.760766,-1.034188,1.560719,-2.057727,0.029196,0
28,21.6157,27,0.495835,-0.670786,-0.016567,0.495915,-0.669860,-0.016567,0.929,-0.859429,-1.943521,-1.761001,-1.034280,1.560783,-2.057739,0.029367,0
29,21.7165,28,0.495582,-0.670205,-0.016567,0.495763,-0.669860,-0.016567,0.390,-0.859174,-1.943374,-1.761144,-1.034291,1.560928,-2.057721,0.029451,0
30,21.8172,29,0.495554,-0.670483,-0.016567,0.495612,-0.669860,-0.016567,0.625,-0.857968,-1.943043,-1.762791,-1.035611,1.561995,-2.057431,0.029648,0
31,21.9179,30,0.495193,-0.670009,-0.016567,0.495460,-0.669860,-0.016567,0.306,-0.857571,-1.943294,-1.763366,-1.036212,1.562528,-2.057314,0.029668,0
32,22.0185,31,0.495338,-0.670221,-0.016567,0.495309,-0.669860,-0.016567,0.361,-0.857910,-1.943513,-1.763147,-1.035755,1.562084,-2.057331,0.029868,0
33,22.1192,33,0.495215,-0.670060,-0.016567,0.495006,-0.669860,-0.016567,0.289,-0.858575,-1.943905,-1.762616,-1.035244,1.562036,-2.057554,0.030068,0
34,22.2202,34,0.494938,-0.670205,-0.016567,0.494855,-0.669860,-0.016567,0.354,-0.859105,-1.943900,-1.761974,-1.034800,1.561019,-2.057643,0.030268,0
35,22.3208,35,0.494786,-0.670035,-0.016567,0.494704,-0.669860,-0.016567,0.193,-0.859133,-1.944052,-1.761857,-1.034660,1.561383,-2.057742,0.030468,0
36,22.4214,35,0.494567,-0.670205,-0.016567,0.494704,-0.669860,-0.016567,0.370,-0.859463,-1.943985,-1.761683,-1.034540,1.561055,-2.057761,0.030585,0
37,22.5219,36,0.494425,-0.670181,-0.016567,0.494553,-0.669860,-0.016567,0.344,-0.859454,-1.943997,-1.761472,-1.034480,1.560995,-2.057809,0.030716,0
38,22.6226,37,0.494240,-0.670544,-0.016567,0.494402,-0.669860,-0.016567,0.702,-0.859641,-1.943988,-1.761044,-1.033909,1.560903,-2.057826,0.030825,0
39,22.7233,39,0.493869,-0.671286,-0.016567,0.494101,-0.669860,-0.016567,1.444,-0.859429,-1.943813,-1.761471,-1.034141,1.561027,-2.057817,0.030888,0
40,22.8239,40,0.494017,-0.670787,-0.016567,0.493951,-0.669860,-0.016567,0.929,-0.858547,-1.943255,-1.762503,-1.035323,1.561739,-2.057619,0.031088,0
41,22.9245,41,0.493684,-0.670766,-0.016567,0.493801,-0.669860,-0.016567,0.914,-0.856073,-1.942232,-1.765633,-1.038026,1.564002,-2.057062,0.031251,0
42,23.0251,42,0.493629,-0.670001,-0.016567,0.493651,-0.669860,-0.016567,0.143,-0.854792,-1.942415,-1.767541,-1.039359,1.565408,-2.056832,0.031451,0
43,23.1256,42,0.493498,-0.670176,-0.016567,0.493651,-0.669860,-0.016567,0.351,-0.855021,-1.942993,-1.767696,-1.039290,1.564915,-2.056780,0.031575,0
44,23.2263,43,0.493485,-0.670036,-0.016567,0.493501,-0.669860,-0.016567,0.176,-0.855600,-1.944025,-1.767353,-1.038795,1.564656,-2.056835,0.031775,0
45,23.3270,44,0.493258,-0.670001,-0.016567,0.493352,-0.669860,-0.016567,0.170,-0.856855,-1.945052,-1.766384,-1.037310,1.563400,-2.057114,0.031943,0
46,23.4276,46,0.493265,-0.670639,-0.016567,0.493054,-0.669860,-0.016567,0.807,-0.857480,-1.945285,-1.765536,-1.036848,1.563068,-2.057323,0.032143,0
47,23.5281,47,0.492855,-0.670972,-0.016567,0.492905,-0.669860,-0.016567,1.112,-0.858629,-1.945513,-1.763867,-1.035232,1.561588,-2.057479,0.032336,0
48,23.6286,48,0.492571,-0.670766,-0.016567,0.492756,-0.669860,-0.016567,0.925,-0.857516,-1.945099,-1.765701,-1.036907,1.562850,-2.057407,0.032412,0
49,23.7293,49,0.492571,-0.670181,-0.016567,0.492607,-0.669860,-0.016567,0.322,-0.855677,-1.944068,-1.767596,-1.038623,1.564400,-2.056975,0.032612,0
50,23.8300,49,0.492561,-0.670035,-0.016567,0.492607,-0.669860,-0.016567,0.181,-0.855328,-1.943788,-1.767823,-1.038943,1.564407,-2.056840,0.032807,0
51,23.9308,50,0.492389,-0.670085,-0.016567,0.492459,-0.669860,-0.016567,0.236,-0.855918,-1.944483,-1.766835,-1.038223,1.564020,-2.056891,0.032976,0
52,24.0315,51,0.492015,-0.670176,-0.016567,0.492310,-0.669860,-0.016567,0.433,-0.857463,-1.945262,-1.765396,-1.036843,1.562592,-2.057218,0.032961,0
53,24.1323,53,0.491976,-0.670737,-0.016567,0.492013,-0.669860,-0.016567,0.877,-0.857826,-1.945295,-1.764928,-1.036658,1.562471,-2.057383,0.033161,0
