step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,15.0061,0,0.499965,-0.669900,-0.016567,0.499908,-0.669882,-0.016567,0.060,-0.856333,-1.945837,-1.761773,-1.033196,1.562367,-2.056427,0.025023,0
2,15.1112,2,0.500076,-0.669901,-0.016567,0.499603,-0.669882,-0.016567,0.473,-0.856302,-1.945749,-1.761751,-1.033193,1.562348,-2.056412,0.025223,0
3,15.2151,3,0.499643,-0.670009,-0.016567,0.499459,-0.669882,-0.016567,0.224,-0.856453,-1.945270,-1.761683,-1.033352,1.562339,-2.056421,0.025393,0
4,15.3186,3,0.499644,-0.670015,-0.016567,0.499459,-0.669882,-0.016567,0.228,-0.856795,-1.944080,-1.761387,-1.034123,1.562088,-2.056643,0.025563,0
5,15.4220,4,0.499247,-0.670025,-0.016567,0.499311,-0.669882,-0.016567,0.157,-0.857340,-1.942080,-1.761141,-1.035139,1.561539,-2.056903,0.025654,0
6,15.5252,6,0.499247,-0.670025,-0.016567,0.499014,-0.669882,-0.016567,0.273,-0.857343,-1.942387,-1.761468,-1.035291,1.561691,-2.056969,0.025837,0
7,15.6286,7,0.499061,-0.669839,-0.016567,0.498866,-0.669882,-0.016567,0.200,-0.857309,-1.942933,-1.761655,-1.035244,1.561691,-2.056957,0.026006,0
8,15.7326,8,0.498860,-0.669497,-0.016567,0.498717,-0.669882,-0.016567,0.410,-0.857319,-1.942791,-1.761590,-1.035208,1.561856,-2.057006,0.026155,0
9,15.8367,9,0.498800,-0.669861,-0.016567,0.498568,-0.669882,-0.016567,0.233,-0.857555,-1.942647,-1.761587,-1.035244,1.561770,-2.057095,0.026336,0
10,15.9408,10,0.498514,-0.669796,-0.016567,0.498420,-0.669882,-0.016567,0.127,-0.858198,-1.942528,-1.760977,-1.034920,1.561496,-2.057239,0.026473,0
11,16.0443,11,0.498430,-0.670025,-0.016567,0.498271,-0.669882,-0.016567,0.213,-0.858801,-1.942570,-1.760167,-1.034480,1.560831,-2.057376,0.026633,0
12,16.1476,12,0.498160,-0.670009,-0.016567,0.498122,-0.669882,-0.016567,0.132,-0.858848,-1.942555,-1.760155,-1.034432,1.560887,-2.057448,0.026755,0
13,16.2510,12,0.498173,-0.669999,-0.016567,0.498122,-0.669882,-0.016567,0.127,-0.858912,-1.942558,-1.760151,-1.034401,1.560827,-2.057479,0.026881,0
14,16.3543,14,0.497936,-0.670036,-0.016567,0.497824,-0.669882,-0.016567,0.190,-0.858865,-1.942555,-1.760191,-1.034312,1.560839,-2.057509,0.027026,0
