step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,31.3124,0,0.498914,-0.670051,-0.016567,0.498868,-0.670021,-0.016567,0.055,-0.856348,-1.945840,-1.761778,-1.033193,1.562336,-2.056403,0.025022,0
2,31.4165,1,0.498876,-0.670025,-0.016567,0.498714,-0.670021,-0.016567,0.162,-0.856367,-1.945786,-1.761782,-1.033177,1.562355,-2.056403,0.025126,0
3,31.5220,2,0.498914,-0.670051,-0.016567,0.498563,-0.670021,-0.016567,0.353,-0.856372,-1.945474,-1.761652,-1.033212,1.562355,-2.056412,0.025326,0
4,31.6277,3,0.498876,-0.670025,-0.016567,0.498419,-0.670021,-0.016567,0.457,-0.856694,-1.944407,-1.761312,-1.033708,1.562165,-2.056544,0.025526,0
5,31.7326,4,0.498563,-0.670196,-0.016567,0.498271,-0.670021,-0.016567,0.340,-0.857910,-1.940156,-1.760267,-1.035979,1.560932,-2.057062,0.025726,0
6,31.8366,5,0.498178,-0.670205,-0.016567,0.498122,-0.670021,-0.016567,0.193,-0.858218,-1.939034,-1.760259,-1.036663,1.560779,-2.057231,0.025853,0
7,31.9399,6,0.497949,-0.670176,-0.016567,0.497974,-0.670021,-0.016567,0.158,-0.858230,-1.940906,-1.760710,-1.035871,1.560956,-2.057275,0.025955,0
8,32.0433,7,0.497992,-0.670205,-0.016567,0.497826,-0.670021,-0.016567,0.248,-0.858146,-1.941321,-1.760681,-1.035652,1.561022,-2.057251,0.026117,0
9,32.1475,8,0.497841,-0.670574,-0.016567,0.497677,-0.670021,-0.016567,0.577,-0.858189,-1.941046,-1.760575,-1.035624,1.561095,-2.057235,0.026280,0
10,32.2524,9,0.497823,-0.670701,-0.016567,0.497529,-0.670021,-0.016567,0.741,-0.858167,-1.940971,-1.760681,-1.035648,1.561151,-2.057220,0.026480,0
11,32.3565,10,0.497578,-0.670709,-0.016567,0.497380,-0.670021,-0.016567,0.716,-0.858107,-1.941114,-1.761163,-1.035636,1.561331,-2.057236,0.026653,0
12,32.4602,11,0.497455,-0.670776,-0.016567,0.497231,-0.670021,-0.016567,0.788,-0.857480,-1.941405,-1.762168,-1.036027,1.562055,-2.057227,0.026833,0
13,32.5647,12,0.497207,-0.670788,-0.016567,0.497082,-0.670021,-0.016567,0.777,-0.856944,-1.941445,-1.762986,-1.036731,1.562543,-2.057079,0.026982,0
14,32.6684,13,0.497021,-0.670766,-0.016567,0.496933,-0.670021,-0.016567,0.751,-0.856648,-1.941573,-1.763520,-1.037183,1.562775,-2.057027,0.027119,0
15,32.7722,14,0.496936,-0.670757,-0.016567,0.496784,-0.670021,-0.016567,0.751,-0.855780,-1.941876,-1.764853,-1.037974,1.563728,-2.056883,0.027275,0
16,32.8768,16,0.496787,-0.670750,-0.016567,0.496485,-0.670021,-0.016567,0.790,-0.855283,-1.942072,-1.765877,-1.038624,1.564152,-2.056799,0.027475,0
17,32.9814,17,0.496651,-0.670181,-0.016567,0.496335,-0.670021,-0.016567,0.354,-0.854855,-1.942276,-1.766456,-1.038906,1.564644,-2.056703,0.027675,0
18,33.0849,18,0.496373,-0.670092,-0.016567,0.496185,-0.670021,-0.016567,0.201,-0.854454,-1.942594,-1.767592,-1.039659,1.565080,-2.056616,0.027840,0
19,33.1885,19,0.496187,-0.670223,-0.016567,0.496035,-0.670021,-0.016567,0.254,-0.854446,-1.942798,-1.767509,-1.039642,1.565100,-2.056592,0.027993,0
20,33.2921,20,0.495987,-0.670234,-0.016567,0.495884,-0.670021,-0.016567,0.237,-0.854799,-1.943038,-1.766955,-1.039285,1.564905,-2.056643,0.028131,0
21,33.3959,20,0.496059,-0.670213,-0.016567,0.495884,-0.670021,-0.016567,0.260,-0.855093,-1.943226,-1.766919,-1.039047,1.564743,-2.056735,0.028291,0
22,33.5004,21,0.495974,-0.670224,-0.016567,0.495734,-0.670021,-0.016567,0.315,-0.855173,-1.943337,-1.767039,-1.038972,1.564652,-2.056768,0.028472,0
23,33.6047,23,0.495601,-0.670035,-0.016567,0.495432,-0.670021,-0.016567,0.169,-0.855273,-1.943529,-1.767035,-1.038610,1.564467,-2.056784,0.028630,0
24,33.7082,23,0.495553,-0.670171,-0.016567,0.495432,-0.670021,-0.016567,0.193,-0.855322,-1.943582,-1.766963,-1.038487,1.564392,-2.056784,0.028774,0
25,33.8139,25,0.495598,-0.670065,-0.016567,0.495130,-0.670021,-0.016567,0.470,-0.855669,-1.943840,-1.766676,-1.038279,1.564161,-2.056867,0.028974,0
26,33.9178,26,0.495075,-0.670223,-0.016567,0.494978,-0.670021,-0.016567,0.224,-0.855833,-1.943941,-1.766564,-1.038178,1.564047,-2.056943,0.029110,0
27,34.0220,27,0.495192,-0.670064,-0.016567,0.494827,-0.670021,-0.016567,0.367,-0.855925,-1.944115,-1.766595,-1.038127,1.564028,-2.056951,0.029310,0
28,34.1271,28,0.494819,-0.670044,-0.016567,0.494676,-0.670021,-0.016567,0.145,-0.856016,-1.944288,-1.766699,-1.038110,1.563948,-2.056975,0.029460,0
29,34.2309,29,0.494724,-0.670120,-0.016567,0.494524,-0.670021,-0.016567,0.223,-0.855985,-1.944507,-1.766788,-1.038067,1.563960,-2.056984,0.029628,0
30,34.3348,30,0.494567,-0.670205,-0.016567,0.494373,-0.670021,-0.016567,0.268,-0.856113,-1.944750,-1.766807,-1.037995,1.563902,-2.057003,0.029795,0
31,34.4385,31,0.494240,-0.670709,-0.016567,0.494221,-0.670021,-0.016567,0.689,-0.856117,-1.944878,-1.767062,-1.037981,1.563927,-2.057011,0.029907,0
32,34.5428,32,0.494395,-0.670195,-0.016567,0.494070,-0.670021,-0.016567,0.369,-0.856129,-1.944902,-1.767121,-1.037974,1.563924,-2.057023,0.030107,0
33,34.6465,33,0.494044,-0.670777,-0.016567,0.493918,-0.670021,-0.016567,0.766,-0.855925,-1.944827,-1.767544,-1.038051,1.564087,-2.057035,0.030251,0
34,34.7512,34,0.494012,-0.670205,-0.016567,0.493767,-0.670021,-0.016567,0.306,-0.855797,-1.944846,-1.767820,-1.038214,1.564191,-2.057008,0.030432,0
35,34.8550,36,0.493498,-0.670709,-0.016567,0.493465,-0.670021,-0.016567,0.689,-0.855420,-1.944831,-1.768306,-1.038786,1.564618,-2.056895,0.030547,0
36,34.9589,37,0.493498,-0.670709,-0.016567,0.493314,-0.670021,-0.016567,0.713,-0.855254,-1.944798,-1.768573,-1.039090,1.564809,-2.056879,0.030709,0
37,35.0623,37,0.493498,-0.670709,-0.016567,0.493314,-0.670021,-0.016567,0.713,-0.855164,-1.944723,-1.768740,-1.039167,1.564947,-2.056847,0.030869,0
38,35.1661,38,0.493240,-0.670347,-0.016567,0.493164,-0.670021,-0.016567,0.335,-0.854531,-1.944714,-1.769896,-1.040093,1.565721,-2.056711,0.030996,0
39,35.2697,39,0.492972,-0.670195,-0.016567,0.493013,-0.670021,-0.016567,0.179,-0.854047,-1.944648,-1.770730,-1.040562,1.566024,-2.056588,0.031087,0
40,35.3735,41,0.492942,-0.670766,-0.016567,0.492713,-0.670021,-0.016567,0.780,-0.853787,-1.944711,-1.770941,-1.040673,1.566222,-2.056528,0.031261,0
41,35.4776,42,0.492942,-0.670766,-0.016567,0.492563,-0.670021,-0.016567,0.836,-0.853808,-1.944858,-1.770998,-1.040639,1.566192,-2.056544,0.031461,0
42,35.5823,42,0.492756,-0.670176,-0.016567,0.492563,-0.670021,-0.016567,0.248,-0.853684,-1.944993,-1.771459,-1.040928,1.566427,-2.056532,0.031625,0
43,35.6876,44,0.492830,-0.670179,-0.016567,0.492264,-0.670021,-0.016567,0.587,-0.852450,-1.945438,-1.773848,-1.042765,1.567684,-2.056257,0.031825,0
44,35.7912,45,0.492226,-0.670041,-0.016567,0.492115,-0.670021,-0.016567,0.112,-0.852285,-1.945621,-1.774027,-1.042687,1.567641,-2.056169,0.031964,0
45,35.8951,46,0.492200,-0.670025,-0.016567,0.491966,-0.670021,-0.016567,0.234,-0.852612,-1.945744,-1.773362,-1.042312,1.567389,-2.056212,0.032141,0
46,35.9986,47,0.492040,-0.670007,-0.016567,0.491817,-0.670021,-0.016567,0.224,-0.853013,-1.945797,-1.772990,-1.042034,1.567080,-2.056280,0.032316,0
47,36.1025,48,0.492015,-0.670025,-0.016567,0.491668,-0.670021,-0.016567,0.346,-0.853268,-1.945840,-1.772727,-1.041796,1.566789,-2.056376,0.032516,0
48,36.2075,49,0.491783,-0.670011,-0.016567,0.491520,-0.670021,-0.016567,0.263,-0.853496,-1.945936,-1.772262,-1.041301,1.566522,-2.056412,0.032703,0
49,36.3110,50,0.491644,-0.670025,-0.016567,0.491371,-0.670021,-0.016567,0.273,-0.853735,-1.946025,-1.772006,-1.041050,1.566144,-2.056436,0.032894,0
50,36.4150,51,0.491581,-0.670036,-0.016567,0.491223,-0.670021,-0.016567,0.359,-0.853912,-1.946112,-1.771727,-1.040889,1.566096,-2.056508,0.033094,0
51,36.5191,52,0.491259,-0.670183,-0.016567,0.491074,-0.670021,-0.016567,0.246,-0.854179,-1.946163,-1.771375,-1.040626,1.565736,-2.056540,0.033257,0
