step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.5971,0,0.500829,-0.670814,-0.016567,0.500755,-0.675135,-0.016574,4.322,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.025535,0
2,20.6773,0,0.500829,-0.670814,-0.016567,0.500755,-0.675135,-0.016574,4.322,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.025629,0
3,20.7766,2,0.500634,-0.670758,-0.016567,0.500461,-0.675131,-0.016574,4.377,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.025973,0
4,20.8800,3,0.500469,-0.671551,-0.016567,0.500299,-0.675129,-0.016574,3.582,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.026173,0
5,20.9786,4,0.500606,-0.673851,-0.016567,0.500137,-0.675127,-0.016574,1.360,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.026373,0
6,21.0793,5,0.500312,-0.675704,-0.016567,0.499975,-0.675125,-0.016574,0.670,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.026448,0
7,21.1765,6,0.500607,-0.675998,-0.016567,0.499813,-0.675122,-0.016574,1.182,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.026648,0
8,21.2765,7,0.500667,-0.676043,-0.016567,0.499650,-0.675120,-0.016574,1.373,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.026848,0
9,21.3697,8,0.500268,-0.676759,-0.016567,0.499488,-0.675117,-0.016574,1.818,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.027048,0
10,21.4695,9,0.500309,-0.676879,-0.016567,0.499326,-0.675115,-0.016574,2.019,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.027248,0
11,21.5725,10,0.499690,-0.676898,-0.016567,0.499164,-0.675112,-0.016574,1.862,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.027348,0
12,21.6658,11,0.499416,-0.676948,-0.016567,0.499002,-0.675110,-0.016574,1.884,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.027341,0
13,21.7667,12,0.499380,-0.676895,-0.016567,0.498840,-0.675107,-0.016574,1.868,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.027457,0
14,21.8712,13,0.499536,-0.676904,-0.016567,0.498678,-0.675105,-0.016574,1.993,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.027657,0
15,21.9735,14,0.499383,-0.676974,-0.016567,0.498516,-0.675102,-0.016574,2.063,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.027857,0
16,22.0694,15,0.499155,-0.676631,-0.016567,0.498354,-0.675099,-0.016574,1.728,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.028057,0
17,22.1671,16,0.498920,-0.676702,-0.016567,0.498192,-0.675097,-0.016574,1.762,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.028257,0
18,22.2652,17,0.498638,-0.676713,-0.016567,0.498030,-0.675094,-0.016574,1.730,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.028457,0
19,22.3647,18,0.498194,-0.676650,-0.016567,0.497868,-0.675091,-0.016574,1.592,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.028457,0
20,22.4661,19,0.498275,-0.676720,-0.016567,0.497707,-0.675089,-0.016574,1.728,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.028657,0
21,22.5681,20,0.498085,-0.676456,-0.016567,0.497545,-0.675086,-0.016574,1.473,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.028857,0
22,22.6700,21,0.498055,-0.676168,-0.016567,0.497383,-0.675082,-0.016574,1.277,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.029057,0
23,22.7684,22,0.497711,-0.676354,-0.016567,0.497221,-0.675079,-0.016574,1.366,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.029257,0
24,22.8642,23,0.497314,-0.676555,-0.016567,0.497059,-0.675076,-0.016574,1.502,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.029257,0
25,22.9632,24,0.497500,-0.676750,-0.016567,0.496897,-0.675072,-0.016574,1.782,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.029457,0
26,23.0665,25,0.497173,-0.676499,-0.016567,0.496735,-0.675069,-0.016574,1.495,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.029598,0
27,23.1646,26,0.496875,-0.676355,-0.016567,0.496574,-0.675065,-0.016574,1.324,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.029640,0
28,23.2656,27,0.496756,-0.676047,-0.016567,0.496412,-0.675062,-0.016574,1.043,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.029782,0
29,23.3679,28,0.496752,-0.676068,-0.016567,0.496250,-0.675059,-0.016574,1.127,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.029982,0
30,23.4700,29,0.496642,-0.676130,-0.016567,0.496088,-0.675055,-0.016574,1.209,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.030182,0
31,23.5671,30,0.495940,-0.676126,-0.016567,0.495927,-0.675052,-0.016574,1.074,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.030182,0
32,23.6696,31,0.495997,-0.676393,-0.016567,0.495765,-0.675048,-0.016574,1.365,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.030170,0
33,23.7737,32,0.496261,-0.676352,-0.016567,0.495604,-0.675045,-0.016574,1.463,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.030358,0
34,23.8705,33,0.496107,-0.676189,-0.016567,0.495442,-0.675041,-0.016574,1.327,-0.856352,-1.945840,-1.761801,-1.033193,1.562339,-2.056400,0.030558,0
