step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.3830,0,0.500999,-0.670699,-0.016567,0.500909,-0.674988,-0.016574,4.291,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.025535,0
2,20.4546,1,0.500951,-0.670580,-0.016567,0.500772,-0.674986,-0.016574,4.410,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.025720,0
3,20.5614,2,0.500913,-0.670484,-0.016567,0.500615,-0.674984,-0.016574,4.510,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.025920,0
4,20.6643,3,0.500560,-0.671521,-0.016567,0.500453,-0.674982,-0.016574,3.463,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.026120,0
5,20.7463,4,0.500488,-0.674142,-0.016567,0.500291,-0.674980,-0.016574,0.861,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.026320,0
6,20.8483,5,0.500611,-0.675474,-0.016567,0.500129,-0.674977,-0.016574,0.692,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.026520,0
7,20.9414,6,0.500703,-0.676281,-0.016567,0.499967,-0.674975,-0.016574,1.499,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.026720,0
8,21.0464,7,0.500614,-0.676361,-0.016567,0.499805,-0.674973,-0.016574,1.607,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.026920,0
9,21.1427,8,0.500331,-0.676841,-0.016567,0.499642,-0.674970,-0.016574,1.994,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.027120,0
10,21.2405,9,0.500144,-0.676912,-0.016567,0.499480,-0.674968,-0.016574,2.054,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.027301,0
11,21.3392,10,0.499530,-0.676967,-0.016567,0.499318,-0.674965,-0.016574,2.013,-0.856321,-1.945837,-1.761763,-1.033215,1.562364,-2.056400,0.027282,0
