angle_deg,magnet_x,magnet_y,magnet_z,cos_wrapper_success,cos_wrapper_tip_x,cos_wrapper_tip_y,cos_wrapper_tip_z,cos_wrapper_message,der_wrapper_success,der_wrapper_tip_x,der_wrapper_tip_y,der_wrapper_tip_z,der_wrapper_message,der_wrapper_W,cos_bvp_direct_success,cos_bvp_direct_tip_x,cos_bvp_direct_tip_y,cos_bvp_direct_tip_z,cos_bvp_direct_message,cos_bvp_direct_B_tip,cos_bvp_direct_theta_y,cos_bvp_direct_theta_z,cos_bvp_direct_theta_total,tipdiff_cos_wrapper_vs_der_wrapper,tipdiff_cos_wrapper_vs_cos_bvp_direct,tipdiff_der_wrapper_vs_cos_bvp_direct
0.0,0.6731328220229531,-0.7112731669220016,-0.1,True,0.7831328241585308,-0.7112783514454092,-0.10000517435937875,wrapper run complete,False,0.7831328373055652,-0.7112955371447302,-0.10001136675148088,Iteration limit reached,-0.0006866242875196369,True,0.7831328238073753,-0.7112779170564233,-0.10000475164260016,The algorithm converged to the desired accuracy.,0.04409077468859051,-3.1414209303218428,-3.141420784318099,3.141349696955451,1.8267297390190585e-05,6.061215961179543e-07,1.882092876683956e-05
-5.0,0.6736084847614849,-0.7003786990785444,-0.1,True,0.7831402713977227,-0.7108558681036842,-0.10000519086218079,wrapper run complete,False,0.783139258306499,-0.7108832803995864,-0.10000377294527794,Iteration limit reached,-0.0006839707271803012,True,0.7831411818288896,-0.7108141715722341,-0.10000475762015096,The algorithm converged to the desired accuracy.,0.04405520883828965,3.096827502060327,-3.141420137619024,3.0968271705278063,2.74676320202608e-05,4.17087199339595e-05,6.914260293764273e-05
-10.0,0.675031852896427,-0.6895671447136353,-0.1,True,0.7831626422752095,-0.710436600169418,-0.10000521023269218,wrapper run complete,False,0.7831588585655717,-0.7104772762540555,-0.100011689919625,Iteration limit reached,-0.0006761587429546859,True,0.783166287981654,-0.7103538016294129,-0.10000477768084531,The algorithm converged to the desired accuracy.,0.04394969040542355,3.0521376703243313,-3.1414179788384966,3.0521375015972616,4.1362382218759824e-05,8.287989203397685e-05,0.00012389091249532166
-15.0,0.6773920937368196,-0.6789207862841865,-0.1,True,0.7831993527869283,-0.7100237013115249,-0.10000524073677046,wrapper run complete,False,0.7831934786737595,-0.7100772320824442,-0.10001679480208599,Iteration limit reached,-0.0006631860887035291,True,0.7832075222259111,-0.7099001463097162,-0.1000048111430858,The algorithm converged to the desired accuracy.,0.043774338271763746,3.0079422499489272,-3.1414143570973034,3.007942133828749,5.507762763635709e-05,0.00012382553353803386,0.0001780455007652331
-20.0,0.6806712444247146,-0.668520649006293,-0.1,True,0.7832494437718024,-0.709620264618621,-0.10000528006184625,wrapper run complete,False,0.7832395165644498,-0.7096853884292043,-0.10001628793385504,Iteration limit reached,-0.0006452589412594361,True,0.7832638586916437,-0.7094565104545372,-0.1000048582790723,The algorithm converged to the desired accuracy.,0.04352935638110258,2.9644933343920856,-3.141409218279452,2.9644932433060425,6.678947070355873e-05,0.00016438793772521337,0.00023045238868904232
-25.0,0.6848443486433718,-0.6584458842044143,-0.1,True,0.7833115885185475,-0.7092293486490955,-0.10000533133403815,wrapper run complete,False,0.7832970663300403,-0.7093084116961706,-0.10001080534305062,Iteration limit reached,-0.0006224829025105583,True,0.7833338742855329,-0.7090261568555317,-0.10000491938038306,The algorithm converged to the desired accuracy.,0.043215040917804634,2.9220506973006555,-3.141402496615649,2.9220506201184597,8.057185703780108e-05,0.0002044106897586296,0.00028470557635596237
-30.0,0.6898796465498983,-0.6487731669220017,-0.1,True,0.7833841261281715,-0.7088538756335718,-0.10000539329668826,wrapper run complete,False,0.7833632832495666,-0.7089481209769974,-0.10001399529426815,Iteration limit reached,-0.000595102015172432,True,0.7834157661685615,-0.7086122723710401,-0.10000499482951279,The algorithm converged to the desired accuracy.,0.04283180253546046,2.8808825888052603,-3.1413941078657484,2.8808825198329093,9.69051325179235e-05,0.0002436665496081736,0.0003400437490611154
-35.0,0.6957388164868292,-0.639576112378121,-0.1,True,0.7834650490890687,-0.7084968002497285,-0.10000549467265261,wrapper run complete,True,0.7834367200269271,-0.7086089087982421,-0.10002208928987666,Optimization terminated successfully,-0.0005633385341208826,True,0.7835073663892209,-0.7082179885164093,-0.10000508509271312,The algorithm converged to the desired accuracy.,0.04238017901142491,2.841270844176938,-3.141383953291102,2.841270780009205,0.00011681713800836109,0.00028200514939336676,0.00039761629490603297
-40.0,0.7023772666330808,-0.6309247157111844,-0.1,True,0.7835520984414495,-0.7081608068002514,-0.10000560171616207,wrapper run complete,False,0.7835161035276661,-0.7082834074127639,-0.10002079466744922,Iteration limit reached,-0.0005275319993698994,True,0.7836061671179749,-0.707846369071327,-0.10000519072875581,The algorithm converged to the desired accuracy.,0.041860865943939035,2.803508005940349,-3.141371927339778,2.803507944276055,0.00012867544356059282,0.00031905277943151755,0.0004464946193269459
-45.0,0.7097444743746346,-0.6228848192736832,-0.1,True,0.7836427267904189,-0.7078486246352522,-0.10000569897962716,wrapper run complete,False,0.7835983175626247,-0.7079877147674307,-0.10002072880325699,Iteration limit reached,-0.0004879481561119054,True,0.7837093529813298,-0.7075003986171385,-0.10000531232251174,The algorithm converged to the desired accuracy.,0.04127476779215825,2.767905889842811,-3.1413579171175403,2.767905828943766,0.00014677922189825692,0.00035454274567438856,0.000500043560523674
-50.0,0.7177843708121358,-0.6155176115321295,-0.1,True,0.7837342180387399,-0.7075627440493324,-0.10000582303320585,wrapper run complete,False,0.7836792138883962,-0.7077214026372608,-0.10000326974127899,Iteration limit reached,-0.0004450133422311674,True,0.7838138396091847,-0.7071829979110366,-0.10000545050083902,The algorithm converged to the desired accuracy.,0.04062305099188237,2.7347925733972116,-3.141341816451522,2.7347925118084513,0.00016794202385980302,0.0003880036891719767,0.0005549851255940793
-55.0,0.7264357674790723,-0.6088791613858777,-0.1,True,0.7838236885974681,-0.7073056188286783,-0.10000597522249537,wrapper run complete,False,0.7837550845211115,-0.7074911844284947,-0.10000927291581814,Iteration limit reached,-0.0003991247211851136,True,0.7839163270593236,-0.7068970223423161,-0.10000560591076896,The algorithm converged to the desired accuracy.,0.03990723018905359,2.704513543277671,-3.1413235338831735,2.704513479658084,0.00019786860769008946,0.0004189667166656552,0.0006156632096423867
-60.0,0.7356328220229531,-0.6030199914489468,-0.1,True,0.7839081717502379,-0.7070795984916338,-0.1000061298491597,wrapper run complete,False,0.783828234828879,-0.7072828868275989,-0.10001558141486427,Iteration limit reached,-0.0003507255751951283,True,0.7840133649485252,-0.7066452732135855,-0.10000577912029764,The algorithm converged to the desired accuracy.,0.039129273619298355,2.677431307901229,-3.141303013324264,2.6774312409086014,0.0002186444397418918,0.000446882735321488,0.0006640183483565897
-65.0,0.7453055393053657,-0.5979846935424203,-0.1,True,0.7839847061986214,-0.7068869065803723,-0.10000629272909108,wrapper run complete,False,0.7838915545204648,-0.7071085470517744,-0.10001589310700772,Iteration limit reached,-0.000300312495550886,True,0.784101440126208,-0.7064304964267486,-0.10000597061685484,The algorithm converged to the desired accuracy.,0.03829174607528554,2.6539221264022412,-3.1412802455293094,2.65392205459763,0.0002406115146098721,0.0004711020504486631,0.0007098613057540845
-70.0,0.7553803041072447,-0.5938115893237631,-0.1,True,0.7840504370300703,-0.7067296320591518,-0.10000649489476303,wrapper run complete,False,0.7839451956676114,-0.7069723478164278,-0.10000839992978931,Iteration limit reached,-0.000248318183613394,True,0.7841770902804194,-0.7062553693457791,-0.10000618069347554,The algorithm converged to the desired accuracy.,0.03739799003978003,2.6343697179556584,-3.1412552911610376,2.634369639715859,0.00026455682255554624,0.0004908831488675037,0.0007535503724588384
-75.0,0.765780441385138,-0.5905324386358681,-0.1,True,0.7841027263277025,-0.7066097192200169,-0.10000672426687517,wrapper run complete,False,0.7839840578532528,-0.7068791933749281,-0.10002027859195162,Iteration limit reached,-0.00019528760746434536,True,0.7842370488882378,-0.7061224660671541,-0.10000640932766422,The algorithm converged to the desired accuracy.,0.03645234527458244,2.619154712451601,-3.141228302239916,2.619154625879284,0.0002947579459855261,0.0005054288124258354,0.0007980181944075692
-80.0,0.7764267998145867,-0.5881721977954755,-0.1,True,0.7841392794534852,-0.7065289410518056,-0.10000693384436328,wrapper run complete,False,0.7840039760823977,-0.7068320765356834,-0.10003136550016534,Iteration limit reached,-0.0001417654024759024,True,0.7842784248237913,-0.7060341887499515,-0.10000665606528064,The algorithm converged to the desired accuracy.,0.03546039915303136,2.6086385852210934,-3.141199537067781,2.6086384880451208,0.0003328588734263314,0.0005139468371619946,0.00084413126138353
-85.0,0.7872383541794958,-0.5867488296605334,-0.1,True,0.7841583219349302,-0.7064887650372915,-0.10000717562744754,wrapper run complete,False,0.7840078826703939,-0.7068233194408453,-0.10002211308743068,Iteration limit reached,-8.827463529458045e-05,True,0.7842989161819712,-0.7059926481414577,-0.10000691983923425,The algorithm converged to the desired accuracy.,0.03442924941004882,2.603140915864633,-3.1411693723815275,2.6031408053295557,0.00036712633923786654,0.0005156537424090482,0.0008803102562608972
-90.0,0.7981328220229529,-0.5862731669220015,-0.1,True,0.7841587189887929,-0.7064903263970669,-0.10000741844929953,wrapper run complete,False,0.7839966562395629,-0.7068535178593315,-0.10002621120275498,Iteration limit reached,-3.5325307934469256e-05,True,0.7842970477587022,-0.7059994805072259,-0.10000719882273629,The algorithm converged to the desired accuracy.,0.033367739890261816,2.602909459159841,-3.1411382984397105,2.602909331901977,0.000398152659833255,0.0005099652776358545,0.0009055254464432431
