k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,vessel_tip_alignment_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,frame_path,case,tracking_err_mm,clearance_plot_mm,vessel_tip_angle_deg,u_trans_norm,u_rot_norm,u_dL_abs,tip_step_mm,tip_step_xy_mm,jac_gain_error_abs,jac_angle_abs_deg
0,17,17,1,0.0016127806620175,1.6127806620175278,0.0012825482536358,-0.8420081631534454,-3.41838880490541e-08,0.0,0.0,-0.0339085068766451,0.0099999622287483,0.6621456475054894,-0.7183473983237345,-0.1,-0.0005337340455159,-0.9999996879322356,-0.0004878522961267,-0.0003182193224042,0.0160999996222874,0.782064831047861,-0.710846318859881,-0.1000007760086129,-0.9965555914860104,-0.0829271003577801,0.0002215947174212,solved,0,4.499743076047887e-05,0.0449974307604788,4.499743227339184e-05,0.0449974322733918,4.489020521233437,16,0.1058205207802922,0.0013425588235476,1.3425588235476822,0.0026574411764523,2.657441176452318,0.8922946681485074,0.8922946731761912,0.9207308523765718,1.031868602652383,1.0318685968382617,2.2045653254981548,0.999259854499371,0.920049377578895,-0.1000741475392013,-0.8866650659827227,2.3799393610235765e-05,-0.1000741475392086,-0.8866650710421808,2.3804850216024853e-05,-0.0679922509290165,-0.918216943964989,1.2136328650380612e-05,-0.1121536988973083,-0.9936908710017668,2.6672123525761957e-05,-0.1121536982653802,-0.9936908710729256,2.667823862636058e-05,-0.0738459569954849,-0.9972696598521772,1.3181190376161033e-05,mpc_3np1s_bc_90/frames/frame_000000.png,nonBC,0.0449974307604788,2.657441176452318,4.489020521233437,0.8420091399427106,0.0339085068766451,0.0099999622287483,,,0.031868602652382894,2.2045653254981548
1,18,18,1,0.0019080713319171,1.9080713319171472,-0.0029530471754115,0.0913695612277755,-3.3231003011358466e-08,0.0,0.0,0.0036932569836959,0.009999956125055,0.6621161170337353,-0.7174337027114568,-0.1,-0.0005337281690962,-0.9999996967705534,-0.0004693860168889,-0.0003182291784349,0.016199999183538,0.7819585879221418,-0.7107548966504575,-0.1000007461696277,-0.9972504242827924,-0.0741049339042662,0.0002236936172041,solved,0,5.42803385949254e-06,0.0054280338594925,5.4280535691857266e-06,0.0054280535691857,9.258359838113728,16,0.1015360024671547,0.0004219109721076,0.4219109721076524,0.0035780890278923,3.578089027892348,0.1377440021032318,0.1366242440174472,0.1401628446800888,1.0175604203444315,1.0259002396543162,1.251473984420965,0.9997614655419352,0.1401294110118922,-0.1063469853316635,0.0875427162223892,4.077607509167472e-05,-0.1061653808118734,0.0859947323568199,4.446670387459051e-05,-0.1062431257191631,0.0914222094234862,2.9838985241004146e-05,-0.7720625486978527,0.6355464839534762,0.000296027953806,-0.7770610668361019,0.6294251285726292,0.0003254671540499,-0.7579977843747042,0.6522570916147608,0.0002128879826112,mpc_3np1s_bc_90/frames/frame_000001.png,nonBC,0.0054280338594925,3.578089027892348,9.258359838113728,0.09141726973924306,0.0036932569836959,0.009999956125055,0.14016284468008888,0.14016284150390815,0.017560420344431504,1.251473984420965
2,18,18,0,0.0018112190700457,1.8112190700457211,0.0060628124370558,0.0006776187962363,-2.4692870133501028e-08,0.0,0.0,2.5951290959047243e-05,0.0099999678993784,0.6621767451581059,-0.7174269265234944,-0.1,-0.0005337281278039,-0.9999996968314508,-0.0004692562604734,-0.0003182292476895,0.0162999988625318,0.7818589022599243,-0.7107627008024423,-0.1000007147280242,-0.997239101766241,-0.0742571403182401,0.0002258765545391,solved,0,1.2128874407212135e-05,0.0121288744072121,1.2129010797799316e-05,0.0121290107977993,8.751327793023282,16,0.2146872884893332,0.000504697328895,0.5046973288950823,0.0034953026711049,3.495302671104918,0.0999906280709855,0.0965835377616924,0.0999906847087314,1.000000566430545,1.0352766840602354,0.0306432210521683,0.9999998569810592,0.0999906704081696,-0.0996814176135825,-0.0078574606592978,3.156840652899947e-05,-0.0965047175818245,0.0039001713878494,8.896157568938357e-05,-0.099685662217519,-0.0078041519847582,3.144160344581426e-05,-0.9969076056089636,-0.0785819712395412,0.0003157136537495,-0.9991839170349884,0.0403813266549902,0.0009210842525657,-0.9969494909240704,-0.0780487903197324,0.0003144453259561,mpc_3np1s_bc_90/frames/frame_000002.png,nonBC,0.0121288744072121,3.495302671104918,8.751327793023282,0.0061005624232968025,2.5951290959047243e-05,0.0099999678993784,0.09999068470873147,0.0999906797653987,5.664305449126772e-07,0.0306432210521683
3,18,18,0,0.0017113445102198,1.711344510219896,0.0054075951033636,0.001588856353344,-1.9442731090691663e-08,0.0,0.0,6.268216121614805e-05,0.0099999732542462,0.6622308211091396,-0.717411037959961,-0.1,-0.0005337280280674,-0.9999996969784718,-0.0004689428497623,-0.0003182294149657,0.0163999985950742,0.7817591478761594,-0.7107694057535557,-0.1000006836409864,-0.99723522831842,-0.0743091341776666,0.0002279878818394,solved,0,1.0911257147159709e-05,0.0109112571471597,1.091131240458183e-05,0.0109113124045818,8.760073291982978,16,0.3135060236032904,0.000489098342121,0.4890983421210978,0.0035109016578789,3.510901657878902,0.0999790303712026,0.0972396248929757,0.0999794699733128,1.000004396943125,1.0281762201710738,0.0531630255246779,0.9999995695288147,0.0999794269350319,-0.0997476808752898,-0.0067974772577423,3.125536215492039e-05,-0.097161611803509,0.0038937783428671,6.581251750514827e-05,-0.0997543837648606,-0.0067049511134342,3.108703784671096e-05,-0.9976860198078156,-0.0679890296245583,0.00031261917663,-0.9991977232578532,0.0400431238515448,0.0006768076036655,-0.9977486757180024,-0.0670632792434687,0.000310934213344,mpc_3np1s_bc_90/frames/frame_000003.png,nonBC,0.0109112571471597,3.510901657878902,8.760073291982978,0.005636182157618896,6.268216121614805e-05,0.0099999732542462,0.09997946997331283,0.0999794651403009,4.396943124929109e-06,0.0531630255246779
4,18,18,0,0.0016115599466551,1.6115599466551944,0.0049558579047862,0.0009513474035842,-1.5056806034212013e-08,0.0,0.0,3.727478185305489e-05,0.0099999778877522,0.6622803796881874,-0.7174015244859251,-0.1,-0.0005337279687577,-0.999999697065853,-0.0004687564759095,-0.0003182295144387,0.0164999983739518,0.7816594336451288,-0.7107767500850418,-0.1000006528447261,-0.9972272718709388,-0.07441582708442,0.0002300351855119,solved,0,1.0888065179205474e-05,0.0108880651792054,1.0888155471117074e-05,0.010888155471117,8.763061135772706,16,0.4124796193874173,0.0004745898580047,0.4745898580047156,0.0035254101419952,3.5254101419952844,0.0999842112653112,0.0971296644452479,0.0999843388907151,1.0000012764555746,1.0293903460057392,0.0392661745724388,0.9999997651654956,0.0999843154109424,-0.0997090470564416,-0.0074126556751592,3.119750362070325e-05,-0.0970762965316618,0.0032193451904305,-1.3545780552792763e-05,-0.099714231030612,-0.007344331486081,3.079626033353211e-05,-0.99724792339323,-0.0741382622451214,0.000312024300896,-0.9994505497996836,0.033144819441287,-0.0001394607984096,-0.997298498313838,-0.0734548187002421,0.0003080108412497,mpc_3np1s_bc_90/frames/frame_000004.png,nonBC,0.0108880651792054,3.5254101419952844,8.763061135772706,0.0050463441673121116,3.727478185305489e-05,0.0099999778877522,0.0999843388907151,0.09998433414792397,1.2764555745725659e-06,0.0392661745724388
5,18,18,0,0.0015117545420023,1.5117545420023744,0.0045051288093673,0.0008310715487636,-1.165115917530662e-08,0.0,0.0,3.2700857073048304e-05,0.0099999815225016,0.662325430976281,-0.7173932137704374,-0.1,-0.0005337279167258,-0.9999996971424834,-0.0004685929716737,-0.0003182296017055,0.0165999981891768,0.7815597239708623,-0.7107841648524194,-0.1000006223173102,-0.997219016818086,-0.0745263622041581,0.0002320193622835,solved,0,1.083065866611258e-05,0.0108306586661125,1.0830691101235636e-05,0.0108306911012356,8.769191731028991,16,0.5113629586213302,0.0004594475903389,0.4594475903389387,0.003540552409661,3.5405524096610614,0.099984866556233,0.0970869546527776,0.0999849931215907,1.0000012658451434,1.029849926585684,0.0375705080870721,0.9999997850097024,0.0999849716257873,-0.0997046645001828,-0.0074801383760708,3.077415370197564e-05,-0.0970380320767239,0.0030812078106734,5.703380277777281e-05,-0.0997096742665348,-0.0074147673775337,3.052741590070518e-05,-0.9971975553331104,-0.0748127054994258,0.0003077881159612,-0.9994960952660557,0.0317365790460015,0.0005874507340532,-0.9972463982197703,-0.0741588026966881,0.0003053199780049,mpc_3np1s_bc_90/frames/frame_000005.png,nonBC,0.0108306586661125,3.5405524096610614,8.769191731028991,0.0045811423802684095,3.2700857073048304e-05,0.0099999815225016,0.09998499312159075,0.09998498846127567,1.2658451433722462e-06,0.0375705080870721
6,19,19,1,0.0023230461887533,2.323046188753341,-0.022879316945246,0.3352206625081594,-5.10471566643513e-08,0.0,0.0,0.0134878240720464,0.0099998980251635,0.6620966378068286,-0.7140410071453558,-0.1,-0.0005337064543877,-0.9999997264699644,-0.0004011538707234,-0.000318265595123,0.0166999971694284,0.7814410486138842,-0.710403611981536,-0.1000005978332532,-0.9991584548041472,-0.0410161877531001,0.0002335285666145,solved,0,3.644035891565592e-06,0.0036440358915655,3.6440363689237313e-06,0.0036440363689237,8.775543144569237,16,0.610236222338609,0.0004442358596702,0.4442358596702906,0.0035557641403297,3.5557641403297096,0.3871999908976347,0.3962892962750777,0.3986280578319802,1.0295146363713803,1.0059016520983173,1.254970305662914,0.9997601309162014,0.3985324392849716,-0.123341236050569,0.3670296612155816,1.5120237313511223e-05,-0.1206360966498065,0.3774813081672823,2.261884370080569e-05,-0.1186753569780707,0.3805528708833439,2.4484056990181635e-05,-0.318546588197563,0.9479072051750496,3.9050200591323385e-05,-0.3044142190660355,0.9525397524369668,5.707659508700227e-05,-0.2977094929632169,0.9546565110169568,6.142080696312035e-05,mpc_3np1s_bc_90/frames/frame_000006.png,nonBC,0.0036440358915655,3.5557641403297096,8.775543144569237,0.33600052933930463,0.0134878240720464,0.0099998980251635,0.39862805783198024,0.39862805708006493,0.0295146363713803,1.254970305662914
7,19,19,0,0.0022034564029816,2.2034564029816397,0.006021686981098,0.0228039459030029,-4.166779660196298e-08,0.0,0.0,0.0009229477702752,0.0099999243182473,0.6621568546766395,-0.7138129676863257,-0.1,-0.0005337049856695,-0.9999997283105369,-0.0003965391331301,-0.0003182680580355,0.0167999964126109,0.7813402584395653,-0.7103817038215575,-0.1000005661607591,-0.9992456088661692,-0.0388350062089042,0.0002354876490435,solved,0,1.6983689884889402e-05,0.0169836898848894,1.6983691316919732e-05,0.0169836913169197,6.852288576014598,16,0.7584921914854494,0.0008142516379923,0.8142516379923982,0.0031857483620076,3.185748362007602,0.1029404749225408,0.0993871149686109,0.1031437235900228,1.0019744290827777,1.0377977429226952,0.5090585820820738,0.99996053088308,0.1031396525983369,-0.1007818552725934,0.0209704073075513,3.228695872966404e-05,-0.0923779463202212,0.0366621473109063,2.469808940697149e-05,-0.1007901743188544,0.0219081599784898,3.1672494044121535e-05,-0.979030409063376,0.2037139164486156,0.0003136468794607,-0.9294760829851696,0.3688822974938471,0.000248503937505,-0.9771818469485998,0.2124041988785541,0.0003070714624383,mpc_3np1s_bc_90/frames/frame_000007.png,nonBC,0.0169836898848894,3.185748362007602,6.852288576014598,0.023585602872242723,0.0009229477702752,0.0099999243182473,0.10314372359002288,0.10314371872716321,0.0019744290827776734,0.5090585820820738
8,19,19,0,0.0021050411065219,2.105041106521914,0.0063424475910249,0.0026202740780209,-3.581234481951227e-08,0.0,0.0,0.0001109802577558,0.0099999328173329,0.6622202791525498,-0.7137867649455455,-0.1,-0.000533704809062,-0.999999728530423,-0.000395984231992,-0.0003182683541891,0.0168999957407842,0.7812402552364981,-0.710383058787609,-0.1000005347385695,-0.9992519016463168,-0.0386727384883291,0.0002373900441623,solved,0,1.4818177648642698e-05,0.0148181776486426,1.4818192610540038e-05,0.01481819261054,6.727220766481299,16,0.8607457977782887,0.0008281820043691,0.8281820043691843,0.0031718179956308,3.171817995630816,0.100010162603303,0.095096296092276,0.1000123869531332,1.0000222412380135,1.0516959236360466,0.0672542791727952,0.9999993110867554,0.1000123180532752,-0.0999993194247076,-0.0014723153914264,3.203002586414054e-05,-0.0942949241133916,0.0123196067101094,1.0364736610646297e-05,-0.1000032030672448,-0.00135496605147,3.142218966967203e-05,-0.9998915792324192,-0.0147216578105815,0.0003202677111044,-0.99157304740758,0.1295487544347175,0.0001089920116403,-0.9999081725157438,-0.013547982332478,0.0003141829789983,mpc_3np1s_bc_90/frames/frame_000008.png,nonBC,0.0148181776486426,3.171817995630816,6.727220766481299,0.006862395914702704,0.0001109802577558,0.0099999328173329,0.10001238695313319,0.10001238201697452,2.2241238013531728e-05,0.0672542791727952
9,19,19,0,0.0020053956821065,2.0053956821065064,0.0057876020511704,7.322082223695789e-05,-3.01257236476044e-08,0.0,0.0,8.401921830583797e-06,0.009999942188887,0.6622781551730614,-0.7137860327373231,-0.1,-0.0005337047956917,-0.9999997285470572,-0.0003959422223942,-0.0003182683766098,0.0169999951626731,0.781140348334087,-0.7103873530994558,-0.1000005037013663,-0.999248444411422,-0.0387619544357966,0.000239227236404,solved,0,1.457737223081204e-05,0.014577372230812,1.457737277474364e-05,0.0145773727747436,14.68944927195187,17,0.0744662443175018,0.0008165619618119,0.8165619618119173,0.003183438038188,3.1834380381880827,0.0999990858422203,0.0947585856382172,0.0999991561311006,1.0000007028952285,1.055304439778065,0.0091588918879355,0.999999987223538,0.0999991548534652,-0.0999061445812088,-0.0043102729700348,3.1482092247508224e-05,-0.0943140787773577,0.0091674898512472,3.5019437058525504e-05,-0.0999069024111287,-0.0042943118467864,3.1037203127026736e-05,-0.9990705788935098,-0.0431031237309077,0.0003148238004613,-0.9953090597768468,0.0967457438236595,0.0003695647927062,-0.9990774550152116,-0.0429434808545433,0.0003103746504254,mpc_3np1s_bc_90/frames/frame_000009.png,nonBC,0.014577372230812,3.1834380381880827,14.68944927195187,0.005788065202848741,8.401921830583797e-06,0.009999942188887,0.09999915613110062,0.09999915131451995,7.02895228466005e-07,0.0091588918879355
