step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6706909893826931,-0.6812668344791986,-0.10000730988750087,0.8097793149585489,-0.6822820305482963,-0.10001523777221574,0.8107480254129334,-0.6815410175066294,-0.10001106764303645,0.0029213216968963,64,0.8098381307316528,-0.6843170240134183,-0.10001164834605603,6.639766125142743e-05,4.1082582419510586e-09,0.0012196312034193806,0.0029213255753441666,0.002035843240098608,nan,0.0012196312034193806,0.0009687104543845138,0.0007410130416668492,4.17012917929005e-06,5.327058329696044e-05,-3.963450989807882e-05,-5.644622478165329e-06,56,-0.6666657328605652,-10.0,-3.8858301639556885,-10.0,7.278185091333285,1.277383617585457,7.278185091333285,1.277383617585457,1.277383617585457,3.788848876953125,21.210098266601562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6807686189653845,-0.6912451773598484,-0.09998022720025493,0.8094762560699914,-0.6841966567737768,-0.10000841720706903,0.8101938792194318,-0.6834204846986617,-0.10001142140251658,0.0010570823501669638,71,0.8094762563524244,-0.6841966551153761,-0.10001187865969784,0.0010270897315798405,1.1547063400518142e-08,0.0010570837595958293,0.0010570745209867486,1.6822786416131367e-09,0.0012115863068248665,0.0010570837595958293,0.0007176231494403496,0.0007761720751151557,-3.0041954475479304e-06,0.00042971969476490735,-0.000932874214804924,-7.096028194195081e-06,63,-0.9638208746910095,-10.0,-5.854012489318848,-10.0,5.3562548145959,3.2361864202692914,5.3562548145959,3.2361864202692914,3.2361864202692914,12.549957275390625,37.389434814453125,0,-0.0009687104543845108,-0.0007410130416668628,-4.1701291792831396e-06,-0.0005541461935016923,-0.001879467192032247,-3.537594801261701e-07,-0.9687104543845109,-0.7410130416668628,-0.004170129179283139,-0.5541461935016923,-1.879467192032247,-0.0003537594801261701,1.2196312034193866,1.9594578152381834,1.6065986243530035,0.8073911089316054,0.41456426088281856,-1.1384541503653842,0.0038163696991569693,1.2115863068248531,1.2115923173919383,direction_ok_jac_not_sensitive_enough
2,0.6828207710749035,-0.7000531206110694,-0.09999367222890326,0.8093728635842143,-0.6841622633695792,-0.10001522818332073,0.8097537872385565,-0.6847370694670688,-0.1000117022596065,0.0006895680431563678,73,0.8093728636726447,-0.6841622640016498,-0.1000119444635955,0.0015556053410084956,1.5088117997203895e-08,0.0006895686188833046,0.0006895545337978248,6.382266034047838e-10,0.0006075108464844002,0.0006895686188833046,0.000380923654342169,-0.0005748060974896108,3.5259237142343247e-06,0.0006787593192463248,-0.0013997120287796427,-7.64798819510859e-06,63,-1.4188004732131958,-10.0,-8.036958694458008,-10.0,3.9680591660510345,4.623065505357431,3.9680591660510345,4.623065505357431,3.9680591660510345,18.030349731445312,48.743804931640625,1,-0.0007176231494403693,-0.0007761720751151692,3.0041954475436e-06,-0.0004400919808752457,-0.0013165847684071252,-2.8085708991820724e-07,-0.7176231494403693,-0.7761720751151692,0.0030041954475436,-0.4400919808752457,-1.3165847684071252,-0.00028085708991820724,1.0570837595958527,1.3881917749476622,1.3132277939500006,0.9116012847533993,0.27753116856512355,-0.5404126932919561,-0.0032850525374618074,0.6075108464843971,0.6075197282116547,direction_ok_jac_not_sensitive_enough
3,0.6795649873247285,-0.6929249861907213,-0.1000312963490986,0.808855900273784,-0.6839903084337889,-0.10001198123710019,0.8093678778736808,-0.683876837848984,-0.1000119474889598,0.0005244012168894638,83,0.8088559002737469,-0.6839903084330181,-0.10001227348308381,0.0013048671689552581,5.4141493350948755e-09,0.0005244012170200536,0.0005244005982207699,7.717192507812417e-13,0.0002854690615750785,0.0005244012170200536,0.0005119775998968512,0.00011347058480493111,3.374814039336371e-08,0.0006620772571069855,-0.0011244252017093004,-7.565732456943364e-06,75,-1.8164509534835815,-10.0,-8.534443855285645,-10.0,4.662525933695747,3.954557120192419,4.662525933695747,3.954557120192419,3.954557120192419,17.74212646484375,47.92576599121094,2,-0.00038092365434217975,0.0005748060974896605,-3.5259237142301116e-06,-0.0003859093648757028,0.0008602316180847946,-2.4522935329618356e-07,-0.38092365434217973,0.5748060974896605,-0.0035259237142301115,-0.3859093648757028,0.8602316180847946,-0.00024522935329618356,0.689568618883352,0.9428279135937546,1.3672720689541298,0.9866535155343694,-0.004985710533523071,0.28542552059513415,0.003280694360933928,0.2854690615750285,0.285487912304562,direction_ok_jac_not_sensitive_enough
4,0.6794376674764395,-0.6933496891190946,-0.10000578372515564,0.8085457222340825,-0.6838871350871267,-0.10001509652166488,0.8089274284933905,-0.684077769866732,-0.10001222799237539,0.00042666296481496746,89,0.8085457222344082,-0.6838871350918391,-0.10001247089477679,0.00141452840274349,7.070637130278287e-09,0.0004266629672118781,0.00042666675486075493,4.723586539799511e-12,0.00011298578871933033,0.0004266629672118781,0.00038170625930800117,-0.00019063477960523656,2.868529289490329e-06,0.0007331982085431177,-0.0012096739185240013,-7.967856938934093e-06,81,-2.2710695266723633,-10.0,-10.270974159240723,-10.0,4.332848290179072,4.33578012074463,4.332848290179072,4.33578012074463,4.332848290179072,20.932769775390625,53.903404235839844,3,-0.0005119775998968758,-0.00011347058480492977,-3.37481403933248e-08,-0.00044044938029030867,-0.00020093201774795677,-2.805034155922703e-07,-0.5119775998968759,-0.11347058480492976,-3.37481403933248e-05,-0.44044938029030867,-0.20093201774795677,-0.0002805034155922703,0.5244012170200774,0.48411706472131527,0.9231806641280156,0.9780500603542674,0.07152821960656715,-0.08746143294302701,-0.00024675527519894553,0.11298578871934695,0.11298605816957571,mixed_noise_backlash_delay_or_constraints
5,0.6775417927599803,-0.6908200705461882,-0.1000174851448935,0.8081492922286295,-0.6836117319804054,-0.10001374548236193,0.8086729032977932,-0.6838172047723358,-0.1000123898923797,0.0005624834388199331,95,0.8081492922287488,-0.6836117319826023,-0.10001272312644471,0.0014338326997673954,4.082351488626499e-09,0.0005624834397334522,0.0005624852195754834,2.200142780516491e-12,0.00014513880216311442,0.0005624834397334522,0.0005236110691636542,-0.00020547279193039447,1.3555899822242923e-06,0.0008595069455841209,-0.0011476602377946676,-8.037670145649711e-06,87,-2.533555269241333,-10.0,-10.914859771728516,-10.0,4.4997496951589255,4.20673225646965,4.4997496951589255,4.20673225646965,4.20673225646965,22.1064453125,55.39405059814453,4,-0.0003817062593080154,0.00019063477960518536,-2.868529289484666e-06,-0.00025452519559732156,0.00026056509439620346,-1.6190000431959284e-07,-0.3817062593080154,0.19063477960518535,-0.0028685292894846657,-0.25452519559732156,0.26056509439620346,-0.00016190000431959284,0.4266629672118679,0.36424887592353283,0.8537157031698562,0.9447542751825212,0.12718106371069382,0.06993031479101809,0.002706629285165073,0.14513880216315156,0.1451640373351532,mixed_noise_backlash_delay_or_constraints
6,0.6763673424035728,-0.6878160501296399,-0.09995823423705436,0.8074598248971462,-0.683095316876432,-0.10001262261372963,0.8081767964706345,-0.6833221377711636,-0.10001270546583853,0.0007519946507395669,105,0.8074598248972094,-0.6830953168778551,-0.10001316178588289,0.0012416691368251488,9.102818921836237e-09,0.0007519946512290351,0.0007519980227379998,1.4244853007040658e-12,0.00029089738629737807,0.0007519946512290351,0.0007169715734882676,-0.00022682089473158307,-8.285210889580341e-08,0.0008860248387975167,-0.0008698863318721273,-8.540008576946034e-06,97,-3.0451605319976807,-10.0,-11.961529731750488,-10.0,4.641538305307904,4.008557909972126,4.641538305307904,4.008557909972126,4.008557909972126,23.320266723632812,56.48783874511719,5,-0.0005236110691636179,0.0002054727919304496,-1.3555899822237447e-06,-0.0004961068271587266,0.0004950670011721892,-3.155734588228265e-07,-0.5236110691636179,0.2054727919304496,-0.0013555899822237448,-0.49610682715872656,0.49506700117218916,-0.0003155734588228265,0.5624834397334386,0.7008661210267785,1.2460208963892319,0.9169595289779581,0.027504242004891304,0.28959420924173956,0.0010400165234009183,0.29089738629731976,0.29089924542525203,direction_ok_jac_not_sensitive_enough
7,0.6755829895976447,-0.6844712584908914,-0.1000056467092984,0.8068393041387475,-0.6826305432952335,-0.10001499685819791,0.8076049134804866,-0.6827870835083198,-0.10001306925906187,0.0007814488217451054,114,0.806839304298824,-0.6826305432835826,-0.10001355657937726,0.0011834048197359155,1.5927691738875844e-09,0.0007814489762430158,0.0007814483427329317,1.604999433495756e-10,0.00034067360659945106,0.0007814489762430158,0.0007656093417390819,-0.00015654021308630917,1.9275991360451217e-06,0.0010300902885975738,-0.000582546963524111,-9.050596984375159e-06,106,-3.5186729431152344,-10.0,-12.98141098022461,-10.0,4.726942904294447,3.8514203190067064,4.726942904294447,3.8514203190067064,3.8514203190067064,23.385787963867188,56.39227294921875,6,-0.0007169715734882337,0.00022682089473158857,8.285210888895094e-08,-0.0005718829901478761,0.000535054262843726,-3.637932233374608e-07,-0.7169715734882337,0.22682089473158856,8.285210888895094e-05,-0.5718829901478761,0.535054262843726,-0.0003637932233374608,0.7519946512290046,0.7831559350523488,1.041438170778181,0.9022893500786733,0.1450885833403576,0.3082333681121374,-0.0004466453322264117,0.34067360659943163,0.34067389938989623,mixed_noise_backlash_delay_or_constraints
8,0.6750372404236239,-0.6821760307317085,-0.10001323946629165,0.8062187507964518,-0.6821140843055323,-0.10001343327343566,0.8068646140821104,-0.6823495222078667,-0.10001354032027278,0.0006874375527292166,124,0.8062187507964969,-0.6821140843069272,-0.1000139513668933,0.001102148157282964,1.4744514640771487e-09,0.0006874375532492943,0.0006874369673045324,1.3956123081575694e-12,0.00028215854546312906,0.0006874375532492943,0.0006458632856586322,-0.0002354379023343789,-1.0704683711670882e-07,0.0010550828248596655,-0.0003186389701345105,-9.690473863580018e-06,116,-4.711818218231201,-10.0,-14.306032180786133,-10.0,4.63335550113527,4.041476432583124,4.63335550113527,4.041476432583124,4.041476432583124,27.7681884765625,57.58546447753906,7,-0.0007656093417391303,0.00015654021308625734,-1.9275991360486525e-06,-0.0007402993983761652,0.00043756130045313757,-4.7106121091322617e-07,-0.7656093417391303,0.15654021308625735,-0.0019275991360486525,-0.7402993983761652,0.43756130045313757,-0.00047106121091322617,0.7814489762430527,0.8599436556486436,1.1004476052710692,0.9453469550595492,0.025309943362965055,0.28102108736688025,0.0014565379251354263,0.282158545463185,0.28216230485418775,mixed_noise_backlash_delay_or_constraints
9,0.6745373845589695,-0.6794649536609799,-0.10002358111254589,0.8059084411413485,-0.6818041694344024,-0.1000159214997922,0.806414520697362,-0.6820741723857073,-0.1000138267151312,0.000573601002182347,130,0.8059084411413918,-0.6818041694362167,-0.100014148754673,0.001283709908562211,1.0130755815159645e-08,0.0005736010030745807,0.0005736059991614507,1.8148430525888464e-12,0.0001997969355283095,0.0005736010030745807,0.0005060795560134501,-0.00027000295130497065,2.0947846609969956e-06,0.001249421159419617,-0.0002947166363396203,-9.984924526612593e-06,122,-5.437227725982666,-10.0,-14.411352157592773,-10.0,4.559837434443352,4.209611838541605,4.559837434443352,4.209611838541605,4.209611838541605,31.124404907226562,57.83379364013672,8,-0.0006458632856586059,0.00023543790233439185,1.0704683712250099e-07,-0.0004500933847484401,0.0002753498221593764,-2.8639485842585355e-07,-0.645863285658606,0.23543790233439185,0.00010704683712250099,-0.4500933847484401,0.2753498221593764,-0.00028639485842585355,0.6874375532492741,0.5276377351531139,0.7675427853651784,0.9801708294374809,0.19576990091016586,0.03991191982498458,-0.00039344169554835455,0.1997969355282812,0.199797322912145,direction_ok_jac_too_sensitive
10,0.6742035774791479,-0.6767369260715391,-0.10000828778133641,0.8052878218311553,-0.6811843396929738,-0.10001415463185565,0.8058291557359909,-0.6814724614672775,-0.10001419905651769,0.0006132345002316498,142,0.8052878218311815,-0.6811843396947954,-0.1000145435302324,0.001168327128026528,1.302676315222265e-08,0.0006132345011106639,0.0006132407766278926,1.821842358429066e-12,0.00034105183030860923,0.0006132345011106639,0.0005413339048355725,-0.0002881217743037068,-4.4424662046238517e-08,0.0011680964042420916,2.3217848294176946e-05,-1.040346144853821e-05,134,-6.380403995513916,-10.0,-14.71315860748291,-10.0,4.571933453622705,4.210684904301729,4.571933453622705,4.210684904301729,4.210684904301729,32.733154296875,55.9910888671875,9,-0.0005060795560133988,0.0002700029513049897,-2.094784660999783e-06,-0.000585364961371071,0.0006017109184298652,-3.723413864870073e-07,-0.5060795560133988,0.2700029513049897,-0.0020947846609997833,-0.585364961371071,0.6017109184298652,-0.0003723413864870073,0.5736010030745444,0.8394689793903449,1.4635068164581675,0.9526162446033434,-0.07928540535767213,0.33170796712487555,0.0017224432745127757,0.3410518303086027,0.3410561797822784,direction_ok_jac_not_sensitive_enough
11,0.6741204037057582,-0.6740622806224594,-0.09999447249116286,0.8049257939002177,-0.6808227723435201,-0.10001434133831631,0.8054421412250788,-0.6811315891448798,-0.1000144452599901,0.0006016497115266434,149,0.8049257939002256,-0.6808227723456332,-0.10001477381597539,0.00132151863697813,4.387564062146146e-09,0.0006016497126180211,0.0006016519474925198,2.1131021851669932e-12,0.00016308616025013966,0.0006016497126180211,0.0005163473248611661,-0.0003088168013597459,-1.0392167379413841e-07,0.0013200220151072806,6.287596927800898e-05,-1.0817161292614452e-05,141,-7.004025459289551,-10.0,-14.912724494934082,-10.0,4.5396281114460635,4.2122469370963245,4.5396281114460635,4.2122469370963245,4.2122469370963245,34.12408447265625,55.27204895019531,10,-0.0005413339048355469,0.0002881217743037384,4.442466204830092e-08,-0.00038701451091205374,0.0003408723223976562,-2.462034724148854e-07,-0.541333904835547,0.28812177430373836,4.442466204830092e-05,-0.38701451091205374,0.3408723223976562,-0.0002462034724148854,0.6132345011106561,0.5157268383875983,0.8409944916871899,0.9729791677931849,0.1543193939234932,0.052750548093917805,-0.0002906281344631863,0.16308616025010522,0.1630864192072275,mixed_noise_backlash_delay_or_constraints
12,0.6742889668208232,-0.6714191864315074,-0.09999902134428895,0.8045291993749077,-0.680288942321067,-0.10001592751638701,0.8050714521671913,-0.6809645023659309,-0.10001468116089196,0.0008662675455052641,154,0.8045291993748581,-0.6802889423244819,-0.1000150260177517,0.0014656202018329656,5.197613042779799e-11,0.0008662675481373415,0.0008662675909243712,3.4152955802042857e-12,0.0002032331911630971,0.0008662675481373415,0.0005422527922835929,-0.0006755600448639099,1.2463554950464806e-06,0.0014629615588128697,-8.823861658435739e-05,-1.1230565942307869e-05,146,-7.499994277954102,-10.0,-15.103919982910156,-10.0,4.395909264495685,4.36550014830857,4.395909264495685,4.36550014830857,4.36550014830857,34.78948974609375,54.41187286376953,11,-0.0005163473248611197,0.00030881680135979043,1.0392167378952357e-07,-0.0003706890578875077,0.00016708677894894386,-2.3590090185432455e-07,-0.5163473248611197,0.30881680135979045,0.00010392167378952356,-0.3706890578875077,0.16708677894894386,-0.00023590090185432455,0.6016497126180042,0.4066059140458501,0.6758183455298874,0.9933295681145543,0.14565826697361195,-0.14173002241084656,-0.0003398225756438481,0.20323319116309493,0.20323347526851476,direction_ok_jac_too_sensitive
13,0.6749600792646543,-0.665000290692957,-0.10001815929934066,0.8039466355591596,-0.6801959983554761,-0.10001266712417037,0.8043840717748679,-0.6807458449800022,-0.10001511864686115,0.0012374658749588223,160,0.8040118850005831,-0.6795656760104326,-0.10001535497347125,0.0013436048681529672,7.520038074958408e-09,0.000702624902288605,0.0012374588541903455,0.0006336905777011038,0.0004793976011990914,0.000702624902288605,0.00043743621570835334,-0.0005498466245261735,-2.4515226907800836e-06,0.0013171735419773567,-0.0002651940837182787,-1.1142076092679476e-05,152,-7.9323811531066895,-10.0,-15.333343505859375,-10.0,4.0094099054550725,4.741879072720394,4.0094099054550725,4.741879072720394,4.0094099054550725,34.53411865234375,53.00001525878906,12,-0.0005422527922835756,0.0006755600448639454,-1.2463554950490265e-06,-0.0006873803923234112,0.00021865738592863337,-4.3748596918746774e-07,-0.5422527922835756,0.6755600448639454,-0.0012463554950490265,-0.6873803923234112,0.21865738592863337,-0.00043748596918746774,0.8662675481373584,0.7213202174983244,0.8326760228022224,0.8329103839912264,-0.14512760003983563,-0.45690265893531207,0.0008088695258615588,0.4793976011991305,0.47939828358619563,mixed_noise_backlash_delay_or_constraints
14,0.6849521052741695,-0.6550033161298432,-0.09999580221832055,0.8035127761847753,-0.6792957461483388,-0.10001254077751733,0.8041881691615435,-0.6800282315078043,-0.10001524298847603,0.0012262649867997974,165,0.8035807896886873,-0.6789629540820583,-0.10001562910323754,0.0015413955132479143,1.416202122377434e-08,0.000996338534283953,0.0012262536010177378,0.0003396710115591156,0.0002940819550027547,0.000996338534283953,0.0006753929767681077,-0.0007324853594655734,-2.702210958702156e-06,0.0015312445408809383,-0.00017660771297745015,-9.697032644501169e-06,157,-8.121458053588867,-10.0,-15.333343505859375,-10.0,4.267548024292296,4.485130468066814,4.267548024292296,4.485130468066814,4.267548024292296,29.791412353515625,47.59844970703125,13,-0.0004374362157083037,0.0005498466245261997,2.451522690782284e-06,-0.00019590261332447234,0.0007176134721978977,-1.2434161487939743e-07,-0.43743621570830366,0.5498466245261997,0.002451522690782284,-0.19590261332447234,0.7176134721978977,-0.00012434161487939743,0.7026249022885946,0.7438729255640917,1.0587056081878654,0.9188917806185404,0.24153360238383134,0.167766847671698,-0.0025758643056616815,0.29408195500269896,0.2940932357860864,mixed_noise_backlash_delay_or_constraints
15,0.6890875573713925,-0.6450360364806259,-0.10001174733604085,0.8029801377301782,-0.6784265975202713,-0.10001655768615261,0.8035160609341785,-0.6793082483145558,-0.10001567049071776,0.0011604548181017213,171,0.8030634753144124,-0.678239687768009,-0.10001595805895709,0.0015201790830150668,2.424397634325796e-08,0.001031756659124824,0.0011604350494216506,0.00020464703378439381,1.292647433605083e-05,0.001031756659124824,0.0005359232040003103,-0.0008816507942844831,8.871954348538269e-07,0.0015031331176651452,-0.00022701382119771907,-8.518330853926614e-06,163,-8.771217346191406,-10.0,-15.333328247070312,-10.0,4.139735886182052,4.646781885260225,4.139735886182052,4.646781885260225,4.139735886182052,26.68707275390625,42.32099914550781,14,-0.0006753929767680946,0.0007324853594655595,2.7022109586983095e-06,-0.0006721082273649648,0.0007199831932485079,-4.2750224173160323e-07,-0.6753929767680946,0.7324853594655595,0.0027022109586983096,-0.6721082273649648,0.7199831932485079,-0.00042750224173160323,0.9963385342839339,0.9849392203846862,0.9885587935269419,0.9999800529761489,0.0032847494031298203,-0.01250216621705158,-0.003129713200429913,0.012926474336034074,0.01329995652162415,mixed_noise_backlash_delay_or_constraints
16,0.6920495839076313,-0.635047997124176,-0.10000629252604265,0.8024881596082627,-0.6775864779075915,-0.10001883369644432,0.8030505672859399,-0.678669917189748,-0.10001596650059093,0.0012589591630260703,177,0.8025461609401374,-0.6775164214539598,-0.10001628701467664,0.00162484434642849,1.0522610585252451e-09,0.001220714165572784,0.00125895997852001,9.095087242401036e-05,0.00025330768618229716,0.001220714165572784,0.0005624076776772347,-0.0010834392821564842,2.867195853392679e-06,0.0015528328715018747,-0.0004783609759416718,-7.003165541419332e-06,169,-9.221124649047852,-10.0,-15.333334922790527,-10.0,4.132469895199051,4.654047383332909,4.132469895199051,4.654047383332909,4.132469895199051,23.0506591796875,37.25978088378906,15,-0.0005359232040003405,0.0008816507942845031,-8.871954348587346e-07,-0.00046549364823855743,0.0006383311248078227,-2.9600987316857896e-07,-0.5359232040003404,0.8816507942845031,-0.0008871954348587347,-0.46549364823855743,0.6383311248078227,-0.00029600987316857896,1.0317566591248566,0.7900322534231511,0.7657156807958442,0.9964814498338735,0.07042955576178306,-0.24331966947668035,0.0005911855616901557,0.25330768618232463,0.2533083760545857,direction_ok_jac_too_sensitive
