step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6622488076560508,-0.6812709048083746,-0.09997580353024355,0.8111582825542724,-0.6805312641540185,-0.10000081720449626,0.8121711654705175,-0.6811765790102395,-0.1,0.0016068744374516956,42,0.8108710147514699,-0.6802323049157649,-0.10001098866382742,0.0003457284201727566,1.43932862532414e-09,0.001200984207090482,0.0016068735577428018,0.00041460754535357436,nan,0.001200984207090482,0.001012882916245128,-0.0006453148562209909,8.17204496253443e-07,-6.396811128184243e-05,0.0003397590635350056,4.091717408907791e-06,34,-1.9999796152114868,-10.0,-25.670442581176758,-10.0,4.357964168268666,4.906463235167507,4.357964168268666,4.906463235167507,4.357964168268666,10.841339111328125,68.24796295166016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6616554227336475,-0.6712490979288093,-0.09998865064499379,0.8113410474577454,-0.6797104601914181,-0.10000567534792852,0.8113299822935184,-0.6795443708781654,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00016645749558406175,-1.1065164226997659e-05,0.00016608931325268195,5.6753479285159836e-06,nan,nan,nan,43,-2.0000030994415283,-10.0,-43.59065246582031,-10.0,5.6644597130659236,3.785532380274475,5.6644597130659236,3.785532380274475,3.785532380274475,4.2249908447265625,69.9945297241211,0,-0.0010128829162450897,0.0006453148562210369,-8.172044962475941e-07,-0.0008411831769991052,0.0016322081320740978,0.0,-1.0128829162450896,0.6453148562210369,-0.0008172044962475941,-0.8411831769991052,1.6322081320740978,0.0,1.2009842070904742,1.8362169053995565,1.5289267694194595,0.8639801556491499,0.1716997392459845,0.9868932758530609,0.0008172044962475941,1.001718093268323,1.0017184266071548,direction_ok_jac_not_sensitive_enough
2,0.6579269653597009,-0.6612692347872071,-0.09998074566033632,0.8103200423913441,-0.6787802755804412,-0.10002859188849736,0.8105538961590525,-0.6779546169811888,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0008581373475096387,0.00023385376770834743,0.0008256585992524323,2.85918884973535e-05,nan,nan,nan,52,-2.0000202655792236,-10.0,-57.169837951660156,-8.879058837890625,6.326939306217014,2.8143385097225178,6.326939306217014,2.8143385097225178,2.8143385097225178,0.73834228515625,70.60018157958984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.649862311052339,-0.6512830711726646,-0.09999040979926077,0.809382304890091,-0.6777510472282475,-0.10003851994181515,0.8096624971448434,-0.6776613634057163,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002941953222725569,0.0002801922547523983,8.968382253127238e-05,3.851994181514051e-05,nan,nan,nan,56,-3.4783008098602295,-10.0,-45.29171371459961,-5.573974609375,5.948594640669455,3.257294088826768,5.948594640669455,3.257294088826768,3.257294088826768,8.892013549804688,72.6968002319336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6398865095028997,-0.6412921772960173,-0.09998861606806264,0.8083791057376748,-0.6775008649140639,-0.10003554716371994,0.8090223254702775,-0.6774069919176031,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00065003366364678,0.0006432197326027289,9.387299646079761e-05,3.554716371993727e-05,nan,nan,nan,61,-5.139784812927246,-10.0,-31.52484893798828,-3.20037841796875,5.614751610564554,3.671586577520543,5.614751610564554,3.671586577520543,3.671586577520543,15.833816528320312,72.8348617553711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.644193794657349,-0.6312865808126445,-0.10001198024899449,0.8073882408583384,-0.6768136083574715,-0.10003523674381493,0.8082044682533921,-0.6770503615274251,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00084987012179466,0.0008162273950537147,-0.0002367531699536407,3.523674381492037e-05,nan,nan,nan,64,-7.26246976852417,-10.0,-2.099862575531006,-0.16796875,4.970610139902249,4.294754797988475,4.970610139902249,4.294754797988475,4.294754797988475,22.574859619140625,72.01258087158203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6493143161633674,-0.6212958660367673,-0.10001359603614085,0.8065162281023343,-0.6752589416565715,-0.10003552815099612,0.8073742072884859,-0.676775898765975,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0017427814423039692,0.0008579791861516028,-0.0015169571094034717,3.5528150996111396e-05,nan,nan,nan,66,-8.999987602233887,-10.0,0.0,2.910430908203125,4.286424244925655,4.978148997203448,4.286424244925655,4.978148997203448,4.286424244925655,27.092605590820312,14.894570350646973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6489433209422679,-0.611296822211186,-0.09998839381241081,0.8058486333097425,-0.6734510654445981,-0.10003568118529844,0.8064952120222976,-0.676651614363111,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0032652071008320094,0.0006465787125550237,-0.0032005489185129576,3.5681185298439e-05,nan,nan,nan,67,-9.000004768371582,-10.0,0.0,6.169525146484375,3.504592014516078,5.7309919935294715,3.504592014516078,5.7309919935294715,3.504592014516078,26.339431762695312,15.647809028625488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6493581896632084,-0.601292705897948,-0.09998840754423427,0.8052914142144759,-0.675126197584937,-0.0999985293058615,0.805754497558117,-0.67652931357224,-0.1,0.0030336494860053885,77,0.8068347571608202,-0.6736945175664032,-0.10001355481893189,0.002456298118425442,2.2859612410430317e-09,0.0014775590197968953,0.003033647237194846,0.0021051401676609395,0.006724321582410473,0.0014775590197968953,0.00046308334364109083,-0.0014031159873030274,-1.4706941385000949e-06,-8.48886284254835e-06,-0.0024562834498054187,5.877974192963764e-06,69,-9.00001049041748,-10.0,0.0,8.915908813476562,2.8518239408164163,6.38686897777842,2.8518239408164163,6.38686897777842,2.8518239408164163,25.284881591796875,16.702348709106445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6593486118972144,-0.5912955425245299,-0.09999523817184752,0.8056027137519625,-0.6750192569201499,-0.09999962242892516,0.8049831111848454,-0.6760318961151093,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011871585742208402,-0.0006196025671170169,-0.0010126391949594193,-3.77571074849925e-07,nan,nan,nan,71,-13.503823280334473,-10.0,0.0,11.776016235351562,2.2999602955362377,7.002375136828903,2.2999602955362377,7.002375136828903,2.2999602955362377,34.929351806640625,18.549549102783203,8,-0.00046308334364105705,0.0014031159873030634,1.4706941385029066e-06,-0.0007713863732715653,0.0004974174571307222,0.0,-0.4630833436410571,1.4031159873030634,0.0014706941385029067,-0.7713863732715653,0.49741745713072216,0.0,1.4775590197969188,0.9178567772411187,0.6211980464550744,0.778026447416791,-0.30830302963050826,-0.9056985301723413,-0.0014706941385029067,0.9567343338856871,0.9567354642621639,direction_ok_jac_too_sensitive
10,0.6693226507294486,-0.5813048641637709,-0.09997998858411655,0.8051644420416562,-0.6737729237018267,-0.10000193944478769,0.8043701586175823,-0.6754397097431061,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018463644995401448,-0.0007942834240738383,-0.0016667860412793445,1.9394447876852627e-06,nan,nan,nan,74,-17.627092361450195,-10.0,0.0,14.048690795898438,1.9295202414721473,7.509578447418562,1.9295202414721473,7.509578447418562,1.9295202414721473,39.492279052734375,20.941118240356445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
