step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6819029408032191,-0.6812736000584975,-0.10001034390858965,0.8110323445104747,-0.6818276005424996,-0.10000047753329992,0.812027482206594,-0.6816001604205496,-0.1,0.0010800722130678874,77,0.8109886205139585,-0.6818956640060029,-0.10001091466021628,0.0001188177022799669,1.52667736484666e-09,0.0010207977484841813,0.0010800718442787636,8.089760772367353e-05,nan,0.0010207977484841813,0.0009951376961193636,0.00022744012194997332,4.775332999168436e-07,0.00011223824302475371,-3.899003946916668e-05,3.0658730327259853e-06,72,0.14926135540008545,-10.0,-1.1285077333450317,-10.0,3.4051711797135624,3.056293132048637,3.4051711797135624,3.056293132048637,3.056293132048637,0.6549224853515625,6.6385345458984375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6810690041819287,-0.6838044093395129,-0.09998813194453782,0.8103341854343428,-0.6818053936718131,-0.10000215457215506,0.8112571730334036,-0.6827715720400843,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001336191134282536,0.0009229875990608427,-0.0009661783682711755,2.154572155049772e-06,nan,nan,nan,76,-0.06076773628592491,-10.0,-2.6851987838745117,-10.0,2.2580299994467055,4.201264736698448,2.2580299994467055,4.201264736698448,2.2580299994467055,2.354522705078125,17.036865234375,0,-0.0009951376961193584,-0.00022744012194993372,-4.775332999103254e-07,-0.000770309173190431,-0.0011714116195347124,0.0,-0.9951376961193584,-0.2274401219499337,-0.00047753329991032545,-0.770309173190431,-1.1714116195347124,0.0,1.0207977484841673,1.401991941732285,1.3734277357495588,0.7217893433398175,0.2248285229289274,-0.9439714975847786,0.00047753329991032545,0.9703762429979689,0.9703763604977739,direction_ok_jac_not_sensitive_enough
2,0.6803351521591641,-0.6832122379630242,-0.099984997704374,0.8097008575567506,-0.6816437216583393,-0.10000043441472624,0.8106051943405657,-0.6825316084888728,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001267346851653437,0.000904336783815074,-0.0008878868305335352,4.3441472623306776e-07,nan,nan,nan,78,-0.836010754108429,-10.0,-3.96417498588562,-10.0,2.51795338912396,4.032170816706866,2.51795338912396,4.032170816706866,2.51795338912396,5.06671142578125,21.912094116210938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6796371629209581,-0.6807896108769635,-0.09999415232451303,0.8090771609651649,-0.6814234864291535,-0.09999885610018931,0.8100231729511809,-0.6816068514457669,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009636189117091372,0.0009460119860159599,-0.00018336501661342375,-1.143899810693294e-06,nan,nan,nan,82,-1.5145514011383057,-10.0,-5.137012958526611,-10.0,3.294474467557677,3.3185823494112014,3.294474467557677,3.3185823494112014,3.294474467557677,8.246307373046875,26.823638916015625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6789823508903642,-0.6775012154456883,-0.09999619250470942,0.8084524963601681,-0.6811733291911019,-0.0999961906820561,0.8096066103173304,-0.6809239686143674,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001180745410046564,0.0011541139571622505,0.00024936057673441425,-3.809317943900825e-06,nan,nan,nan,85,-1.999804139137268,-10.0,-6.246024131774902,-10.0,3.8340915207982107,2.881729360833333,3.8340915207982107,2.881729360833333,2.881729360833333,10.329360961914062,31.009521484375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6783674624770827,-0.6738407144132879,-0.10000633033088513,0.8078470511874928,-0.680875903125339,-0.0999917330028795,0.8089979295119936,-0.6803806183670899,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012529277351705525,0.0011508783245007814,0.0004952847582491149,-8.26699712050405e-06,nan,nan,nan,88,-2.7175002098083496,-10.0,-7.914455413818359,-10.0,4.186139180831702,2.655486221256666,4.186139180831702,2.655486221256666,2.655486221256666,12.140609741210938,35.29728698730469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6778008082152218,-0.6695511170054648,-0.09997555200951694,0.8072733397699344,-0.6805169087182033,-0.09998845564137632,0.8083204766319461,-0.6795865492543596,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0014007370701695106,0.0010471368620116328,0.0009303594638436774,-1.1544358623688522e-05,nan,nan,nan,93,-3.076902151107788,-10.0,-9.763006210327148,-10.0,4.636035601432809,2.233010304248495,4.636035601432809,2.233010304248495,2.233010304248495,10.894073486328125,38.10438537597656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6772617236615328,-0.6642831578852747,-0.10000182862120982,0.8067661653641243,-0.6800997978420266,-0.09998958205000068,0.8078939527266675,-0.6787403575342422,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0017663471588397004,0.0011277873625432644,0.001359440307784343,-1.041794999932788e-05,nan,nan,nan,98,-3.1085000038146973,-10.0,-10.919110298156738,-10.0,5.082833399928575,1.6630221502969533,5.082833399928575,1.6630221502969533,1.6630221502969533,8.4974365234375,38.74534606933594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6767405291772342,-0.6581216773951758,-0.09999971707093569,0.8062743596148098,-0.6796386642741005,-0.09998161673353126,0.8075195295015298,-0.6778114820913277,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0022111179922918605,0.0012451698867200767,0.0018271821827727797,-1.8383266468746662e-05,nan,nan,nan,102,-3.586980104446411,-10.0,-12.347722053527832,-10.0,5.627238180559232,1.2169642195264316,5.627238180559232,1.2169642195264316,1.2169642195264316,9.12506103515625,40.389404296875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6762867825003651,-0.6516837304094018,-0.10000636172836203,0.8057863242667673,-0.6792913409737661,-0.0999850302424239,0.8071921964843315,-0.6774911681078002,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0022840969855675254,0.0014058722175641636,0.0018001728659658989,-1.4969757576102638e-05,nan,nan,nan,105,-4.088212013244629,-10.0,-13.364547729492188,-10.0,5.584409446102143,1.265248015569071,5.584409446102143,1.265248015569071,1.265248015569071,9.895553588867188,40.854156494140625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
