step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6825586304939685,-0.681270164288286,-0.09998766795549219,0.8113853597214924,-0.681598593069269,-0.09999876886826954,0.8123997561757914,-0.6814342252457577,-0.1,0.0016858160823087678,78,0.8107705448925595,-0.6818674070297246,-0.1000110534767261,0.00019411768325413466,1.102321173033979e-08,0.0010276268524616527,0.0016858134307774322,0.0006710128308844914,nan,0.0010276268524616527,0.0010143964542990158,0.00016436782351125778,-1.2311317304641856e-06,-0.00014313155477385653,0.00013112983253238397,2.506309789457317e-06,71,0.1492404043674469,-10.0,-0.3887348473072052,-10.0,3.559564456573355,2.9084577093598227,3.559564456573355,2.9084577093598227,2.9084577093598227,0.644683837890625,2.4370269775390625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6816178651894276,-0.6830448925255072,-0.0999613113936321,0.810363378733594,-0.681491734752777,-0.09999447187412837,0.8115694684609309,-0.6819343807793362,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012847520909561967,0.0012060897273369342,-0.0004426460265591903,-5.528125871637202e-06,nan,nan,nan,74,0.14927120506763458,-10.0,-2.042732000350952,-10.0,3.0852062316469926,3.3685075380798253,3.0852062316469926,3.3685075380798253,3.0852062316469926,1.2668609619140625,13.667037963867188,0,-0.001014396454298972,-0.00016436782351121344,1.2311317304585202e-06,-0.0008302877148604892,-0.0005001555335785168,0.0,-1.014396454298972,-0.16436782351121343,0.0012311317304585202,-0.8302877148604892,-0.5001555335785168,0.0,1.0276268524616023,0.9692952322267266,0.9432365736274959,0.9280933344493973,0.18410873943848277,-0.3357877100673034,-0.0012311317304585202,0.3829483178835893,0.38295029684700377,mixed_noise_backlash_delay_or_constraints
2,0.6806055121675114,-0.6811392187409883,-0.09997478536970072,0.8093350194489926,-0.6811420608064571,-0.09999149338899874,0.8105302924109523,-0.6814436902122953,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012327439929110888,0.001195272961959759,-0.00030162940583822184,-8.506611001268816e-06,nan,nan,nan,79,-0.9049361348152161,-10.0,-4.077889442443848,-10.0,3.5925903616389974,2.99086685930925,3.5925903616389974,2.99086685930925,2.99086685930925,5.0314788818359375,22.0457763671875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6795811741228736,-0.6760104199419249,-0.09998910954707513,0.8083030592960162,-0.6806379327928715,-0.09999151788076716,0.809568615093839,-0.6807373231234267,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012694526045547601,0.0012655557978228371,-9.939033055517132e-05,-8.482119232849916e-06,nan,nan,nan,85,-2.0417094230651855,-10.0,-6.343440055847168,-10.0,4.002740980011339,2.7299400891361927,4.002740980011339,2.7299400891361927,2.7299400891361927,9.837631225585938,30.686874389648438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.678577465746739,-0.6684231285972095,-0.10000318678880629,0.8072679795601871,-0.6799548426952298,-0.10001649533124708,0.8086902083266445,-0.6795642746446117,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0014748823906679707,0.0014222287664573674,0.00039056805061810085,1.6495331247076694e-05,nan,nan,nan,92,-3.0035765171051025,-10.0,-8.73403549194336,-10.0,4.866954067149493,2.052859522154037,4.866954067149493,2.052859522154037,2.052859522154037,10.276351928710938,34.6923828125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6775635154451695,-0.6584422952386233,-0.10000120648098432,0.806234600181429,-0.6791955579732997,-0.10000228957675975,0.8079806266938435,-0.678147881799753,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020362303275100455,0.0017460265124145113,0.001047676173546619,2.289576759739731e-06,nan,nan,nan,100,-3.090034246444702,-10.0,-10.644463539123535,-10.0,5.617323207128777,1.1264747829131636,5.617323207128777,1.1264747829131636,1.1264747829131636,7.2371826171875,36.8538818359375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6765453883936209,-0.6484454632227802,-0.0999991043230743,0.8052078815586844,-0.6784904782478597,-0.0999873388802471,0.8071374064049432,-0.6774781179882884,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002178976692736646,0.0019295248462588566,0.0010123602595712988,-1.2661119752899186e-05,nan,nan,nan,105,-4.173111915588379,-10.0,-13.437141418457031,-10.0,5.54987782726505,1.2991737736633127,5.54987782726505,1.2991737736633127,1.2991737736633127,10.26361083984375,40.95545959472656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6756020177862875,-0.638447540457059,-0.10000602253567331,0.8044774320847053,-0.6777514003398148,-0.09999831566709388,0.806188169874249,-0.6770901482262186,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001834087822954033,0.0017107377895436704,0.0006612521135962446,-1.6843329061211332e-06,nan,nan,nan,110,-5.640108585357666,-10.0,-14.69122314453125,-10.0,5.052956787554706,1.7837536962552605,5.052956787554706,1.7837536962552605,1.7837536962552605,15.192398071289062,41.52665710449219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6748071828664791,-0.6284335468423042,-0.09999332542847456,0.8038249961922049,-0.6770225640882208,-0.09999898618205914,0.8055251887194556,-0.6767732520637699,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001718374556159004,0.0017001925272506213,0.0002493120244508873,-1.0138179408619719e-06,nan,nan,nan,114,-6.663536071777344,-10.0,-15.566184997558594,-10.0,4.734660625096126,2.0929564175324487,4.734660625096126,2.0929564175324487,2.0929564175324487,17.342269897460938,40.94721984863281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6741442750074135,-0.6184545170184171,-0.10001376007152585,0.8031796511332582,-0.6764106719601723,-0.10000563128764155,0.8049799752671308,-0.6765131632873562,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00180323915750303,0.001800324133872655,-0.00010249132718387344,5.631287641541527e-06,nan,nan,nan,116,-7.2727203369140625,-10.0,-16.086957931518555,-10.0,4.47258000593456,2.3475507790624874,4.47258000593456,2.3475507790624874,2.3475507790624874,17.84234619140625,39.94902038574219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
