step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.681653704793162,-0.6813053324283053,-0.09997979475635332,0.8112974229780561,-0.6805494829682415,-0.10000584518811707,0.812169511088731,-0.6811642575697702,-0.1,0.0011238553761166485,76,0.8112945160590106,-0.6804589671300286,-0.10001071917264452,0.0005122413729113013,1.885387999635501e-08,0.001066998352138089,0.0011238674818358928,9.056250408260036e-05,nan,0.001066998352138089,0.0008720881106749623,-0.0006147746015287003,5.845188117067912e-06,0.0003541494594336836,0.0003700937509670821,3.8068073038161065e-06,71,-2.1839773654937744,-10.0,-79.81204223632812,-4.812042236328125,4.573997827706933,5.2617190892343615,4.573997827706933,5.2617190892343615,4.573997827706933,13.19842529296875,87.42829132080078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.680787172822582,-0.671330690667503,-0.10000812908994677,0.8107539740744892,-0.6800857792260845,-0.10001024681811792,0.8114898070971482,-0.6793645124164845,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010303766533971764,0.0007358330226590049,0.0007212668095999408,1.0246818117912171e-05,nan,nan,nan,79,-3.0734429359436035,-10.0,-77.26214599609375,-2.2918701171875,6.044922254799701,4.128503060636888,6.044922254799701,4.128503060636888,4.128503060636888,12.671722412109375,83.88810729980469,0,-0.00087208811067498,0.0006147746015287068,-5.845188117067091e-06,-0.0006797039915827918,0.0017997451532856257,0.0,-0.8720881106749799,0.6147746015287069,-0.0058451881170670916,-0.6797039915827918,1.7997451532856257,0.0,1.0669983521381072,1.9238191528698014,1.8030197958710357,0.827782300929536,0.19238411909218814,1.184970551756919,0.0058451881170670916,1.20048609230177,1.2005003223798392,direction_ok_jac_not_sensitive_enough
2,0.6801960681045519,-0.663862422124283,-0.10001601115261649,0.8102792669505194,-0.6796177195712472,-0.10001468719161251,0.8111465352225893,-0.6783316925671756,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015511349750876751,0.0008672682720698432,0.0012860270040715438,1.4687191612502981e-05,nan,nan,nan,83,-3.4452903270721436,-10.0,-39.235992431640625,-1.01910400390625,6.660635211573492,3.637735539250457,6.660635211573492,3.637735539250457,3.637735539250457,10.170547485351562,79.67240905761719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6797045001208558,-0.6563621581308097,-0.09997419406293256,0.809804210027572,-0.6791405451776067,-0.10001919439973855,0.8107512285139307,-0.6774671751993078,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001922761321063343,0.0009470184863586972,0.001673369978298922,1.9194399738547974e-05,nan,nan,nan,90,-3.5293986797332764,-10.0,0.0,0.44659423828125,6.992410778867509,3.3059532844678756,6.992410778867509,3.3059532844678756,3.3059532844678756,8.277175903320312,11.162778854370117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6792653739558976,-0.6487009485086711,-0.09997278601923129,0.8094102765646902,-0.6786334323451229,-0.1000239902294989,0.810486148813359,-0.6763992347177459,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0024797459816748454,0.0010758722486687855,0.002234197627376977,2.3990229498893623e-05,nan,nan,nan,96,-3.5294272899627686,-10.0,0.0,1.429443359375,7.515274644409089,2.8050773669048112,7.515274644409089,2.8050773669048112,2.8050773669048112,4.3985443115234375,15.041549682617188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6788741719832251,-0.6406143539590571,-0.10000015021314068,0.8091242149719182,-0.6780750882424957,-0.1000292795697159,0.8102023112217854,-0.675996232253016,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023417800385547834,0.0010780962498672109,0.0020788559894797665,2.9279569715892628e-05,nan,nan,nan,99,-3.5294153690338135,-10.0,0.0,2.481842041015625,7.30155228390322,2.844661640563629,7.30155228390322,2.844661640563629,2.844661640563629,2.9497528076171875,16.490278244018555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6785093737422296,-0.631784476693826,-0.10001766609024415,0.8088374729034241,-0.6774961158097751,-0.10003472155061342,0.810043136647813,-0.6759233324545945,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001981734731710356,0.0012056637443889073,0.0015727833551806292,3.472155061341742e-05,nan,nan,nan,99,-3.5293967723846436,-10.0,0.0,3.072021484375,7.156526378044873,2.958778488698158,7.156526378044873,2.958778488698158,2.958778488698158,2.5466766357421875,16.893362045288086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6781851770487434,-0.6225905705497504,-0.10002565343212327,0.8085864895293412,-0.676955813818616,-0.10003983454547016,0.8098497632861651,-0.6758015255090327,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0017112107077506948,0.0012632737568238905,0.0011542883095833067,3.9834545470157634e-05,nan,nan,nan,100,-3.5294182300567627,-10.0,0.0,3.78900146484375,6.985806626698775,3.0935766524301016,6.985806626698775,3.0935766524301016,3.0935766524301016,1.5538177490234375,17.886491775512695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6778882025344326,-0.6140359079676205,-0.09998141670378458,0.8087175216207021,-0.6752923618647141,-0.09999921348597098,0.8096204791397692,-0.6757246667173809,-0.1,0.001765410961611145,106,0.8079732305650799,-0.6750896486101109,-0.10001283077116445,0.0015180739055525552,0.0006787972835135963,0.0010011092682015556,0.0012860455177949896,0.0007714025143017639,0.005107934268501996,0.0010011092682015556,0.0009029575190671046,-0.000432304852666765,-7.865140290302941e-07,0.0014818767563358204,0.000329529455058597,4.250053142779153e-06,101,-3.5294272899627686,-10.0,0.0,4.639129638671875,6.772278717783479,3.2863985534825133,6.772278717783479,3.2863985534825133,3.2863985534825133,1.5706024169921875,17.86940574645996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6759928349068588,-0.6131977272788257,-0.09999318832384471,0.807969096876243,-0.674458152702363,-0.09999811015071491,0.8088261454211212,-0.6754048360335078,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012770049090529228,0.000857048544878225,-0.000946683331144782,-1.889849285091616e-06,nan,nan,nan,103,-4.554584503173828,-10.0,0.0,7.584320068359375,6.041331587862658,3.986665543557308,6.041331587862658,3.986665543557308,3.986665543557308,5.499114990234375,18.988187789916992,8,-0.0009029575190670958,0.00043230485266674635,7.865140290350375e-07,-0.0007943337186480104,0.0003198306838730902,0.0,-0.9029575190670958,0.43230485266674634,0.0007865140290350375,-0.7943337186480104,0.3198306838730902,0.0,1.0011092682015394,0.8563046904740771,0.8553558705505195,0.997968398756026,0.10862380041908536,-0.11247416879365613,-0.0007865140290350375,0.15636357844238902,0.15636555652581233,mixed_noise_backlash_delay_or_constraints
10,0.6781306084253732,-0.6085698253911681,-0.0999856240850936,0.8078217761889208,-0.6737689033832802,-0.09999966095377298,0.807844862445225,-0.6750138422405512,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012451528956611078,2.3086256304205577e-05,-0.0012449388572709497,-3.3904622702418674e-07,nan,nan,nan,106,-6.90876579284668,-10.0,0.0,11.222671508789062,5.137679036914221,4.920599042726678,5.137679036914221,4.920599042726678,4.920599042726678,14.597076416015625,20.042633056640625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
11,0.6820437641582048,-0.6023200989099046,-0.09998442680733588,0.8077543123206721,-0.6730953968576512,-0.10000172927084464,0.8077310846013185,-0.6748079663618205,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0017127270166483336,-2.3227719353591247e-05,-0.0017125695041693145,1.7292708446303706e-06,nan,nan,nan,107,-7.181731700897217,-10.0,0.0,11.64453125,5.059296526714036,5.027034024189163,5.059296526714036,5.027034024189163,5.027034024189163,14.074951171875,21.60995864868164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
12,0.6869647963187573,-0.5953654424464664,-0.09999363866192842,0.8076853316912732,-0.6724240725518493,-0.10000425102763225,0.8075185459262886,-0.6745597020940336,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0021421323565204145,-0.00016678576498463382,-0.0021356295421842697,4.2510276322405005e-06,nan,nan,nan,109,-7.6916632652282715,-10.0,0.0,12.432571411132812,4.890466762520759,5.233057542090478,4.890466762520759,5.233057542090478,4.890466762520759,14.63397216796875,22.932323455810547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
