step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6635246869474596,-0.6812821902400922,-0.0999964307655824,0.8125749458367373,-0.6814974241307996,-0.10003071772085372,0.8135549694119669,-0.6818912966342582,-0.1,0.0015106952659986804,33,0.8125570075389154,-0.6807571571866389,-0.10000991560107667,0.00040845029152334294,4.926214411426115e-09,0.0010562110380916323,0.0015106990231923897,0.0007404842544887953,nan,0.0010562110380916323,0.0009800235752296382,-0.00039387250345856994,3.071772085370961e-05,5.027079773278764e-05,-0.00040534489948784724,4.066666124430407e-06,27,-1.8537352085113525,-10.0,-5.992095947265625,-10.0,3.9285119146320255,5.2042586442199195,3.9285119146320255,5.2042586442199195,3.9285119146320255,12.549484252929688,32.977996826171875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6625570076190153,-0.671278980398529,-0.099981322823322,0.8115675439855264,-0.6810864802141813,-0.10001657786922519,0.8128843768663425,-0.6807873301373761,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0013503849837919891,0.0013168328808160767,0.0002991500768051436,1.6577869225181674e-05,nan,nan,nan,31,-2.000014305114746,-10.0,-16.054515838623047,-10.0,4.87952603122892,4.278315922252062,4.87952603122892,4.278315922252062,4.278315922252062,8.582275390625,55.35438537597656,0,-0.0009800235752296868,0.0003938725034585792,-3.071772085370643e-05,-0.0006705925456244044,0.0011039664968820473,0.0,-0.9800235752296869,0.3938725034585792,-0.03071772085370643,-0.6705925456244044,1.1039664968820473,0.0,1.056211038091681,1.2916796771975,1.2229371114207603,0.800431496902926,0.3094310296052824,0.710093993423468,0.03071772085370643,0.774584431536468,0.7751932790943944,direction_ok_jac_not_sensitive_enough
2,0.6618083619447811,-0.6612707290514915,-0.10000902764754083,0.8107492717544231,-0.6805672876772407,-0.09999830269738745,0.8119865990168871,-0.6793243545620757,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0017538134117431874,0.0012373272624639498,0.0012429331151649903,-1.6973026125549628e-06,nan,nan,nan,37,-2.0000035762786865,-10.0,-29.26797103881836,-10.0,6.138022898486383,3.350578381237881,6.138022898486383,3.350578381237881,3.350578381237881,4.8946533203125,64.72086334228516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6604584702722825,-0.6512995475313111,-0.0999874867083334,0.8100800495788184,-0.6801214034424095,-0.09999193831381183,0.8113539337910239,-0.6780148661089347,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002461763701785672,0.0012738842122055338,0.0021065373334747672,-8.061686188179373e-06,nan,nan,nan,48,-2.0000057220458984,-10.0,-43.05133056640625,-10.0,6.817348275331938,2.4583462602802513,6.817348275331938,2.4583462602802513,2.4583462602802513,0.93878173828125,66.55197143554688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6599270994554799,-0.6413094604490185,-0.09998572366117109,0.8094058215915401,-0.6795750565529476,-0.09990729373224891,0.8110124397595788,-0.6769483660095252,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0030790786201031956,0.0016066181680387537,0.0026266905434223498,-9.270626775109703e-05,nan,nan,nan,54,-2.000004529953003,-10.0,-55.73057556152344,-10.0,7.381626214288076,1.7598787190515566,7.381626214288076,1.7598787190515566,1.7598787190515566,1.5230255126953125,66.99444580078125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.658729685930309,-0.631314437124674,-0.09998337287559483,0.8087378219997353,-0.6791669012574978,-0.09991782503339015,0.8103943594318531,-0.6767745159991087,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002909918124031174,0.0016565374321177995,0.0023923852583891403,-8.217496660985202e-05,nan,nan,nan,57,-2.0000159740448,-10.0,-55.56428527832031,-8.28753662109375,7.097377084956747,2.162652008692646,7.097377084956747,2.162652008692646,2.162652008692646,2.0755615234375,68.1312026977539,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6583481624696398,-0.6213359602951029,-0.09997514301509025,0.8081994020329688,-0.6786686892983619,-0.09992927724681538,0.809875681934153,-0.6766103042029804,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0026545929081504866,0.001676279901184241,0.0020583850953814764,-7.072275318462107e-05,nan,nan,nan,63,-2.9249930381774902,-10.0,-50.344383239746094,-6.364410400390625,6.690908957883664,2.5704182801805757,6.690908957883664,2.5704182801805757,2.5704182801805757,2.3014678955078125,68.79239654541016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6574567530160581,-0.6113314950547466,-0.09999325237073775,0.8077512652198406,-0.6781944801478359,-0.09997627294922372,0.8094097553462513,-0.6764412856458407,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0024133546074349773,0.0016584901264106167,0.0017531945019951811,-2.3727050776287117e-05,nan,nan,nan,64,-4.134270668029785,-10.0,-39.85650634765625,-4.636871337890625,6.312145552667516,2.969012403890929,6.312145552667516,2.969012403890929,2.969012403890929,8.524642944335938,69.4272232055664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6568300176751649,-0.6013632825211933,-0.10000933235406789,0.8086733247249829,-0.6744834419280046,-0.10002219280394473,0.8090542278772643,-0.6762825966864225,-0.1,0.0019581425852233307,71,0.8074021169284183,-0.6752314773797935,-0.10001319442722598,0.0007354683337169393,0.0011412700961039965,0.0018390337289337442,0.0009288673093226822,0.0014749665417152717,0.006292048968721052,0.0018390337289337442,0.0003809031522814532,-0.0017991547584179646,2.2192803944720563e-05,0.0006686417211979601,-0.00030631996110896953,4.081207599801462e-06,65,-5.056988716125488,-10.0,-32.21090316772461,-3.31866455078125,6.03339662546955,3.269620416306992,6.03339662546955,3.269620416306992,3.269620416306992,12.326156616210938,69.61809539794922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6668391139038413,-0.5913634987837021,-0.09999224713473898,0.8081701608442116,-0.6730758613537532,-0.10001674393899908,0.8082347821246337,-0.6759225093790787,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0028473814092904942,6.462128042217241e-05,-0.0028466480253255266,1.674393899907256e-05,nan,nan,nan,68,-7.18379020690918,-10.0,-3.504729986190796,-0.280364990234375,5.388958847621609,3.8454463619588637,5.388958847621609,3.8454463619588637,3.8454463619588637,19.857620239257812,69.59123229980469,8,-0.00038090315228149724,0.0017991547584179789,-2.2192803944723243e-05,-0.0008194457526305987,0.000360087307343826,0.0,-0.38090315228149724,1.7991547584179788,-0.02219280394472324,-0.8194457526305987,0.360087307343826,0.0,1.8390337289337675,0.8950721816783579,0.4867078657173916,0.5831968784106057,-0.4385426003491015,-1.4390674510741528,0.02219280394472324,1.5044051120167106,1.5045687959043084,mixed_noise_backlash_delay_or_constraints
