step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.681860580979458,-0.6812728729248031,-0.09997271003553759,0.8104826164979003,-0.6817578165067674,-0.09999812600751502,0.811475572006105,-0.6814481375368722,-0.1,0.0011974489635436798,80,0.8103343917424517,-0.6818108931379868,-0.10001133111096001,0.0002703979655564029,8.46340221631596e-09,0.0010401258124233491,0.0011974465780015327,0.00015744112204062058,nan,0.0010401258124233491,0.0009929555082046626,0.0003096789698951996,-1.8739924849825451e-06,-0.00023400364501779958,0.00013548931284579346,2.4144652959329216e-06,75,0.11489466577768326,-10.0,-2.212780714035034,-10.0,3.5741097442015644,2.8785636066312463,3.5741097442015644,2.8785636066312463,2.8785636066312463,1.213531494140625,14.349212646484375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.681027300952157,-0.6847333316285464,-0.09998643588920403,0.8097008249314761,-0.6816428295636926,-0.10000000728404435,0.8106481732863043,-0.6824253864782001,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012287653274076391,0.0009473483548282369,-0.0007825569145074596,7.2840443399169175e-09,nan,nan,nan,78,-0.782589316368103,-10.0,-3.8760437965393066,-10.0,2.62280009205233,3.919814835753641,2.62280009205233,3.919814835753641,2.62280009205233,7.6927642822265625,24.404525756835938,0,-0.000992955508204639,-0.0003096789698951813,1.8739924849878497e-06,-0.0008273987198006427,-0.0009772489413278906,0.0,-0.992955508204639,-0.3096789698951813,0.0018739924849878497,-0.8273987198006427,-0.9772489413278906,0.0,1.040125812423321,1.2804702787859723,1.2310724935973045,0.8440909698237163,0.16555678840399624,-0.6675699714327094,-0.0018739924849878497,0.6877926409502461,0.6877951939299575,direction_ok_jac_not_sensitive_enough
2,0.6802233537989705,-0.6829709274951149,-0.10001298783717,0.8090766167633078,-0.6814064472115178,-0.09999102443755803,0.8100582976988113,-0.6819974933096378,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011458764982466452,0.0009816809355035483,-0.0005910460981199961,-8.975562441976281e-06,nan,nan,nan,81,-1.4799519777297974,-10.0,-5.1109232902526855,-10.0,2.929122820658023,3.6665876798184343,2.929122820658023,3.6665876798184343,2.929122820658023,11.533981323242188,30.186843872070312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6795127665004425,-0.679815884058024,-0.09998670907014873,0.8084522856237014,-0.6811666048817616,-0.0999887067787162,0.8095044872227256,-0.6814592155063608,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010921305703153771,0.001052201599024194,-0.00029261062459917664,-1.1293221283806276e-05,nan,nan,nan,84,-2.1321170330047607,-10.0,-6.55360746383667,-10.0,3.291602962852437,3.4084228424225955,3.291602962852437,3.4084228424225955,3.291602962852437,13.297164916992188,34.50053405761719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6788720933476197,-0.67645554311417,-0.10000773168014593,0.80784719898421,-0.6808805584629388,-0.09997860238271385,0.8088819519987714,-0.6810599111424286,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010501815008769637,0.0010347530145614625,-0.00017935267948976374,-2.1397617286159076e-05,nan,nan,nan,87,-2.8691186904907227,-10.0,-8.2669095993042,-10.0,3.5014476088351785,3.318023429693852,3.5014476088351785,3.318023429693852,3.318023429693852,16.115554809570312,39.68696594238281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6783074558637149,-0.6726251289962754,-0.09999634336382873,0.8072738670783219,-0.6805333202828519,-0.09998374995278365,0.8084990325766234,-0.6807771850564666,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012491999543861427,0.0012251654983014282,-0.00024386477361471037,-1.625004721635126e-05,nan,nan,nan,89,-3.0769219398498535,-10.0,-9.319108009338379,-10.0,3.6661756276384097,3.2289638295779355,3.6661756276384097,3.2289638295779355,3.2289638295779355,16.385772705078125,42.2645263671875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6777541317149913,-0.6678589803119431,-0.09999311834780256,0.8067660112976434,-0.6800961566773819,-0.09997887446047721,0.8078716782455251,-0.6800949399799862,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001105667617320249,0.0011056669478817227,1.2166973957228322e-06,-2.1125539522798276e-05,nan,nan,nan,94,-3.116917133331299,-10.0,-11.078619956970215,-10.0,3.962011345330268,2.8855888133684573,3.962011345330268,2.8855888133684573,2.8855888133684573,13.941436767578125,44.55897521972656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6772590719581305,-0.6620575883904136,-0.0999898204272272,0.8062764350510798,-0.6797010217726532,-0.09998170536193554,0.8073340267995004,-0.6792304020352304,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011575764525849613,0.0010575917484205721,0.00047061973742279495,-1.8294638064464408e-05,nan,nan,nan,99,-3.9105474948883057,-10.0,-13.107199668884277,-10.0,4.359885535175522,2.382862519161762,4.359885535175522,2.382862519161762,2.382862519161762,15.1806640625,46.48101806640625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6768937514473989,-0.6567612035269328,-0.0999811350418463,0.8059079326655351,-0.6788428215667693,-0.09999847833016659,0.8069735711658633,-0.6784991475380467,-0.1,0.0016830152805881753,107,0.8053116720481772,-0.6787649138965789,-0.10001452708630974,0.0004376196539592194,0.0008097489351389165,0.001119686228994659,0.0011076005578057862,0.0006013288026416694,0.004788770467457526,0.001119686228994659,0.0010656385003282587,0.0003436740287225959,-1.5216698334152845e-06,0.0003552443673089378,0.00025556291011541443,7.226438707708116e-07,102,-4.453189373016357,-10.0,-13.676549911499023,-10.0,4.750675102519779,2.0758718133328955,4.750675102519779,2.0758718133328955,2.0758718133328955,16.177078247070312,45.999298095703125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6748295887681275,-0.6607327168376822,-0.10000778853090464,0.8049906627145593,-0.678277137810776,-0.0999975736046003,0.8061523743200733,-0.6787414378208565,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012510588929968345,0.0011617116055139265,-0.00046430001008046506,-2.4263953996989107e-06,nan,nan,nan,104,-5.736554145812988,-10.0,-14.773669242858887,-10.0,3.9907014429061007,2.86323356794108,3.9907014429061007,2.86323356794108,2.86323356794108,23.54107666015625,49.60682678222656,8,-0.0010656385003282678,-0.0003436740287226459,1.5216698334084665e-06,-0.0008211968457900731,-0.00024229028280975395,0.0,-1.0656385003282678,-0.34367402872264585,0.0015216698334084666,-0.8211968457900731,-0.24229028280975395,0.0,1.119686228994683,0.8561943942117326,0.7646735051977895,0.9996847510792674,0.24444165453819466,0.10138374591289193,-0.0015216698334084666,0.26463254979064826,0.2646369246491915,direction_ok_jac_too_sensitive
10,0.674664830238829,-0.6579225642407451,-0.09996547706148795,0.804473968470897,-0.6777211059805619,-0.09999822518731448,0.805220128125711,-0.6783261324348563,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009606306474749344,0.0007461596548139493,-0.0006050264542943884,-1.7748126855260393e-06,nan,nan,nan,109,-7.15059757232666,-10.0,-16.004613876342773,-10.0,3.524153432990005,3.3173104405284164,3.524153432990005,3.3173104405284164,3.3173104405284164,27.693832397460938,50.12882995605469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
11,0.6747823187488242,-0.6547333039233404,-0.09997452325117229,0.804080912782547,-0.6771819142796861,-0.09999803282306162,0.8048574810535135,-0.6782054813959719,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012848143527426717,0.0007765682709665045,-0.0010235671162858173,-1.967176938386106e-06,nan,nan,nan,110,-7.376518249511719,-10.0,-16.08696174621582,-10.0,3.317040626085941,3.5200043607578095,3.317040626085941,3.5200043607578095,3.317040626085941,28.012115478515625,49.73173522949219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
12,0.6750225445341558,-0.6517076541145161,-0.09999408187824249,0.8036875547322039,-0.6766432477271598,-0.09999638625671499,0.8044017935250265,-0.6779943828458832,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015283007433815085,0.000714238792822619,-0.0013511351187234233,-3.613743285016402e-06,nan,nan,nan,112,-8.26936149597168,-10.0,-16.086938858032227,-10.0,3.094061495351042,3.7367996222591557,3.094061495351042,3.7367996222591557,3.094061495351042,30.639175415039062,49.18458557128906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
13,0.6753990294864407,-0.648893041094182,-0.09998419343262194,0.8032941752125832,-0.6761041413953922,-0.09999972215786265,0.8040441857326737,-0.6778628268280497,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0019119336367374067,0.0007500105200904938,-0.0017586854326574475,-2.778421373528239e-07,nan,nan,nan,114,-9.005391120910645,-10.0,-16.086957931518555,-10.0,2.897706285436584,3.9286580105360542,2.897706285436584,3.9286580105360542,2.897706285436584,32.41947937011719,48.54924011230469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
14,0.675860579183791,-0.6464034427341143,-0.09997890504251469,0.802902558722737,-0.6755613652504994,-0.10000188659256352,0.803481854367312,-0.6775662873807919,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020869346401745613,0.0005792956445750397,-0.0020049221302925746,1.886592563518641e-06,nan,nan,nan,116,-10.159829139709473,-10.0,-16.086963653564453,-10.0,2.645114440915023,4.1732377293349145,2.645114440915023,4.1732377293349145,2.645114440915023,34.089874267578125,46.76966857910156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
15,0.6764067979449754,-0.6441252525031872,-0.10002414855208713,0.8025084391578742,-0.6750238620441426,-0.10000439669444283,0.80308143841739,-0.6773212608863147,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002367777352586114,0.0005729992595158162,-0.0022973988421721714,4.396694442826421e-06,nan,nan,nan,118,-10.980777740478516,-10.0,-16.08696174621582,-10.0,2.48647075065017,4.32733495622017,2.48647075065017,4.32733495622017,2.48647075065017,35.410888671875,45.86848449707031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
16,0.6771099317212281,-0.6419565345501065,-0.0999881891941179,0.8027707120485977,-0.6753831319410883,-0.09999940130337041,0.8025399020549314,-0.6770368126755931,-0.1,0.0016698503425681662,126,0.802770799879259,-0.6753830030247276,-0.10001614289369995,0.0018400802365553092,0.0011147708313694281,0.0016697105212726295,0.0013758089406255977,1.5599247776682956e-07,0.0038216878874354327,0.0016697105212726295,-0.00023080999366631438,-0.001653680734504781,-5.986966295917773e-07,0.0006715077681381798,-0.0017131761714113125,-1.6931583731172317e-06,121,-12.092577934265137,-10.0,-16.086959838867188,-10.0,2.242514768765517,4.603241700778142,2.242514768765517,4.603241700778142,2.242514768765517,37.370574951171875,45.09376525878906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
