step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6637545403859686,-0.6812724863473987,-0.0999945511297613,0.8127769936241226,-0.6804812238826378,-0.0999451729426741,0.8137871260919125,-0.681042903315742,-0.1,0.0016752864375353844,35,0.8121523981154903,-0.6806765031371221,-0.1000101731413778,0.0004424083861284935,2.965672850985868e-09,0.0011557903737510803,0.0016752871711694312,0.0006544108316918008,nan,0.0011557903737510803,0.0010101324677899148,-0.0005616794331042563,-5.482705732590132e-05,7.251668852559234e-05,0.0004364246899547508,4.105246102614757e-06,27,-1.6815863847732544,-10.0,-5.236475944519043,-10.0,4.805962628172892,4.333921618034196,4.805962628172892,4.333921618034196,4.333921618034196,11.41107177734375,29.5042724609375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6637573074815333,-0.6712694612047277,-0.10000363211063504,0.8117668314475791,-0.6799185921513702,-0.09989024832970049,0.8129454737618695,-0.6796445638606861,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012100781830655302,0.0011786423142904345,0.00027402829068412515,-0.00010975167029951549,nan,nan,nan,32,-2.0000157356262207,-10.0,-14.166707038879395,-10.0,6.012082570569476,3.1910403679830495,6.012082570569476,3.1910403679830495,3.1910403679830495,6.5819244384765625,50.05442810058594,0,-0.001010132467789865,0.0005616794331042189,5.482705732589768e-05,-0.0008416523300429635,0.0013983394550559636,0.0,-1.0101324677898649,0.5616794331042189,0.05482705732589768,-0.8416523300429635,1.3983394550559636,0.0,1.1557903737510185,1.6320943221005821,1.4121023654070224,0.8670661690285076,0.1684801377469015,0.8366600219517447,-0.05482705732589768,0.8534550656874145,0.8552143329964286,direction_ok_jac_not_sensitive_enough
2,0.6633235349829804,-0.6612715039753604,-0.09997814423328083,0.8107565976370372,-0.6793518867936807,-0.09983494176067693,0.8122712761454866,-0.6779691689563055,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002050892391558817,0.0015146785084493297,0.0013827178373752025,-0.00016505823932307095,nan,nan,nan,45,-1.9999796152114868,-10.0,-23.85037612915039,-10.0,7.464986273669183,1.9717018328050528,7.464986273669183,1.9717018328050528,1.9717018328050528,0.96002197265625,56.902870178222656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.660903514243755,-0.6512907503626935,-0.09999918164523494,0.8097463438581772,-0.6787828431354254,-0.09977939440052179,0.8115186229709513,-0.6769118543796507,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00257712478894804,0.001772279112774111,0.0018709887557746274,-0.00022060559947821579,nan,nan,nan,52,-2.0000176429748535,-10.0,-39.14944076538086,-10.0,7.747383483090289,1.4027152588716234,7.747383483090289,1.4027152588716234,1.4027152588716234,1.704559326171875,62.65675354003906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6573858599394459,-0.6412938944887974,-0.09999998290873324,0.808736096307458,-0.6782108977362387,-0.09972356830523779,0.8105238868257517,-0.6765877190108308,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002414726508720499,0.001787790518293697,0.0016231787254078478,-0.00027643169476221363,nan,nan,nan,62,-2.00002121925354,-10.0,-56.867801666259766,-8.767791748046875,7.306954745819098,1.9624491779536015,7.306954745819098,1.9624491779536015,1.9624491779536015,2.5386810302734375,67.38639068603516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6524671565496474,-0.6312903727589605,-0.09997636535916998,0.8079943064919244,-0.6776241523167447,-0.09966719134115531,0.8096647852947769,-0.6763713983038064,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002088035451737466,0.0016704788028525375,0.0012527540129382286,-0.000332808658844691,nan,nan,nan,64,-3.4723620414733887,-10.0,-45.340919494628906,-5.58245849609375,6.575609967539776,2.70471436784797,6.575609967539776,2.70471436784797,2.70471436784797,4.7714691162109375,68.60359191894531,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6444193741113087,-0.6213231195268791,-0.09998441949797393,0.8074549877148313,-0.6770291924786221,-0.09961072488437639,0.8091477292558427,-0.6761649956567458,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0019005815088037649,0.0016927415410114,0.0008641968218763285,-0.0003892751156236163,nan,nan,nan,66,-4.81431770324707,-10.0,-34.22166061401367,-3.66534423828125,6.161787660734319,3.1284035496084357,6.161787660734319,3.1284035496084357,3.1284035496084357,10.197463989257812,68.37642669677734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.635548515496973,-0.6113241997283061,-0.100004204001517,0.8069178146714535,-0.6764934948743158,-0.0995545145055733,0.8086800412863374,-0.6759609140826393,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018409467515025908,0.0017622266148838994,0.0005325807916765068,-0.0004454854944267034,nan,nan,nan,67,-6.028170585632324,-10.0,-24.141157150268555,-1.9312744140625,5.793489146277523,3.4487507133675877,5.793489146277523,3.4487507133675877,3.4487507133675877,14.648040771484375,68.99187469482422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6285889189370315,-0.6013267567734389,-0.10000546943005151,0.8076368999720834,-0.6744496729484168,-0.09998717224845291,0.8082111351650689,-0.6759196779993049,-0.1,0.0023494723498181836,76,0.8069293171220866,-0.6739506775353016,-0.10001349475364756,0.0007431588681159727,0.0005252012214466875,0.0015781827861497402,0.0020230445047787217,0.0008658348063688124,0.00645405022554545,0.0015781827861497402,0.000574235192985495,-0.0014700050508880125,-1.2827751547095367e-05,0.0007269626919709227,0.00015430601978472236,8.754846184413911e-06,68,-7.245165824890137,-10.0,-2.408834218978882,-0.19268798828125,5.367748706005386,3.866539729736303,5.367748706005386,3.866539729736303,3.866539729736303,19.6878662109375,69.1904296875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6385706511609434,-0.5913272049313723,-0.10001155083520558,0.8069968756074111,-0.6731911190527018,-0.09996526292328094,0.8075846183133077,-0.6756264985006287,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0025052972964739414,0.0005877427058966767,-0.002435379447926933,-3.473707671906856e-05,nan,nan,nan,69,-8.871236801147461,-10.0,0.0,2.130279541015625,4.881213850458209,4.376733890980972,4.881213850458209,4.376733890980972,4.376733890980972,24.024917602539062,17.552064895629883,8,-0.0005742351929854848,0.0014700050508880198,1.2827751547094915e-05,-0.000626516851761183,0.0002931794986761327,0.0,-0.5742351929854848,1.4700050508880198,0.012827751547094915,-0.626516851761183,0.2931794986761327,0.0,1.5781827861497435,0.6917207413289936,0.4383020439465488,0.7243476586427553,-0.052281658775698216,-1.1768255522118871,-0.012827751547094915,1.1779863123921057,1.1780561546008348,direction_ok_jac_too_sensitive
