step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6619615805632788,-0.6812573742146215,-0.09999136476466025,0.8113012442990101,-0.680678202051488,-0.10001218242127524,0.8122752516002272,-0.6811630641102725,-0.1,0.001207308891458157,76,0.8112945160590106,-0.6804589671300286,-0.10001071917264452,0.0005047185860936098,1.3554760542383892e-08,0.001088017205228383,0.0012073169990632843,0.00021933814077990373,nan,0.001088017205228383,0.0009740073012171058,-0.0004848620587845076,1.2182421275236388e-05,0.000364164053809235,0.00034946443747763123,4.343766166134411e-06,71,-2.045597791671753,-10.0,-80.2041015625,-5.2041015625,4.610315005990799,5.215841374413969,4.610315005990799,5.215841374413969,4.610315005990799,14.831558227539062,89.55814361572266,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6609550725739656,-0.6712562469898069,-0.1000119131673029,0.8107568555483784,-0.6801819389347142,-0.10002439916475982,0.8116711306332469,-0.6801653566624614,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009144254494295365,0.000914275084868521,1.658227225287412e-05,2.4399164759811298e-05,nan,nan,nan,75,-2.836165428161621,-10.0,-77.96417236328125,-2.96417236328125,5.35008139006186,4.643087815335377,5.35008139006186,4.643087815335377,4.643087815335377,14.527359008789062,86.51583099365234,0,-0.0009740073012171508,0.00048486205878445383,-1.2182421275237803e-05,-0.0006041209669802594,0.0009977074478111359,0.0,-0.9740073012171507,0.4848620587844538,-0.012182421275237802,-0.6041209669802594,0.9977074478111359,0.0,1.0880172052283992,1.1663542747222964,1.0719998434266054,0.8448829421688248,0.3698863342368914,0.512845389026682,0.012182421275237802,0.632318189917967,0.6324355340184971,mixed_noise_backlash_delay_or_constraints
2,0.6603361760060423,-0.6612618672279891,-0.10001322405330942,0.8102812172639663,-0.6796843667645914,-0.10003662831171857,0.8109899697980015,-0.6789253933981276,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010384463036203495,0.0007087525340352396,0.0007589733664637999,3.662831171856451e-05,nan,nan,nan,82,-3.529421091079712,-10.0,-16.88627052307129,-0.4385986328125,6.13011365720314,4.168253749876527,6.13011365720314,4.168253749876527,4.168253749876527,12.58184814453125,81.65391540527344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6598166129323437,-0.6512671776552192,-0.10000250261536128,0.8098055488006086,-0.6791874736986865,-0.10004883712952226,0.810749771670268,-0.6780818891481745,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0014539167878247288,0.0009442228696593391,0.0011055845505120176,4.8837129522250056e-05,nan,nan,nan,85,-3.5293989181518555,-10.0,0.0,0.451995849609375,6.556715754655727,3.7416519096350385,6.556715754655727,3.7416519096350385,3.7416519096350385,9.236434936523438,10.203534126281738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6593419601052748,-0.6412795782476508,-0.10000011225821065,0.809411837450436,-0.6786885147988472,-0.10006108143603178,0.8104686666894064,-0.6769972978489309,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00199426748758206,0.001056829238970436,0.0016912169499162522,6.108143603177074e-05,nan,nan,nan,93,-3.5294272899627686,-10.0,0.0,1.4942626953125,7.124868836024007,3.1797135628321485,7.124868836024007,3.1797135628321485,3.1797135628321485,5.980987548828125,13.459125518798828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6588995450375292,-0.6312848895627127,-0.09998685276437072,0.8091274843260355,-0.6781867418101495,-0.100073349902993,0.8103489174326339,-0.6760869269440859,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002429222366444916,0.0012214331065983908,0.0020998148660635874,7.334990299300015e-05,nan,nan,nan,98,-3.5294272899627686,-10.0,0.0,1.938262939453125,7.43125200923788,2.7566082502656,7.43125200923788,2.7566082502656,2.7566082502656,2.5084381103515625,16.931808471679688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6584831015070935,-0.6212846047628747,-0.09998705965359034,0.8088431473045905,-0.6776860004328065,-0.10008558835816647,0.8100726603665596,-0.6758530994208436,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002207085972318942,0.0012295130619690564,0.001832901011962873,8.558835816646626e-05,nan,nan,nan,99,-3.5293993949890137,-10.0,0.0,2.962554931640625,7.197191967162382,2.9042541083747153,7.197191967162382,2.9042541083747153,2.9042541083747153,2.007415771484375,17.432586669921875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6580972833318315,-0.6112754671189765,-0.10002035901518053,0.8085933025010965,-0.6771857250035233,-0.10009782019869105,0.8098328161612978,-0.6757929655236699,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018644498069261667,0.0012395136602012524,0.0013927594798534004,9.782019869104819e-05,nan,nan,nan,100,-3.5294203758239746,-10.0,0.0,3.851837158203125,6.970499994218585,3.1066239426198194,6.970499994218585,3.1066239426198194,3.1066239426198194,1.6384124755859375,17.801603317260742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6577837533553491,-0.6012996357179229,-0.09999267526858369,0.8088656665368812,-0.6754408094429405,-0.09999946735087047,0.8098070538976578,-0.6757631372669826,-0.1,0.0018548514369495267,105,0.8080091356049323,-0.6753071069326445,-0.10001280802659519,0.0016164873554195573,0.0006545377320708332,0.0009950403957537173,0.001412021657302261,0.0008669034540505355,0.005137165248595626,0.0009950403957537173,0.0009413873607766465,-0.00032232782404206795,-5.326491295393199e-07,0.0014685912166780835,0.0006754785033791233,5.453300208110856e-06,100,-3.529423475265503,-10.0,0.0,3.947357177734375,6.9499889523684715,3.1210624876420923,6.9499889523684715,3.1210624876420923,3.1210624876420923,1.3610076904296875,18.079208374023438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6542671710922203,-0.6013506461076336,-0.09998983083254101,0.8080735518664423,-0.6746929220543445,-0.09999884734963674,0.8089521994363438,-0.6754399072812298,-0.1,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011532599365619057,0.000878647569901525,-0.0007469852268853217,-1.1526503632675045e-06,nan,nan,nan,103,-4.2521653175354,-10.0,0.0,7.116943359375,6.159907447603246,3.8685153681849727,6.159907447603246,3.8685153681849727,3.8685153681849727,3.795806884765625,19.24017906188965,8,-0.000941387360776683,0.0003223278240420677,5.326491295332368e-07,-0.0008548544613140585,0.00032322998575273765,0.0,-0.941387360776683,0.32232782404206767,0.0005326491295332368,-0.8548544613140585,0.32322998575273765,0.0,0.9950403957537518,0.9139221923764977,0.9184774762493096,0.9994993384766955,0.08653289946262445,0.0009021617106699732,-0.0005326491295332368,0.08653760214589303,0.08653924138941861,mixed_noise_backlash_delay_or_constraints
