step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6731358603505905,-0.6812701830088901,-0.10000131151415004,0.8103227872371573,-0.6818306147299715,-0.09999532559673029,0.8113137472483547,-0.681286335487704,-0.10001070736071051,0.0033491269690881413,60,0.810044916091212,-0.684385806240871,-0.10001151673826071,0.001830706939604234,2.244279976075281e-08,0.0011305934889939801,0.0033491476111751134,0.0025702560244305578,nan,0.0011305934889939801,0.0009909600111973615,0.0005442792422675202,-1.5381763980221175e-05,-0.0018207720414137318,0.00019046540872602602,-6.1563393600749805e-06,52,-0.666656494140625,-10.0,-2.342207908630371,-10.0,7.56958529127246,1.0168000474379824,7.56958529127246,1.0168000474379824,1.0168000474379824,4.6619873046875,14.03021240234375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6749302894219186,-0.6912608507979139,-0.09997837525903147,0.8098462727845498,-0.6829192357779174,-0.09995087022279249,0.8106194333056091,-0.6828046121647556,-0.10001115016557402,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007816110055641651,0.0007731605210593573,0.00011462361316172398,-6.0279942781529816e-05,nan,nan,nan,56,-0.6666598916053772,-10.0,-4.262051582336426,-10.0,6.008866102671959,2.5408674106864737,6.008866102671959,2.5408674106864737,2.5408674106864737,9.753982543945312,29.023895263671875,0,-0.0009909600111973115,-0.0005442792422675545,1.538176398021998e-05,-0.0006943139427455502,-0.001518276677051622,-4.428048635124471e-07,-0.9909600111973115,-0.5442792422675545,0.01538176398021998,-0.6943139427455502,-1.518276677051622,-0.0004428048635124471,1.1305934889939526,1.669501697863703,1.4766595709591719,0.8023209353720987,0.2966460684517612,-0.9739974347840675,-0.015824568843732425,1.0181698742812177,1.0182928409219623,direction_ok_jac_not_sensitive_enough
2,0.6718899183600634,-0.7012398668808262,-0.1000253614340263,0.809414873935345,-0.6838177769331698,-0.09992203704358336,0.8099894975476635,-0.6843634521029367,-0.10001155200715023,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007924352886729086,0.0005746236123185255,-0.0005456751697668905,-8.951496356686406e-05,nan,nan,nan,61,-1.175325632095337,-10.0,-6.9316630363464355,-10.0,4.396976415332006,4.199837919865672,4.396976415332006,4.199837919865672,4.199837919865672,17.891128540039062,45.91615295410156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6677437164564823,-0.7112503497658935,-0.09998008504411032,0.8091136834243343,-0.6840314588211582,-0.09991425589719867,0.8098802928972271,-0.6853612245435973,-0.10001162204877069,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015349159457451462,0.0007666094728927542,-0.0013297657224390358,-9.736615157202033e-05,nan,nan,nan,61,-1.2886756658554077,-10.0,-7.215022087097168,-10.0,3.409110203502337,5.194658110447676,3.409110203502337,5.194658110447676,3.409110203502337,21.20001220703125,49.667449951171875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.665351586707922,-0.7069972078833484,-0.09999396830269522,0.8088052909899535,-0.6840085046690424,-0.09991387763648787,0.8093584767751114,-0.6848844397177634,-0.10001195399879656,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010359906961351628,0.0005531857851579502,-0.0008759350487209661,-9.807636230868555e-05,nan,nan,nan,69,-1.8268132209777832,-10.0,-8.671420097351074,-10.0,3.703460964599117,4.887703139634709,3.703460964599117,4.887703139634709,3.703460964599117,22.4510498046875,53.02826690673828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.664657099190464,-0.6977257336165473,-0.10001485674688115,0.8084760919000014,-0.683764075051272,-0.10001274585053516,0.8090073020174395,-0.6837854282147787,-0.10001217699102273,0.0005201870255997844,90,0.8084940258945185,-0.6838699395349759,-0.10001250379672562,0.001596314225357205,3.747310059411519e-10,0.0005316391129896515,0.0005201872749488998,0.00010737279482823212,0.0023562251852656288,0.0005316391129896515,0.0005312101174381745,-2.1353163506709905e-05,5.688595124259122e-07,-0.0011244592135178921,-0.001133053654163163,-7.693129493557826e-06,82,-2.1884636878967285,-10.0,-10.096288681030273,-10.0,4.635452834534135,4.042622202615007,4.635452834534135,4.042622202615007,4.042622202615007,21.608779907226562,54.5389404296875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.667104947722232,-0.6950745838151361,-0.0999736389762701,0.8080983556760435,-0.6836669564332882,-0.10000929448248222,0.8085674563256338,-0.6837039112079093,-0.10001245696297589,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004705540083914998,0.00046910064959027054,-3.695477462106744e-05,-3.162480493673625e-06,nan,nan,nan,90,-2.642274856567383,-10.0,-10.962949752807617,-10.0,4.570163412674333,4.1515864360235355,4.570163412674333,4.1515864360235355,4.1515864360235355,24.801712036132812,57.63093566894531,5,-0.0005312101174381328,2.1353163506757555e-05,-5.68859512428739e-07,-0.0004398456918057736,8.151700686942487e-05,-2.799719531626499e-07,-0.5312101174381328,0.021353163506757554,-0.000568859512428739,-0.4398456918057736,0.08151700686942487,-0.0002799719531626499,0.5316391129896118,0.447335729636086,0.8414274229732971,0.9897778960977996,0.09136442563235925,0.060163843362667314,0.0002888875592660891,0.10939445287261355,0.1093948343173496,mixed_noise_backlash_delay_or_constraints
7,0.6623341399174598,-0.6850829986428592,-0.09999059795066684,0.8076664727960782,-0.68324999414666,-0.10000761661221355,0.8080195609034333,-0.6820935558493082,-0.10001280492506105,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012091404993372508,0.0003530881073551262,0.0011564382973517917,-5.1883128475010976e-06,nan,nan,nan,107,-3.2066099643707275,-10.0,-12.33890438079834,-10.0,5.5306090235689,3.0495715600710582,5.5306090235689,3.0495715600710582,3.0495715600710582,21.599166870117188,54.79729461669922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6647915898262442,-0.6775322464144019,-0.10000302583046397,0.8072413268490881,-0.6828718061337584,-0.10000720481347387,0.8075262352992663,-0.6812854409503872,-0.1000131185648556,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016117466674372893,0.00028490845017814515,0.0015863651833711856,-5.913751381730892e-06,nan,nan,nan,117,-3.6439831256866455,-10.0,-13.101716041564941,-10.0,5.881664680444487,2.8713775797285734,5.881664680444487,2.8713775797285734,2.8713775797285734,20.957626342773438,53.58296203613281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6668517749673403,-0.6682338910933877,-0.09999440357202746,0.8068507617582474,-0.6827001878573729,-0.10000869254713292,0.8072286234169126,-0.6811948964428378,-0.10001330798326488,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015519928078963758,0.0003778616586651573,0.0015052914145350371,-4.6154361319633574e-06,nan,nan,nan,123,-4.123742580413818,-10.0,-13.562276840209961,-10.0,5.7572654533692,3.01312207440418,5.7572654533692,3.01312207440418,3.01312207440418,22.56884765625,53.75605010986328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
