k,legacy_wall_ms,optimized_wall_ms,speedup,tip_difference_m,pose_difference,u0_difference_inf,legacy_status,optimized_status,legacy_infeasible,optimized_infeasible,optimized_qp_build_ms,optimized_osqp_ms,optimized_forward_calls,optimized_jacobian_calls
0,63087.103542056866,81048.09312499128,0.7783909665186667,9.999274436602407e-06,0.001361082126762108,0.0034561944118093324,solved,solved,0,0,79457.28966698516,301.1250001145527,220,210
1,22025.01758397557,13829.216749989428,1.5926438917079238,2.9476939520060458e-05,0.004147451686649333,0.3594369563625113,solved,solved,0,0,12600.601915968582,18.94158194772899,55,45
2,20346.642874996178,13609.31787500158,1.4950523649954657,3.391239384862767e-05,0.0053620491470470835,0.026896508789275686,solved,solved,0,0,12460.952332941815,9.396374924108386,55,45
3,19729.114583926275,13612.791958032176,1.4493069933596676,3.9050597975940744e-05,0.0065211023018469615,0.02905372540516206,solved,solved,0,0,12387.56858301349,9.394292021170259,55,45
4,17309.13116701413,12303.911666036583,1.4067990438190345,4.465131954072926e-05,0.007726834682812479,0.028587247469126775,solved,solved,0,0,11157.735000131652,9.057124145328999,55,45
5,19101.613500039093,13181.702542002313,1.4491006331825131,4.861009707905579e-05,0.009066699837623406,0.028005296314844205,solved,solved,0,0,11757.717875996605,13.496333151124418,55,45
6,12760.598749970086,13136.02112501394,0.9714203889084065,5.551707166662763e-05,0.010515935557209836,0.027603140926617725,solved,solved,0,0,11743.808833067305,8.944708039052784,55,45
7,12534.336416050792,8192.88437499199,1.529905200946162,6.161324414172971e-05,0.012030029714658204,0.02720300186297725,solved,solved,0,0,6910.683042020537,5.872459150850773,40,30
8,12820.445457939059,8245.625082985498,1.5548178978442169,6.591646319295109e-05,0.013573353450985922,0.02713103069394476,solved,solved,0,0,6948.989375960082,5.706084077246487,40,30
9,12634.261541999876,8698.73225002084,1.4524256154647832,7.013944464469846e-05,0.01512594933252044,0.027404635397977037,solved,solved,0,0,7279.322459013201,8.463040925562382,40,30
10,12552.449625101872,8663.607708062045,1.4488709609301686,7.71452453624912e-05,0.016663950037240666,0.02592950794796732,solved,solved,0,0,7204.702124930918,5.6197920348495245,40,30
11,6964.160042000003,4789.381542010233,1.4540833677404112,7.613218614243704e-05,0.017786610351628217,0.017681693224571516,solved,solved,0,0,3373.7377090146765,3.3613330451771617,25,15
12,7148.728582891636,8147.910958970897,0.8773695023042495,7.613524583678095e-05,0.01865208906048813,0.017180161080388216,solved,solved,0,0,6693.096707924269,6.268167053349316,40,30
13,7525.157499941997,4734.274584101513,1.5895059245639735,7.793425555427727e-05,0.019084990652414657,0.019187479622871817,solved,solved,0,0,3274.99354199972,3.2539169769734144,25,15
14,7170.0030830688775,4737.100583035499,1.5135847249573056,7.588175399770435e-05,0.01969332819124535,0.017120793524904844,solved,solved,0,0,3251.4117079554126,3.2647920306771994,25,15
15,7119.327541091479,4784.837124985643,1.4878933922150677,7.58078544327909e-05,0.020278603701299778,0.01706976541063669,solved,solved,0,0,3278.7795839831233,3.2661249861121178,25,15
16,6801.323708030395,5118.603749899194,1.3287458925032714,7.572421042093275e-05,0.0209372445210791,0.017074710606624167,solved,solved,0,0,3470.6701670074835,9.240415995009243,25,15
17,6803.520082961768,4850.774249993265,1.4025637418544503,7.55673472219067e-05,0.021650997857175225,0.01706789642557119,solved,solved,0,0,3351.4264170080423,3.1262910924851894,25,15
18,7072.386415908113,6208.67800002452,1.1391130955543487,7.496115317566631e-05,0.022421882535750042,0.017066005560650303,solved,solved,0,0,3784.118792042136,3.044874989427626,25,15
19,12124.153875047341,6153.6167920567095,1.9702484383976586,7.749827080168221e-05,0.02324145876888943,0.017052151566478404,solved,solved,0,0,4171.940291998908,7.991833030246198,25,15
