pair_key,contact_experiment,no_contact_experiment,pair_index,contact_frame,no_contact_frame,contact_progress,no_contact_progress,mean_progress,progress_difference,pose_position_difference_mm,pose_rotation_difference_deg,pose_length_difference_mm,full_matrix_relative_change,source_matrix_relative_change,dL_column_relative_change,channel_index,channel,common_input_scale,input_scale_relative_mismatch,gain_contact,gain_no_contact,scaled_authority_contact_m,scaled_authority_no_contact_m,gain_ratio_contact_to_no_contact,relative_gain_difference,direction_difference_deg,column_relative_change,command_contact,command_no_contact,contribution_contact_m,contribution_no_contact_m,contribution_ratio_contact_to_no_contact
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417,0,vx,0.5,0.0,0.00026523952599348077,0.0002653144237955933,0.00013261976299674039,0.00013265721189779665,0.9997177017327553,-0.0002822982672446927,0.012137198342124442,0.0003529211216153542,0.0003741524542886328,3.5471423742951347e-06,9.924001962481445e-08,9.411080351570463e-10,105.45018841354795
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417,1,vy,0.5,0.0,9.535252153400499e-07,9.537240652230117e-07,4.7676260767002495e-07,4.768620326115059e-07,0.9997915016615259,-0.00020849833847417167,0.012131996400466458,0.00029714882839884226,0.006289796286908609,0.006293835510532065,5.997479358919578e-09,6.002582388949589e-09,0.9991498608933039
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417,2,vz,1.0,,3.2980725744494285e-06,3.2989046577348084e-06,3.2980725744494285e-06,3.2989046577348084e-06,0.9997477698291677,-0.0002522301708322874,0.014391798412804786,0.0003559461773143449,0.0,0.0,0.0,0.0,
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417,3,wx,1.0,,4.653720392887885e-21,4.3357907700539124e-21,4.653720392887885e-21,4.3357907700539124e-21,,,,,0.0,0.0,0.0,0.0,
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417,4,wy,0.5,0.0,3.5394422439566184e-05,3.5404418347036675e-05,1.7697211219783092e-05,1.7702209173518337e-05,0.9997176649712894,-0.00028233502871054624,0.012137154500091006,0.00035295006634656663,-4.992790297748777e-05,-4.7330685470483736e-07,1.7671692895068766e-09,1.6757153890490164e-11,105.45760342451479
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417,5,wz,5.235987755982988,0.0,1.7703305953564475e-05,1.7706998635465526e-05,9.269429321328433e-05,9.271362805050497e-05,0.9997914563627031,-0.00020854363729690391,0.012141397885009614,0.0002972975230475073,-0.11677739248479539,-0.11685239039763916,2.0673459076178134e-06,2.069105117321882e-06,0.9991497726774049
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417,6,dL,0.5,0.0,0.010002658510911207,0.01000265981002083,0.005001329255455603,0.005001329905010415,0.9999998701235823,-1.2987641770979886e-07,0.00046906373853519364,8.187735295224335e-06,0.05,0.05,0.0005001329255455605,0.0005001329905010416,0.9999998701235825
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,1,1,1,0.014545454545455134,0.014545454545455134,0.014545454545455134,0.0,0.03706273229811661,0.0005147143503693451,0.0,0.0018240760271724039,0.0006369607053489672,0.002277373322391126,0,vx,0.5,0.0,0.0006092380814239001,0.000609256512044761,0.00030461904071195004,0.0003046282560223805,0.9999697489965284,-3.025100347162496e-05,0.009239810939553379,0.00016407552067089766,0.0018677495199856233,0.0018798363784961294,1.1379041341364514e-06,1.1453025551774072e-06,0.9935402038461272
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,1,1,1,0.014545454545455134,0.014545454545455134,0.014545454545455134,0.0,0.03706273229811661,0.0005147143503693451,0.0,0.0018240760271724039,0.0006369607053489672,0.002277373322391126,1,vy,0.5,0.0,1.4189478243573035e-05,1.409109856486608e-05,7.0947391217865175e-06,7.04554928243304e-06,1.006981689770608,0.006981689770608018,0.2536791410567294,0.008275499966793607,0.012697972095561715,0.012709615246400895,1.8017759878747045e-07,1.7909244115855968e-07,1.0060592039613219
"(None, True, 'inverse_jacobian', 'held', 10, 15, 1.0)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,1,1,1,0.014545454545455134,0.014545454545455134,0.014545454545455134,0.0,0.03706273229811661,0.0005147143503693451,0.0,0.0018240760271724039,0.0006369607053489672,0.002277373322391126,2,vz,1.0,,3.908836718695054e-05,3.873310914122987e-05,3.908836718695054e-05,3.873310914122987e-05,1.009171947555909,0.009171947555909218,0.07325391788894131,0.009261437956991726,0.0,0.0,0.0,0.0,
