k,stage,controller,solver_mode,inverse_sequence_mode,rollout_steps_used,was_applied,ref_idx,ref_s_mm,ref_x_mm,ref_y_mm,ref_z_mm,pred_x_mm,pred_y_mm,pred_z_mm,nl_x_mm,nl_y_mm,nl_z_mm,actual_x_mm,actual_y_mm,actual_z_mm,linearisation_err_xy_mm,linearisation_err_xyz_mm,execution_err_xy_mm,execution_err_xyz_mm,plant_vs_nl_err_xy_mm,plant_vs_nl_err_xyz_mm,tracking_pred_xy_mm,tracking_nl_xy_mm,tracking_actual_xy_mm,pred_step_mm,actual_step_mm,local_gain,direction_error_deg,u_plan_vx,u_applied_vx,u_plan_vy,u_applied_vy,u_plan_vz,u_applied_vz,u_plan_wx,u_applied_wx,u_plan_wy,u_applied_wy,u_plan_wz,u_applied_wz,u_plan_dL,u_applied_dL
0,0,lti,lti,,10,1,34,13.737373737374261,784.3954538531256,-709.9360621727807,-100.00874548336117,784.7322261380034,-709.92889562169,-100.00925191784815,784.7322297965935,-709.9290616113088,-100.00857018634845,784.7322297965935,-709.9290616113088,-100.00857018634845,0.00016602993356645571,0.0007016578771157316,0.00016602993356645571,0.0007016578771157316,0.0,0.0,0.3368485287430668,0.33684869594468225,0.33684869594468225,0.4007372167263429,0.4007515283860791,1.0000341811095461,0.10029754458621827,0.0074399361229837094,0.0074399361229837094,-0.06079034237828029,-0.06079034237828029,0.0,0.0,0.0,0.0,0.023822839886593627,0.023822839886593627,-0.09201365005443388,-0.09201365005443388,0.04005958888164748,0.04005958888164748
0,1,lti,lti,,10,1,35,14.141414141414698,783.9914136128365,-709.9363193927978,-100.00900270346003,784.3330651166622,-709.9302387506533,-100.00878140065817,784.3330662694566,-709.9308180518495,-100.00764591389901,784.3330662694566,-709.9308180518495,-100.00764591389901,0.00057930234324981,0.001274724042721044,0.00057930234324981,0.001274724042721044,0.0,0.0,0.3417056105409695,0.3416969454470034,0.3416969454470034,0.3991635583818579,0.3991684616290225,1.0000111016704483,0.0880984753239192,-0.02849190962053988,-0.02849190962053988,-0.06311102007709977,-0.06311102007709977,0.0,0.0,0.0,0.0,0.029234155189614114,0.029234155189614114,-0.07925031930148607,-0.07925031930148607,0.03991631523576003,0.03991631523576003
0,2,lti,lti,,10,1,36,14.545454545455133,783.5873733725475,-709.9365766128149,-100.00925992355889,783.9330164444328,-709.9313800556614,-100.0090139336851,783.9330119708125,-709.9325719094415,-100.00793892930626,783.9330119708125,-709.9325719094415,-100.00793892930626,0.001191862176056871,0.0016050451274736293,0.001191862176056871,0.0016050451274736293,0.0,0.0,0.34568213339509174,0.3456617975126615,0.3456617975126615,0.40005036783031095,0.4000582504313436,1.0000185204185945,0.08815285825215081,-0.032672864749774995,-0.032672864749774995,-0.06463123355938663,-0.06463123355938663,0.0,0.0,0.0,0.0,0.030137678645419667,0.030137678645419667,-0.0680256706302107,-0.0680256706302107,0.040005510452810235,0.040005510452810235
0,3,lti,lti,,10,1,37,14.94949494949557,783.1833331322584,-709.9368338328319,-100.00951714365775,783.533024554327,-709.9323486914121,-100.00923854032803,783.5330115995944,-709.9343143291296,-100.00881009660998,783.5330115995944,-709.9343143291296,-100.00881009660998,0.001965680406751676,0.002011830877840308,0.001965680406751676,0.002011830877840308,0.0,0.0,0.3497201840927516,0.34968754398362356,0.34968754398362356,0.3999931260082166,0.40000511488414314,1.0000267953754873,0.14443164515489548,-0.034226428369208195,-0.034226428369208195,-0.06557605732830213,-0.06557605732830213,0.0,0.0,0.0,0.0,0.030505243841869794,0.030505243841869794,-0.05836658703979791,-0.05836658703979791,0.04000018352967462,0.04000018352967462
0,4,lti,lti,,10,1,38,15.353535353536007,782.7792928919694,-709.937091052849,-100.0097743637566,783.1330586985117,-709.9331687302528,-100.00945294462166,783.1330339959059,-709.9360318554816,-100.01039258397127,783.1330339959059,-709.9360318554816,-100.01039258397127,0.002863231791957744,0.0030134728141807217,0.002863231791957744,0.0030134728141807217,0.0,0.0,0.35378754994078115,0.3537426896958709,0.3537426896958709,0.3999667539320363,0.3999844217158969,1.0000358062372885,0.23437456012527697,-0.03584935535815748,-0.03584935535815748,-0.06591964272915624,-0.06591964272915624,0.0,0.0,0.0,0.0,0.030681086618311485,0.030681086618311485,-0.049984261141141406,-0.049984261141141406,0.03999799042094503,0.03999799042094503
0,5,lti,lti,,10,1,39,15.757575757576442,782.3752526516803,-709.9373482728662,-100.01003158385546,782.7330929666009,-709.9338592902653,-100.00966358669268,782.733052948922,-709.9377026264817,-100.0128460558245,782.733052948922,-709.9377026264817,-100.0128460558245,0.0038435445472695595,0.004990084614697385,0.0038435445472695595,0.004990084614697385,0.0,0.0,0.3578573234992604,0.35780047271177523,0.35780047271177523,0.39996638352012087,0.39999206110387464,1.0000454753507775,0.3506095409705865,-0.037575797801637764,-0.037575797801637764,-0.0656040558577223,-0.0656040558577223,0.0,0.0,0.0,0.0,0.030643090132020108,0.030643090132020108,-0.04264222555584396,-0.04264222555584396,0.03999845389896453,0.03999845389896453
0,6,lti,lti,,10,1,40,16.161616161616877,781.9712124113912,-709.9376054928832,-100.01028880395431,782.333137997018,-709.9344359992651,-100.00986642472947,782.3330790249396,-709.9393138119301,-100.01633671523726,782.3330790249396,-709.9393138119301,-100.01633671523726,0.004878169134102138,0.00810315946752511,0.004878169134102138,0.00810315946752511,0.0,0.0,0.36193946347568184,0.3618706458874075,0.3618706458874075,0.39995543680589385,0.3999924005372533,1.000055289777412,0.4937197354005443,-0.039369113290447004,-0.039369113290447004,-0.06455272544861201,-0.06455272544861201,0.0,0.0,0.0,0.0,0.03035355937456903,0.03035355937456903,-0.036148453511775196,-0.036148453511775196,0.03999792227264392,0.03999792227264392
0,7,lti,lti,,10,1,41,16.5656565656572,781.5671721711022,-709.9378627129003,-100.01054602405317,781.9332046665344,-709.9349118700001,-100.01005396142774,781.9331233103095,-709.9408419487627,-100.0210274163451,781.9331233103095,-709.9408419487627,-100.0210274163451,0.005930636809586333,0.012473538623448646,0.005930636809586333,0.012473538623448646,0.0,0.0,0.3660443896388422,0.36596326609838215,0.36596326609838215,0.3999336575666983,0.39998613919030823,1.0000643802133087,0.6624422172969996,-0.041221652565100825,-0.041221652565100825,-0.06267360381680188,-0.06267360381680188,0.0,0.0,0.0,0.0,0.02977360551731732,0.02977360551731732,-0.030349223860176872,-0.030349223860176872,0.03999637638391276,0.03999637638391276
0,8,lti,lti,,10,1,42,16.969696969697633,781.1631319308132,-709.9381199329173,-100.01080324415203,781.5333036389073,-709.935297917472,-100.01021627055803,781.5331970794348,-709.9422652813157,-100.02708634602563,781.5331970794348,-709.9422652813157,-100.02708634602563,0.006968178661062925,0.018252532978596827,0.006968178661062925,0.018252532978596827,0.0,0.0,0.3701824647988184,0.37008836530977823,0.37008836530977823,0.399901246902318,0.39997465750479283,1.0000715123140516,0.8576817947091564,-0.04312997063641834,-0.04312997063641834,-0.05985866599868183,-0.05985866599868183,0.0,0.0,0.0,0.0,0.02885955201114231,0.02885955201114231,-0.025124352432867626,-0.025124352432867626,0.03999384255203349,0.03999384255203349
0,9,lti,lti,,10,1,43,17.37373737373807,780.7590916905242,-709.9383771529344,-100.01106046425089,781.1334383570003,-709.9356036878611,-100.01034874115602,781.1333049227686,-709.9435605412027,-100.03470057455279,781.1333049227686,-709.9435605412027,-100.03470057455279,0.007957972090483984,0.0256191551300289,0.007957972090483984,0.0256191551300289,0.0,0.0,0.3743569403794405,0.374249129191807,0.374249129191807,0.39986542075889175,0.3999667375386769,1.0000753003646117,1.0811669772001273,-0.04512046825986369,-0.04512046825986369,-0.055983181099617696,-0.055983181099617696,0.0,0.0,0.0,0.0,0.027566001275489305,0.027566001275489305,-0.0203832586172257,-0.0203832586172257,0.039991049483469765,0.039991049483469765
0,10,lti,lti,,10,0,44,17.777777777778503,780.3550514502351,-709.9386343729515,-100.01131768434975,780.7335800019672,-709.9358377318248,-100.01047365878514,780.7334199957465,-709.9447045554089,-100.04412392459353,nan,nan,nan,0.008868267162247031,0.03479923205240185,nan,nan,nan,nan,0.3785388826501575,0.3784172344747288,nan,0.39985844304037177,nan,nan,nan,-0.04730231159544813,nan,-0.05090237540413368,nan,0.0,nan,0.0,nan,0.025851569684981018,nan,-0.01606165543040199,nan,0.03999123415989489,nan
0,11,lti,lti,,10,0,45,18.181818181818937,779.951011209946,-709.9388915929685,-100.01157490444861,780.3336603354396,-709.9360080966587,-100.01065029971815,780.3334773847059,-709.9456745077835,-100.05571552476903,nan,nan,nan,0.009668142272635686,0.04609064421214106,nan,nan,nan,nan,0.38265998979768545,0.3825263164396094,nan,0.3999197418254973,nan,nan,nan,-0.04982417407944499,nan,-0.044439233026888604,nan,0.0,nan,0.0,nan,0.02366845235505834,nan,-0.012118690556812165,nan,0.03999835138314876,nan
0,12,lti,lti,,10,0,46,18.58585858585937,779.546970969657,-709.9391488129856,-100.01183212454747,779.9337169936967,-709.9361225475634,-100.01085043338915,779.9335190389677,-709.9464605121077,-100.06967196934477,nan,nan,nan,0.010339859621583621,0.059723410729559154,nan,nan,nan,nan,0.3867578640350721,0.3866172148674825,nan,0.39994340819289664,nan,nan,nan,-0.05236466697571986,nan,-0.03635983401095268,nan,0.0,nan,0.0,nan,0.02088506536194319,nan,-0.00853445410045044,nan,0.040001803241753134,nan
0,13,lti,lti,,10,0,47,18.989898989899697,779.142930729368,-709.9394060330028,-100.01208934464633,779.534567475202,-709.9361894496542,-100.01037162152812,779.5343597472751,-709.947129387924,-100.0845294865657,nan,nan,nan,0.010941910264532746,0.07496075204510835,nan,nan,nan,nan,0.3916499548013081,0.3915052059307551,nan,0.39914981128802574,nan,nan,nan,-0.052379810079549144,nan,-0.026359708374811556,nan,0.0,nan,0.0,nan,0.017046981740946834,nan,-0.005307507651680491,nan,0.03992348296531233,nan
0,14,lti,lti,,10,0,48,19.39393939394013,778.7388904890789,-709.9396632530198,-100.01234656474517,779.1431509032417,-709.9362181699969,-100.00636236051004,779.1428971587185,-709.9479916594757,-100.09290829069928,nan,nan,nan,0.011776223536969742,0.08734344550745195,nan,nan,nan,nan,0.4042750932917742,0.4040925036020323,nan,0.39143710580872915,nan,nan,nan,-0.04143736079852617,nan,-0.014239419299200968,nan,0.0,nan,0.0,nan,0.010954199746918887,nan,-0.002462467054691974,nan,0.03915083095504634,nan
