k,stage,controller,solver_mode,inverse_sequence_mode,rollout_steps_used,was_applied,ref_idx,ref_s_mm,ref_x_mm,ref_y_mm,ref_z_mm,pred_x_mm,pred_y_mm,pred_z_mm,nl_x_mm,nl_y_mm,nl_z_mm,actual_x_mm,actual_y_mm,actual_z_mm,linearisation_err_xy_mm,linearisation_err_xyz_mm,execution_err_xy_mm,execution_err_xyz_mm,plant_vs_nl_err_xy_mm,plant_vs_nl_err_xyz_mm,tracking_pred_xy_mm,tracking_nl_xy_mm,tracking_actual_xy_mm,pred_step_mm,actual_step_mm,local_gain,direction_error_deg,u_plan_vx,u_applied_vx,u_plan_vy,u_applied_vy,u_plan_vz,u_applied_vz,u_plan_wx,u_applied_wx,u_plan_wy,u_applied_wy,u_plan_wz,u_applied_wz,u_plan_dL,u_applied_dL
0,0,sqp_full,sqp_full,,10,1,33,13.333333333333826,784.7994940934146,-709.9358049527636,-100.00848826326231,785.3036973137772,-709.9327008670284,-98.80858582868638,785.3041194229534,-709.9322660269911,-98.80635133525347,785.3041194229534,-709.9322660269911,-98.80635133525347,0.0006060214638558294,0.00231521552266071,0.0006060214638558294,0.00231521552266071,0.0,0.0,0.5042127752965667,0.5046377385885162,0.5046377385885162,0.11995560434086715,0.11881534589256469,0.9903532517534457,0.9670436124176837,-0.5000132607370439,-0.5000132607370439,-0.08172602871387255,-0.08172602871387255,2.988621237033923e-09,2.988621237033923e-09,0.0,0.0,0.49999989685628343,0.49999989685628343,0.011044828751597994,0.011044828751597994,-0.009998445905918859,-0.009998445905918859
0,1,sqp_full,sqp_full,,10,1,34,13.737373737374261,784.3954538531256,-709.9360621727807,-100.00874548336117,785.3935990402539,-709.9350177539103,-98.8914582045756,785.3962182604325,-709.9337750177554,-98.87842274601309,785.3962182604325,-709.9337750177554,-98.87842274601309,0.0028990873555427422,0.01335394651141655,0.0028990873555427422,0.01335394651141655,0.0,0.0,0.998145733547007,1.0007670208447301,1.0007670208447301,0.12229275969501201,0.11695623611849794,0.9532313542400037,4.637796394838841,-0.5000130368859145,-0.5000130368859145,-0.03213140497903652,-0.03213140497903652,2.9418450589403213e-09,2.9418450589403213e-09,0.0,0.0,0.4999998950173264,0.4999998950173264,0.004439690809288721,0.004439690809288721,-0.009998101703792022,-0.009998101703792022
0,2,sqp_full,sqp_full,,10,1,35,14.141414141414698,783.9914136128365,-709.9363193927978,-100.00900270346003,785.482557170612,-709.9359058199503,-98.97916143076674,785.4891349458125,-709.9339267042254,-98.9466781110897,785.4891349458125,-709.9339267042254,-98.9466781110897,0.006869062937546394,0.033201657833326674,0.006869062937546394,0.033201657833326674,0.0,0.0,1.4911436151282587,1.4977232441975525,1.4977232441975525,0.1249247513603385,0.11529236007869474,0.9132300607394954,8.299054291015992,-0.500012736129278,-0.500012736129278,-0.01061820747154037,-0.01061820747154037,2.877250267268147e-09,2.877250267268147e-09,0.0,0.0,0.49999989617710144,0.49999989617710144,0.0015666370874429707,0.0015666370874429707,-0.009997984540617564,-0.009997984540617564
0,3,sqp_full,sqp_full,,10,1,36,14.545454545455133,783.5873733725475,-709.9365766128149,-100.00925992355889,785.5705006459484,-709.9361742609308,-99.07190165355833,785.5827952446627,-709.9335989941274,-99.0112476252075,785.5827952446627,-709.9335989941274,-99.0112476252075,0.012561415392197262,0.061941103572965193,0.012561415392197262,0.061941103572965193,0.0,0.0,1.9831273142170958,1.9954240937528203,1.9954240937528203,0.12780796469019187,0.11376107035389035,0.8708309433645913,11.941692119145117,-0.5000123409464202,-0.5000123409464202,-0.0019537704890813835,-0.0019537704890813835,2.790772956884337e-09,2.790772956884337e-09,0.0,0.0,0.499999899576983,0.499999899576983,0.00040372443088204863,0.00040372443088204863,-0.00999796796071232,-0.00999796796071232
0,4,sqp_full,sqp_full,,10,1,37,14.94949494949557,783.1833331322584,-709.9368338328319,-100.00951714365775,785.6573538533925,-709.9361822764953,-99.1698920207851,785.677129462131,-709.9331280500695,-99.07226596783075,785.677129462131,-709.9331280500695,-99.07226596783075,0.020010072464647585,0.09965565320386612,0.020010072464647585,0.09965565320386612,0.0,0.0,2.4740208069307124,2.493799083268691,2.493799083268691,0.13094117678099063,0.1123494748992014,0.8265935390080331,15.553809012138014,-0.5000118414486316,-0.5000118414486316,0.0013887038537883244,0.0013887038537883244,2.6802275040078915e-09,2.6802275040078915e-09,0.0,0.0,0.49999990477423434,0.49999990477423434,-5.1020529686017686e-05,-5.1020529686017686e-05,-0.009997992576822321,-0.009997992576822321
0,5,sqp_full,sqp_full,,10,1,38,15.353535353536007,782.7792928919694,-709.937091052849,-100.0097743637566,785.7430321368497,-709.9360851589047,-99.27337870906163,785.7720729609189,-709.9326375610816,-99.12987075810132,785.7720729609189,-709.9326375610816,-99.12987075810132,0.029244749842785786,0.14645745929176257,0.029244749842785786,0.14645745929176257,0.0,0.0,2.9637394155807,2.9927833825204493,2.9927833825204493,0.13435130196041492,0.11105323229719445,0.7809285281873042,19.132873460820957,-0.5000112357217567,-0.5000112357217567,0.0025839531973792635,0.0025839531973792635,2.5451095507798435e-09,2.5451095507798435e-09,0.0,0.0,0.49999991156461676,0.49999991156461676,-0.0002201835959540823,-0.0002201835959540823,-0.009998052739693335,-0.009998052739693335
0,6,sqp_full,sqp_full,,10,1,39,15.757575757576442,782.3752526516803,-709.9373482728662,-100.01003158385546,785.8274524178678,-709.9359538562262,-99.38257369349814,785.8675663498617,-709.9321723603163,-99.18420226155159,785.8675663498617,-709.9321723603163,-99.18420226155159,0.04029177647270737,0.20242196586303848,0.04029177647270737,0.20242196586303848,0.0,0.0,3.4522000478046944,3.492317533755481,3.492317533755481,0.13802298980116878,0.10986863069454345,0.7345991351567951,22.654589117127788,-0.5000105253739988,-0.5000105253739988,0.002879249944778701,0.002879249944778701,2.3856796817177214e-09,2.3856796817177214e-09,0.0,0.0,0.49999991978433306,0.49999991978433306,-0.0002697035293551021,-0.0002697035293551021,-0.009998176048910068,-0.009998176048910068
0,7,sqp_full,sqp_full,,10,1,40,16.161616161616767,781.9712124113913,-709.9376054928832,-100.01028880395431,785.9105246844351,-709.9358392907759,-99.49771001230312,785.9635552004653,-709.9317532227052,-99.23540238168373,785.9635552004653,-709.9317532227052,-99.23540238168373,0.05318770142345367,0.267645707351847,0.05318770142345367,0.267645707351847,0.0,0.0,3.9393126689846873,3.992347078416089,3.992347078416089,0.1419767111389666,0.10879102636752828,0.6880382411629676,26.114284033922324,-0.5000097122135638,-0.5000097122135638,0.002624419613207939,0.002624419613207939,2.202298356253869e-09,2.202298356253869e-09,0.0,0.0,0.4999999291770103,0.4999999291770103,-0.0002460898085220545,-0.0002460898085220545,-0.009998375798096083,-0.009998375798096083
0,8,sqp_full,sqp_full,,10,1,41,16.5656565656572,781.5671721711022,-709.9378627129003,-100.01054602405317,785.9921545304313,-709.9358324420565,-99.61902225643081,786.0599893351647,-709.9314058750475,-99.28361356208312,786.0599893351647,-709.9314058750475,-99.28361356208312,0.06797907934567345,0.3422282096389845,0.06797907934567345,0.3422282096389845,0.0,0.0,4.424982825093599,4.49282180377192,4.49282180377192,0.14621932970565682,0.10781456720266701,0.6417424296340207,29.502023204280654,-0.5000087943910452,-0.5000087943910452,0.0015201038346434824,0.0015201038346434824,1.994668231120582e-09,1.994668231120582e-09,0.0,0.0,0.4999999392588917,0.4999999392588917,-0.00010955644872283965,-0.00010955644872283965,-0.009998612290441064,-0.009998612290441064
0,9,sqp_full,sqp_full,,10,1,42,16.969696969697633,781.1631319308132,-709.9381199329173,-100.01080324415203,786.0722337332751,-709.9361784042267,-99.74678699716539,786.1568212994234,-709.9311897178537,-99.32897763199732,786.1568212994234,-709.9311897178537,-99.32897763199732,0.08473454631160059,0.4263151521594985,0.08473454631160059,0.4263151521594985,0.0,0.0,4.909102186394962,4.993694177465374,4.993694177465374,0.15078669501278244,0.10693163641004598,0.5959582361330648,32.82036009790814,-0.5000077640798758,-0.5000077640798758,-0.0016870224009534027,-0.0016870224009534027,1.7613987696902019e-09,1.7613987696902019e-09,0.0,0.0,0.4999999494132738,0.4999999494132738,0.00030634437529727303,0.00030634437529727303,-0.009998713498156776,-0.009998713498156776
0,10,sqp_full,sqp_full,,10,0,43,17.37373737373807,780.7590916905242,-709.9383771529344,-100.01106046425089,785.8559688834057,-709.9355585756545,-99.73561232423347,785.9411496799515,-709.931024745231,-99.31988607891134,nan,nan,nan,0.08530136996845021,0.42438736405333843,nan,nan,nan,nan,5.096877972219262,5.182063205296447,nan,0.2165542490730951,nan,nan,nan,-0.500006848964598,nan,0.006118686940592302,nan,1.5484469683433474e-09,nan,0.0,nan,0.4996476159974429,nan,-0.0007409124907182681,nan,0.021589122780586188,nan
