step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,N_nodes_active,using_upgraded_nodes,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,err_to_center,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6735973430817631,-0.681279320415721,-0.10000881489017377,0.8118243475481042,-0.6815373637579404,-0.10000970029120745,0.8130742189726754,-0.6807391285963467,-0.10000958632471181,0.001931580779494594,77,0.8118897324380011,-0.6822649057612329,-0.10001034118699695,0.0014270191348736488,3.5412681955091235e-12,0.0014830232470073603,0.0019315807821842078,0.00073047419556183,nan,0.0014830232470073603,0.001249871424571225,0.0007982351615937189,1.1396649564343608e-07,-0.000880687722580431,0.001122841371962946,-5.687270531046229e-06,72,8,False,-0.2763913571834564,-10.0,-0.7310286164283752,-10.0,5.064781762309849,1.8219309772450742,5.064781762309849,1.8219309772450742,1.8219309772450742,1.6895751953125,4.2874755859375,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6721781652087638,-0.6962852273517418,-0.10000077262823642,0.8114726450379957,-0.6821758392170573,-0.10001026629944211,0.812294124353475,-0.6825050849237805,-0.10001008386827064,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0008850033904771986,0.0008214793154793787,-0.0003292457067232135,1.8243117147487276e-07,nan,nan,nan,75,8,False,-0.5547134280204773,-10.0,-1.8124836683273315,-10.0,3.274765496824216,3.6280686225147747,3.274765496824216,3.6280686225147747,3.274765496824216,9.42236328125,16.520599365234375,0.0016180392875387625,0,-0.0012498714245712712,-0.0007982351615937473,-1.139664956491876e-07,-0.0007800946192003666,-0.0017659563274338153,-4.97543558825031e-07,-1.2498714245712712,-0.7982351615937473,-0.0001139664956491876,-0.7800946192003666,-1.7659563274338153,-0.000497543558825031,1.4830232470074145,1.9305826491784528,1.3017885267627314,0.8328966679033343,0.4697768053709046,-0.967721165840068,-0.00038357706317584337,1.075720457033031,1.0757205254203885,direction_ok_jac_not_sensitive_enough
2,0.669461121715504,-0.7009435597645891,-0.10001497564206871,0.8110654252144301,-0.6821747889349994,-0.10001060652050728,0.8116122833559569,-0.6834578066804315,-0.10001051843798474,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001394700097529191,0.0005468581415267737,-0.0012830177454321579,8.808252253966753e-08,nan,nan,nan,78,8,False,-0.9422779083251953,-10.0,-3.9960787296295166,-10.0,2.2748212225212683,4.648811321856556,2.2748212225212683,4.648811321856556,2.2748212225212683,13.783355712890625,30.18243408203125,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6669784128728049,-0.7030531141206185,-0.09995937245862282,0.8106572832284716,-0.6820898212292845,-0.10001097014626882,0.8113025186328565,-0.6837017695541888,-0.10001071576739387,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0017362909114642911,0.0006452354043848807,-0.0016119483249042998,2.5437887495038947e-07,nan,nan,nan,79,8,False,-1.1570796966552734,-10.0,-5.298644065856934,-10.0,1.9937379552673633,4.9379206072828765,1.9937379552673633,4.9379206072828765,1.9937379552673633,15.985794067382812,37.3031005859375,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6645533920226497,-0.7043768647114261,-0.09998697136785617,0.8102533219252395,-0.6819641594833894,-0.10001137688008745,0.8108906731241836,-0.6838546014305037,-0.10001097803596425,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0019949905529111746,0.0006373511989441472,-0.0018904419471142964,3.9884412320057017e-07,nan,nan,nan,80,8,False,-1.4933514595031738,-10.0,-7.150659561157227,-10.0,1.7792773670977908,5.164047622954968,1.7792773670977908,5.164047622954968,1.7792773670977908,18.374984741210938,45.44873046875,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6620673919676267,-0.7053969602267001,-0.09997645645266834,0.8098584440187344,-0.6818123637339711,-0.10001183691154888,0.8104213270265459,-0.6839340722477895,-0.10001127687232303,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0021951046212178717,0.0005628830078114877,-0.002121708513818321,5.600392258553466e-07,nan,nan,nan,82,8,False,-1.9288692474365234,-10.0,-9.263142585754395,-10.0,1.6118397531261053,5.3465081535937315,1.6118397531261053,5.3465081535937315,1.6118397531261053,21.086166381835938,52.97801971435547,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6593545220001923,-0.7060592534257163,-0.0999865393168542,0.8094790646907002,-0.6816320039722044,-0.1000123691663572,0.809983595730708,-0.6839916302061076,-0.10001155557066153,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0024129623979780492,0.0005045310400078051,-0.002359626233903289,8.135956956617507e-07,nan,nan,nan,84,8,False,-2.3409886360168457,-10.0,-11.089325904846191,-10.0,1.4537196182677121,5.519108338124624,1.4537196182677121,5.519108338124624,1.4537196182677121,22.77252197265625,57.55378723144531,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6559925269952159,-0.7059715639791388,-0.09996345640206714,0.8091236555217736,-0.6813918401876715,-0.10001303540835291,0.8095555375944445,-0.6838939188184915,-0.10001182802998847,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002539078494158957,0.0004318820726709749,-0.0025020786308199705,1.2073783644400704e-06,nan,nan,nan,85,8,False,-2.776033639907837,-10.0,-12.566496849060059,-10.0,1.427031243936426,5.55949289031355,1.427031243936426,5.55949289031355,1.427031243936426,24.923446655273438,60.89702606201172,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6506857354399513,-0.7043092526264195,-0.10000189898247078,0.80879702455495,-0.6811095963933048,-0.10001377564502638,0.8090502224751375,-0.6835616264013309,-0.100012149550425,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0024650680207750114,0.0002531979201875201,-0.0024520300080260737,1.6260946013729738e-06,nan,nan,nan,87,8,False,-3.3469693660736084,-10.0,-13.68655014038086,-10.0,1.5691064950075315,5.436999402120136,1.5691064950075315,5.436999402120136,1.5691064950075315,26.10955810546875,61.45082092285156,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6445245183707107,-0.7010200549569107,-0.09999456895498521,0.8084925562199343,-0.6808119480846688,-0.10001453381435674,0.8086424050030936,-0.6830149733119253,-0.10001240889026974,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00220811566946632,0.00014984878315926764,-0.002203025227256461,2.124924086993607e-06,nan,nan,nan,89,8,False,-3.975494384765625,-10.0,-14.332571029663086,-10.0,1.9007212477791313,5.123929776301566,1.9007212477791313,5.123929776301566,1.9007212477791313,28.247451782226562,61.66326141357422,0.0016180392875387625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
