step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.670172260324447,-0.6812785570032335,-0.09998125801045779,0.8097796101544349,-0.6828265588587643,-0.10001076594747164,0.8104691386727153,-0.681569258772688,-0.10001124520253363,0.0014796553945714218,581,0.8097851609505597,-0.6828813390150053,-0.10001168131973728,0.0007184734816103225,3.148070422676661e-13,0.0014339641153004452,0.0014796553942837281,5.506066522846968e-05,nan,0.0014339641153004452,0.0006895285182804134,0.001257300086076274,-4.792550619830971e-07,0.00026291745802442534,0.0006686393303143578,-8.599722274016397e-06,519,-1.846718668937683,-10.0,-6.858858585357666,-10.0,5.0005743911597165,2.052920314523078,5.0005743911597165,2.052920314523078,2.052920314523078,10.88873291015625,34.871368408203125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.673463077725114,-0.6962514340358585,-0.09998776078227034,0.8097555466829817,-0.6828681960673213,-0.1000116904189847,0.8100756743299037,-0.6840333644774017,-0.10001149697335557,0.0012083416864535764,584,0.8097555473217658,-0.6828681999697539,-0.10001170016551109,0.0010161930265969066,8.639874502786373e-12,0.0012083456186758553,0.0012083416950444074,3.954367884415382e-09,0.0012425915649040937,0.0012083456186758553,0.00032012764692201934,-0.0011651684100804083,1.9344562912637642e-07,0.000986719208943998,-0.00024296804317669451,-9.580030307945742e-06,522,-2.293405055999756,-10.0,-8.178174018859863,-10.0,2.5660342582049793,4.51377232280845,2.5660342582049793,4.51377232280845,2.5660342582049793,20.563430786132812,46.92347717285156,0,-0.0006895285182804166,-0.0012573000860762542,4.792550619779196e-07,-0.00039346434281162246,-0.0024641057047136705,-2.517708219407222e-07,-0.6895285182804166,-1.2573000860762542,0.0004792550619779196,-0.39346434281162246,-2.4641057047136705,-0.0002517708219407222,1.4339641153004294,2.495321845587586,1.7401564078363534,0.9416528956644423,0.2960641754687942,-1.2068056186374163,-0.0007310258839186418,1.2425915649041137,1.2425917799380846,direction_ok_jac_not_sensitive_enough
2,0.6712948496779005,-0.6831737043335908,-0.1000052114848893,0.8090368350652449,-0.6824969469015003,-0.10001137642595957,0.8098715690055833,-0.682297950533524,-0.10001162600675216,0.0008581260365411195,658,0.8090368350717974,-0.6824969469012697,-0.10001215751846211,0.0005456487970219354,4.05117592883508e-12,0.0008581260429684026,0.0008581260371426095,6.5564815401662766e-12,0.000581928817088137,0.0008581260429684026,0.0008347339403383947,0.0001989963679762674,-2.495807925884108e-07,0.0005000108570369921,0.00021845309001389257,-9.30558590711561e-06,596,-2.536435127258301,-10.0,-8.812294006347656,-10.0,4.084216816049093,2.9539706634071763,4.084216816049093,2.9539706634071763,2.9539706634071763,14.15142822265625,41.30633544921875,1,-0.0003201276469220332,0.001165168410080373,-1.9344562912602945e-07,-0.00020410532432035833,0.0017354139438776617,-1.290333965925372e-07,-0.3201276469220332,1.165168410080373,-0.00019344562912602945,-0.20410532432035833,1.7354139438776617,-0.0001290333965925372,1.208345618675825,1.747375328892147,1.4460890166183853,0.9886119783264534,0.11602232260167489,0.5702455337972887,6.441223253349224e-05,0.5819288170881743,0.5819288206529881,direction_ok_jac_not_sensitive_enough
3,0.6708100826071639,-0.6843401271225548,-0.09999897600944968,0.8085379957497904,-0.6821672204992435,-0.10001163173077673,0.8092122028146623,-0.6823995304816743,-0.10001204582515803,0.0007131080335831566,711,0.8085379957576422,-0.6821672205339212,-0.10001247491761049,0.0006923561794137164,6.748269670882817e-12,0.0007131080523036521,0.0007131080307155992,3.555551256294037e-11,0.00020060859001406935,0.0007131080523036521,0.0006742070648719789,-0.000232309982430845,-4.140943812985798e-07,0.0006152771175336191,0.00031747621613575916,-9.87640419880531e-06,649,-3.445650577545166,-10.0,-10.570582389831543,-10.0,3.6761588859188237,3.3334693093097485,3.6761588859188237,3.3334693093097485,3.3334693093097485,20.212905883789062,47.78961181640625,2,-0.0008347339403383668,-0.0001989963679762313,2.495807925882704e-07,-0.0006593661909209958,-0.0001015799481502988,-4.19818405872352e-07,-0.8347339403383668,-0.1989963679762313,0.0002495807925882704,-0.6593661909209958,-0.1015799481502988,-0.000419818405872352,0.8581260429683671,0.6671448565310838,0.7774438979219196,0.9967056565225442,0.175367749417371,0.0974164198259325,-0.0006693991984606224,0.20060859001402745,0.20060970685064833,direction_ok_jac_too_sensitive
4,0.6701021889115892,-0.680937122734719,-0.1000121336640285,0.8078407469769912,-0.6816016691663164,-0.10001218050943617,0.808523561930116,-0.6819627648603166,-0.10001248399995738,0.0007724158940764942,785,0.807840746985371,-0.6816016692155701,-0.10001291850526929,0.0008043541678258479,1.145960069437136e-11,0.0007724159245098272,0.0007724159001346825,4.996148609818936e-11,0.00020496449311868743,0.0007724159245098272,0.0006828149531248329,-0.0003610956940002241,-3.0349052121403375e-07,0.0006297414472606899,0.0005004111678418299,-1.0405236771773851e-05,723,-4.420206069946289,-10.0,-11.832562446594238,-10.0,3.65362080037994,3.331671131225164,3.65362080037994,3.331671131225164,3.331671131225164,25.006179809570312,50.95777893066406,3,-0.0006742070648719699,0.0002323099824308077,4.140943813028285e-07,-0.0006886408845463432,0.00043676562135774866,-4.381747993470464e-07,-0.6742070648719699,0.2323099824308077,0.0004140943813028285,-0.6886408845463432,0.43676562135774866,-0.0004381747993470464,0.7131080523036315,0.8154694818745765,1.143542662429253,0.9728860199782432,-0.0144338196743733,0.20445563892694096,-0.000852269180649875,0.20496449311872528,0.20496626503444965,mixed_noise_backlash_delay_or_constraints
5,0.6695236667757103,-0.6765920729950468,-0.0999913724530716,0.8069854140064956,-0.680738521063815,-0.10001254467050535,0.8079543915077829,-0.6809956478913696,-0.10001284584122264,0.001002512628621115,874,0.806985414014574,-0.6807385210973566,-0.10001346257740483,0.0011252331366314137,2.33846447510141e-12,0.0010025126450321136,0.001002512629336629,3.4500628938992895e-11,0.000616584840120989,0.0010025126450321136,0.000968977501287327,-0.0002571268275545213,-3.0117071728175127e-07,0.00039382500685458677,0.0010540642654740529,-1.1043205546110157e-05,812,-5.159602165222168,-10.0,-12.774798393249512,-10.0,3.9866260649264973,2.9542078271601326,3.9866260649264973,2.9542078271601326,2.9542078271601326,24.263748168945312,48.91827392578125,4,-0.0006828149531248256,0.0003610956940001903,3.03490521208525e-07,-0.0005691704223330651,0.0009671169689470238,-3.6184126525617977e-07,-0.6828149531248257,0.3610956940001903,0.000303490521208525,-0.5691704223330651,0.9671169689470238,-0.00036184126525617977,0.7724159245098051,1.1221720907615187,1.452808071015457,0.8512609180327046,0.11364453079176047,0.6060212749468336,-0.0006653317864647048,0.6165848401210209,0.6165851990872397,direction_ok_jac_not_sensitive_enough
6,0.6690061876623156,-0.6734243700281122,-0.10001796295166515,0.8064477993914131,-0.6801063932821177,-0.1000132926245404,0.8071540193041469,-0.6807190542550589,-0.10001335522981955,0.0009349331158467331,929,0.806447799399227,-0.6801063933561908,-0.10001380450413602,0.0011558502815908972,1.3575796565130848e-10,0.0009349331702891149,0.0009349332079747543,7.448407714225063e-11,0.00016972537535450422,0.0009349331702891149,0.0007062199127337854,-0.0006126609729411037,-6.260527915524783e-08,0.0005031502979587765,0.0010405910104924754,-1.1673507466572475e-05,867,-6.346035480499268,-10.0,-14.164109230041504,-10.0,3.571037119030393,3.3151459624662607,3.571037119030393,3.3151459624662607,3.3151459624662607,28.938201904296875,51.316375732421875,5,-0.0009689775012872961,0.0002571268275545303,3.01170717278242e-07,-0.0008003722036360461,0.000276593636310718,-5.093885969142953e-07,-0.9689775012872961,0.2571268275545303,0.00030117071727824203,-0.8003722036360461,0.276593636310718,-0.0005093885969142953,1.0025126450320858,0.8468173970820428,0.8446949775982577,0.9973097864849959,0.16860529765124996,0.019466808756187663,-0.0008105593141925373,0.1697253753544725,0.1697273108418866,mixed_noise_backlash_delay_or_constraints
7,0.6689780425749254,-0.6675180346174096,-0.09997849485036245,0.8060725619835539,-0.6796258183614828,-0.09999618057313288,0.8065173928762253,-0.6805182428313511,-0.1000137604141135,0.0009971417918794064,967,0.8060725619744306,-0.6796258207216289,-0.10001404313730655,0.000797939792131279,3.1658827378195215e-10,0.0009971439000938714,0.0009971415097655015,2.3601637121308086e-09,0.0004176880466712104,0.0009971439000938714,0.0004448308926713329,-0.0008924244698682582,-1.7579840980622152e-05,0.0005079335820642461,0.0006153953104126586,-1.24141061527e-05,905,-7.4602203369140625,-10.0,-15.122950553894043,-10.0,3.1984433263924643,3.639065220121779,3.1984433263924643,3.639065220121779,3.1984433263924643,32.30476379394531,52.106475830078125,6,-0.0007062199127338067,0.0006126609729411411,6.260527915007868e-08,-0.0006366264279216161,0.0002008114237077585,-4.0518429395008937e-07,-0.7062199127338067,0.6126609729411411,6.260527915007868e-05,-0.6366264279216161,0.2008114237077585,-0.00040518429395008937,0.9349331702891556,0.6675465801124095,0.7140045947796958,0.9175070796139115,0.06959348481219067,-0.4118495492333826,-0.00046778957310016805,0.4176880466712508,0.4176883086215482,direction_ok_jac_too_sensitive
8,0.6703140729162238,-0.6553255944925978,-0.09999821629554878,0.8056492739960003,-0.679775843881988,-0.10041595509757911,0.8060717582695907,-0.6801677458351204,-0.10001404393127798,0.0010727912779210406,1003,0.8057169992670857,-0.679155309577312,-0.10001426925040649,0.0008403598264162909,2.4352642403316047e-09,0.0005762639172290783,0.0010727890393618527,0.0006242191407056821,0.0005419280696174864,0.0005762639172290783,0.0004224842735903733,-0.00039190195313243414,0.00040191116630113044,0.0006815237566102361,0.0004916604590876616,-1.0667031412600614e-05,941,-8.311104774475098,-10.0,-15.691221237182617,-10.0,3.046607578212729,3.7345912662755154,3.046607578212729,3.7345912662755154,3.046607578212729,33.28147888183594,51.041839599609375,7,-0.0004448308926713548,0.0008924244698682853,1.7579840980625117e-05,-0.00044563460663460397,0.000350496996230687,-2.835171644816059e-07,-0.44483089267135484,0.8924244698682853,0.017579840980625115,-0.44563460663460397,0.350496996230687,-0.0002835171644816059,0.9971439000939055,0.5669553306893872,0.5685792492612303,0.9039282606141196,-0.0008037139632491568,-0.5419274736375983,-0.01786335814510672,0.5419280696175135,0.542222401052912,direction_ok_jac_too_sensitive
9,0.6853081006300087,-0.6403392086622899,-0.09999249716074482,0.8051881828536044,-0.6786122191376188,-0.09763784284670689,0.8059965745051659,-0.6792195272846652,-0.10001409130076475,0.0010543035630594462,1052,0.8052330246696682,-0.6784925144568614,-0.10001457701287086,0.0014915181498617045,6.256899827113187e-08,0.0010110985351503945,0.0010542696320222458,0.0001278280057856187,0.0006558245193064539,0.0010110985351503945,0.0008083916515615464,-0.0006073081470463482,-0.0023762484540578582,0.0013785630456678577,0.0005693771337925702,-7.264690773875482e-06,990,-8.453948974609375,-10.0,-15.778944969177246,-10.0,3.5350045414317606,3.173023136579559,3.5350045414317606,3.173023136579559,3.173023136579559,25.972259521484375,43.39653015136719,8,-0.0004224842735904069,0.0003919019531324076,-0.00040191116630112567,-7.518376442472441e-05,0.0009482185504552376,-4.7369486763648716e-08,-0.42248427359040686,0.39190195313240755,-0.40191116630112567,-0.07518376442472441,0.9482185504552376,-4.7369486763648716e-05,0.5762639172290849,0.951194521567752,1.6506230764731291,0.7358933855907774,0.34730050916568245,0.55631659732283,0.401863796814362,0.6558245193064941,0.7691555832948552,direction_ok_jac_not_sensitive_enough
