step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,N_nodes_active,using_upgraded_nodes,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,err_to_center,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6728748493429851,-0.6812714410713427,-0.09997971899497238,0.811467279710721,-0.6821314655047466,-0.1000096142180436,0.8126316956834889,-0.6816650568073164,-0.10000986852610701,0.0012800261318840192,79,0.8114751957596867,-0.6822136685320831,-0.10001060506250858,0.0006594451128103525,8.137232243909324e-12,0.001254353072573934,0.0012800261288449211,8.25833005789788e-05,nan,0.001254353072573934,0.0011644159727679515,0.0004664086974301984,-2.543080634132e-07,-0.0006066469827512577,0.00025854843864980825,-6.215871930490002e-06,74,8,False,-0.4091433882713318,-10.0,-1.2183314561843872,-10.0,4.126001553387596,2.767771851530938,4.126001553387596,2.767771851530938,2.767771851530938,5.1871185302734375,9.790451049804688,0.0006690215470425443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6724608517675039,-0.68829540992161,-0.09997799480404923,0.8110687364463296,-0.6822093841813892,-0.1000096245495714,0.8117545215876625,-0.6824428434590553,-0.10001042735758106,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007244339130668283,0.0006857851413328842,-0.00023345927766604824,-8.028080096672552e-07,nan,nan,nan,78,8,False,-0.8504629731178284,-10.0,-3.4427146911621094,-10.0,3.299396722868096,3.623956508076162,3.299396722868096,3.623956508076162,3.299396722868096,8.201766967773438,22.337814331054688,0.0006690215470425443,0,-0.0011644159727679092,-0.00046640869743023994,2.543080634170608e-07,-0.0008771740958264385,-0.0007777866517388876,-5.588314740540001e-07,-1.1644159727679093,-0.46640869743023994,0.0002543080634170608,-0.8771740958264385,-0.7777866517388876,-0.0005588314740540001,1.2543530725739103,1.1723423007006613,0.93461906810689,0.9412660384205105,0.28724187694147074,-0.3113779543086477,-0.0008131395374710609,0.4236320647664637,0.42363284515509975,mixed_noise_backlash_delay_or_constraints
2,0.6712472423027592,-0.6803155387620191,-0.09997333247258561,0.8106551265584195,-0.682065857126537,-0.10000958807268785,0.810983883779382,-0.6818639875546754,-0.10001091765921277,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00038578832846338786,0.0003287572209624834,0.0002018695718616348,-1.3295865249202121e-06,nan,nan,nan,82,8,False,-1.408623218536377,-10.0,-6.723541259765625,-10.0,3.7531476996452966,3.201935003941003,3.7531476996452966,3.201935003941003,3.201935003941003,9.590774536132812,35.48780822753906,0.0006690215470425443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6712697407748952,-0.6791103477410264,-0.09997219243811245,0.8102515260016813,-0.6819411013545332,-0.10000956092482251,0.8106538433211008,-0.6815111263792865,-0.10001112758563692,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005888443808370592,0.00040231731941953175,0.00042997497524677186,-1.5666608144115912e-06,nan,nan,nan,84,8,False,-1.7042356729507446,-10.0,-8.220876693725586,-10.0,4.023170567111265,2.950573280336016,4.023170567111265,2.950573280336016,2.950573280336016,10.324615478515625,40.076171875,0.0006690215470425443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6718821310455426,-0.6791440459787804,-0.099997895648054,0.8098557922531645,-0.6817797650024651,-0.10001008202306529,0.810069804267271,-0.6815559378704907,-0.1000114994197319,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00030967681086866984,0.00021401201410653492,0.00022382713197433013,-1.4173966666197746e-06,nan,nan,nan,86,8,False,-2.2552666664123535,-10.0,-10.742300987243652,-10.0,3.8064745016348525,3.190600988519577,3.8064745016348525,3.190600988519577,3.190600988519577,13.789474487304688,48.129913330078125,0.0006690215470425443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6732846936228748,-0.6751278615009271,-0.09997660170451789,0.8087996080109172,-0.6811424124912592,-0.1000111956140599,0.8099048651185767,-0.6810533819820398,-0.10001160416143086,0.001109004669729154,93,0.8087998567154694,-0.6811474446555252,-0.10001230768051911,0.0009226155057499379,2.629464917366832e-12,0.0011088370960622425,0.001109004669599859,5.038306377632763e-06,0.001898263269327277,0.0011088370960622425,0.0011052571076595186,8.903050921937883e-05,-4.085473709614096e-07,-0.0006313236313107984,0.0006727925713017058,-9.156376618038586e-06,88,8,False,-2.412867784500122,-10.0,-11.386322975158691,-10.0,4.213478059524277,2.800033522946137,4.213478059524277,2.800033522946137,2.800033522946137,13.540084838867188,48.68354797363281,0.0007099180977880397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6731641607988229,-0.6756446737064868,-0.10001292210543924,0.8084965305248806,-0.6808662484967155,-0.10001122628381759,0.808926182621937,-0.6808286144844669,-0.10001222709286679,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00043129716366208565,0.00042965209705647656,3.7634012248655146e-05,-1.0008090492036326e-06,nan,nan,nan,94,8,False,-3.5165483951568604,-10.0,-13.896781921386719,-10.0,3.7361731046071327,3.1245181456851014,3.7361731046071327,3.1245181456851014,3.1245181456851014,19.11187744140625,53.99895477294922,0.0007099180977880397,5,-0.0011052571076594902,-8.903050921942645e-05,4.0854737095537654e-07,-0.0009786824966396823,0.0002247674975729419,-6.229314359340599e-07,-1.1052571076594901,-0.08903050921942646,0.00040854737095537654,-0.9786824966396823,0.2247674975729419,-0.0006229314359340599,1.1088370960622178,1.0041612705109095,0.9055985529085931,0.9535070807166953,0.12657461101980785,0.3137980067923683,-0.0010314788068894365,0.3383641843069075,0.3383657564976219,mixed_noise_backlash_delay_or_constraints
7,0.6740072496934785,-0.663720008766454,-0.0999849780639201,0.8082094710116206,-0.680554411328808,-0.10001107895346589,0.8083923162179181,-0.6796492893695785,-0.1000125663483492,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009234057236911089,0.00018284520629752166,0.0009051219592295379,-1.4873948833010742e-06,nan,nan,nan,100,8,False,-4.466058254241943,-10.0,-14.6741943359375,-10.0,4.108871299300517,2.6208328613302,4.108871299300517,2.6208328613302,2.6208328613302,18.4891357421875,50.15013122558594,0.0007099180977880397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.67545155612574,-0.6613478303832627,-0.09997151643974234,0.8079357632404323,-0.6802384538657535,-0.10001132700833204,0.8079587436287731,-0.6795899229009764,-0.10001284233826117,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0006489379866543846,2.2980388340809732e-05,0.0006485309647771276,-1.515329929133169e-06,nan,nan,nan,101,8,False,-5.471071243286133,-10.0,-15.273014068603516,-10.0,3.8201065489341772,2.9034672637327503,3.8201065489341772,2.9034672637327503,2.9034672637327503,23.504119873046875,51.60597229003906,0.0007099180977880397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6779358227804972,-0.6578868850999794,-0.09998970435667054,0.8076714955992534,-0.6799190734265375,-0.10001314505534122,0.8076543871117392,-0.679477193290589,-0.10001303603888019,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004422112107250022,-1.71084875142391e-05,0.0004418801359484803,1.090164610251243e-07,nan,nan,nan,103,8,False,-6.301559925079346,-10.0,-15.43697452545166,-10.0,3.6635499146628945,3.0616367391152153,3.6635499146628945,3.0616367391152153,3.0616367391152153,26.317855834960938,51.165557861328125,0.0007099180977880397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
