step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
0,0.6697894538232043,-0.6812759607725865,-0.0999946921456133,0.8097448867775,-0.6823327159960827,-0.10001115278766678,0.8103451176117686,-0.6819217887428113,-0.10001132434043193,0.0011109852327100143,581,0.8097851609505597,-0.6828813390150053,-0.10001168131973728,0.000618797229660369,5.356265545671823e-13,0.0007274189039941186,0.0011109852331520158,0.0005500992873176125,nan,0.0007274189039941186,0.0006002308342686336,0.0004109272532714092,-1.7155276514635442e-07,0.0005094011231822071,0.00035131254907283527,-8.721177707726735e-06,519,-1.979779839515686,-10.0,-7.283970355987549,-10.0,4.628412512615796,2.4265553689716057,4.628412512615796,2.4265553689716057,2.4265553689716057,11.008163452148438,35.879150390625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,0.6695237780445565,-0.6856898299113606,-0.10000088920497333,0.8092107200084858,-0.6827136144580449,-0.10001107028171781,0.8100163491434083,-0.6826120031753572,-0.10001153400047488,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0008120117953609509,0.0008056291349224365,0.00010161128268770803,-4.637187570738499e-07,nan,nan,nan,572,-2.36116623878479,-10.0,-8.356406211853027,-10.0,3.863978273144994,3.1888026825765223,3.863978273144994,3.1888026825765223,3.1888026825765223,15.188018798828125,41.78636169433594,0,-0.0006002308342686143,-0.000410927253271361,1.7155276514744683e-07,-0.0003287684683603853,-0.0006902144325459103,-2.096600429518647e-07,-0.6002308342686142,-0.410927253271361,0.00017155276514744684,-0.3287684683603853,-0.6902144325459103,-0.0002096600429518647,0.7274189039940754,0.7645159701946759,1.0509982142970324,0.8648513168668982,0.2714623659082289,-0.2792871792745493,-0.0003812128080993115,0.3894780412444679,0.38947822780591024,mixed_noise_backlash_delay_or_constraints
2,0.6689622398467644,-0.6809218871113781,-0.09998675581238789,0.8086284888325432,-0.6822934326248556,-0.10001083958008479,0.8089464912708264,-0.6819964238012257,-0.10001221477235432,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004351319249010314,0.00031800243828317143,0.00029700882362992953,-1.3751922695315333e-06,nan,nan,nan,689,-3.843932867050171,-10.0,-11.1032133102417,-10.0,3.8737436475273057,3.1210880391861338,3.8737436475273057,3.1210880391861338,3.1210880391861338,19.193527221679688,46.159637451171875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,0.6690925898066602,-0.6763983843311604,-0.09999471564485612,0.8080650642108504,-0.6818176749356503,-0.10001049858915066,0.8085365278921026,-0.6814245734868608,-0.10001247546519891,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0006138458697264475,0.0004714636812521711,0.00039310144878945685,-1.976876048248588e-06,nan,nan,nan,752,-4.40177583694458,-10.0,-11.810508728027344,-10.0,4.0783381665789875,2.897633856952268,4.0783381665789875,2.897633856952268,2.897633856952268,21.048141479492188,47.03541564941406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
4,0.6697461082203229,-0.6721388956761303,-0.10000278023282963,0.8074967218475656,-0.6812748616709638,-0.100010293981145,0.8079297546555472,-0.6805817091490703,-0.10001286130988507,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0008172991076685003,0.0004330328079815704,0.0006931525218935031,-2.567328740071817e-06,nan,nan,nan,835,-5.190140724182129,-10.0,-12.81639289855957,-10.0,4.248818499278173,2.6706864659592497,4.248818499278173,2.6706864659592497,2.6706864659592497,22.764419555664062,47.37132263183594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
5,0.6708056627937871,-0.6680586540366895,-0.09998624906221623,0.8069187940390656,-0.6806568541239074,-0.10000968545855715,0.8074966611763468,-0.6803760284043571,-0.10001313691856349,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000642490087947255,0.0005778671372811406,0.0002808257195503483,-3.4514600063401124e-06,nan,nan,nan,868,-5.817329406738281,-10.0,-13.577242851257324,-10.0,4.054274202079284,2.830398309439545,4.054274202079284,2.830398309439545,2.830398309439545,25.3411865234375,48.78057861328125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
6,0.6720852380061418,-0.664050239913093,-0.10000768069536603,0.806328910962496,-0.679957363457444,-0.10000927245179671,0.807018482436484,-0.680303943498553,-0.10001344129900276,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007717684514367726,0.0006895714739879599,-0.00034658004110910134,-4.168847206054149e-06,nan,nan,nan,895,-6.580225944519043,-10.0,-14.376368522644043,-10.0,3.7246263731803992,3.1261691157388896,3.7246263731803992,3.1261691157388896,3.1261691157388896,26.905120849609375,48.73736572265625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7,0.6733823809346298,-0.6598547018582386,-0.10000296366259076,0.8057337759493821,-0.6791875581139352,-0.1000086138461708,0.8063367804991765,-0.680091990191358,-0.10001387517344829,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010870197191146524,0.0006030045497943393,-0.0009044320774228565,-5.261327277489292e-06,nan,nan,nan,934,-7.785982608795166,-10.0,-15.361955642700195,-10.0,3.305149447537417,3.486152572826768,3.305149447537417,3.486152572826768,3.305149447537417,30.798294067382812,49.83155822753906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
8,0.6742325098132221,-0.6549402241142845,-0.09999175774157248,0.805114310780801,-0.6784078736937149,-0.10000777578329319,0.8056319089138703,-0.6798401226826948,-0.1000143237773541,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015229067580750512,0.0005175981330692858,-0.0014322489889798673,-6.547994060912554e-06,nan,nan,nan,973,-9.229409217834473,-10.0,-16.153411865234375,-10.0,2.8798470774144107,3.8524498560489064,2.8798470774144107,3.8524498560489064,2.8798470774144107,33.79656982421875,49.33122253417969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
9,0.6734305240151868,-0.6480989930878985,-0.10001008248573084,0.8043713939329091,-0.6775194169688612,-0.10000850939648234,0.8049801637455647,-0.6794928456583457,-0.100014738510234,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020651928426374806,0.000608769812655563,-0.001973428689484469,-6.229113751657356e-06,nan,nan,nan,1013,-10.732697486877441,-10.0,-16.53539276123047,-10.0,2.545428618060555,4.131680435573287,2.545428618060555,4.131680435573287,2.545428618060555,36.36558532714844,48.177581787109375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
