k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,vessel_tip_alignment_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,frame_path
0,17,17,1,0.0016610706371867178,1.6610706371867179,-0.0003266872774742682,-0.6619758153769647,-9.314785909748136e-12,0.0,0.0,-0.026658501714931674,0.010141840006629588,0.6621295551501784,-0.7165470748459698,-0.1,-0.0005337225097066143,-0.999999704959862,-0.0004516022813180976,-0.0003182386700680588,0.016101418400066295,0.7820512159486152,-0.7106509668414345,-0.10000077035776969,-0.9978706016185714,-0.06522432976927696,0.00022188181350156025,solved,0,3.2562778049314e-05,0.032562778049314,3.25627822733373e-05,0.032562782273337296,1.4643521700400683,16,0.03484742797175453,0.0013519793081677735,1.3519793081677736,0.0026480206918322266,2.6480206918322264,0.7044146507612902,0.704414670623959,0.7274568594959411,1.0327111435143326,1.0327111143945535,1.8416724224014407,0.9994834502963502,0.7270810918707503,-0.10147698679871937,-0.6970670126869053,3.436795986518028e-05,-0.10147698679874306,-0.6970670327579587,3.438783785503219e-05,-0.08160735017481713,-0.7228649407103882,1.780194372469346e-05,-0.14405859771520793,-0.989569157787329,4.878938822189089e-05,-0.1440585936531623,-0.9895691583772781,4.881760600552513e-05,-0.11218170412382023,-0.9936877098268966,2.4471476888716843e-05,mpc_1np1s_bc_30/frames/frame_000000.png
1,18,18,1,0.0019876673251074117,1.9876673251074117,0.018354406506770986,-0.21069914069325177,-4.438485641691085e-11,0.0,0.0,-0.008517324119085986,0.01015022090035587,0.6623130992152461,-0.7186540662529023,-0.1,-0.0005337360619321262,-0.9999996848208371,-0.000494188888926375,-0.00031821594034145954,0.016202920609069853,0.7819648655047715,-0.7108910358913583,-0.10000073913138385,-0.9962690154139688,-0.08630178833402656,0.0002241794592985412,solved,0,9.036072618161643e-06,0.009036072618161643,9.036100219621437e-06,0.009036100219621437,5.216135652685509,16,0.09780957597737137,0.0006272907737571537,0.6272907737571537,0.0033727092262428463,3.372709226242846,0.24788914504626564,0.2478891450463261,0.2551265349946874,1.0291960745077038,1.0291960745074529,1.2326659459417444,0.9997685811215412,0.25506749389809386,-0.08889937336350819,-0.23139993424431615,8.892144173609844e-06,-0.08889937336353793,-0.23139993424436955,8.892144146011027e-06,-0.08635044384364132,-0.24006904992379674,3.122638583819004e-05,-0.35862551926957575,-0.9334815132833995,3.5871454443679765e-05,-0.35862551926960823,-0.9334815132833872,3.5871454332335706e-05,-0.338461241773379,-0.9409803254247772,0.00012239568039773002,mpc_1np1s_bc_30/frames/frame_000001.png
2,18,18,0,0.0018519874831664745,1.8519874831664744,0.009162459630811779,-0.07709925317668487,-3.707535091513114e-11,0.0,0.0,-0.0031198487517887694,0.01014852108176377,0.6624047238115541,-0.7194250587846691,-0.1,-0.0005337410257952086,-0.999999676990196,-0.0005097881277080024,-0.0003182076144238101,0.01630440581988749,0.7818704102966283,-0.7109867443568442,-0.10000070876958145,-0.9955536970465183,-0.09419546205708683,0.00022632909898871547,solved,0,3.1846417295820718e-06,0.0031846417295820716,3.184684352400029e-06,0.003184684352400029,6.427246252697866,16,0.17795164916410577,0.0003851239770328384,0.3851239770328384,0.0036148760229671615,3.6148760229671617,0.13261950871702247,0.13261950871705616,0.13446894672333598,1.0139454445594407,1.0139454445591831,1.1123906431098278,0.99981153715107,0.13444360432254387,-0.0949710028628194,-0.09256587121470862,4.683841085984731e-05,-0.09497100286282034,-0.0925658712147559,4.6838410858174306e-05,-0.09445520814321817,-0.09570846548589973,3.0361802405565186e-05,-0.7161163827372052,-0.6979808032031056,0.00035317888984032507,-0.7161163827370305,-0.6979808032032849,0.0003531788898276203,-0.70243138244814,-0.7117514327141696,0.00022579043820454157,mpc_1np1s_bc_30/frames/frame_000002.png
3,18,18,0,0.0017454572576295331,1.745457257629533,0.0038518331852758518,-0.027284427363248945,-3.042436880219075e-11,0.0,0.0,-0.0011037796901645254,0.010146604067564572,0.6624432421434069,-0.7196979030583016,-0.1,-0.0005337427819425907,-0.999999674161498,-0.0005153070243683752,-0.0003182046687564437,0.016405871860563134,0.7817719734828941,-0.7110278520615748,-0.10000067930364746,-0.9952704251422024,-0.0971428262393838,0.00022835823694957252,solved,0,1.0702562773452032e-06,0.0010702562773452033,1.0702564626872071e-06,0.001070256462687207,6.8813632178902475,16,0.26991540006688414,0.0002870575355116206,0.28705753551162055,0.0037129424644883795,3.7129424644883797,0.10638262940710502,0.1063826294071304,0.10667544494685785,1.0027524751116301,1.0027524751113908,0.553668515412867,0.9999533103072769,0.10667046430311218,-0.09855817006318658,-0.04004435100745754,3.0095796559540126e-05,-0.0985581700632121,-0.040044351007462176,3.0095796604845404e-05,-0.09843681373422619,-0.0411077047306474,2.946593398445163e-05,-0.9264498406598337,-0.3764181354666073,0.00028290141658719053,-0.9264498406598525,-0.37641813546656105,0.0002829014170129941,-0.9227691881975663,-0.385353018692595,0.0002762203991661865,mpc_1np1s_bc_30/frames/frame_000003.png
4,18,18,0,0.0016432984485038908,1.6432984485038908,0.0016156295023034225,-0.00879569944895177,-2.4848809307989357e-11,0.0,0.0,-0.0003554293119926509,0.010144490869374653,0.6624593984384299,-0.7197858600527911,-0.1,-0.0005337433474380803,-0.9999996732441429,-0.000517084170348461,-0.00031820372021679243,0.01650731676925688,0.7816719217083987,-0.7110484270688423,-0.10000065041386062,-0.9951623747837374,-0.09824354828430422,0.0002302939466149602,solved,0,3.0220971524736457e-07,0.00030220971524736454,3.022165383178908e-07,0.00030221653831789076,7.051009501674069,16,0.3672663363983121,0.00024346033807938472,0.24346033807938472,0.0037565396619206153,3.7565396619206153,0.10211246555482913,0.10211246555480077,0.10214543229310172,1.0003228473437935,1.0003228473440713,0.16853604487930018,0.9999956737658402,0.10214499038804326,-0.10007955075119869,-0.02027407672480619,3.09205608210383e-05,-0.10007955075119757,-0.020274076724668966,3.0920560820102416e-05,-0.10005177449534663,-0.020575007267487067,2.8889786840569087e-05,-0.9800914139857012,-0.1985465399806653,0.0003028088750284416,-0.9800914139859623,-0.19854653997937657,0.0003028088750193604,-0.9795031676820612,-0.20142855931578038,0.0002828299434640518,mpc_1np1s_bc_30/frames/frame_000004.png
5,18,18,0,0.0015417929287979367,1.5417929287979368,0.000745665995251996,-0.001988551746158135,-2.0089255981273005e-11,0.0,0.0,-8.008783129478994e-05,0.010142171423448757,0.6624668550983824,-0.7198057455702527,-0.1,-0.0005337434748592668,-0.999999673037002,-0.0005174846093740478,-0.0003182035064850311,0.01660873848349137,0.7815712632901691,-0.7110613317922684,-0.10000062211211692,-0.9951213160284723,-0.09865856526769298,0.00023213160416125437,solved,0,1.5793686412624657e-08,1.5793686412624656e-05,1.5854865524600908e-08,1.585486552460091e-05,7.114378580446414,16,0.466760771984154,0.00022033928123445934,0.22033928123445934,0.003779660718765541,3.7796607187655407,0.10148053181035274,0.10148053181039716,0.10148226371231557,1.0000170663469332,1.0000170663464953,0.008897994338770405,0.999999987941064,0.10148226248854746,-0.10065869501670222,-0.012888932165184133,2.96932285958068e-05,-0.10065869501674207,-0.012888932165222577,2.9693228625893298e-05,-0.10065841822959332,-0.01290472342607707,2.8301743698611048e-05,-0.9919015324516984,-0.12700891427403066,0.00029260024623538273,-0.991901532451657,-0.1270089142743539,0.0002926002465317302,-0.9918818771617303,-0.12716235284876673,0.0002788836459033032,mpc_1np1s_bc_30/frames/frame_000005.png
6,19,19,1,0.0024259477803639587,2.4259477803639586,-0.012711648350928617,0.10735307153190589,-6.737435988886454e-11,0.0,0.0,0.004334689715445911,0.010160194548619841,0.6623397386148732,-0.7187322148549337,-0.1,-0.0005337365781665725,-0.9999996840178089,-0.0004958111677633895,-0.00031821507447204973,0.01671034042897757,0.7814603498151421,-0.7109470030024169,-0.10000059542755257,-0.996115417177095,-0.08805691900130415,0.00023383348782124688,solved,0,4.3735942928539295e-06,0.004373594292853929,4.37370103009158e-06,0.00437370103009158,7.138273540860761,16,0.5670592937688307,0.00020486680581436158,0.2048668058143616,0.0037951331941856385,3.7951331941856385,0.1563250289644756,0.15632502896453185,0.15928864317189861,1.0189580275599788,1.018958027559612,1.1679251274948381,0.9997922506345231,0.15925555105735198,-0.11111414596326556,0.10995980161463467,5.724044401369531e-05,-0.11111414596332025,0.10995980161465635,5.724044986610277e-05,-0.11091347502700799,0.1143287898515144,2.6684564349843676e-05,-0.7107892235767053,0.7034049655581559,0.00036616301556357324,-0.7107892235767993,0.7034049655580413,0.00036616305300087227,-0.6963049770429279,0.7177460211531519,0.00016752333260222857,mpc_1np1s_bc_30/frames/frame_000006.png
7,19,19,0,0.002317197805772363,2.317197805772363,-0.0034288963114707223,0.03635355688151431,-5.935499515630895e-11,0.0,0.0,0.001465507066472918,0.010156494826983584,0.6623054496517584,-0.7183686792861185,-0.1,-0.0005337342464200422,-0.9999996876240363,-0.0004884836347331504,-0.0003182189854371415,0.016811905377247405,0.781356122073448,-0.7109138446809252,-0.10000056693257416,-0.9964169406482393,-0.08457673952584888,0.00023562762988349099,solved,0,1.5194022111567209e-06,0.0015194022111567208,1.5194178693219785e-06,0.0015194178693219785,6.5281934705105495,16,0.6808879607030113,0.0003162187619062969,0.3162187619062969,0.0036837812380937033,3.683781238093703,0.1088763045707436,0.1088763045707681,0.10937503021609711,1.0045806628661744,1.0045806628659484,0.753569669397218,0.9999135101190529,0.10936557038275514,-0.10417761222078437,0.03163974646381629,3.53929742965092e-05,-0.10417761222081268,0.031639746463807406,3.539297428745147e-05,-0.10422774169416282,0.033158321491644216,2.8494978418502903e-05,-0.9568437561461667,0.29060268520831367,0.0003250750880648435,-0.9568437561462113,0.2906026852081667,0.0003250750879815775,-0.9529390893720023,0.3031617127431357,0.0002605254449960298,mpc_1np1s_bc_30/frames/frame_000007.png
8,19,19,0,0.00221483404047453,2.21483404047453,-0.0008224648416125835,0.012987129691380286,-5.091282009409757e-11,0.0,0.0,0.0005233188468072001,0.010154667868868587,0.6622972250033423,-0.7182388079892047,-0.1,-0.0005337334137682526,-0.9999996888987766,-0.0004858670413148064,-0.00031822038200200384,0.01691345205593609,0.7812539004534598,-0.7109075653188756,-0.10000053897071418,-0.9965129507405827,-0.08343789718257236,0.00023731845167957333,solved,0,5.686360995965332e-07,0.0005686360995965332,5.686431935516792e-07,0.0005686431935516791,6.328053615337954,16,0.7859415426627653,0.00034666985610838104,0.346669856108381,0.003653330143891619,3.653330143891619,0.10234725396819619,0.10234725396823682,0.1024143093645872,1.0006551753348638,1.0006551753344666,0.31601221526465645,0.9999847899241696,0.10241275163517564,-0.10218774643062851,0.005711735767810177,3.080225215561985e-05,-0.10218774643067086,0.005711735767799375,3.080224873774906e-05,-0.10222161998818535,0.006279362049665949,2.796185998021894e-05,-0.9984415064265697,0.05580741589398252,0.00030095826669850344,-0.998441506426587,0.055807415893854816,0.0003009582333035379,-0.9981185307248825,0.06131332709877381,0.0002730268861226885,mpc_1np1s_bc_30/frames/frame_000008.png
9,19,19,0,0.0021132169597971556,2.1132169597971555,-2.888179182165924e-05,0.005308420809520501,-4.337326249939166e-11,0.0,0.0,0.00021406144191397274,0.010153207575988601,0.6622969361854241,-0.7181857237811095,-0.1,-0.0005337330731743778,-0.9999996894182308,-0.00048479673443793236,-0.0003182209532605423,0.017014984131695977,0.7811523274476943,-0.710910169236383,-0.10000051040696434,-0.9965439762939149,-0.08306651658772783,0.00023902781006338418,solved,0,2.6428548218390124e-07,0.00026428548218390127,2.642898066769241e-07,0.0002642898066769241,6.2625741221880356,16,0.8882970747420789,0.00035031495031062577,0.35031495031062576,0.0036496850496893743,3.6496850496893742,0.10159503316809347,0.10159503316806065,0.10160638120962484,1.0001116987826815,1.0001116987830045,0.1489037799177605,0.9999966229620589,0.10160603808102045,-0.10155455170249682,-0.0028675579133872597,3.007564266274118e-05,-0.10155455170246519,-0.002867557913344143,3.007564274015717e-05,-0.10157300576552064,-0.002603917507393305,2.856374983761789e-05,-0.999601540898858,-0.028225375040163217,0.00029603457693625336,-0.9996015408988695,-0.028225375039747938,0.0002960345776983547,-0.9996715221651744,-0.025627499733714015,0.0002811216135991284,mpc_1np1s_bc_30/frames/frame_000009.png
