k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,vessel_tip_alignment_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,frame_path
0,17,17,1,0.0016610706192765573,1.6610706192765572,8.74855341601173e-06,0.019250847354040222,1.4701618198921644e-10,0.0,0.0,0.0007752440389339743,0.009994172196119125,0.6621329095084872,-0.7097348082186598,-0.1,-0.0005336788522918689,-0.9999997574979453,-0.0003144335892006869,-0.00031831187711212956,0.016099941721961192,0.7820329002382657,-0.7099070049789012,-0.10000075997574027,-0.9999977069033213,0.0021299561898053135,0.00022242915388300295,solved,0,7.954869869184756e-07,0.0007954869869184756,7.954871213104823e-07,0.0007954871213104823,1.4643521692768842,16,0.03484742797265378,0.0013519793082007832,1.3519793082007832,0.002648020691799217,2.648020691799217,0.1019811859621455,0.10198118643681287,0.10212590207306634,1.0014190471463487,1.0014190424852836,0.43915924646534416,0.9999706257575074,0.10212290220205408,-0.09994000735676553,0.02030163540938655,2.8626555803308793e-05,-0.09994000735680242,0.02030163779687122,2.862423649496737e-05,-0.09992306052430955,0.02109694424801134,2.816183601594968e-05,-0.9799847532059723,0.19907236043442694,0.00028070428416016567,-0.979984748645034,0.1990723829188831,0.0002806815403417848,-0.9784301386421952,0.20657780073185994,0.000275756056439053,mpc_1np1s_wadv_30/frames/frame_000000.png
1,18,18,1,0.0022859598846233695,2.2859598846233693,0.0002701745408162342,0.09024549153200564,1.4775655730784805e-10,0.0,0.0,0.0036313114835148184,0.00999381927845837,0.6621356112538954,-0.7088323533033397,-0.1,-0.0005336730727560294,-0.9999997630421467,-0.00029627703613528477,-0.00031832156683038584,0.016199879914745776,0.781933506449357,-0.7098070537575714,-0.10000073179378868,-0.9999383882159827,0.011098170575053773,0.00022445914910969032,solved,0,3.7235233541187085e-06,0.0037235233541187086,3.7235233568845866e-06,0.0037235233568845864,1.355026724658112,16,0.13528676592866415,0.001370495233839732,1.370495233839732,0.002629504766160268,2.629504766160268,0.1386316281877039,0.1386315787721972,0.14095876245618166,1.0167864599074528,1.0167868223430432,1.1913632249235746,0.9997838289797896,0.1409282912566939,-0.09977558102323127,0.09624739457191278,2.8347291232415796e-05,-0.09977558115215057,0.09624732326818375,2.8325470316503676e-05,-0.0993937889086638,0.09995122132988588,2.8181951591821353e-05,-0.7197172992020084,0.6942672161477909,0.00020447924909339048,-0.7197175566766375,0.6942669492810127,0.0002043219197773747,-0.7051267134922617,0.7090812914944301,0.000199930469739914,mpc_1np1s_wadv_30/frames/frame_000001.png
2,19,19,1,0.0030518278422165352,3.051827842216535,0.0026265607772843727,0.1786085552409454,1.5031014920924283e-10,0.0,0.0,0.007181712510356372,0.009993228265338359,0.6621618768616683,-0.7070462677509303,-0.1,-0.0005336616419420721,-0.9999997730363168,-0.0002603684819090222,-0.00031834073005807114,0.01629981219739916,0.7818369130592301,-0.7096066292315127,-0.10000070342314012,-0.9995822595113527,0.02890078161902156,0.00022647734605994092,solved,0,7.426330457796236e-06,0.007426330457796236,7.4263306329652505e-06,0.007426330632965251,0.8417260640681562,16,0.23722847950797185,0.001467851237508866,1.467851237508866,0.002532148762491134,2.532148762491134,0.2166695861193838,0.21666955667866522,0.22248657143055744,1.026847262762428,1.0268474022888192,1.2047524767324818,0.9997789429379148,0.22243738920272357,-0.09815094792824149,0.193163402514979,2.997947472973411e-05,-0.0981509482201881,0.19316336934260825,2.99836352413152e-05,-0.09659339012690893,0.20042452605861794,2.8370648566533596e-05,-0.45299827117480546,0.8915113836445276,0.00013836494206074488,-0.452998334074926,0.8915113516804848,0.00013838416296657147,-0.4341537986127746,0.9008387552107813,0.00012751622888569996,mpc_1np1s_wadv_30/frames/frame_000002.png
3,20,20,1,0.003871606409209782,3.871606409209782,0.010266419344840029,0.27147837353585497,1.578869231139341e-10,0.0,0.0,0.01091287400839781,0.009992201182357413,0.6622645410551167,-0.7043314840155718,-0.1,-0.0005336442710862589,-0.9999997857545241,-0.00020580412389064533,-0.0003183698484954716,0.016399734209222736,0.7817479487566693,-0.7092977708264286,-0.10000067452119892,-0.9984280428738658,0.05604811310481253,0.00022851794680150658,solved,0,1.152555954612519e-05,0.01152555954612519,1.1525561898415972e-05,0.011525561898415972,0.1866248875720941,16,0.3389590214354725,0.0016657177276206475,1.6657177276206474,0.0023342822723793526,2.334282272379353,0.3120567877640352,0.3120567877640173,0.3214158713513417,1.029991603946085,1.0299916039461443,1.2169452684681403,0.9997744460143673,0.32134337472051283,-0.09272289007694086,0.2979629224084709,3.626556529282153e-05,-0.09272289007689061,0.2979629224084679,3.626556398239611e-05,-0.08896430256077892,0.30885840508410034,2.89019412014202e-05,-0.29713466815230494,0.9548355750998067,0.00011621463372956365,-0.297134668152161,0.954835575099852,0.00011621462953025317,-0.27678876648730105,0.9609307834910408,8.992070329292267e-05,mpc_1np1s_wadv_30/frames/frame_000003.png
4,21,21,1,0.0047114710048935665,4.711471004893567,0.02604004906047116,0.35702249613292814,1.7061874273018362e-10,0.0,0.0,0.014362812143531016,0.009991330146976408,0.6625249415457214,-0.7007612590542425,-0.1,-0.0005336214062785772,-0.9999997979555248,-0.0001339900780898625,-0.00031840817083656614,0.016499647510692498,0.7816735586067716,-0.7088853615766233,-0.10000064244350329,-0.9957687667498187,0.09189401441729526,0.0002308242167268615,solved,0,1.579380149110725e-05,0.015793801491107252,1.5793803207003413e-05,0.015793803207003413,1.7375410407547616,16,0.4358561039636673,0.0019721778653058572,1.9721778653058573,0.002027822134694143,2.027822134694143,0.406368448540466,0.4063684485403566,0.4190647739381047,1.0312433837893653,1.0312433837896429,1.304315779207929,0.9997408975731855,0.4189561932381849,-0.08122078199935287,0.3981689327221535,3.9439829818872335e-05,-0.08122078199934712,0.3981689327220428,3.943983184484523e-05,-0.07439014989774062,0.41240924980534555,3.207769562474372e-05,-0.19986980360082002,0.9798224595246942,9.705436029919762e-05,-0.19986980360085968,0.9798224595246855,9.705436528478034e-05,-0.1775146815578633,0.9841181493967752,7.65459127554385e-05,mpc_1np1s_wadv_30/frames/frame_000004.png
5,22,22,1,0.005558985408507997,5.558985408507997,0.05071761226703736,0.42483114688004364,1.7976038186826315e-10,0.0,0.0,0.017136094675452716,0.00999244311423798,0.6630321176683918,-0.696512947585442,-0.1,-0.0005335941229571104,-0.9999998057652872,-4.830962163687709e-05,-0.0003184538906024644,0.016599571941834878,0.7816211233419971,-0.7083857371848029,-0.10000060651466582,-0.9908742285454605,0.13478949781509836,0.00023341634953633812,solved,0,1.96065261248695e-05,0.0196065261248695,1.960661302115095e-05,0.01960661302115095,3.7967327754352422,16,0.5208507523836379,0.0023825300404102813,2.3825300404102814,0.0016174699595897187,1.6174699595897188,0.4869680125230613,0.4869680125228707,0.5023683819516744,1.0316250123880237,1.0316250123884274,1.4057131479401666,0.999699048599608,0.5022171934836134,-0.06269338139971341,0.48291550466470173,-2.244475223020832e-05,-0.06269338139974767,0.48291550466450506,-2.2444752237338328e-05,-0.05243526477449745,0.49962439182038576,3.5928837474608066e-05,-0.12874229885221555,0.9916780820215215,-4.6090814289666316e-05,-0.12874229885233632,0.9916780820215059,-4.609081430432599e-05,-0.10437612449013857,0.9945378924512956,7.151890677320584e-05,mpc_1np1s_wadv_30/frames/frame_000005.png
6,22,22,0,0.005648585413746775,5.648585413746775,0.08089657089535585,0.46122730111216537,1.791332336054648e-10,0.0,0.0,0.018702926579145056,0.009994216239296652,0.6638410833773454,-0.6919006745743204,-0.1,-0.0005335643405253432,-0.9999998059104513,4.520499316999649e-05,-0.0003185037880684778,0.016699514104227844,0.7815355560297703,-0.7082621623572118,-0.10000184510414918,-0.9891578092478251,0.14685642964228748,0.00013219970887676152,solved,0,0.0004145497491374284,0.4145497491374284,0.0004145507403948068,0.41455074039480677,6.270475699482626,16,0.5861433907599549,0.0028806345711130683,2.880634571113068,0.0011193654288869318,1.119365428886932,0.5369574993612541,0.5369575168561928,0.15031312996468651,0.2799348740700963,0.27993486494936837,30.51546900138558,0.8614921012922384,0.12949357418509114,-0.03920698846352274,0.5355240964946574,-0.0003320383914636779,-0.03920698661552535,0.5355241141775657,-0.00033202896267126025,-0.08556731222675307,0.12357482759106642,-0.0012385894833655264,-0.07301693059536742,0.9973305096431244,-0.0006183699675647683,-0.07301692477475032,0.9973305100801655,-0.0006183523877554428,-0.5692603982556657,0.8221159896018279,-0.008240061820657396,mpc_1np1s_wadv_30/frames/frame_000006.png
7,22,22,0,0.005609227023625889,5.609227023625889,0.002688369630935512,0.004776053212037041,8.14585834979277e-11,0.0,0.0,0.00019846959022809145,0.010001161492274972,0.6638679670736547,-0.6918529140422,-0.1,-0.000533564024458499,-0.9999998058650998,4.619734092851016e-05,-0.0003185043175498011,0.016799525719150592,0.7814352444416633,-0.7082593540594281,-0.10000188700588951,-0.9892535690659267,0.14620998385745793,0.00012926998101093636,solved,0,7.391613681587035e-07,0.0007391613681587035,2.335365971595696e-06,0.0023353659715956957,6.968749206299302,16,0.6748718502298428,0.003001959875150945,3.001959875150945,0.000998040124849055,0.9980401248490551,0.10018020139384755,0.10018008628852448,0.10035089935192837,1.001703909112837,1.0017050600546693,1.3348750153998625,0.9997286147097848,0.10032366559398438,-0.10013278099917623,0.002090897184225149,-0.0022643033471386603,-0.1001328222677289,0.0020910793352424406,-0.0022572063905074158,-0.1003115881069716,0.002808297783762903,-4.1901740327476844e-05,-0.9995266490383177,0.020871361358169114,-0.02260230380488854,-0.9995282094221855,0.02087320357481037,-0.022531487784972853,-0.9996082621559883,0.027984779427977675,-0.00041755221525746747,mpc_1np1s_wadv_30/frames/frame_000007.png
8,22,22,0,0.005516220446580083,5.516220446580084,0.00216623041479542,0.006535609513274291,6.989206182835814e-11,0.0,0.0,0.0002689270205490611,0.010001650198513743,0.6638896293778026,-0.6917875579470673,-0.1,-0.0005335635961859308,-0.9999998058020773,4.7541975770172695e-05,-0.00031850503499843,0.01689954222113573,0.7813349358276946,-0.7082565327297997,-0.10000192455500992,-0.9893455711035859,0.14558614209407328,0.00012715299374147887,solved,0,6.321939154940832e-07,0.0006321939154940832,3.0324609743804024e-06,0.003032460974380402,6.931320629005561,16,0.7752284609557318,0.0030021828452313675,3.0021828452313675,0.0009978171547686326,0.9978171547686326,0.10017525593254777,0.10017526496127893,0.1003482902053171,1.0017273155047974,1.001727225219769,1.7302163264352455,0.9995440759022441,0.1003025390016439,-0.10007221586758444,0.003407779337068178,-0.0030034234621306504,-0.10007223003960508,0.0034076672315030976,-0.003003379596744349,-0.10030861396870261,0.0028213296283663425,-3.7549120410207415e-05,-0.9989714020293324,0.034018174501723064,-0.02998168993102431,-0.9989714534649479,0.03401705234141656,-0.029981249342392605,-0.9996046147220514,0.028115373192645093,-0.00037418794414314615,mpc_1np1s_wadv_30/frames/frame_000008.png
9,22,22,0,0.0054234831712787245,5.423483171278725,0.00212090106483392,0.005011315508510156,6.541663619244371e-11,0.0,0.0,0.00020683702652070336,0.010001934925541536,0.663910838388451,-0.6917374447919822,-0.1,-0.0005335632667924737,-0.9999998057523752,4.8576160701914e-05,-0.00031850558680179814,0.016999561570391147,0.7812348616747943,-0.708251682756463,-0.10000197408353596,-0.989417781689872,0.14509458326306154,0.00012322179604165836,solved,0,5.558153005115878e-07,0.0005558153005115878,3.877904735993715e-05,0.03877904735993715,6.895191991189142,16,0.875582363459332,0.003002420043609519,3.0024200436095194,0.0009975799563904809,0.9975799563904809,0.10697335537726876,0.10697409414034466,0.1001916202741892,0.9366035114149496,0.9365970432312594,21.251427015231943,0.9319988420705319,0.09337847408071474,-0.09957353405036502,0.004608026658773986,-0.038822366848303556,-0.0995734280694327,0.004608715607368197,-0.03882459246533354,-0.10007415290036459,0.004849973336717994,-4.9528526044340104e-05,-0.9308255658541664,0.04307639638415199,-0.36291623004052365,-0.9308181468571012,0.0430825392297484,-0.3629345289374231,-0.9988275728698355,0.04840697578744933,-0.0004943380085959081,mpc_1np1s_wadv_30/frames/frame_000009.png
