k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,vessel_tip_alignment_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,frame_path
0,17,17,1,0.001612780660013466,1.612780660013466,0.0012825651859031046,-0.8419993947992448,-3.418381881785107e-08,0.0,0.0,-0.03390815364225079,0.009999962229109947,0.6621456476748121,-0.7183473106401925,-0.1,-0.0005337340449539121,-0.9999996879330973,-0.0004878505299553754,-0.00031821932334688465,0.0160999996222911,0.7820648303838879,-0.7108463093604526,-0.10000077598849917,-0.9965556630936114,-0.08292623982113131,0.00022159688719185325,solved,0,4.498331565002311e-05,0.04498331565002311,4.4983316475327254e-05,0.04498331647532725,4.489020530041114,16,0.10582052057943217,0.0013425588210469394,1.3425588210469395,0.0026574411789530607,2.6574411789530608,0.8923045674093254,0.8923045724202677,0.920721425376296,1.0318465902841614,1.0318465844895885,2.204409011192307,0.9992599594424686,0.9200400541793293,-0.10007415309828319,-0.8866750275439347,2.0764571674594913e-05,-0.10007415309820633,-0.886675032586548,2.0771078676484755e-05,-0.06799291490200421,-0.918207441988117,1.2154244347084564e-05,-0.11215246088993326,-0.9936910108151354,2.3270722164834123e-05,-0.11215246026002909,-0.9936910108860584,2.3278014389353322e-05,-0.07384743422715043,-0.9972695504645702,1.3200783659527812e-05,mpc_3np1s_nobc_90/frames/frame_000000.png
1,18,18,1,0.0019080713384885665,1.9080713384885666,-0.0029560472053035813,0.09139631124332882,-3.322480429117501e-08,0.0,0.0,0.0036943411258060473,0.00999995612484116,0.662116087202759,-0.7174333475277592,-0.1,-0.0005337281668091901,-0.9999996967739267,-0.0004693788300085753,-0.00031822918227075785,0.016199999183539513,0.7819585854724409,-0.7107548574317836,-0.1000007461681495,-0.9972506860029006,-0.07410141177890035,0.0002236942515655366,solved,0,5.459903787968309e-06,0.005459903787968309,5.459921300655108e-06,0.005459921300655108,9.258310201786013,16,0.10153740694932253,0.00042192036286086993,0.4219203628608699,0.00357807963713913,3.57807963713913,0.13774817237347958,0.13662256164721517,0.1401835844701608,1.0176801772010304,1.0260646761414183,1.2582280081594726,0.9997588840263131,0.14014978396869637,-0.10634718492613343,0.08754903551041587,4.0394511592925785e-05,-0.10616493468740273,0.08599261066288832,4.3649141259760604e-05,-0.10624491144695103,0.09145192866899521,2.9820349675691027e-05,-0.772040623797113,0.6355731186983903,0.0002932489839749255,-0.7770673701869264,0.6294173497122475,0.00031948706519257624,-0.7578983791041961,0.6523725942281172,0.0002127235495397004,mpc_3np1s_nobc_90/frames/frame_000001.png
2,18,18,0,0.0018112215285849057,1.8112215285849056,0.006067555123663881,0.0006241959171889381,-2.469165583326863e-08,0.0,0.0,2.3789765894586632e-05,0.00999996790153818,0.6621767627539957,-0.7174271055685874,-0.1,-0.0005337281289561975,-0.9999996968297518,-0.0004692598812151674,-0.00031822924575709627,0.016299998862554895,0.7818589035122963,-0.7107627207970183,-0.10000071472766672,-0.9972389689537473,-0.07425892390920236,0.0002258758825762842,solved,0,1.21936396574399e-05,0.0121936396574399,1.2193679273716004e-05,0.012193679273716004,8.75112541696974,16,0.2146928102346443,0.000504736217215116,0.504736217215116,0.003495263782784884,3.495263782784884,0.09999157968841292,0.09658174033614511,0.09999163304796055,1.0000005336404105,1.0353057700135406,0.029059028659139317,0.9999998713863935,0.09999162018767599,-0.09967790601611999,-0.007913914862953845,3.181772623552439e-05,-0.09650260295102076,0.0039084883122209035,6.252319115218619e-05,-0.09968196014464858,-0.007863365234728192,3.1440482772815415e-05,-0.996862999131823,-0.07914581295359727,0.00031820405612825264,-0.9991806175282313,0.04046819097085763,0.0006473603699268533,-0.9969030118433666,-0.0786402321377886,0.0003144311360305029,mpc_3np1s_nobc_90/frames/frame_000002.png
3,18,18,0,0.0017113432058578223,1.7113432058578222,0.005410718290053242,0.0015501173543539027,-1.9432474309671782e-08,0.0,0.0,6.111510193288614e-05,0.009999973259525702,0.6622308699368963,-0.7174116043950438,-0.1,-0.0005337280317131087,-0.9999996969730994,-0.00046895430579812244,-0.0003182294088513265,0.016399998595150154,0.7817591518803908,-0.7107694695948263,-0.10000068364018916,-0.9972348071490493,-0.07431478609144136,0.00022798811708465115,solved,0,1.1032217246583587e-05,0.011032217246583587,1.1032263051905615e-05,0.011032263051905614,8.760175730334613,16,0.31350320370887674,0.0004890785061913942,0.48907850619139426,0.0035109214938086057,3.5109214938086057,0.09997927435535547,0.09724785616656731,0.09997967446479421,1.000004001923812,1.0280912958487003,0.052873699497160385,0.9999995742015212,0.0999796318936009,-0.09974496228272742,-0.0068408200924412205,3.130980006025932e-05,-0.09716653131630615,0.003976269665861842,-7.03568744930827e-07,-0.09975163190545366,-0.006748797808042717,3.1087477564417654e-05,-0.997656393546174,-0.06842238190414297,0.0003131629056335733,-0.9991637363180339,0.0408879930376176,-7.234799538673077e-06,-0.9977191108036579,-0.06750169816185156,0.0003109379754518452,mpc_3np1s_nobc_90/frames/frame_000003.png
4,18,18,0,0.0016115555484581743,1.6115555484581743,0.004953875048407134,0.0009647346472264249,-1.505599969399616e-08,0.0,0.0,3.7811583895253695e-05,0.009999977889148998,0.6622804086873804,-0.7174019570485716,-0.1,-0.0005337279715493092,-0.9999996970617411,-0.00046876524793592743,-0.0003182295097568321,0.016499998374041643,0.7816594367346681,-0.710776799239504,-0.10000065283573538,-0.9972269494752963,-0.07442014730098832,0.00023003454975406253,solved,0,1.0970859815451522e-05,0.010970859815451522,1.0970871746415294e-05,0.010970871746415294,8.763385891588483,16,0.41247061249914885,0.00047452654362138013,0.47452654362138014,0.00352547345637862,3.52547345637862,0.09998404836415593,0.09713931904934309,0.09998417338017337,1.0000012503596272,1.0292863318239365,0.03989179230039133,0.9999997576227686,0.09998414914628626,-0.09970989362458055,-0.0073990592958348205,3.101930732085482e-05,-0.09708253331741634,0.003320665975747872,4.698425613847146e-05,-0.0997151457227119,-0.007329644677644964,3.0804453779453844e-05,-0.997258015212818,-0.07400239755132147,0.0003102425619722673,-0.9994154197035507,0.03418457127603602,0.00048367907659106855,-0.9973092975781422,-0.07330804896266128,0.0003080932985496112,mpc_3np1s_nobc_90/frames/frame_000004.png
5,18,18,0,0.0015117509736863898,1.5117509736863899,0.004501433004131278,0.0008771894738580299,-1.1651667965132004e-08,0.0,0.0,3.455989796811047e-05,0.009999981521665703,0.6623254230174217,-0.717393185153833,-0.1,-0.0005337279165594043,-0.9999996971427286,-0.00046859244849842746,-0.00031822960198474857,0.0165999981892583,0.781559723760007,-0.7107841615043708,-0.10000062231640303,-0.99721903856409,-0.0745260712258593,0.00023201928832802875,solved,0,1.0808131968188036e-05,0.010808131968188035,1.0808132388318223e-05,0.010808132388318223,8.769440006887777,16,0.5113560171496953,0.00045939884237021473,0.4593988423702147,0.0035406011576297855,3.5406011576297853,0.0999842659201046,0.09709057631347862,0.09998440473971075,1.0000013884145158,1.0298054511169938,0.038609956477512204,0.9999997729490375,0.09998438203815542,-0.09970785234857678,-0.0074294448583287695,3.0995381200325304e-05,-0.09704073993954676,0.003110312573051388,2.7505755548218325e-05,-0.09971297466104811,-0.007362264866861423,3.0519332352985096e-05,-0.9972354293049599,-0.07430613997071787,0.0003100025880581359,-0.9994867022544913,0.03203516439133134,0.00028329995137128295,-0.9972852758450755,-0.07363413210317746,0.00030524092664687086,mpc_3np1s_nobc_90/frames/frame_000005.png
6,19,19,1,0.0023230456929968974,2.3230456929968972,-0.02287869684228024,0.3352034118855203,-5.104793654858417e-08,0.0,0.0,0.01348712780299137,0.009999898025322555,0.6620966360489989,-0.7140411510349778,-0.1,-0.0005337064553292759,-0.9999997264687778,-0.00040115682889247815,-0.0003182655935442496,0.016699997169511527,0.7814410491894721,-0.7104036285803076,-0.10000059783125355,-0.999158395712717,-0.041017627199845565,0.00023352876491285982,solved,0,3.6332980834070285e-06,0.0036332980834070283,3.6333004004857808e-06,0.0036333004004857807,8.775526373369981,16,0.6102366960755201,0.00044423918354210586,0.44423918354210584,0.003555760816457894,3.555760816457894,0.38723193348928797,0.3962819722204013,0.39860878137254924,1.0293799320235453,1.0058715998083654,1.252887507465518,0.9997609264161823,0.3985134845426453,-0.12334282887051107,0.36706282412944613,4.710354250598123e-06,-0.1206350629682218,0.3774739496629209,2.038182388142129e-05,-0.1186745705349379,0.38053292406325934,2.4485149477393442e-05,-0.3185244247784206,0.9479146536854514,1.2164167888102198e-05,-0.3044172367778765,0.9525387883478589,5.1432629567326045e-05,-0.2977219170292735,0.9546526364847046,6.142651798357909e-05,mpc_3np1s_nobc_90/frames/frame_000006.png
7,19,19,0,0.002203455603088996,2.203455603088996,0.0060209580615490175,0.022816478749338724,-4.1660794581408926e-08,0.0,0.0,0.0009234501196576121,0.009999924317806063,0.6621568456296144,-0.7138129862474843,-0.1,-0.0005337049858115847,-0.9999997283103599,-0.00039653957955289255,-0.0003182680577973072,0.01679999641268959,0.7813402585089585,-0.7103817059350852,-0.10000056616502538,-0.9992456016406964,-0.038835192125995295,0.00023548728133057712,solved,0,1.6983345597356454e-05,0.016983345597356453,1.6983347906521412e-05,0.016983347906521413,6.852371038297696,16,0.7584903139479946,0.0008142351369223986,0.8142351369223986,0.0031857648630776014,3.185764863077601,0.10294379619489434,0.09939333688573194,0.10314729591556202,1.0019768041221484,1.0377687191863356,0.5093541219600058,0.9999604850415693,0.10314322005445167,-0.10078235817914943,0.020984289456942376,3.241686026550426e-05,-0.09237893845126521,0.0366765132967517,2.2809891545017003e-05,-0.10079068051360718,0.021922645222383075,3.1666228167415156e-05,-0.9790037078907325,0.20384219576685017,0.0003148986288025779,-0.9294278806382075,0.369003742563921,0.00022949115362974994,-0.9771529114647465,0.21253727524112018,0.0003070000806743167,mpc_3np1s_nobc_90/frames/frame_000007.png
8,19,19,0,0.0021050409705183778,2.105040970518378,0.006342161070391594,0.002626329556349494,-3.5811063534569e-08,0.0,0.0,0.00011122299264772845,0.009999932816852304,0.6622202672403183,-0.7137867229519208,-0.1,-0.0005337048088178729,-0.9999997285307268,-0.0003959834647406833,-0.0003182683545985866,0.016899995740858112,0.7812402550723445,-0.7103830537744364,-0.1000005347392644,-0.9992519181992676,-0.03867231078000458,0.00023739001434783222,solved,0,1.4808269097495185e-05,0.014808269097495184,1.4808277180127496e-05,0.014808277180127496,6.727231260436811,16,0.8607455626815036,0.0008281799037237546,0.8281799037237546,0.0031718200962762453,3.1718200962762455,0.10001028753700995,0.09509577379041809,0.1000125241812344,1.0000223641415251,1.0517031429982613,0.06735861905422108,0.9999993089475049,0.10001245506733002,-0.09999954645835683,-0.0014653722933520936,3.170804655804944e-05,-0.09429487351042543,0.012315876869339881,4.6897659825018145e-05,-0.10000343661398237,-0.0013478393512400544,3.142576097958649e-05,-0.9998926002622567,-0.014652215581420219,0.0003170478491656722,-0.9915779613744163,0.1295102440249646,0.0004931623978198659,-0.9999091357074884,-0.013476705665358588,0.0003142182565319453,mpc_3np1s_nobc_90/frames/frame_000008.png
9,19,19,0,0.0020053960259992696,2.0053960259992696,0.005788532214696221,5.406972219352966e-05,-3.012574049429269e-08,0.0,0.0,7.635934901424704e-06,0.009999942190886074,0.6622781525624654,-0.7137861822546989,-0.1,-0.0005337047966664902,-0.9999997285458446,-0.0003959452850765405,-0.0003182683749752622,0.016999995162766974,0.7811403489174442,-0.7103873708634543,-0.10000050370225963,-0.9992483859092834,-0.03876346253912533,0.0002392272340590152,solved,0,1.460838517380748e-05,0.01460838517380748,1.4608385986423497e-05,0.014608385986423498,14.68942473318584,17,0.07446748923005121,0.0008165668214570848,0.8165668214570848,0.003183433178542915,3.183433178542915,0.09999931783178542,0.09475985913029124,0.0999993900373686,1.0000007220607574,1.0552927257930302,0.008787072885076868,0.9999999882398409,0.09999938886135988,-0.09990541964467077,-0.004332401338641315,3.148151223841649e-05,-0.09431427281980653,0.009178679659216371,2.6164426791819295e-05,-0.09990615490029775,-0.004317089017824571,3.10370047718056e-05,-0.9990610117233738,-0.043324308931077866,0.0003148172699675146,-0.9952977313962441,0.09686252959278921,0.0002761129768654911,-0.9990676429422618,-0.04317115350614965,0.00031037194087091366,mpc_3np1s_nobc_90/frames/frame_000009.png
