Metric,With BC,Without BC,Change
Mean measured-reference error [mm],0.0024530027484107654,0.0022450018909319176,1.09x higher
Max measured-reference error [mm],0.0055110966540653,0.0051623207404367,1.07x higher
Mean predicted-measured error [mm],0.0009397152972277724,0.001105570947658094,1.18x lower
Max predicted-measured error [mm],0.0016170595741063,0.0029214442710114,1.81x lower
Mean one-step prediction error [mm],0.0003049315297479512,0.0005169411535769456,1.70x lower
Max one-step prediction error [mm],0.001210228915982,0.0021178415746215,1.75x lower
Mean raw model error [mm],0.0013812491957179446,0.004780045334281306,3.46x lower
Max raw model error [mm],0.0030057882354532,0.0137524020259687,4.58x lower
Mean prediction-reference error [mm],0.0015470417665601336,0.0012616584560921646,1.23x higher
Max prediction-reference error [mm],0.0045225246796974,0.00418411535183,1.08x higher
Mean wall clearance [mm],3.9504020957850132,4.024237685051578,-0.074 mm
Minimum wall clearance [mm],1.356736074272817,1.6583281763522848,-0.302 mm
Mean Jacobian gain,1.0421715234371338,0.8124356863078986,closer to 1
Mean Jacobian directional cosine,0.9434852664313407,0.9157147228569624,+0.028
Mean Jacobian XY error [mm],0.30493152974799653,0.516941153576984,1.70x lower
Max Jacobian XY error [mm],1.210228915982027,2.1178415746215444,1.75x lower
