Metric,With BC,Without BC,Change
Mean predicted-measured error [mm],0.001224675501921255,0.0011717258252442748,1.05x higher
Median predicted-measured error [mm],0.00114756137035505,0.00110521549533235,1.04x higher
Max predicted-measured error [mm],0.0017073382922705,0.002171634152324,1.27x lower
Mean one-step prediction error [mm],0.00047115768780814203,0.000673594458250558,1.43x lower
Max one-step prediction error [mm],0.001242591564904,0.0010905048556099,1.14x higher
Mean raw model error [mm],0.001327355730757125,0.002992479397986065,2.25x lower
Median raw model error [mm],0.00145930609237485,0.00124054213216315,1.18x higher
Max raw model error [mm],0.0022587361252721,0.0095038663503998,4.21x lower
Mean wall clearance [mm],2.9589753895443307,2.8550556852555076,+0.104 mm
Minimum wall clearance [mm],2.0313274959424064,2.300576995004405,-0.269 mm
Mean Jacobian gain,1.0190942178914648,0.681797988759551,closer to 1
Median Jacobian gain,0.8473835947057655,0.5917676779988394,closer to 1
Mean Jacobian directional cosine,0.9446454623642024,0.8698187267453973,+0.075
Mean Jacobian XY error [mm],0.4711576878082056,0.673594458250613,1.43x lower
Max Jacobian XY error [mm],1.2425915649041137,1.090504855609998,1.14x higher
