Metric,With BC,Without BC,Change
Mean predicted-measured error [mm],0.0010278304793095395,0.0011199976837049333,1.09x lower
Median predicted-measured error [mm],0.0008272408694041499,0.00106296887106435,1.28x lower
Max predicted-measured error [mm],0.0023633230289381,0.0021175495429766,1.12x higher
Mean one-step prediction error [mm],0.00209013637341246,0.00120379160863906,1.74x higher
Max one-step prediction error [mm],0.0035546132296131,0.0016502639504873,2.15x higher
Mean raw model error [mm],0.00126741405246105,0.0017605334849634666,1.39x lower
Median raw model error [mm],0.0015354235991794,0.0010444751585326501,1.47x higher
Max raw model error [mm],0.0016893513934369,0.0046731509755744,2.77x lower
Mean wall clearance [mm],2.6390693525014934,2.709346822123421,-0.070 mm
Minimum wall clearance [mm],0.7774572274026497,1.8896661982479657,-1.112 mm
Mean Jacobian gain,0.9624864040563038,0.6431190710369987,closer to 1
Median Jacobian gain,0.9188615988536009,0.6503359290746823,closer to 1
Mean Jacobian directional cosine,0.9138353488420696,0.892244504872106,+0.022
Mean Jacobian XY error [mm],0.6101089589937414,0.758156149740996,1.24x lower
Max Jacobian XY error [mm],1.2534774503481496,1.462294475371437,1.17x lower
