k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
0,30,-0.8515374622928108,0.062357167579464336,-0.06890697252687039,-4.0259196402370364e-27,-4.318235388535337e-08,-4.760214286979562e-08,0.04629396884799097,0.7096174474000251,-0.7049063208558685,-0.09,0.019678308788327915,-0.9995810987918137,0.008034135192307676,0.019642906431931957,0.03046293968847991,0.8281598454887712,-0.7050712386865743,-0.09881243344110588,-0.9990992178060428,0.015288461502959292,0.03958555196313504,solved,0,0.00045943119977091796,3.5879032098937067,29,0.9700658849280016,0.0011988482648781808,0.0015011517351218194
1,30,-0.27788538767570986,0.049716290102971857,-0.10176090070623021,-1.9653314169102458e-25,-1.8409876601811746e-07,-1.1965959272213289e-07,0.05081440129181667,0.7068385935232679,-0.7044091579548387,-0.09,0.0196783088074756,-0.9995810987785393,0.008034134576146578,0.019642907340266698,0.030971083701398075,0.8276973228081196,-0.7050641610509696,-0.09879410771801198,-0.9990992178060433,0.015288461502933233,0.03958555196312978,solved,0,2.518341472395003e-05,0.0,30,0.46293968801750873,2.9429001617167476e-15,0.002699999999997057
2,30,-0.15607400115848813,0.03593665346362589,-0.10547977112922702,-1.8632523827906282e-26,-1.1299599287492114e-07,1.653077809616894e-08,0.04671127609335676,0.705277853511683,-0.7040497914202024,-0.09,0.019678308810391162,-0.9995810987667774,0.008034134647647994,0.01964290790663648,0.03143819646233164,0.8271896365222818,-0.7050563923107889,-0.09877399255678376,-0.9990992178060425,0.015288461502974965,0.039585551963134624,solved,0,2.458839047242369e-05,0.0,30,0.9710837004259357,4.147680827069619e-15,0.0026999999999958524
3,31,-0.05202343163731725,0.025120419479375773,-0.10964770838020978,-1.3553198410352915e-25,-1.234963241316846e-07,-3.8166104656873686e-08,0.050525245831646456,0.7047576191953099,-0.7037985872254087,-0.09,0.01967830881910056,-0.9995810987561813,0.008034134444746417,0.019642908520104214,0.031943448920648106,0.826722944528206,-0.7050492508753294,-0.09875550164031333,-0.9990992178060447,0.015288461502857517,0.039585551963126346,solved,0,1.937209482779645e-05,0.0,31,0.4381964618921616,7.45094793934956e-16,0.002699999999999255
4,31,-0.08279344564866561,0.01862598735191229,-0.10742150130208603,-1.787170019304735e-25,-9.773239737089424e-08,-1.0316264774702445e-07,0.04696823488448681,0.7039296847388232,-0.7036123273518895,-0.09,0.019678308833158614,-0.9995810987507268,0.008034133919533212,0.01964290899841117,0.032413131269492974,0.8262181471923079,-0.7050415263425698,-0.09873550094286979,-0.9990992178060433,0.015288461502904978,0.039585551963141945,solved,0,1.803872996840524e-05,0.0,31,0.9434489197029889,2.118949705258713e-15,0.002699999999997881
5,32,-0.02828266169151434,0.01298846925365773,-0.10942325323040766,-4.784956329669698e-25,-1.3293025116227933e-07,-6.060641154081572e-08,0.05032029918064663,0.7036468581219081,-0.7034824426593529,-0.09,0.01967830884445094,-0.9995810987401057,0.008034133603548882,0.019642909656820844,0.03291633426129944,0.825748887924958,-0.7050343456220609,-0.09871690830784349,-0.9990992178060435,0.015288461502903016,0.039585551963137594,solved,0,1.6885407811371334e-05,0.0,32,0.4131312690798158,2.1281413315032763e-15,0.002699999999997872
6,32,-0.07511646212477165,0.010082424079582809,-0.10640666981466887,-6.096132179291378e-26,-5.0736359057809314e-08,-1.3638798165812337e-07,0.0471792850356214,0.7028956935006604,-0.7033816184185571,-0.09,0.019678308859884336,-0.9995810987406013,0.008034132916902609,0.019642909896976944,0.033388127111655654,0.8252461382094459,-0.7050266524224902,-0.09869698873966366,-0.9990992178060423,0.01528846150297396,0.03958555196314065,solved,0,1.590002483745329e-05,0.0,32,0.9163342603837132,4.452972423343118e-15,0.002699999999995547
7,33,-0.02584024784571459,0.006849907138140259,-0.10843822303803105,-5.062719094674897e-25,-4.658361700979138e-08,-1.7862035426148982e-08,0.05014353477908811,0.7026372910222033,-0.7033131193471757,-0.09,0.019678308863509946,-0.9995810987367437,0.008034132823046412,0.01964291012803999,0.033889562459446534,0.8247747703416898,-0.7050194394356608,-0.09867831255926979,-0.9990992178060427,0.015288461502954325,0.03958555196313625,solved,0,1.497605192146916e-05,8.537736462515939e-07,33,0.3881271112668993,3.843418409239267e-15,0.002699999999996157
8,33,-0.07434352628096899,0.0057283423570766885,-0.10529201381783572,-3.587555063765571e-25,-1.100523373432489e-08,-5.578158868941239e-08,0.04737082536148461,0.7018938557593936,-0.7032558359236049,-0.09,0.0196783088694306,-0.9995810987379037,0.008034132543172482,0.019642910177554675,0.03436327071306138,0.8242737866779296,-0.7050117732606529,-0.09865846296425376,-0.9990992178060443,0.015288461502864715,0.03958555196313089,solved,0,1.404461483862535e-05,0.0,33,0.8895624585582866,1.0283701719185968e-15,0.002699999999998972
9,34,-0.025612956643944047,0.0038427069176176017,-0.10723360839913351,9.106782153218213e-26,9.52471736041836e-10,4.1125097395689404e-08,0.049999569664825244,0.7016377261929542,-0.7032174088544286,-0.09,0.019678308865353256,-0.9995810987363452,0.008034132748805548,0.019642910176840674,0.03486326640970963,0.8238005051322755,-0.7050045309902528,-0.09863971096156468,-0.9990992178060435,0.015288461502896316,0.039585551963138975,solved,0,1.3248889967187528e-05,0.0,34,0.36327071269865596,2.0006768854939833e-15,0.0026999999999979996
10,34,-0.07434243269747585,0.003586889094364825,-0.10417629254143262,-1.0940009196521544e-21,-7.0931131494541e-05,-0.001814218807007584,0.047358299857284396,0.7008943018659795,-0.703181539963485,-0.09,0.01967848989657837,-0.9995811646070616,0.008025058475308773,0.019643086179332882,0.035336849408282474,0.8233009598228483,-0.7049968868252905,-0.098619918355934,-0.9990992178060428,0.015288461502969072,0.03958555196312972,solved,0,1.0621217158711146e-05,0.0,34,0.8632664088464723,4.589512714172042e-15,0.0026999999999954105
11,35,-0.025613196783312926,0.002025677527170172,-0.10608173459386096,7.585442242340827e-21,-5.80693639321309e-05,-0.001484370241962899,0.050166416439062465,0.7006381698981463,-0.7031612831882132,-0.09,0.019678638014148687,-0.9995812184369715,0.008017634018824675,0.019643230353179133,0.0358385135726731,0.8228278034194078,-0.7049896464698517,-0.09860117131153479,-0.999099217806044,0.015288461502873114,0.0395855519631397,solved,0,1.2242793152668136e-05,0.0,35,0.3368494079459111,1.1850773987432615e-15,0.002699999999998815
12,35,-0.0743031244819523,0.0022985088810454565,-0.10330379151924887,1.5355775069665427e-20,-0.0009357940167260963,-0.023824069986539527,0.04729816187598585,0.6998951386533268,-0.7031382980994028,-0.09,0.019681015297054273,-0.9995820744874526,0.007898471421850498,0.019645563097964006,0.03631149519143296,0.8223265911451655,-0.7049819767965866,-0.09858131265868758,-0.9990992178060439,0.01528846150288771,0.03958555196313252,solved,0,1.2537252023749101e-05,0.0,35,0.8385135718331361,1.766864871094009e-15,0.0026999999999982333
13,36,-0.02560854449175222,0.0012293210905840238,-0.10506714820252419,1.1555596695357077e-19,-0.0007709300141949686,-0.019627436171013334,0.050219759102323694,0.6996390532084092,-0.703126004888497,-0.09,0.019682973608154075,-0.999582769073532,0.007800299353664455,0.019647484602969428,0.0368136927824562,0.8218540355798228,-0.7049747456353153,-0.09856258942024029,-0.9990992178060434,0.015288461502923392,0.03958555196313642,solved,0,1.2806953461060361e-05,0.0,36,0.31149519112307245,3.1297615936613743e-15,0.0026999999999968703
14,37,-0.07430267541351622,0.0017896369815766804,-0.10197184504056635,3.1269060155257526e-19,-0.003588849640804685,-0.09076451505125457,0.0472640268772005,0.6988960264542741,-0.7031081085186812,-0.09,0.019692028020338606,-0.999585853370594,0.007346312142154838,0.019656486759785707,0.03728633305122821,0.8213522903594507,-0.7049670678067792,-0.09854270965140516,-0.9990992178060437,0.015288461502891678,0.03958555196313399,solved,0,1.3073968800353729e-05,8.537736462515939e-07,36,0.8136927816408561,2.0027415089152098e-15,0.0026999999999979974
15,37,-0.025602177698986397,0.0008086608952326692,-0.10384820310174232,2.2026535855840552e-20,-0.0030064690840557176,-0.07604686513532856,0.050086423716333824,0.6986400046772842,-0.7031000219097289,-0.09,0.01969961109770221,-0.9995882788354077,0.006965938749167154,0.01966402387126329,0.03778719728839155,0.8208800758366152,-0.7049598418642244,-0.09852399992548605,-0.9990992178060436,0.01528846150291705,0.03958555196312956,solved,0,1.2667785870530075e-05,0.0,37,0.2863330509419943,2.9909476614608973e-15,0.002699999999997009
16,37,-0.07429655765811542,0.0014339674469306405,-0.10080895285388441,-5.754648264368386e-20,-0.008492645638874372,-0.21283350662131897,0.047302509063363994,0.697897039100703,-0.7030856822352596,-0.09,0.019720821533514465,-0.9995942898678056,0.005901369097946165,0.019685494773827694,0.03826022237902519,0.8203796627690391,-0.7049521844206175,-0.09850417293819902,-0.9990992178060437,0.01528846150288878,0.03958555196313911,solved,0,1.3135815501646413e-05,8.537736462515939e-07,37,0.7871972876036376,1.95905955890981e-15,0.002699999999998041
17,38,-0.02561799587496994,0.0006058377404500185,-0.10283062966986566,-7.426839534473085e-20,-0.007222134498791426,-0.18105721540615935,0.05001861424295441,0.6976408591419533,-0.703079623857855,-0.09,0.01973884754390555,-0.9995985111811072,0.004995735874359038,0.0197037297288105,0.03876040852145474,0.8199070637709841,-0.7049449525947282,-0.09848544797889416,-0.9990992178060436,0.015288461502919763,0.039585551963131224,solved,0,1.2502736163467958e-05,0.0,38,0.2602223787645142,3.1595956171894443e-15,0.0026999999999968403
18,38,-0.07430082819648129,0.0012881700823889639,-0.09977138179393306,1.6170116210133911e-18,-0.016165259408605658,-0.3991665236226258,0.04739209588044956,0.6968978508599885,-0.7030667421570311,-0.09,0.01977853727299882,-0.9996048951098779,0.00299910050429658,0.01974508880394509,0.039234329480259234,0.8194073281873236,-0.7049373055181438,-0.09846564783436154,-0.9990992178060428,0.015288461502959774,0.03958555196313566,solved,0,1.2988560357345476e-05,0.0,38,0.7604085206955739,4.704866064359941e-15,0.002699999999995295
