k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
0,31,-0.23481964121411908,-0.034334979831762924,0.4065041264949294,3.059635202582631e-18,-0.14876282069644842,-3.745008063771328,0.10008029313283164,0.7157846256108119,-0.7058732423299807,-0.09,0.02004862180155116,-0.9995414081776722,-0.010698012263977683,0.02001446066358817,0.033000802931328316,0.8262074770567587,-0.705283765710329,-0.09787550139414086,-0.9966664459387503,0.0032669724820114546,0.08151883405460213,solved,0,nan,2.6676098963760557,31,0.9831157003166321,0.0010107101850402166,0.003989289814959784
1,32,3.1200978920268975e-06,0.3201491571279103,0.7790256328008779,6.99802308237946e-18,-0.1270338245965792,-3.211202526643704,0.10000208164147778,0.7157846568117908,-0.7026717507587016,-0.09,0.020360577440346143,-0.9992278986185461,-0.026757323765180304,0.0203248403089843,0.034000823747743096,0.8252357393586485,-0.7043404617212566,-0.09774297205781288,-0.9953749254005624,0.04770253195117537,0.08338599563905189,solved,0,nan,2.516686846154166,32,0.9901112069002974,0.0009248108402434396,0.00407518915975656
2,33,-0.025076473366725246,0.9999786061770971,0.6211713434611676,-1.564579522860016e-17,-0.1576128004592261,-3.9509818964372787,0.09999814422096726,0.7155338920781236,-0.6926719646969306,-0.09,0.020737002438078165,-0.9984880468257283,-0.04650650966038917,0.020706077253634853,0.03500080518995277,0.8244609667398091,-0.7017556534557833,-0.09767257291495411,-0.9838189247007919,0.1593611028224262,0.08188015820604076,solved,0,nan,5.2967003090829365,33,0.9366201636354126,0.001269790022737447,0.003730209977262553
3,34,0.026176448126377122,0.9988936329344069,0.5101895530021235,7.789974808640176e-18,-0.11572619760065078,-2.886381459073632,0.09997842145891077,0.7157956565593874,-0.6826830283675865,-0.09,0.02100674807875316,-0.997700763901786,-0.06092324333392021,0.02098238944030452,0.03600058940454188,0.8235507893988845,-0.7010741669172053,-0.09761733633399873,-0.9798814007761459,0.18246845509034992,0.0808560533733047,solved,0,nan,13.220370588285643,34,0.4985835228442593,0.0036607914887079917,0.0013392085112920084
4,35,-0.25248819492907354,-0.1759580853929523,-0.04867908152145945,-9.851606573355512e-14,-0.15536033394934623,-3.843173759203854,0.09982046779323717,0.7132707746100967,-0.6844426092215161,-0.09,0.021358711122918157,-0.9963293492225012,-0.08009879964331497,0.02134983917352309,0.03699879408247425,0.8225251463803314,-0.7011324902593793,-0.09766472291853075,-0.9819700524031851,0.1732583796745834,0.07560653521333968,solved,0,nan,16.391928698230622,35,0.23427675684681973,0.00418792973583585,0.0008120702641641504
5,36,-0.07553680396450173,-0.35391352834702744,-0.06262156205963153,4.339366445284691e-16,-0.1714483123805788,-4.238910309414946,0.09999927420842962,0.7125154065704516,-0.6879817445049864,-0.09,0.021737713655716254,-0.9943893800517264,-0.10121425876512623,0.021746412761452946,0.037998786824558546,0.8214956586027821,-0.7012554823090185,-0.09768579883361984,-0.984186131827117,0.1619228265008891,0.07182377280010938,solved,0,nan,18.271158236731832,36,0.08462385640446377,0.0041857716567773795,0.0008142283432226206
6,36,-0.1407399043883237,-0.26584596331459315,-0.23451142896246963,-1.5055912164384218e-15,-0.18738228281069666,-4.650240505644263,0.10000083532683858,0.7111080075265684,-0.6906402041381323,-0.09,0.022142592855888623,-0.9917466496841393,-0.12432588319731915,0.02216671353877469,0.03899879517782693,0.82045847125975,-0.7014450947064893,-0.09770236129144914,-0.9865164165382904,0.14864949944628514,0.06847396896112012,solved,0,nan,17.537548290268127,36,1.0,0.004171396173001616,0.0008286038269983845
7,37,-0.1314807872187749,-0.41303758175642336,-0.16617690466821422,-1.296275774175552e-15,-0.19988261035738447,-4.949555793097274,0.10000114512408895,0.7097931996543807,-0.6947705799556966,-0.09,0.02256008213523924,-0.9883438447062761,-0.14885089611391208,0.02260305402712598,0.03999880662906782,0.8194215250073886,-0.7016739331238846,-0.0976956297729841,-0.988675961945807,0.13465277323560498,0.06624553710892693,solved,0,nan,20.175954634323197,37,0.9409792097554593,0.004182125030160295,0.0008178749698397048
8,38,-0.11508073341605046,-0.5232152745889322,-0.018117439404384008,8.424724894339452e-16,-0.20779760338194747,-5.214560183596152,0.10001239765632966,0.7086423923202202,-0.7000027327015859,-0.09,0.022987023630799887,-0.9841033957125174,-0.17458963008463096,0.023033982690829482,0.04099893060563111,0.8183816885002321,-0.7019853463656911,-0.09765350339496107,-0.990807483172727,0.11830448408244025,0.06560928771799975,solved,0,nan,22.317181097692263,38,0.8057012450656468,0.004143954108155872,0.0008560458918441278
9,39,-0.08999436912691977,-0.7018814403557034,0.08876234575901289,1.3276342608392206e-13,-0.21069510920148626,-5.323419102443489,0.10002445087601529,0.707742448628951,-0.7070215471051429,-0.09,0.023407989609674832,-0.9790834843494227,-0.2007427809348358,0.023450641764689802,0.04199917511439126,0.8173415042007283,-0.7024220677894115,-0.0975194646488021,-0.9928034922353224,0.09823711603004054,0.06848863541397855,solved,0,nan,25.262612689483234,39,0.6289643091745172,0.0041240839051761525,0.0008759160948238476
10,40,-0.029868521516586335,-1.0000203681001238,0.2335785571282101,-5.595455078956794e-15,-0.2146321364359676,-5.43935367016512,0.10003057317077405,0.7074437634137851,-0.717021750786144,-0.09,0.02382161990608205,-0.9732368023915734,-0.22731816534987082,0.023855997100197587,0.042999480846099,0.8162698466331979,-0.7037676740293044,-0.09718843429261298,-0.9956413630458625,0.0499303125032135,0.07877333601180841,solved,0,nan,27.83050681741161,40,0.5133547371619799,0.004075810145224024,0.0009241898547759763
11,42,0.03243454998464908,-0.9999995640264387,0.33484930302192256,4.5925623438827844e-17,-0.2539858091463118,-6.284884062864565,0.10000119244609182,0.7077681089136316,-0.7270217464264085,-0.09,0.024270746761943816,-0.9655830699662523,-0.2578143612958481,0.024331480755988982,0.04399949277055992,0.8152399098988576,-0.7059375155997161,-0.0971154917253708,-0.9965294301464225,-0.028208232226124917,0.07831595562405638,solved,0,nan,30.07041156565543,41,0.6084802369919347,0.003742933648465765,0.0012570663515342351
12,44,0.048789090060243685,-1.0000146366554634,-0.10281013118923496,-6.958444386517518e-18,-0.5928131907343118,-5.290116699837219,0.09999961223365121,0.708255999814234,-0.7370218927929632,-0.09,0.024141567670779275,-0.9583504246744936,-0.28333219817703675,0.026542677196988617,0.044999488892896435,0.8143653963198714,-0.708408093935965,-0.09709386345588587,-0.9906367146176458,-0.11322349857140569,0.07628458217317219,solved,0,nan,34.067137109901076,43,0.23330542731791765,0.00247917004938186,0.0025208299506181402
13,46,0.17364457891878082,-1.0000651177449205,-0.02788793294895714,-4.003091349660619e-17,-0.8660123181638835,-6.2835854070797215,0.09998024439876387,0.7099924456034219,-0.7470225439704123,-0.09,0.023736563358555885,-0.9488533633087427,-0.31339857072589117,0.029919999408106333,0.045999291336884074,0.8136438118593784,-0.7108302234825243,-0.09708351225639163,-0.9789676992017233,-0.19012576871201345,0.07398942140753534,solved,0,nan,38.10404334690723,45,0.3108953558848602,0.001383194342738677,0.0036168056572613233
14,47,0.2108532494621431,-1.000093713676982,-0.9999953720787293,-1.5554014661775856e-17,-1.0126914662303845,-6.283607902294126,0.09996316963477826,0.7121009780980433,-0.7570234811071822,-0.09,0.023077801595445386,-0.9383767569881779,-0.3431661394950155,0.033962887420818474,0.04699892303323186,0.8126973586025776,-0.7112858595601765,-0.09712065332274608,-0.9774877140901653,-0.19880065021511215,0.07068287486052101,solved,0,nan,42.70978571956553,47,0.621643367630195,0.0011443049761735962,0.0038556950238264037
15,49,0.45244153886889643,-1.0002109585682935,-0.9999970301702491,7.700508120297661e-14,-1.0472871405323076,-6.283894778204929,0.09990236193407462,0.7166253934867323,-0.7670255906928651,-0.09,0.022336347220217084,-0.9269426662216744,-0.37259120902865356,0.03813360834327016,0.04799794665257261,0.8118161977863033,-0.712116280834604,-0.09772762053241034,-0.9626314767508807,-0.2640409394204772,0.06019153455037334,solved,0,nan,46.486267415651675,48,0.6038833338852172,0.0009789444634187598,0.00402105553658124
16,49,0.5225866977533397,-1.0001061171825478,-0.727711949094728,-7.659953203209152e-16,-1.0472632139764206,-6.283694489965419,0.0999427722653973,0.7218512604642656,-0.7770266518646907,-0.09,0.021572239315872585,-0.9145685828457962,-0.40163735961664737,0.04226555479937246,0.04899737437522658,0.8108632287135876,-0.712422171973382,-0.09765064671659887,-0.9616411973178632,-0.2674542740808125,0.06094602103701815,solved,0,nan,46.91210190983973,49,0.7317998964823518,0.0006040814307596528,0.004395918569240347
17,51,0.6189468845859127,-0.9999935864926233,-1.0000023055570024,-2.6469470222270265e-12,-1.047200493668099,-6.283207704286104,0.10008361675378881,0.7280407293101248,-0.7870265877296169,-0.09,0.020786272118082486,-0.9012677737704151,-0.43027386745618773,0.04635439395190128,0.049998210542764474,0.8103504907253086,-0.7139198284738794,-0.09761473905731086,-0.9162731594853623,-0.3955765894020349,0.06294964444646396,solved,0,nan,45.80877955044553,50,0.9831191321269077,0.0007528815499956755,0.004247118450004325
18,51,0.833924881641266,-0.9587372835098631,-0.37964630496770563,4.486404539322104e-17,-1.0472375353488532,-6.283486537450474,0.0999969813499161,0.7363799781265374,-0.7966139605647155,-0.09,0.019979205476797934,-0.8870521625943096,-0.4584751900769617,0.05039635174462878,0.050998180356263634,0.8094347868593121,-0.714328327743795,-0.09754301075570442,-0.9151811243259959,-0.39803771684487815,0.06332048867684395,solved,0,nan,46.93073085733399,51,0.9646939923276668,0.0011229410904830487,0.0038770589095169514
19,53,1.0004081548309092,-0.999524400451783,-0.2825650727144977,-2.88790228272033e-12,-1.0471974676077462,-6.283184592404217,0.1003377350648872,0.7463840596748466,-0.8066092045692332,-0.09,0.019151888907862787,-0.8719374821644178,-0.48621012112951784,0.054387043119259466,0.052001557706912505,0.8094012141651591,-0.7162868193501154,-0.09756871037862279,-0.8317558660491938,-0.5516492188428747,0.06217167610271448,solved,0,nan,47.33806202615789,53,0.33483091226471273,0.0011003498792033829,0.0038996501207966172
20,54,0.761903152981392,-0.5780091568071378,-0.4331461965557851,1.7520213976319924e-15,-1.0472261352653816,-6.283396636695251,0.09999732686974426,0.7540030912046605,-0.8123892961373046,-0.09,0.018305134098001406,-0.8559378515216439,-0.5134528042673085,0.058322673020047816,0.053001530975609945,0.8085480803890307,-0.7168110710893992,-0.09749462301180768,-0.8314972848879104,-0.5520001719643222,0.06251459083877013,solved,0,nan,46.51489677482965,54,0.4243422271208046,0.0013463991957040808,0.0036536008042959193
21,56,1.0000684491484018,-0.6939279210656996,-0.5940501442570618,3.043979806738407e-14,-1.0472114427131343,-6.283287470594167,0.10002590084192461,0.7640037756961445,-0.8193285753479616,-0.09,0.01743981752658885,-0.8390702927535033,-0.5401742030686758,0.06219909100871772,0.05400178998402919,0.8088296890513971,-0.7186936830000612,-0.09756461284278785,-0.7303073262650113,-0.6803943427684217,0.0609487181932161,solved,0,nan,49.23207041112712,55,0.024970587508574515,0.0020700268240399122,0.002929973175960088
22,56,0.4512549829116067,-0.2752882091385889,0.005532108925340409,1.1658208926121831e-17,-0.9805156421401018,-6.283299662787797,0.09999922267657177,0.7685163255252606,-0.8220814574393475,-0.09,0.016736950490711597,-0.8213737581690975,-0.5663428538858533,0.06573275995933514,0.05500178221079491,0.8080578034329468,-0.7193311572579998,-0.09748641923236433,-0.7318767539216012,-0.678670834290745,0.06133770857365331,solved,0,nan,42.16073590547575,56,0.8854040413824124,0.0014914893774604406,0.0035085106225395592
23,57,0.4014709868643312,-0.1999842271213504,0.014026246887069911,-8.646812085311677e-18,-0.7590078102155026,-5.650340855940131,0.10000373383019791,0.7725310353939039,-0.824081299710561,-0.09,0.016437959876905193,-0.8047926639003136,-0.5893783501924826,0.06834999584279092,0.05600181954909689,0.807289361380031,-0.7199781935596786,-0.09740722590713528,-0.7346010418456164,-0.6756875185223133,0.06170644533733723,solved,0,nan,44.122698889112314,57,0.5329737957589923,0.0022172254769819637,0.0027827745230180364
24,59,0.447454224832944,-0.5562565830588732,0.6197187592860742,-9.15555026965611e-14,-0.6626960303074718,-4.84131699046854,0.09999905944249378,0.7770055776422333,-0.8296438655411498,-0.09,0.01613471010022701,-0.7900605986594508,-0.6087362530986278,0.07059812844045715,0.057001810143521826,0.8078082945801063,-0.721729141901263,-0.09749529957233417,-0.6297109523385853,-0.7746424054854969,0.05825168593464737,solved,0,nan,38.93754880138064,59,0.09124365624054245,0.0018031771736469488,0.0031968228263530513
