k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
0,31,-0.03578623309851338,-0.022495618059369022,-0.06701229655997291,5.566853734431182e-18,-0.26982443752182067,-6.286890368620505,0.09999861970872176,0.717774959691968,-0.7057548487122568,-0.09,0.020296768725703056,-0.999312385175335,-0.023412484922778597,0.020363044080367303,0.03299998619708722,0.8262101067465266,-0.7050765121087929,-0.09786690111372662,-0.996572984591207,0.013319529109944772,0.08163868202184076,solved,0,0.0010104234010527933,2.550440526922663,31,0.9846536644994389,0.0009674692122828073,0.004032530787717193
1,33,-0.0023307203479737107,-0.23355800116213365,-0.18571248972083176,-0.00342551336430743,-0.5956495604191545,-6.2820803790898525,0.10003715730025291,0.7177516524884883,-0.7080904287238782,-0.09,0.02083934273325703,-0.9980194647834458,-0.05484521606345274,0.022690790703795757,0.034000357770089744,0.8242112283075703,-0.7050479844101128,-0.09777663900380781,-0.9968666656162207,0.013395298003185258,0.07795777687071886,solved,0,0.0003467312369194351,2.4913815241570063,32,0.9876864826767556,0.0008277351453696195,0.0041722648546303805
2,35,-0.0005838607013298357,-0.3686947994663639,-0.1250824638401317,-0.023547821201267083,-0.5371243753360688,-6.283787299314634,0.09999422352541304,0.717745813881475,-0.7117773767185418,-0.09,0.021277029338094295,-0.9957419342194541,-0.08622809212838319,0.0246982709383725,0.035000300005343876,0.8232183144966969,-0.7054400238691099,-0.09759833265278842,-0.9966666291181068,0.007207461275518245,0.08126303564027007,solved,0,1.1096291397461348e-05,3.9365103377545396,33,0.9859891740072403,0.0009962620909008115,0.0040037379090991886
3,36,0.022637442079552914,-0.47468528457220743,-0.07649876827792124,-0.03183821181981433,-1.0474609503153551,-6.2800061245058,0.10003180575488023,0.7179721883022705,-0.7165242295642639,-0.09,0.021431631518112677,-0.9924043746869324,-0.11756079639806649,0.02921816939787508,0.036000618062892675,0.8222253534514661,-0.7056324094382123,-0.09747135582458523,-0.9963607516741406,0.0017787144926330655,0.08521787846009135,solved,0,8.312343706191075e-05,7.159471784986891,35,0.022655509808313067,0.0010693580104230997,0.0039306419895769
4,37,0.0020606949925839435,-0.7463895390391275,-0.24217364653236265,4.408951301024509e-06,-1.047297598791513,-6.283458239737635,0.10000116247038233,0.7179927952521964,-0.7239881249546551,-0.09,0.02172308238858771,-0.9880552439754826,-0.1487867634023179,0.033725977826460786,0.0370006296875965,0.8212772054483426,-0.7074817639027674,-0.09757762261790709,-0.9940670370196082,-0.07586771244965095,0.07794109494296124,solved,0,7.618090196491872e-05,9.66548923831777,36,0.02663267281932541,0.0011765534304905454,0.0038234465695094547
5,38,0.18682680743034435,-0.9394620299202838,-0.10881745983822635,-0.0172406336568654,-1.0471966642580366,-6.283179417854456,0.0999993348943951,0.7198610633264998,-0.7333827452538579,-0.09,0.021907345898854957,-0.9827059878737692,-0.17986333005805288,0.03818628147823783,0.03800062303654045,0.8204634446978782,-0.7095328380420278,-0.09766489010494593,-0.9850193901684304,-0.15637269812422575,0.07269373070711913,solved,0,6.408436441456174e-05,8.122136402780656,37,0.38690784717698923,0.0022486433625834986,0.0027513566374165015
6,40,0.22458080082486048,-0.8525206922798819,-0.1313293267115336,-0.024722587074097028,-1.0471981784121123,-6.283193453098804,0.0999995406981134,0.7221068713347484,-0.7419079521766567,-0.09,0.022032633475495507,-0.9763607776701911,-0.21075895833602412,0.04260113109423319,0.03900061844352158,0.8195202717307112,-0.7098883210166846,-0.09753273526319732,-0.9783191880405661,-0.19136016958306917,0.07920132615824464,solved,0,0.00029492068965398865,5.409624390635445,38,0.7211139899127148,0.003340952483261775,0.001659047516738225
7,41,0.12398156641768183,-0.5988685388954743,-0.18446715788867193,-0.09520949123859256,-1.0472399617374015,-6.28339303873225,0.09999998299822534,0.7233466869989252,-0.7478966375656114,-0.09,0.02179152355318297,-0.9690326468378699,-0.2414567719122521,0.04689867973981726,0.04000061827350383,0.8185120316188284,-0.7101076759264463,-0.09789334709993089,-0.9825332781644962,-0.1756482496243362,0.06144955657498106,solved,0,8.12088939284499e-05,13.756698174726552,40,0.33923304224479595,0.0038633653955826726,0.0011366346044173275
8,42,0.24717847705267887,-0.504273503669766,-0.10871365418512398,-0.08273088687274911,-1.046985374480489,-6.286585716904238,0.09999972843983879,0.725818471769452,-0.752939372602309,-0.09,0.021589800636029867,-0.960715745676662,-0.2719220027145705,0.05116210469800174,0.04100061555790222,0.8175838724791006,-0.7104556055182936,-0.0976898822539372,-0.9740296325603416,-0.215614342852797,0.06911387987959283,solved,0,7.757688572577813e-05,16.93956578094862,41,0.6119451240935911,0.003672699989178997,0.001327300010821003
9,44,0.258307406028179,-0.5686072568615933,-0.09338605165909877,-0.08440692069947571,-1.047196923128052,-6.283179476573723,0.10000375923508432,0.7284015458297338,-0.758625445170925,-0.09,0.0213569558157958,-0.9514284808102412,-0.30209533215938744,0.055372706534068714,0.042000653150253066,0.8166074861001825,-0.7107313520480416,-0.09785181480623514,-0.9724665673981855,-0.2245730151182868,0.06225539779368239,solved,0,1.5411933281439444e-05,20.241991987357324,42,0.8496740963855751,0.0034119741870161616,0.0015880258129838385
