k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
0,31,-0.0204820696126288,-0.0411662773026282,-0.08705546233717348,5.069150650536011e-18,-0.2458681657353285,-6.194837729452614,0.09979614765966131,0.7179280013268269,-0.7059415553046894,-0.09,0.020287055737407737,-0.9993255497077296,-0.022950167039998255,0.020252676457388676,0.032997961476596616,0.8262593654210374,-0.7051677350973556,-0.09727503442114406,-0.9938606885027731,0.008817362080387057,0.11028682536793444,solved,0,0.0011098015237018617,3.9232215335205893,31,0.9626073341840928,0.0014642659608633264,0.0015357340391366737
1,33,2.2548713633787248e-13,-0.3231940256367616,-0.05088825563273228,4.853077087379012e-07,-0.34023888346069814,-6.283274126310182,0.09999999980695777,0.7179280013268291,-0.709173495561057,-0.09,0.02087414245901071,-0.9980756430044039,-0.05436331799481402,0.021305179523802054,0.033997961474666195,0.824269852339858,-0.705147101383797,-0.0970948881782281,-0.9939892287943528,0.008852171031873187,0.10911943048197316,solved,0,0.0007104477877396697,4.011941800797206,32,0.95984005252132,0.0014749284798159978,0.0015250715201840022
2,35,0.05755462291630312,-0.3901808821757449,-0.011524848721497402,4.022293879979071e-05,-0.281079681392643,-6.286434642668831,0.09978813624244531,0.7185035475559921,-0.7130753043828145,-0.09,0.02145717985063788,-0.995843241112821,-0.08573224955821394,0.022041096807042915,0.034995842837090646,0.8232317852367736,-0.7057451804274818,-0.0975044387126678,-0.9962593630116042,-0.015832839389202137,0.08495057895918288,solved,0,0.0005291315124082882,4.711209327930758,33,0.9552587761278245,0.0012739202362712762,0.0017260797637287239
3,36,0.21803552184366504,-0.41371634755985087,-0.10565843143242556,1.4583865045849716e-05,-0.31426043017672967,-6.283264794446618,0.09999999978930448,0.7206839027744287,-0.7172124678584131,-0.09,0.022004284877810282,-0.9926230339345803,-0.11700412236800804,0.02292071766802894,0.03599584283498369,0.8222446301224681,-0.7063125425228806,-0.09743668132409554,-0.995807472099198,-0.03661904242779668,0.08382435418164093,solved,0,0.0005714785847159516,5.975825687310932,35,0.047666071339329416,0.0012716012752408171,0.001728398724759183
4,37,0.12333923420359388,-0.5407909389968305,-0.19982128732187127,6.585139961427677e-05,-0.30683092759457786,-6.283268824264855,0.09999999975415721,0.7219172951164646,-0.7226203772483814,-0.09,0.02253422129084869,-0.988421652362708,-0.14815943859951244,0.023740824864916934,0.036995842832525265,0.821259300845528,-0.7072951986111432,-0.09780046285097144,-0.9950702302943731,-0.07452541349643738,0.06543086188522793,solved,0,0.00012695773831145882,7.230951060045227,36,0.14023219021203864,0.0014846025002019346,0.0015153974997980655
5,38,0.06372275895920107,-0.7246825562489767,-0.12999576157755097,7.196058653404062e-05,-0.4152590727366896,-6.283745228782754,0.09999999961664355,0.7225545227060567,-0.7298672028108711,-0.09,0.02296161834541203,-0.9832282042309879,-0.1791825878602228,0.02507314689822623,0.0379958428286917,0.8202544632333783,-0.7074843488411946,-0.09801826229435565,-0.9950571054793061,-0.08149690428037286,0.05674160412070965,solved,0,3.937394780963993e-05,8.925567992424526,37,0.3007394183896036,0.0018116958491758298,0.0011883041508241703
6,39,-0.012054035870239066,-0.2339291711316766,-0.19581473681050576,-6.008317435868271e-05,-0.42732854694791944,-6.2844139562537515,0.10000009371513215,0.7224339823473543,-0.7322064945221879,-0.09,0.023354870055138505,-0.9770576931136888,-0.21003274671586825,0.026439736743248683,0.03899584376584302,0.8192605223189812,-0.7076000626860356,-0.09798746828466351,-0.9948441668915288,-0.08424177265557789,0.05646596849404291,solved,0,0.0002850708100910061,10.636248813022261,38,0.4675821987960653,0.0018599244782117812,0.001140075521788219
7,40,0.025604171487236267,-0.1424620352712148,-0.28087471493608207,-0.004126424609329012,-0.5708427176319324,-6.2831483838441455,0.1000000042234872,0.7226900240622267,-0.7336311148749001,-0.09,0.023554202713614136,-0.969899389769985,-0.24068535001643104,0.02847693006285675,0.03999584380807789,0.8182678501093181,-0.7076564410326471,-0.09786433619706857,-0.9946613975254686,-0.08423159358826211,0.059613263742953636,solved,0,9.492400466382357e-06,14.530725937820717,39,0.5593616065978132,0.0016726070034459681,0.001327392996554032
8,41,0.0607180174334422,-0.31223633249783594,-0.3139792328958581,-0.0016531234393640825,-0.8852322237464408,-6.2832793234237,0.09999999939504213,0.7232972042365612,-0.7367534781998785,-0.09,0.023363692651805615,-0.9617252639709121,-0.2711343303668119,0.03201295678771706,0.040995843802028316,0.8172777549508143,-0.7077462038335433,-0.09774046233101517,-0.9944025516142625,-0.08527211538296937,0.06238773936001172,solved,0,2.3512569301629176e-05,18.272517431019892,40,0.6074249773323654,0.0014226671843593996,0.0015773328156406005
9,42,0.14323958941199114,-0.3673492301704272,-0.2969197727374365,-0.0008643895867768556,-1.0471367292629268,-6.28275630574784,0.10000000132371521,0.7247296001306811,-0.7404269705015827,-0.09,0.022933834073404685,-0.9525542006572455,-0.3013256078312783,0.03629617238828893,0.04199584381526547,0.8162857188629967,-0.7078724097624226,-0.09769789294961378,-0.9942133550490961,-0.08774456243808826,0.06197333931103352,solved,0,3.146988674534504e-05,22.271542794927615,41,0.639151550560244,0.0011370951245775077,0.0018629048754224924
10,43,0.24041082358213944,-0.4899088279839474,-0.23292577754155752,-0.00029489357879398123,-1.0472049546922066,-6.283235205593291,0.09999999970948366,0.7271337083665025,-0.7453260587814221,-0.09,0.022483411382975847,-0.9424162300995644,-0.3312134562440693,0.04054370309143973,0.04299584381236031,0.8153420965712257,-0.7084336900178929,-0.09779780255812541,-0.9858369028946371,-0.15302452999851648,0.06862282804063619,solved,0,5.194199195213833e-06,23.05430601361891,42,0.7814711013881944,0.0010303964248861357,0.0019696035751138644
11,44,0.345149641912372,-0.48567230382163207,-0.1657687394876691,0.00011170130815550389,-1.047280385171638,-6.283746299613535,0.10000000005137175,0.7305852047856262,-0.7501827818196384,-0.09,0.022012076067631784,-0.9313213763253814,-0.36076765867352684,0.044751077772629974,0.043995843812874025,0.8143598272547369,-0.7086074888275589,-0.09770087257784306,-0.9860195557192545,-0.151727801386016,0.06887748892177496,solved,0,1.8602456348069172e-05,27.249815491677943,43,0.7402557349086676,0.0006965075410701843,0.002303492458929816
12,45,0.5654348478030475,-0.6074846852418004,-0.1788329551829042,0.00023202296209406918,-1.0472778391004194,-6.283726935987094,0.09999999296318707,0.7362395532636566,-0.7562576286720564,-0.09,0.021518970667175154,-0.9192817493249386,-0.38995575664012044,0.04891326121551642,0.0449958437425059,0.8135090587472358,-0.7094555806552377,-0.09779299716411616,-0.967865041245507,-0.24193167242735392,0.06860266977374764,solved,0,0.0002629390266137318,29.47797673026048,44,0.7975742204543109,0.0006955579724966126,0.0023044420275033875
13,47,0.5573983816100715,-1.0000005731402741,-0.221704756102275,0.0003867840387858907,-1.047282392678902,-6.2837499251094915,0.09999999168669117,0.7418135370797574,-0.7662576344034591,-0.09,0.02100474292230567,-0.9063094775348709,-0.41874832509939325,0.05302614385084149,0.04599584365937281,0.812850037623235,-0.7106032658456106,-0.09773905632201446,-0.929311905548707,-0.36190960206973716,0.07349027593335869,solved,0,0.00036841187174784375,30.710706174929353,45,0.8450884570116215,0.0005009957622708173,0.0024990042377291827
