metric,INV-FJ_mean,INV-SJ_mean,INV7-FJ_mean,INV7-SJ_mean,MPC-FJ_mean,MPC-SJ_mean,INV-FJ_sd,INV-SJ_sd,INV7-FJ_sd,INV7-SJ_sd,MPC-FJ_sd,MPC-SJ_sd,INV-FJ_n,INV-SJ_n,INV7-FJ_n,INV7-SJ_n,MPC-FJ_n,MPC-SJ_n
E_RMS,2.2481,1.2134,2.0746,0.7839,0.7150,0.5438,0.1440,0.0267,0.0125,0.0414,0.0270,0.0158,5,5,5,5,5,5
E_x_RMS,0.9048,0.8114,0.3413,0.4018,0.4029,0.2701,0.0368,0.0640,0.0335,0.0406,0.0279,0.0129,5,5,5,5,5,5
E_y_RMS,2.0574,0.8993,2.0460,0.6723,0.5900,0.4719,0.1483,0.0424,0.0136,0.0351,0.0286,0.0144,5,5,5,5,5,5
dE_chosen_mean,-0.0737,-0.0713,-0.0511,-0.0358,-0.0101,0.0723,0.0288,0.0199,0.0246,0.0104,0.0076,0.0227,5,5,5,5,5,5
E_u,0.7687,0.6289,0.8265,0.6247,0.3255,0.3692,0.1229,0.0614,0.0925,0.0782,0.0143,0.0377,5,5,5,5,5,5
P_uL_active,0.0000,0.0000,0.4855,0.4474,0.3809,0.2277,0.0000,0.0000,0.0199,0.0424,0.0275,0.0221,5,5,5,5,5,5
P_duq_active,0.1904,0.1433,0.1898,0.1630,0.0000,0.0022,0.0482,0.0242,0.0405,0.0311,0.0000,0.0018,5,5,5,5,5,5
corner_RMS,3.2033,1.1235,3.0132,0.7393,0.7699,0.4992,0.3110,0.0881,0.1188,0.0217,0.0386,0.0219,5,5,5,5,5,5
straight_RMS,1.9883,1.2304,1.8319,0.7935,0.7024,0.5533,0.1147,0.0418,0.0317,0.0510,0.0293,0.0156,5,5,5,5,5,5
corr_chosen_actual,-0.0171,0.2947,0.0827,0.2354,0.1467,0.4466,0.0339,0.0565,0.0241,0.0271,0.0255,0.0154,5,5,5,5,5,5
slope_actual_vs_chosen,-0.0291,0.3614,0.1343,0.2651,0.1683,0.5729,0.0556,0.0719,0.0438,0.0433,0.0386,0.0633,5,5,5,5,5,5
