node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,position_constraint_margin_m,tangent_constraint_margin_rad,minimum_joint_margin_rad,minimum_state_margin,jacobian_condition,jacobian_effective_rank,contact_active,contact_diagnostic_available,minimum_gap_m,contact_energy,contact_force_norm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z,seed_q1,seed_q2,seed_q3,seed_q4,seed_q5,seed_q6,seed_L,change_from_seed_q1,change_from_seed_q2,change_from_seed_q3,change_from_seed_q4,change_from_seed_q5,change_from_seed_q6,change_from_seed_L
0,0.0,0.025,0.0,0.0,0.026483017914252185,1.5173651552560026,1,0.0015,3.113364306423547,4.226776597179587,0.025,nan,0,1,1,0.048579337599595936,3.273941598143782e-13,1.5207882997213842e-09,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.24557497783369636,-0.6700279629478505,-0.016566991220873295,-3.077932948039142,0.5753726959665791,0.045033578217205016,0.5005794864881917,-0.669607395033303,-0.01656004894946191,0.5005794864881917,-0.669607395033303,-0.01656004894946191,-1.0,0.0,0.0,-0.9996493453761041,0.026476307031826483,0.00043755580570542735,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00025,0.025126128389645383,0.00028275067502039127,0.28275067502039125,0.025023857979730006,1.433761449373296,1,0.0012172493249796089,3.114823466358069,4.225967753346499,0.02487387161035462,nan,0,1,1,0.04860044032978679,3.2894401677510316e-13,1.519863348979339e-09,-0.858233648084426,-1.9402452003439623,-1.7598556676002441,-1.035144502626804,1.5614049764348281,-2.0572175538330875,0.24500954010724899,-0.6721494308148389,-0.011830312205281635,-3.0817787187395727,0.5778504842051493,0.03918203008956723,0.5003294864881918,-0.669607395033303,-0.01656004894946191,0.5004528985521932,-0.6697087610410238,-0.016326720127491434,-1.0,0.0,0.0,-0.9996869196038249,0.01999374950450214,0.015043694817666533,-0.8564663487140928,-1.9459168915289047,-1.7616567302896553,-1.033082679462022,1.562230772252171,-2.056432505238703,0.025178528873871522,-0.001767299370333264,0.0056716911849423735,0.0018010626894111592,-0.002061823164781984,-0.0008257958173429891,-0.000785048594384552,-5.240048422613941e-05
2,0.0005,0.025377242000241013,0.00028528624745163307,0.28528624745163306,0.024652133975769312,1.412463232802644,1,0.001214713752548367,3.1151951903620296,4.225926229811302,0.02462275799975899,nan,0,1,1,0.048602120186334606,3.322243013287811e-13,1.5197972033240021e-09,-0.858393765020961,-1.9404337356493173,-1.7597242781498657,-1.0349944073326918,1.5612058625901535,-2.057259077368285,0.24491727250647743,-0.6723563709392912,-0.011887398289770756,-3.0819513747700595,0.5780692059493471,0.039263631913635064,0.5000794864881918,-0.669607395033303,-0.01656004894946191,0.5002017099871542,-0.6697124469789894,-0.01632464770054012,-1.0,0.0,0.0,-0.9996961515337823,0.019549681296273498,0.01501381263234456,-0.8566000316191335,-1.945999125520175,-1.7615454999319364,-1.032969186028224,1.5621016502686793,-2.056457364612644,0.025408078398677477,-0.0017937334018275353,0.00556538987085764,0.001821221782070781,-0.002025221304467806,-0.0008957876785258279,-0.0008017127556407821,-3.083639843646374e-05
3,0.00075,0.025628478213924808,0.0002882152902950721,0.2882152902950721,0.024275130187869795,1.3908625068955565,1,0.001211784709704928,3.1155721941499293,4.225884755956955,0.024371521786075195,nan,0,1,1,0.04860406590460607,3.3550454339708164e-13,1.5197179368371055e-09,-0.858555621601997,-1.940616676274541,-1.7595878589315705,-1.0348437602648044,1.5610120564220562,-2.057300551222632,0.2448290051847854,-0.6725660072987515,-0.011938934258173384,-3.082126417328115,0.5782914756277997,0.03932645542891013,0.49982948648819175,-0.669607395033303,-0.01656004894946191,0.49995039552905934,-0.6697166978951106,-0.016322347578416153,-1.0,0.0,0.0,-0.9997053734957806,0.019084195623072314,0.014998655975852123,-0.8567318396522002,-1.9460810569323284,-1.7614357012197523,-1.0328590956439698,1.5619690449941166,-2.0564827672294896,0.025652204563760467,-0.001823781949796821,0.0054643806577874265,0.0018478422881818002,-0.0019846646208345753,-0.000956988572060391,-0.0008177839931424735,-2.372634983565866e-05
4,0.001,0.025879924765197057,0.00029149249478311326,0.2914924947831133,0.023889165341127946,1.368748350136835,1,0.0012085075052168867,3.115958158996671,4.22584884235937,0.024120075234802946,nan,0,1,1,0.04860628715149138,3.387859633041514e-13,1.519626350755657e-09,-0.8587185420867469,-1.940794492292233,-1.759448052549103,-1.0346905191178393,1.5608203986176323,-2.0573364648202164,0.24474417121942044,-0.6727779881729221,-0.01198579108149328,-3.08230488449671,0.5785251480899083,0.0393737188411463,0.4995794864881917,-0.669607395033303,-0.01656004894946191,0.49969886716434453,-0.6697215191482364,-0.016319857744238126,-1.0,0.0,0.0,-0.9997146674597944,0.01859393092142052,0.01499497911442614,-0.8568591790563063,-1.9461625415148975,-1.7613270845094355,-1.0327565921959372,1.5618376683229838,-2.056506348755422,0.02590051693181088,-0.0018593630304406528,0.005368049222664428,0.0018790319603325667,-0.001933926921902085,-0.0010172697053514312,-0.0008301160647943284,-2.0592166613823265e-05
5,0.00125,0.026131700072334188,0.0002951068709870102,0.2951068709870102,0.023495163765005923,1.3461737227035404,1,0.0012048931290129898,3.116352160572793,4.225814436242241,0.023868299927665815,nan,0,1,1,0.048608762879866096,3.4207019872815477e-13,1.5195235526700849e-09,-0.8588819132923178,-1.9409662019012686,-1.759306615432178,-1.0345324744231121,1.5606310966880954,-2.057370870937345,0.24466291634305404,-0.6729926232114901,-0.012028195518242746,-3.082488824169263,0.5787631814967409,0.03940345263677789,0.49932948648819175,-0.669607395033303,-0.01656004894946191,0.49944700701174066,-0.6697269180167594,-0.01631716780924264,-1.0,0.0,0.0,-0.9997240013366393,0.01807852131436506,0.015002940329993214,-0.8569815380271929,-1.9462397368443192,-1.7612243850567502,-1.0326549867927282,1.5617099709887858,-2.0565302573895132,0.026149982958200074,-0.0019003752651248762,0.005273534943050606,0.0019177696245722409,-0.0018774876303839783,-0.0010788743006904244,-0.0008406135478318255,-1.828288586588553e-05
6,0.0015,0.02638389524702474,0.00029907097492483424,0.29907097492483425,0.023095007839137916,1.3232464770041539,1,0.0012009290250751658,3.116752316498661,4.225774837654901,0.023616104752975264,nan,0,1,1,0.04861146323792514,3.453585619847468e-13,1.5194108974285646e-09,-0.8590452877919482,-1.941131766367896,-1.75916356534496,-1.0343702676545095,1.5604449285746416,-2.0574104695246844,0.24458519672753382,-0.6732103672551198,-0.01206616422059753,-3.0826792507093974,0.5789943764355758,0.0394156252488194,0.4990794864881917,-0.669607395033303,-0.01656004894946191,0.4991947246812758,-0.6697329007095466,-0.01631426056054199,-1.0,0.0,0.0,-0.9997333221601431,0.0175382316228394,0.015023148610966859,-0.8570994073474442,-1.9463148789454854,-1.7611248087922042,-1.032558625280709,1.561584962943805,-2.0565529817080206,0.026399801410803295,-0.0019458804445040556,0.0051831125775894105,0.001961243447244243,-0.0018116423738003817,-0.001140034369163434,-0.0008574878166638378,-1.5906163778556248e-05
7,0.00175,0.02663665827524913,0.00030346520600015134,0.30346520600015137,0.022689214342817916,1.2999962223111603,1,0.0011965347939998487,3.117158109994981,4.225731298030913,0.023363341724750873,nan,0,1,1,0.048614380244062075,3.4865299868207066e-13,1.5192887417228987e-09,-0.8592078481982909,-1.9412914787005342,-1.7590165593166132,-1.0342043154729859,1.5602597728687158,-2.0574540091486724,0.24451190688303212,-0.6734326417465728,-0.012098654357381333,-3.0828787023340336,0.5792198893110354,0.0394103464087881,0.49882948648819175,-0.669607395033303,-0.01656004894946191,0.4989418724700249,-0.6697395572857544,-0.01631106368610866,-1.0,0.0,0.0,-0.9997426108185425,0.01696836556546936,0.015059438361399993,-0.8572139729552951,-1.9463852940825197,-1.7610319265972305,-1.0324629847939057,1.5614628934476908,-2.056572852321007,0.02664970915947379,-0.0019938752429957685,0.0050938153819855,0.002015367280617353,-0.0017413306790801109,-0.001203120578975092,-0.0008811568276652082,-1.3050884224659332e-05
8,0.002,0.026890069891412138,0.0003083793008763435,0.30837930087634347,0.02228216258907243,1.2766738747781456,1,0.0011916206991236565,3.1175651617487263,4.225688411216568,0.023109930108587865,nan,0,1,1,0.048617441921360895,3.519549038186396e-13,1.5191602293860574e-09,-0.859372199252317,-1.9414446115663815,-1.7588647213043096,-1.034034312568689,1.5600798690388886,-2.0574968959630175,0.24444367545879506,-0.6736588140151291,-0.012125137613942405,-3.0830830948776597,0.5794505335416592,0.039381114601002375,0.4985794864881917,-0.669607395033303,-0.01656004894946191,0.4986883710874953,-0.6697469071713132,-0.016307505288699464,-1.0,0.0,0.0,-0.9997517628861344,0.01636872778857952,0.015115467463823312,-0.8573221065065484,-1.9464553737751369,-1.7609392697912378,-1.0323724935837557,1.5613451077173877,-2.0565927015512413,0.02689967295618335,-0.002050092745768617,0.005010762208755404,0.0020745484869282294,-0.0016618189849333387,-0.0012652386784990366,-0.000904194411776249,-9.603064771213088e-06
9,0.0022500000000000003,0.027144137783292024,0.0003141655947406765,0.3141655947406765,0.021881345216961588,1.2537087310006696,1,0.0011858344052593235,3.117965979120837,4.225648727160728,0.02285586221670798,nan,0,1,1,0.04862052059299083,3.5526501866101817e-13,1.5190309408126641e-09,-0.8595399390693222,-1.9415871275365122,-1.7587049636641465,-1.0338589004635157,1.5599080013918234,-2.0575365800188585,0.24438301098631732,-0.6738908917579837,-0.012141800235576428,-3.083294434905523,0.5796934410315187,0.03931484402764213,0.49832948648819175,-0.669607395033303,-0.01656004894946191,0.49843421519261294,-0.669755102928854,-0.01630331115134693,-1.0,0.0,0.0,-0.999760612917387,0.015731350109174824,0.015206626279134154,-0.8574263336816649,-1.9465232775038415,-1.7608492156541695,-1.0322852747936473,1.5612328458246838,-2.05661331485629,0.02714962808554244,-0.002113605387657369,0.004936149967329273,0.002144251990022994,-0.001573625669868406,-0.0013248444328604059,-0.0009232651625685762,-5.490302250416024e-06
