node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,solver_success,termination_reason,function_evaluations,objective_value,jacobian_condition,jacobian_effective_rank,minimum_joint_margin_rad,minimum_state_margin,minimum_clearance_m,contact_active,source_magnet_lumen_distance_m,source_magnet_lumen_exclusion_radius_m,source_magnet_lumen_margin_m,source_magnet_lumen_segment_index,source_magnet_lumen_constraint_satisfied,delta_q_norm_rad,delta_insertion_m,attempt_count,chain_rule_relative_error,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,tip_x,tip_y,tip_z,tip_tangent_x,tip_tangent_y,tip_tangent_z,desired_x,desired_y,desired_z,desired_tangent_x,desired_tangent_y,desired_tangent_z
0,0.0,0.025,0.0,0.0,0.20802574714801758,11.918997341637029,1,1,fixed_initial_state_feasible_and_committed,1,3.890897655596555e-07,10977428.856271232,5,4.226776597179587,0.025,nan,0,0.23500765011780486,0.20493772157670223,0.03006992854110263,254,1,0.0,0.0,1,0.009606262749006628,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.24557497783369636,-0.6700279629478505,-0.016566991220873295,-3.077932948039142,0.5753726959665791,0.045033578217205016,0.5005820546791916,-0.6695089513990475,-0.016558422038837062,-0.999433944674365,0.03363749698597587,0.0005559039099070523,0.5005820546791916,-0.6695089513990475,-0.016558422038837062,-0.9709399290620259,0.23932332555149768,0.0
1,0.00025,0.025170875310289737,6.834779969905044e-05,0.06834779969905044,0.41358319243766783,23.696571404225313,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,29,0.007291685026367562,10592530.25832474,5,4.2269461478806765,0.024829124689710266,nan,0,0.2347315479615887,0.20493772157670223,0.02979382638488648,254,1,0.0016529570623103696,0.00017087531028973577,1,nan,-0.8554728266711555,-1.9453229119724686,-1.7624976768342486,-1.0340182031208163,1.5630204912680516,-2.0562391592989093,0.2458511825326775,-0.6689457495343878,-0.016566991210951787,-3.076981429087947,0.5740866909725879,0.045645215448805086,0.5004132876592389,-0.6694341464114248,-0.01655852854539768,-0.9992712621384986,0.03816606114275342,0.0005444639379774965,0.5003450013519947,-0.6694312497542128,-0.016558422038837062,-0.8996809574806709,0.4365480211232933,0.0
2,0.0005,0.025370521997200624,7.98524839177763e-05,0.0798524839177763,0.6618630976269395,37.921962109478805,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,29,0.01000413779021967,10337586.825487036,5,4.227266007007309,0.02462947800279938,nan,0,0.23417707793198678,0.20493772157670223,0.029239356355284546,254,1,0.0030699771675217814,0.00019964668691088705,1,nan,-0.8538125286683615,-1.9443804043697492,-1.763832075976517,-1.0355182250931372,1.5643037889422557,-2.055919300172277,0.2464190469571303,-0.6669419356449473,-0.01656699119858096,-3.0752325272908183,0.5716469452076269,0.046710188816724195,0.5002182815504463,-0.66929592784576,-0.016558592349484924,-0.9989129973788342,0.046610482316421356,0.0005353558290987394,0.5001385544688904,-0.6692914576501602,-0.016558422038837062,-0.7593450871877692,0.650688126957761,0.0
3,0.00075,0.025557756752350728,7.48880500534127e-05,0.0748880500534127,0.8114778750797349,46.494257410313054,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,23,0.00885871202944317,9905495.23847589,5,4.227677740631467,0.024442243247649275,nan,0,0.23342888970378659,0.20493772157670223,0.028491168127084354,254,1,0.0038746904875069667,0.00018723475515010357,1,nan,-0.8516481105091602,-1.9432209824676523,-1.765471443163399,-1.0373756970549863,1.5659399459699552,-2.055507566548119,0.24720858533420723,-0.6644226678060701,-0.016566991208055937,-3.0730602942030685,0.568487723060289,0.047985258639124125,0.5000383755476063,-0.6691185198201666,-0.01655851220079289,-0.998351481058582,0.057393669306903,0.0005357159935571504,0.4999636725976371,-0.6691132585296865,-0.016558422038837062,-0.6456646487846847,0.7636210849038612,0.0
4,0.001,0.025726168654233342,6.735446122440882e-05,0.06735446122440883,0.8977841390346739,51.43924208047312,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,26,0.00721862015668306,9528493.459629456,5,4.228138001075069,0.02427383134576666,nan,0,0.23256798493022476,0.20493772157670223,0.027630263353522533,254,1,0.004238915272166301,0.00016841190188261398,1,nan,-0.8492005738837751,-1.9419908350525525,-1.7672126260120564,-1.0393774814616688,1.5677327109545214,-2.055047306104517,0.24814593729786671,-0.6616783142755431,-0.016566991222066008,-3.0707273812912437,0.5649413042586308,0.04933481369506353,0.499879988629825,-0.6689196850128333,-0.016558316599093244,-0.9975902201176406,0.06937908279564953,0.0005436874761483653,0.49981287420242393,-0.6689140046991171,-0.016558422038837062,-0.567591436585089,0.823310367428514,0.0
5,0.00125,0.025879244262213014,6.121862991126453e-05,0.06121862991126453,0.9512564439159893,54.50297947100928,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,28,0.006001499573685963,9162212.055440778,5,4.228623292807961,0.02412075573778699,nan,0,0.23164529759177463,0.20493772157670223,0.0267075760150724,254,1,0.004369897203485052,0.0001530756079796726,1,nan,-0.8465941713275226,-1.9407636371025356,-1.7689544804058086,-1.0414140218479708,1.569571077331274,-2.0545620143716254,0.24918155441784873,-0.6588622476020058,-0.016566991220847482,-3.068372596175975,0.5611930234291314,0.0507007548472704,0.4997395925751744,-0.6687091262062986,-0.016558063848519246,-0.9966361939757183,0.08195113406054358,0.0005554131661958893,0.4996786657777385,-0.6687031665333116,-0.016558422038837062,-0.5119873987962161,0.8589929589198532,0.0
6,0.0015,0.02602164318678582,5.6949560384960616e-05,0.056949560384960615,0.9864625052928893,56.52013820118419,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,26,0.005217915904104074,8821533.086932447,5,4.22912129120053,0.023978356813214183,nan,0,0.23068860892652443,0.20493772157670223,0.0257508873498222,254,1,0.004388621314517502,0.00014239892457280565,1,nan,-0.8438941883604453,-1.9395732676026958,-1.7706504842709063,-1.0434344753743414,1.571400406583194,-2.054064015979056,0.25028648817084664,-0.6560484067735228,-0.016566991194450376,-3.0660608400275606,0.5573379931316901,0.05205884278545583,0.49961249098053934,-0.668491668878861,-0.01655779323355183,-0.9954958097441474,0.09480384916683307,0.0005683000936578364,0.49955588737988527,-0.6684854327402362,-0.016558422038837062,-0.47008534789720474,0.8826209637734446,0.0
7,0.00175,0.026155929344770776,5.370376925109588e-05,0.05370376925109588,1.0086651568922957,57.792256431829564,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,20,0.004657978778374877,8523693.007930221,5,4.229627139481725,0.023844070655229227,nan,0,0.22970921038013958,0.20493772157670223,0.024771488803437353,254,1,0.004372478406262226,0.0001342861579849558,1,nan,-0.8411248407641038,-1.938429606889185,-1.7722870334919696,-1.0454239950057074,1.5732028929981492,-2.0535581676978616,0.25144824894140794,-0.6532602490461558,-0.01656699086669705,-3.0638112355900478,0.5534097552299913,0.05340366454713956,0.49949616808348274,-0.6682689665308088,-0.016557523807989135,-0.9941687027877896,0.10783437627759038,0.0005811110624041022,0.4994428678522504,-0.6682624570482105,-0.016558422038837062,-0.438641832332033,0.8986619736744159,0.0
8,0.002,0.026285128830994285,5.167447931583345e-05,0.05167447931583345,1.0234921950582636,58.64178314141892,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,23,0.004319935099072822,8206593.565219221,5,4.230138037611626,0.023714871169005718,nan,0,0.22872021459749836,0.20493772157670223,0.02378249302079613,254,1,0.004311159067255792,0.00012919948622350935,1,nan,-0.8383183026322053,-1.9373441651443173,-1.7738479650420156,-1.0473628999549323,1.5749562828095391,-2.0530472695679607,0.252650853937017,-0.6505272702213729,-0.01656699036332976,-3.0616472069200062,0.5494577961070529,0.054726459085735035,0.4993875291310784,-0.6680431301221034,-0.016557277065510682,-0.9926636297232913,0.12090726693219288,0.0005924757954364962,0.4993363191176916,-0.6680363128368983,-0.016558422038837062,-0.41332305136130054,0.9105844580341703,0.0
9,0.0022500000000000003,0.026410520692417155,5.015326681077282e-05,0.05015326681077282,1.0323120956743883,59.147126222447696,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,21,0.004073692852361237,7901224.778698796,5,4.230654010931745,0.023589479307582848,nan,0,0.2277239603368164,0.20493772157670223,0.02278623876011418,254,1,0.004244605720159742,0.00012539186142286954,1,nan,-0.8354817944181253,-1.9363177811865042,-1.7753317539816509,-1.0492489444080206,1.5766569923904874,-2.0525312962478415,0.253890079062735,-0.6478536927038062,-0.01656699086995833,-3.0595712174190224,0.5454931227188099,0.056026721467170415,0.49928532374644874,-0.6678145817571797,-0.01655706029926399,-0.9909817355728484,0.13399566192393364,0.0006019523172429705,0.4992356965891342,-0.6678074655015628,-0.016558422038837062,-0.39317706490954263,0.9194627755538107,0.0
10,0.0025000000000000005,0.02653336033883776,4.914683045554171e-05,0.04914683045554171,1.0369162160304293,59.410922887219115,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,23,0.003910621267412539,7604929.364600641,5,4.231167223077323,0.023466639661162244,nan,0,0.2267253875756407,0.20493772157670223,0.02178766599893847,254,1,0.004163998036471688,0.00012283964642060413,1,nan,-0.8326316940564475,-1.9353507960115106,-1.7767363956754068,-1.0510742864146423,1.5783039498313776,-2.0520180841022637,0.25515835334676745,-0.6452487746576298,-0.01656698829109776,-3.0575872924473613,0.541529025088587,0.05729292148340524,0.4991882611659631,-0.6675841144365918,-0.01655684383721166,-0.9891290800205909,0.1470485951247702,0.0006113341565674942,0.4991397130041128,-0.6675766313754259,-0.016558422038837062,-0.3767603488118335,0.9263107683510894,0.0
11,0.0027500000000000007,0.026654717208312247,4.8565598881169394e-05,0.048565598881169396,1.0385033374543553,59.50185824638487,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,24,0.0038146430711145,7319630.505546574,5,4.23167851693692,0.023345282791687755,nan,0,0.2257275779286216,0.20493772157670223,0.020789856351919378,254,1,0.0040771044299741715,0.00012135686947448848,1,nan,-0.8297760018731967,-1.9344440848896165,-1.7780606649935689,-1.0528378319969731,1.5798915498975221,-2.0515067902426662,0.2564501120455715,-0.6427169440953436,-0.01656699122030353,-3.0556981613697136,0.5375788057647001,0.05852798718478186,0.4990952447439674,-0.6673521860312213,-0.016556649862418713,-0.9871111890792725,0.16003473654285194,0.0006192690567821531,0.49904735267082684,-0.6673443230727621,-0.016558422038837062,-0.3630761570176492,0.9317594669255018,0.0
