sample_index,time_s,path_s_m,path_speed_m_s,path_acceleration_m_s2,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,beam_feasible,insertion_m,insertion_rate_m_s,insertion_acceleration_m_s2,q1_rad,qd1_rad_s,qdd1_rad_s2,q2_rad,qd2_rad_s,qdd2_rad_s2,q3_rad,qd3_rad_s,qdd3_rad_s2,q4_rad,qd4_rad_s,qdd4_rad_s2,q5_rad,qd5_rad_s,qdd5_rad_s2,q6_rad,qd6_rad_s,qdd6_rad_s2,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z
0,0.0,0.0,0.0,0.008029989625412171,0.0,0.0,0.20802574714801758,11.918997341637029,1,0.025,0.0,0.007853044604612757,-0.85634357,0.0,0.02084101900748065,-1.94584002,0.0,0.36335303443847694,-1.76176286,-0.0,-0.08088085470399205,-1.0331945,-0.0,-0.2706151399390653,1.56234264,0.0,0.03206332942929582,-2.05640871,-0.0,-0.011661154344796917,0.5005820546791916,-0.6695089513990475,-0.016558422038837062,0.5005820546791916,-0.6695089513990475,-0.016558422038837062,-0.9709399290620259,0.23932332555149768,0.0,-0.999433944674365,0.03363749698597587,0.0005559039099070523
1,0.1,4.014994812706086e-05,0.0008029989625412172,0.008029989625412171,6.62158366771763e-05,0.0662158366771763,0.22084316544038063,12.65338131404321,1,0.025039204400480092,0.0007816551078828178,0.007670576975689862,-0.8562377942832091,0.0021783392059580757,0.02555288426798118,-1.944032550320217,0.03577757389928221,0.33546655721020285,-1.7621662521395207,-0.008027357430440534,-0.07784445270605851,-1.0345416681629334,-0.026707061788186534,-0.2528925296530657,1.5625033250637126,0.003228437936903302,0.03316857912798181,-2.056466262803002,-0.001120937311149774,-0.009402248178301029,0.5005430714914053,-0.669499342579941,-0.016558422038837062,0.5005438255270594,-0.6694782482044006,-0.0164956606193371,-0.9673198997481748,0.25355908887512013,0.0,-0.9993571025967413,0.03555418393115321,0.004613187015086022
2,0.2,0.00016211897173752356,0.0014925363775068403,0.0003540453612341378,0.00024508190825917557,0.24508190825917558,0.3202583771261884,18.349453363039657,1,0.02515454243811412,0.001349055619777281,-0.0017163028588903287,-0.8558194073104661,0.006729543775367584,0.054180072231353696,-1.9391161714588743,0.05063479303056455,-0.2991980565828239,-1.7633291465328536,-0.013193011583364368,0.03075629776968542,-1.0382690865148907,-0.03955780062242794,0.18839831056543727,1.563014226722253,0.006629501443634446,0.013907018790031528,-2.0565945687176197,-0.0007983598777408017,0.025019695691001497,0.5004262622121748,-0.6694646925060409,-0.016558422038837062,0.500432685990477,-0.6693858405777581,-0.016326460295796614,-0.9354596356791113,0.3534335439868495,0.0,-0.9990259009265227,0.041325178462293825,0.015475105912705516
3,0.30000000000000004,0.0003174891645370827,0.0017850944254850655,0.012483985023252334,0.00035370799467852784,0.3537079946785278,0.4867065631273811,27.88623192851651,1,0.02528107414237543,0.0012904804956026766,0.0060715175651508725,-0.8547598251915277,0.016393431519996886,0.19111030476858148,-1.935969937914738,0.011190614502748664,-0.3733155043569307,-1.7644711085145035,-0.010399268639504605,-0.02333444045774488,-1.0410366150340333,-0.01593410296090655,0.175663152097133,1.5637885719065376,0.009886826984096438,0.08710182360509983,-2.0565055759593935,0.0030432807112939987,0.05781144921845098,0.500286091740306,-0.6693983398630259,-0.016558422038837062,0.5003115187156358,-0.6692764929454902,-0.0162273387515631,-0.8605858935969747,0.5093053305649731,0.0,-0.9986067924944685,0.04808731995035667,0.021727485908445626
4,0.4,0.0005070014283825183,0.002164401210038508,0.001441498546539459,0.00033607885535983306,0.33607885535983306,0.6589975125373997,37.757776178012556,1,0.025409547157034394,0.001462076073938314,0.002685088926528558,-0.8527970314187406,0.022587676712224444,-0.028082779717356947,-1.9360876899636499,-0.002178212020022942,0.2590224686465302,-1.7654305229502987,-0.010825461527325301,-0.03432635575197234,-1.0418971904368657,-0.009278844222720692,-0.1711015843267491,1.5648906128311553,0.012630573567210803,-0.0015876969752919683,-2.0560772722155987,0.004949732120946096,-0.018069470146700788,0.5001331853737417,-0.6692869640083543,-0.016558422038837062,0.5001876784821783,-0.6691522028087342,-0.016255405674213207,-0.7554390409299601,0.6552189370270232,0.0,-0.9982517233159607,0.05568848801149673,0.019806291922222483
5,0.5,0.0007238758816785328,0.0021519627222579205,0.00027149500990785764,0.00033133707131087725,0.33133707131087725,0.7903840803224771,45.285671996807,1,0.025561372369136276,0.0015269179893707663,-4.5540194647367805e-05,-0.850666423427785,0.02065612365882267,0.009481939938967315,-1.935494260967453,0.009021701311490103,-0.03433323411408422,-1.7665957287088505,-0.011808440915722758,0.004573936891958731,-1.0433383982523186,-0.016235475480324134,0.021869191564233857,1.566125239131961,0.012134315939529629,0.003008118134513203,-2.0556478356461643,0.0040051262894657885,0.0034450089655914356,0.4999809918659379,-0.6691328164565602,-0.016558422038837062,0.5000428762764808,-0.6690031735186014,-0.016259846615879918,-0.6562606869962536,0.7545342342817887,0.0,-0.9977172346075851,0.06468869270731853,0.019382796568382345
6,0.6000000000000001,0.0009411275533410672,0.0021864612521121252,-6.448666118161738e-05,0.0003220164918444501,0.3220164918444501,0.8734453789526663,50.0447338491926,1,0.025713851627082916,0.0015248272749982176,-6.69834917498156e-05,-0.8485348110218084,0.02173034644267673,0.0003241055018664954,-1.9348344820662586,0.005174315011831379,-0.003451338623100073,-1.7677507576807228,-0.011394039520277045,0.0015316831163576005,-1.0448116242167915,-0.013847065838024909,0.0031444050329364308,1.5673598026063267,0.012469702501233002,-0.0006928698835549926,-2.0552224971201727,0.004408503720523015,0.0003648050511689524,0.49984692204016284,-0.6689620329170823,-0.016558422038837062,0.4998987913504993,-0.668849307164221,-0.01626127375883722,-0.5839340392864102,0.8118011072686815,0.0,-0.9970848870750232,0.07385739710455959,0.019152359111288642
7,0.7000000000000001,0.0011593105667113614,0.0021779550554244286,-2.195553911357538e-05,0.0003073264656764864,0.30732646567648636,0.9293517250757529,53.24793153004304,1,0.02586634341446691,0.001525094340739423,-2.050173537157113e-06,-0.8463735918527823,0.02150651785894556,-0.0005463478745452931,-1.934267059147832,0.006132783531307628,0.0031920184807490157,-1.7688897202947886,-0.011364022035576985,0.0014907277941972657,-1.0462229827517193,-0.014345590896225956,-0.0007597700728325585,1.5685993868328474,0.012329070978356015,-0.0007162432074302043,-2.0547856797962245,0.004328365953699772,-0.00030416855069020335,0.49972543901623345,-0.668780855859167,-0.016558422038837062,0.49975607311757575,-0.6686902941532894,-0.01626634382025737,-0.529705869917728,0.8481814023985099,0.0,-0.9963565647283009,0.08321050858597222,0.018697785528851662
8,0.8,0.0013772558187712639,0.0021818797283421677,3.305593048257538e-05,0.00029635007556416297,0.296350075564163,0.9667566601890349,55.391076444994795,1,0.026018840755095956,0.0015249408536415676,-4.52196929670379e-06,-0.8442188565737092,0.021610430372835877,0.0009480127436739027,-1.9336618261987388,0.005919326772392372,-0.0010568237677285749,-1.7700143311206842,-0.011100217073567275,0.0033080784770213876,-1.0476455278741057,-0.01405876758440627,0.0027338013181658714,1.5698311523111534,0.01230650087570915,-0.0006207214837788095,-2.05435227528911,0.004345150651430635,8.910456794802636e-05,0.49961499610546584,-0.6685930018844827,-0.016558422038837062,0.4996148346148059,-0.6685271158052108,-0.016269488887804096,-0.48933260264529765,0.8720972445710279,0.0,-0.9955262357153323,0.09268289111163237,0.01836833410111091
9,0.9,0.00159556983937627,0.002184123026039964,2.2454794691821177e-05,0.00029150243391666054,0.29150243391666053,0.9934695138749418,56.921610219947745,1,0.026171334503532952,0.001524962961029757,-1.4072456427964363e-07,-0.8420546515473571,0.021663686326000253,0.00043601022504267267,-1.9330653755579408,0.006044791364709224,0.000702947850003493,-1.7711068475109588,-0.010755243270975922,0.002889550188263986,-1.0490424661722833,-0.01390343967542224,0.0014307165948915538,1.5710569222843271,0.012201398528021922,-0.0009817812635835642,-2.0539180592137494,0.0043340411144092905,-0.00019462672429449338,0.4995119141535273,-0.6684005802237026,-0.016558422038837062,0.4994751168916767,-0.6683600589312854,-0.016272104635662775,-0.4573254406930184,0.8892994103759073,0.0,-0.9945942959896652,0.10225204745680634,0.018074987571597905
10,1.0,0.0018141338916234586,0.0021874970301595273,4.201380737973831e-05,0.0002955346729318156,0.2955346729318156,1.0126901950506058,58.02287413067984,1,0.026323829956349968,0.0015249460770005501,4.77329837631033e-07,-0.8398855402403157,0.02172614607123269,0.0009559723718299497,-1.9324650632405642,0.005903876237341689,-0.002201338406881114,-1.7721712425872194,-0.010555939392568443,0.0017690603979285057,-1.050423953330856,-0.013713359628319583,0.002084694218619113,1.5722735134763823,0.012141279616895689,-0.0004039003027205894,-2.0534856265678454,0.004314359816698122,-0.00021558758479832489,0.49941473283177473,-0.6682048239268513,-0.016558422038837062,0.49933697462923515,-0.6681892583648888,-0.016273725501935888,-0.4314004866686234,0.902160529009153,0.0,-0.9935582965397836,0.11190815913718247,0.017845876148021276
11,1.1,0.0020330989767619826,0.0021918864502282667,4.623367763222332e-05,0.0003081432248384838,0.3081432248384838,1.0260565570790832,58.788710262355515,1,0.026476324763442593,0.00152494859281992,-2.3952643068694747e-08,-0.8377065602109824,0.021869979369489978,0.0019717388671444368,-1.931883030391055,0.0057622715468247845,-0.0007826617495128243,-1.7732159756822368,-0.010318731709746906,0.0029629967735834276,-1.0517853397128134,-0.013518323117235805,0.001941260886435107,1.5734854879794982,0.012097524353332306,-0.00040247679485305385,-2.053055416572477,0.004288681615777827,-0.0002613511764300938,0.4993226140995079,-0.6680061859095325,-0.016558422038837062,0.49920051073645716,-0.6680142148867784,-0.016275617245260388,-0.41032573767539876,0.9119390270194274,0.0,-0.9924106986562876,0.12170099934771719,0.01760318011911901
12,1.2000000000000002,0.00225252567625276,0.0021967154615438874,5.071571323851997e-05,0.0003294766078058265,0.3294766078058265,1.0350011537732424,59.30119790237751,1,0.026628819525817613,0.0015249459878422943,2.3094741700100134e-07,-0.8355075029558527,0.022133220363457388,0.0032688462273637265,-1.931310059963444,0.005703723807259235,-0.0003785508001096122,-1.7742311620798266,-0.009966212647920136,0.004068889350889776,-1.0531262828126784,-0.01328866677891215,0.0026341327759841124,1.5746939645433378,0.012079383257278746,3.359689158338199e-05,-2.052627534793806,0.004272165459828613,-6.732012400509197e-05,0.49923471610938064,-0.6678051379062401,-0.016558422038837062,0.49906586814596976,-0.6678343963783209,-0.016277016384745446,-0.39300327888387604,0.9195370698272703,0.0,-0.9911520739153035,0.13158678385545908,0.017392086935430675
13,1.3,0.002472453529876959,0.00220188386066824,5.290718826394524e-05,0.00035844595977297603,0.35844595977297605,1.040722157754864,59.628987285101964,1,0.026781314218923193,0.00152494749550267,-3.0201054405862564e-08,-0.8332802118884829,0.022388918685690123,0.0018444131901821103,-1.9307397465337848,0.005720985774212553,0.0007270391512391218,-1.7752084272274187,-0.009589069371324636,0.003471683204905985,-1.0544433143616678,-0.013065452286610926,0.001826903905595165,1.575901474545748,0.012064913867011385,-0.00032247411575568976,-2.052200256724581,0.004277419957035432,0.0001734587350919678,0.49915004589394024,-0.6676021664376747,-0.016558422038837062,0.498933072352343,-0.6676505222056137,-0.01627723223100016,-0.37838123267269913,0.9256498488959466,0.0,-0.9897713467567127,0.14161557017795579,0.01725431605644305
14,1.4000000000000001,0.002692919052420815,0.0022075754177449222,6.279854312648457e-05,0.0003930999461467345,0.39309994614673455,1.0438955824868419,59.81081112884674,1,0.026933809184088577,0.0015249478399946084,7.851439982356785e-07,-0.8310319822546675,0.022587467756025374,0.0023845391327946856,-1.9301656052772351,0.0057309908864269935,-0.0008668807634298942,-1.7761515413468558,-0.009291251093422118,0.002423672542957216,-1.0557410767031374,-0.012888899247617807,0.0017975110313865794,1.5771062517478276,0.012031655648605373,-0.00028863664061791434,-2.0517716259935357,0.0042937312313482,0.00011690972471475278,0.49906810369072135,-0.6673974985346771,-0.016558422038837062,0.49880228410577215,-0.6674618614434463,-0.016276066001372363,-0.36595147003853973,0.9306339353239982,0.0,-0.9882737416758378,0.1517209118599601,0.017198151598985856
15,1.5,0.0029140027433888147,0.002214283935711453,7.231332875975173e-05,0.0004310406431745161,0.43104064317451607,1.0449083054475827,59.86883588031318,1,0.02708630428018757,0.001524953206097241,-2.8058476227505775e-07,-0.8287606438116462,0.022839826845536017,0.0024882249583728405,-1.9295986574469313,0.005605982317860248,-0.0011985540372478909,-1.777070006467406,-0.00908893763532214,0.001725311089455692,-1.057021014111526,-0.012712810985122362,0.001658384955705404,1.5783085998968578,0.012027268366914028,0.0003512686775492569,-2.0513415937556214,0.00431044621328168,0.0002913222390106301,0.4989884528203514,-0.6671912645232784,-0.016558422038837062,0.498673596580654,-0.6672684005204169,-0.01627432412906412,-0.355323892141207,0.9347432437164891,0.0,-0.9866458297797408,0.16197217545790235,0.017176174069954184
