node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,position_constraint_margin_m,tangent_constraint_margin_rad,minimum_joint_margin_rad,minimum_state_margin,jacobian_condition,jacobian_effective_rank,contact_active,contact_diagnostic_available,minimum_gap_m,contact_energy,contact_force_norm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z,seed_q1,seed_q2,seed_q3,seed_q4,seed_q5,seed_q6,seed_L,change_from_seed_q1,change_from_seed_q2,change_from_seed_q3,change_from_seed_q4,change_from_seed_q5,change_from_seed_q6,change_from_seed_L
0,0.0,0.025,0.0,0.0,0.3204984547400044,18.363208797066886,1,0.001,2.8193488695977944,4.226776597179587,0.025,nan,0,1,1,0.048480880522838554,3.2779103582122256e-13,1.5245210517911715e-09,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.24557497783369636,-0.6700279629478505,-0.016566991220873295,-3.077932948039142,0.5753726959665791,0.045033578217205016,0.5005820546791916,-0.6695089513990475,-0.016558422038837062,0.5005820546791916,-0.6695089513990475,-0.016558422038837062,-0.9379444323513858,0.34678558479417343,0.0,-0.999433944674365,0.03363749698597587,0.0005559039099070523,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00025,0.02519301476687221,3.4313641186302696e-05,0.034313641186302694,0.5712309450794449,32.72912228032151,1,0.0009656863588136973,2.568616379258354,4.2269940797639505,0.02480698523312779,nan,0,1,1,0.04837401458900059,3.3083025135939274e-13,1.529165210631573e-09,-0.8554325420548181,-1.944944278697486,-1.7630438224446012,-1.0345617955445783,1.5632707155258827,-2.0561912274156358,0.24557700670769095,-0.6684030565887497,-0.01655321976261187,-3.076344790535149,0.5739815029818185,0.04626663658243213,0.5003578833811582,-0.6694004198631686,-0.016558422038837062,0.5003921558337381,-0.6694020690010833,-0.01655874655348619,-0.8188254896169288,0.5740425224263415,0.0,-0.9991918033558415,0.040192775926031384,0.0005299715665326105,-0.8554325420548181,-1.944944278697486,-1.7630438224446012,-1.0345617955445783,1.5632707155258827,-2.0561912274156358,0.02519301476687221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0005,0.025381684160077363,3.354191670546301e-05,0.03354191670546301,0.8166713725155623,46.79182289429798,1,0.000966458083294537,2.3231759518222366,4.227345139597979,0.02461831583992264,nan,0,1,1,0.048204115704266776,3.3412551038889017e-13,1.5366128923836098e-09,-0.8539554955947819,-1.9435171936546116,-1.7650759876714877,-1.0367363512262762,1.5647681232619877,-2.055840167581607,0.24560354502261075,-0.665808336848566,-0.01652595474802737,-3.0738131222356913,0.5717398587561467,0.04820157970090327,0.5001761620165796,-0.6692299239961477,-0.016558422038837062,0.500209625597484,-0.6692321565535064,-0.016558936448172003,-0.6468424726473844,0.7626236395361855,0.0,-0.9987154917161153,0.05066658747631926,0.0005133417405086373,-0.8539554955947819,-1.9435171936546116,-1.7650759876714877,-1.0367363512262762,1.5647681232619877,-2.055840167581607,0.025381684160077363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00075,0.025542225107768497,2.853558136745703e-05,0.02853558136745703,0.9471595373241392,54.26824401423694,1,0.000971464418632543,2.19268778701366,4.227766820738686,0.024457774892231506,nan,0,1,1,0.048001896649657,3.3722601782300154e-13,1.5456008404068454e-09,-0.852174960860386,-1.9418489123324056,-1.7674534901444916,-1.0392887399794057,1.5665606694075362,-2.0554184864409004,0.24567182038418622,-0.662743286368166,-0.01649277752493239,-3.0708248507833837,0.5690600972500021,0.05044413778334278,0.5000298313820803,-0.6690274776262156,-0.016558422038837062,0.5000582555272105,-0.6690299286715284,-0.016559004923450873,-0.5316222239161008,0.8469815883704316,0.0,-0.9980083301687358,0.06308024746513555,0.000505265820182328,-0.852174960860386,-1.9418489123324056,-1.7674534901444916,-1.0392887399794057,1.5665606694075362,-2.0554184864409004,0.025542225107768497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.001,0.025680859006073,2.465059028674403e-05,0.02465059028674403,1.0149558744788287,58.15268799964663,1,0.000975349409713256,2.1248914498589704,4.228219869786276,0.024319140993927003,nan,0,1,1,0.047784238514014525,3.4013432192475454e-13,1.5554287603005333e-09,-0.8502381392147936,-1.9400956251093804,-1.7699605002567478,-1.041977350703873,1.5684987174999039,-2.05496543739331,0.24578844576582196,-0.6594816360538047,-0.01645956111089969,-3.0676483286308467,0.5661654544740315,0.05277447382036244,0.4999072273610913,-0.6688096934675695,-0.016558422038837062,0.4999317357648595,-0.6688122645874904,-0.016559037740526868,-0.4612548204167693,0.8872677108079016,0.0,-0.997080402419517,0.07635719413932969,0.000500014102548335,-0.8502381392147936,-1.9400956251093804,-1.7699605002567478,-1.041977350703873,1.5684987174999039,-2.05496543739331,0.025680859006073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00125,0.025807281081749903,2.247588583014798e-05,0.02247588583014798,1.0570139095653674,60.562435904718434,1,0.000977524114169852,2.0828334147724314,4.228687834824624,0.0241927189182501,nan,0,1,1,0.04755956682230521,3.4293776502116676e-13,1.5657450684535412e-09,-0.8482208491968921,-1.9383363346654696,-1.7724856619019433,-1.0446873470808966,1.570501507518621,-2.054497472354962,0.24595377066273177,-0.6561617817682691,-0.01642797607679891,-3.064418725591977,0.5631753069546401,0.05509259321949315,0.4997979250592855,-0.668584900234547,-0.016558422038837062,0.4998202311976204,-0.668587588856587,-0.016559032733489874,-0.411141626874526,0.9115714797266137,0.0,-0.9959457396432916,0.08995463430861123,0.0004974462593630693,-0.8482208491968921,-1.9383363346654696,-1.7724856619019433,-1.0446873470808966,1.570501507518621,-2.054497472354962,0.025807281081749903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0015,0.025924376336940717,2.0819337813198464e-05,0.020819337813198464,1.0812032018533184,61.94838026222637,1,0.0009791806621868016,2.0586441224844805,4.229170140021596,0.024075623663059285,nan,0,1,1,0.047329549118764185,3.4566649568325274e-13,1.576491284564096e-09,-0.846136162424581,-1.9365859235057523,-1.7750099609799879,-1.0473955793184853,1.5725562913931934,-2.0540151671579907,0.246168666415458,-0.652807643132298,-0.01639932084340978,-3.061158963970492,0.5601142899777735,0.0573785555148317,0.49970031097456247,-0.6683547638263923,-0.016558422038837062,0.4997209312924164,-0.6683575680780701,-0.01655904130542737,-0.37614687602288477,0.9265600507566817,0.0,-0.9946010120819536,0.10377178071717559,0.0004942593854622992,-0.846136162424581,-1.9365859235057523,-1.7750099609799879,-1.0473955793184853,1.5725562913931934,-2.0540151671579907,0.025924376336940717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.00175,0.026036202184247216,1.9878072556647886e-05,0.019878072556647888,1.0963041374073768,62.813600136172965,1,0.0009801219274433522,2.043543186930422,4.229656248260374,0.023963797815752787,nan,0,1,1,0.04709654929022873,3.483628506736315e-13,1.5875721195699402e-09,-0.8440078078452375,-1.9348655839913271,-1.7775015320653202,-1.0500722920054746,1.5746407486240124,-2.0535290589192114,0.24643132426859843,-0.6494589589932447,-0.01637330280499033,-3.057907058022933,0.5570100010275696,0.05960504053228956,0.49961005583687057,-0.6681216428436246,-0.016558422038837062,0.4996297088824437,-0.6681245660428865,-0.016559014047573515,-0.3490571486624737,0.9371014389955997,0.0,-0.9930544893440405,0.11765431451123765,0.0004934273378889439,-0.8440078078452375,-1.9348655839913271,-1.7775015320653202,-1.0500722920054746,1.5746407486240124,-2.0535290589192114,0.026036202184247216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.002,0.026144598160151505,1.926553095689608e-05,0.01926553095689608,1.105142020156416,63.31997351752439,1,0.0009807344690431039,2.034705304181383,4.230145046561919,0.023855401839848498,nan,0,1,1,0.046861368828108874,3.510476193180593e-13,1.5989609551632464e-09,-0.8418433631894537,-1.9331821771303865,-1.7799521772998577,-1.0527048696120327,1.5767453417052963,-2.0530402606176668,0.2467404144192719,-0.6461286223296598,-0.016350799303281593,-3.054677033976016,0.5538749734119132,0.061764721971528394,0.49952570669747093,-0.6678863166121943,-0.016558422038837062,0.4995447176370865,-0.6678893837803572,-0.016559002846416124,-0.3275616644307993,0.9448298026604179,0.0,-0.9913093828777036,0.13155024008332744,0.0004916834807904833,-0.8418433631894537,-1.9331821771303865,-1.7799521772998577,-1.0527048696120327,1.5767453417052963,-2.0530402606176668,0.026144598160151505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0022500000000000003,0.02625077189412222,1.8867274201271488e-05,0.01886727420127149,1.10953112494943,63.57145069800473,1,0.0009811327257987286,2.030316199388369,4.230636373002884,0.023749228105877783,nan,0,1,1,0.04662452529968307,3.5373471409110775e-13,1.610643051504392e-09,-0.8396495180479578,-1.9315396519852104,-1.782355289531244,-1.0552877839364454,1.578865053615853,-2.0525489341767025,0.24709436576516133,-0.6428248126429681,-0.016331532750920252,-3.0514758970012625,0.5507205137128052,0.0638528035192314,0.4994461584530474,-0.6676493208088357,-0.016558422038837062,0.499464740735528,-0.6676525388204084,-0.016558985257369496,-0.3101228471799672,0.9506964918716123,0.0,-0.9893690886021519,0.14542546556945116,0.0004903901056503435,-0.8396495180479578,-1.9315396519852104,-1.782355289531244,-1.0552877839364454,1.578865053615853,-2.0525489341767025,0.02625077189412222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
