node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,position_constraint_margin_m,tangent_constraint_margin_rad,minimum_joint_margin_rad,minimum_state_margin,jacobian_condition,jacobian_effective_rank,contact_active,contact_diagnostic_available,minimum_gap_m,contact_energy,contact_force_norm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z,seed_q1,seed_q2,seed_q3,seed_q4,seed_q5,seed_q6,seed_L,change_from_seed_q1,change_from_seed_q2,change_from_seed_q3,change_from_seed_q4,change_from_seed_q5,change_from_seed_q6,change_from_seed_L
0,0.0,0.03,0.0,0.0,0.5828947428525564,33.397408665814886,1,0.0015,2.5569525814852425,4.226776597179587,0.020000000000000004,nan,0,1,1,0.048386044656936286,3.9402483860724596e-13,1.5295385032968071e-09,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.24557497783369636,-0.6700279629478505,-0.016566991220873295,-3.077932948039142,0.5753726959665791,0.045033578217205016,0.4955829090244966,-0.6694141284814393,-0.016556854953102364,0.4955829090244966,-0.6694141284814393,-0.016556854953102364,-0.8169678632647741,0.5766831975986377,0.0,-0.9994952885411609,0.03176307030997575,0.0005249271427344702,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00025,0.03014879491359113,5.951717489796311e-05,0.05951717489796311,0.5758066519811765,32.99129097407962,1,0.001440482825102037,2.5640406723566223,4.227063196929723,0.019851205086408873,nan,0,1,1,0.04824487008858524,3.968167959019293e-13,1.5359181037825272e-09,-0.854893746309472,-1.9450076663673312,-1.762950981611843,-1.034466120031667,1.5635915028512006,-2.0561221102498624,0.2461203140818222,-0.6682394969843298,-0.016583761160118726,-3.076322478742214,0.573237719470375,0.04580488361758558,0.4953786670586804,-0.6692699576820397,-0.016556854953102364,0.4954381071950833,-0.6692729307970499,-0.01655742493500937,-0.8169678632647647,0.576683197598651,0.0,-0.9992450604191124,0.03884670515073231,0.0004926732554473134,-0.854893746309472,-1.9450076663673312,-1.762950981611843,-1.034466120031667,1.5635915028512006,-2.0561221102498624,0.03014879491359113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0005,0.030340665570239136,7.674403950030817e-05,0.07674403950030817,0.5687638936812973,32.58777064736581,1,0.001423255960499692,2.5710834306565014,4.227343063188462,0.019659334429760866,nan,0,1,1,0.04810163620212344,4.002035395577669e-13,1.5424642411307296e-09,-0.8534503513139481,-1.944211135140088,-1.7640746446824571,-1.0356732811391827,1.564820540500904,-2.055842243991125,0.24669675425274049,-0.6665135109960698,-0.01659534950231295,-3.0747838889643093,0.5711211201117131,0.04648647275907327,0.4951744250928642,-0.66912578688264,-0.016556854953102364,0.49525106801188035,-0.6691296875106976,-0.016557398703287984,-0.8169678632647555,0.5766831975986642,0.0,-0.9989466943351677,0.04588312631002485,0.0004905067375130808,-0.8534503513139481,-1.944211135140088,-1.7640746446824571,-1.0356732811391827,1.564820540500904,-2.055842243991125,0.030340665570239136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00075,0.0305454019270914,8.18908283604341e-05,0.0818908283604341,0.5618270718671098,32.190320034178576,1,0.001418109171639566,2.578020252470689,4.227620343877741,0.019454598072908603,nan,0,1,1,0.047958044911799884,4.037795254281265e-13,1.5491013327018997e-09,-0.8520288187168439,-1.943462032410397,-1.765133084641214,-1.0368093472648108,1.566019847653054,-2.055564963301845,0.24729209116203035,-0.6648571388272365,-0.016608831071281083,-3.0733163460940034,0.5690531008302484,0.04709285363072831,0.494970183127048,-0.6689816160832404,-0.016556854953102364,0.49505195016017806,-0.6689860895722597,-0.01655735290757712,-0.8169678632647555,0.5766831975986642,0.0,-0.998604380084031,0.05281148389296467,0.0004891278067669314,-0.8520288187168439,-1.943462032410397,-1.765133084641214,-1.0368093472648108,1.566019847653054,-2.055564963301845,0.0305454019270914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.001,0.030754368423734003,8.357480940203801e-05,0.08357480940203801,0.5549993228491132,31.799118831872786,1,0.0014164251905979621,2.5848480014886857,4.227887569413894,0.019245631576266,nan,0,1,1,0.04781437513954426,4.0742997218891246e-13,1.5558177156640097e-09,-0.8506322680912101,-1.9427575052157526,-1.766131522835215,-1.0378818183388503,1.5671895935759932,-2.0552977377656925,0.2478997050603533,-0.6632669930038747,-0.01662449163467461,-3.0719146860899467,0.5670252272832682,0.04763549848713764,0.49476594116123185,-0.6688374452838407,-0.016556854953102364,0.4948493666590646,-0.6688424144316558,-0.016557347546176944,-0.8169678632647558,0.5766831975986637,0.0,-0.9982205245506537,0.05962842028998983,0.00048565372241344174,-0.8506322680912101,-1.9427575052157526,-1.766131522835215,-1.0378818183388503,1.5671895935759932,-2.0552977377656925,0.030754368423734003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00125,0.030965064296155195,8.42782221534215e-05,0.0842782221534215,0.5482766036383608,31.41393539424515,1,0.0014157217778465786,2.591570720699438,4.228150097145324,0.019034935703844808,nan,0,1,1,0.047670640006797826,4.1112218354345197e-13,1.562614101313227e-09,-0.8492561525511229,-1.942093913204676,-1.767072259434184,-1.0388907709509212,1.5683319891864114,-2.0550352100342626,0.2485233744848948,-0.6617395812688335,-0.01664125340678685,-3.0705779780817966,0.5650381940569668,0.04811057575969148,0.49456169919541565,-0.668693274484441,-0.016556854953102364,0.4946458030571498,-0.6686986754762754,-0.016557289070544153,-0.8169678632647652,0.5766831975986504,0.0,-0.9977971055067172,0.06633778085579069,0.00048484383690983066,-0.8492561525511229,-1.942093913204676,-1.767072259434184,-1.0388907709509212,1.5683319891864114,-2.0550352100342626,0.030965064296155195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0015,0.031176783422781244,8.469159096795261e-05,0.08469159096795262,0.5416592190946214,31.034787188473782,1,0.0014153084090320475,2.5981881052431772,4.228399148307328,0.01882321657721876,nan,0,1,1,0.04752690200143324,4.1484674216666194e-13,1.5694887986352047e-09,-0.8479083702155434,-1.9414689070414557,-1.767960574198819,-1.039840666604441,1.5694526364437773,-2.0547861588722585,0.2491558921952224,-0.6602721997270802,-0.01666027943105597,-3.0692973575562057,0.5630886593985759,0.0485211292141152,0.49435745722959945,-0.6685491036850414,-0.016556854953102364,0.4944419469031597,-0.6685549341869469,-0.01655726224893951,-0.8169678632647736,0.5766831975986385,0.0,-0.9973362806096052,0.07293908841211663,0.0004824535296715505,-0.8479083702155434,-1.9414689070414557,-1.767960574198819,-1.039840666604441,1.5694526364437773,-2.0547861588722585,0.031176783422781244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.00175,0.03138929119746718,8.50333200135819e-05,0.0850333200135819,0.5351457229908433,30.661591351852387,1,0.0014149666799864182,2.6047016013469557,4.228645140441538,0.01861070880253282,nan,0,1,1,0.04738316975094734,4.186007773940591e-13,1.5764427164656298e-09,-0.8465812810218789,-1.9408825405960264,-1.7687956597773102,-1.0407389787198917,1.570541246236317,-2.054540166738048,0.2497978521388451,-0.6588623617406616,-0.016680244304897784,-3.0680760113162906,0.5611809227045899,0.048885406758714306,0.49415321526378325,-0.6684049328856417,-0.016556854953102364,0.4942380164763083,-0.6684111991681067,-0.016557246834319507,-0.8169678632647642,0.5766831975986518,0.0,-0.9968400406330824,0.07943364182950402,0.0004795167744205912,-0.8465812810218789,-1.9408825405960264,-1.7687956597773102,-1.0407389787198917,1.570541246236317,-2.054540166738048,0.03138929119746718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.002,0.03160255773846406,8.531719998387528e-05,0.08531719998387528,0.5287330356890406,30.294171434121957,1,0.0014146828000161247,2.6111142886487584,4.228883992301289,0.018397442261535946,nan,0,1,1,0.04723941015829846,4.223844076109067e-13,1.5834788347763925e-09,-0.8452752752687506,-1.940330521866755,-1.7695824568894858,-1.0415849019892873,1.5716014722698683,-2.0543013148782974,0.25044861034510263,-0.6575077051582383,-0.01670093024406999,-3.0669122646242326,0.559308524941631,0.049199346666701865,0.49394897329796705,-0.6682607620862421,-0.016556854953102364,0.4940340282356744,-0.6682674374077443,-0.01655720462084865,-0.8169678632647555,0.5766831975986642,0.0,-0.9963101654151025,0.08582438984599029,0.00047791013235576037,-0.8452752752687506,-1.940330521866755,-1.7695824568894858,-1.0415849019892873,1.5716014722698683,-2.0543013148782974,0.03160255773846406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0022500000000000003,0.03181652240825853,8.558929121432029e-05,0.08558929121432028,0.5224219008561398,29.93257004425874,1,0.0014144107087856797,2.617425423481659,4.2291162686217625,0.018183477591741472,nan,0,1,1,0.047095672622658076,4.2619679493949956e-13,1.5905960748846642e-09,-0.8439930554251655,-1.9398120472376783,-1.7703237675113512,-1.0423807858182663,1.5726349412416503,-2.054069038557824,0.25110523489211095,-0.6562059896681431,-0.016723164634770693,-3.065801248195867,0.5574754346237095,0.04946638700990927,0.49374473133215085,-0.6681165912868423,-0.016556854953102364,0.4938300243456937,-0.6681236977860325,-0.01655721031293891,-0.8169678632647555,0.5766831975986642,0.0,-0.9957486799449381,0.09211048648589233,0.0004739907653334343,-0.8439930554251655,-1.9398120472376783,-1.7703237675113512,-1.0423807858182663,1.5726349412416503,-2.054069038557824,0.03181652240825853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0025000000000000005,0.03203114849957475,8.587056532994169e-05,0.0858705653299417,0.5162087994971384,29.576585558700963,1,0.0014141294346700583,2.6236385248406604,4.229341895936546,0.01796885150042525,nan,0,1,1,0.04695191396496918,4.300380342548626e-13,1.5977979842909673e-09,-0.8427335884319934,-1.9393244867877792,-1.771020497862385,-1.043130478653288,1.5736439744031565,-2.05384341124304,0.2517681795010621,-0.6549547699036392,-0.016745716972826785,-3.064740222475829,0.5556791381417702,0.049686657384066905,0.4935404893663347,-0.6679724204874427,-0.016556854953102364,0.49362602973348063,-0.6679799376076845,-0.016557159061462833,-0.8169678632647563,0.5766831975986629,0.0,-0.995157172996129,0.09829535823460035,0.00047284657577284517,-0.8427335884319934,-1.9393244867877792,-1.771020497862385,-1.043130478653288,1.5736439744031565,-2.05384341124304,0.03203114849957475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0027500000000000007,0.032246440861010243,8.614219808787698e-05,0.08614219808787699,0.5100943255381568,29.22625200690867,1,0.001413857801912123,2.629752998799642,4.229562827815906,0.01775355913898976,nan,0,1,1,0.04680817566066371,4.33908213404365e-13,1.6050838912479605e-09,-0.8414963872846432,-1.9388669494268185,-1.7716757777027798,-1.043834823659927,1.5746267401746006,-2.05362247936368,0.25243577226666286,-0.6537522217321516,-0.01676928332586136,-3.0637283344804525,0.5539214286257603,0.04986552185724791,0.4933362474005185,-0.667828249688043,-0.016556854953102364,0.4934220216887937,-0.6678361978807512,-0.016557130624959934,-0.8169678632647657,0.5766831975986496,0.0,-0.9945375504715569,0.10437834652904841,0.0004706143827593529,-0.8414963872846432,-1.9388669494268185,-1.7716757777027798,-1.043834823659927,1.5746267401746006,-2.05362247936368,0.032246440861010243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
