sample_index,time_s,path_s_m,path_speed_m_s,path_acceleration_m_s2,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,beam_feasible,insertion_m,insertion_rate_m_s,insertion_acceleration_m_s2,q1_rad,qd1_rad_s,qdd1_rad_s2,q2_rad,qd2_rad_s,qdd2_rad_s2,q3_rad,qd3_rad_s,qdd3_rad_s2,q4_rad,qd4_rad_s,qdd4_rad_s2,q5_rad,qd5_rad_s,qdd5_rad_s2,q6_rad,qd6_rad_s,qdd6_rad_s2,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z
0,0.0,0.0,0.0,0.019860548045017728,0.0,0.0,0.4318794898909357,24.744872029013518,1,0.03,0.0,0.011942306025418317,-0.85634357,0.0,0.08705180224992261,-1.94584002,0.0,0.050786849444523365,-1.76176286,-0.0,-0.072777814501031,-1.0331945,-0.0,-0.0776555514165939,1.56234264,0.0,0.07524956279436924,-2.05640871,0.0,0.01728704010991477,0.4955829090244966,-0.6694141284814393,-0.016556854953102364,0.4955829090244966,-0.6694141284814393,-0.016556854953102364,-0.894427190999916,0.447213595499958,0.0,-0.9994952885411609,0.03176307030997575,0.0005249271427344702
1,0.1,9.930274022508865e-05,0.001986054804501773,0.019860548045017728,2.9548101367923704e-05,0.029548101367923706,0.4297068080680855,24.62038653033941,1,0.030060437127669686,0.0012377664550976288,0.014119098653208173,-0.8559084520335989,0.00869671753408275,0.086628667704447,-1.9455864098819282,0.005059237195406703,0.049814461992241627,-1.7621261138688753,-0.007239669232327402,-0.07087220361224598,-1.0335821682659057,-0.007728985671027341,-0.07582707788499135,1.5627186571708571,0.007511117692543539,0.07455763344969996,-2.056322338422891,0.0017248866045751422,0.017096169789098024,0.4954940899534985,-0.6693697189459402,-0.016556854953102364,0.49552360147914515,-0.6693711731606637,-0.016557068044614667,-0.8944271909999137,0.4472135954999624,0.0,-0.9994239252706681,0.03393456687314284,0.0005126087224964163
2,0.2,0.00031754716111460625,0.0019817788236498653,-0.003214546530635398,7.376661029883801e-05,0.073766610298838,0.4249994770333698,24.350676329279253,1,0.030214218968994174,0.0015961602860478546,0.0006246275992759049,-0.8549563232723821,0.008600203877581584,-0.015020932931833163,-1.9450385005864859,0.004877705621694799,-0.009896204385553468,-1.7629059850154405,-0.00689636519874087,0.014682507400573044,-1.034416420842832,-0.007395809626000696,0.015473403797257906,1.5635383108822258,0.007372781782252507,-0.01341453516601713,-2.0561343710174516,0.0016877632051300882,-0.0031221476625226327,0.49529888620917084,-0.6692721170737764,-0.016556854953102364,0.4953725825948367,-0.6692753012039074,-0.016557320624746925,-0.8944271909999087,0.44721359549997225,0.0,-0.9992531200194112,0.03863877914477055,0.0004968678635357904
3,0.30000000000000004,0.0005040562707463137,0.0018064986743564033,-0.0001273690906015988,8.350411822333582e-05,0.08350411822333581,0.4209963523659693,24.12131418097249,1,0.030373974743904044,0.0015943560007540658,-2.3272900670620337e-05,-0.8541525904770336,0.007721363614637901,-0.001917205779146734,-1.944588377558144,0.004271996082348455,-0.0020306540239724974,-1.7635408578568792,-0.006024964397946031,0.0026083750216264155,-1.0350978304062153,-0.006465853625346988,0.002922833565213903,1.564225455289247,0.006587784894961031,-0.0018250261526120335,-2.055977242209065,0.0015052955217774884,-0.00042902916968488717,0.4951320673901471,-0.6691887076642645,-0.016556854953102364,0.49521548814582805,-0.6691924136788066,-0.01655728008612651,-0.8944271909999048,0.4472135954999803,0.0,-0.9990904384043099,0.04263859570130283,0.0004960299434149355
4,0.4,0.0006839017842925785,0.0017878320765251383,-0.00024472127928302714,8.776626749865177e-05,0.08776626749865177,0.4171493831730356,23.900899082300544,1,0.030533400396441673,0.0015943646550217131,2.2170910511232694e-05,-0.8533895016336092,0.007541914910458023,-0.001669269414473997,-1.9441719152681964,0.004049561484078475,-0.002405190672221057,-1.764129236963653,-0.005729263729492318,0.003286857939633926,-1.035729041029637,-0.006147912156891376,0.0034182283312244014,1.5648746557713442,0.00638857253895127,-0.002149222054154612,-2.0558289454017102,0.0014590499116300898,-0.0004936601691905016,0.49497120867265193,-0.669108278305517,-0.016556854953102364,0.495058874194368,-0.6691124636301155,-0.016557251274813996,-0.8944271909999048,0.4472135954999803,0.0,-0.99891901725135,0.046481742134631486,0.0004945924855944041
5,0.5,0.0008612504841976445,0.001760851211786112,-0.00021112217651159305,8.995147585688603e-05,0.08995147585688604,0.4134368060531432,23.688184082213873,1,0.030692850092829883,0.0015946171190340866,-1.8868013504753288e-05,-0.8526443808786502,0.007351047365023013,-0.0023706093365750474,-1.9437790661145489,0.0038239204414939193,-0.0016485653708113103,-1.764685412464152,-0.005416272068340964,0.0023010797158149665,-1.0363264908718772,-0.0058207569853662424,0.0025563583769092134,1.5655019840924274,0.0061597381514366025,-0.0022573713335980383,-2.055685646455939,0.0014081904202162337,-0.00047052111353346985,0.4948125831731684,-0.6690289655557752,-0.016556854953102364,0.4949024216329452,-0.6690334562914995,-0.01655724539698093,-0.8944271909999048,0.4472135954999803,0.0,-0.9987395677127118,0.05018997712743745,0.0004920172487584946
6,0.6000000000000001,0.001036713751327465,0.0017512560012871215,-3.265001458906015e-05,9.063078092701002e-05,0.09063078092701002,0.40980778893052616,23.480256717307206,1,0.030852305716268725,0.0015943975684571995,2.953219882443691e-07,-0.851922345633542,0.007054574818001377,-0.005361661616158087,-1.9434021406819877,0.003746295459853349,0.0006881740324344049,-1.7652193928736761,-0.005308465501241226,-0.0010740970063341552,-1.0368992298150532,-0.005677051332664492,-0.0008264615720478055,1.566107382888361,0.005942179790758231,-0.0030204499092748136,-2.0555468982414427,0.001367016557019832,-0.0005231244070331731,0.4946556440560258,-0.6689504959972039,-0.016556854953102364,0.49474615053492993,-0.6689552264544043,-0.016557227112330906,-0.8944271909999048,0.4472135954999803,0.0,-0.9985508521560815,0.053814082303062165,0.0004901063585687501
7,0.7000000000000001,0.0012116578064810756,0.0017474435123817095,-4.366099750747685e-05,9.106459949992477e-05,0.09106459949992476,0.4062293006867269,23.275224443900328,1,0.031011745970916334,0.0015943981173587997,-3.75521177010195e-07,-0.8512625060056576,0.005954825134712868,-0.016604474431342914,-1.9430152460217296,0.004079531480371494,0.005963388142635676,-1.7657689318630905,-0.005815067325186062,-0.009038079450169073,-1.0374861292435047,-0.006211033736865736,-0.009830918851889275,1.5666782743665604,0.005393722409714528,-0.007935953777587155,-2.0554141608038283,0.0012742982954273524,-0.0013291618458211388,0.4944991693361926,-0.6688722586372873,-0.016556854953102364,0.4945900994363713,-0.6688771937595981,-0.016557205283450515,-0.8944271909999048,0.4472135954999803,0.0,-0.9983518867996818,0.057387033419904664,0.0004883838429913976
8,0.8,0.0013861918073514925,0.0017434203651971304,-3.1711709648298196e-05,9.133157286133864e-05,0.09133157286133864,0.4026966571936058,23.072818881220137,1,0.031171188074305276,0.0015944253290998914,1.603195984332402e-06,-0.8507468671522287,0.004572154323980536,-0.006384140645780254,-1.9425786291850382,0.004558027734435928,0.0014866297664668272,-1.7663938592308324,-0.006539889833356955,-0.0022519258915626207,-1.038154756897802,-0.0070060052499089885,-0.0025223751268506804,1.567179482707469,0.00472621709319501,-0.0033490306628072733,-2.0552931510799928,0.0011611537383749743,-0.0006001337068947784,0.4943430613800601,-0.668794204659221,-0.016556854953102364,0.494434247665009,-0.6687993390125395,-0.016557249990507575,-0.8944271909999048,0.4472135954999803,0.0,-0.9981429323966443,0.060913486482442984,0.0004833954709391886
9,0.9,0.0015603903736636933,0.0017407218159567362,-2.3717456419722516e-05,9.15083208947634e-05,0.0915083208947634,0.3991869214151814,22.871725833910354,1,0.03133063028162941,0.0015944119891559464,1.3949505748108958e-07,-0.850296216228013,0.004614278283773203,0.0026137310819539052,-1.9421267135970883,0.004402859546970911,-0.0025403051090286486,-1.7670419727006286,-0.006305639250788817,0.0038077012248267654,-1.0388493308556919,-0.006758595371821955,0.004060689071037004,1.5676466585414652,0.004694619107651025,0.0006600006043108624,-2.055178234291256,0.0011494604478113444,3.454301861320718e-05,0.4941872534457173,-0.6687163006920497,-0.016556854953102364,0.49427858781426226,-0.6687219237133731,-0.016557288019686662,-0.8944271909999111,0.44721359549996775,0.0,-0.9979229972885211,0.06441631966993473,0.00047879314450842913
